;x
1949-01-31;0,998298
1949-02-28;1,003067
1949-03-31;0,996268
1949-04-30;1,004995
1949-05-31;1,002289
1949-06-30;0,999627
1949-07-31;0,994653
1949-08-31;0,998889
1949-09-30;1,003664
1949-10-31;0,995733
1949-11-30;1,007461
1949-12-31;1,00445
1950-01-31;0,979988
1950-02-28;1,012701
1950-03-31;1,003209
1950-04-30;0,996562
1950-05-31;0,990031
1950-06-30;1,003912
1950-07-31;1,003198
1950-08-31;0,998079
1950-09-30;1,010868
1950-10-31;0,996963
1950-11-30;0,983548
1950-12-31;1,003037
1951-01-31;1,010963
1951-02-28;0,993448
1951-03-31;1,006474
1951-04-30;1,002164
1951-05-31;1,106786
1951-06-30;0,991417
1951-07-31;1,005226
1951-08-31;0,998023
1951-09-30;0,995214
1951-10-31;1,000625
1951-11-30;1,011803
1951-12-31;0,986721
1952-01-31;1,009667
1952-02-29;1,007571
1952-03-31;0,992826
1952-04-30;0,989277
1952-05-31;0,998353
1952-06-30;1,016372
1952-07-31;0,987951
1952-08-31;1,00854
1952-09-30;0,988098
1952-10-31;1,008039
1952-11-30;0,99746
1952-12-31;1,007521
1953-01-31;0,995501
1953-02-28;0,991186
1953-03-31;1,000398
1953-04-30;1,015899
1953-05-31;1,006124
1953-06-30;0,989923
1953-07-31;0,994589
1953-08-31;1,001894
1953-09-30;0,999717
1953-10-31;1,007809
1953-11-30;0,993927
1953-12-31;1,004245
1954-01-31;0,991356
1954-02-28;0,932585
1954-03-31;1,008168
1954-04-30;0,990111
1954-05-31;1,004007
1954-06-30;0,996129
1954-07-31;1,010012
1954-08-31;0,992517
1954-09-30;1,00448
1954-10-31;0,990877
1954-11-30;1,007713
1954-12-31;0,995783
1955-01-31;1,002733
1955-02-28;1,001488
1955-03-31;0,998103
1955-04-30;1,00006
1955-05-31;0,996284
1955-06-30;1,001348
1955-07-31;1,006732
1955-08-31;0,990594
1955-09-30;1,009298
1955-10-31;0,995887
1955-11-30;0,993603
1955-12-31;1,008419
1956-01-31;1,00313
1956-02-29;0,993581
1956-03-31;0,997021
1956-04-30;1,004423
1956-05-31;1,000143
1956-06-30;1,003969
1956-07-31;0,995948
1956-08-31;1,002864
1956-09-30;0,995408
1956-10-31;0,999572
1956-11-30;1,005707
1956-12-31;0,991827
1957-01-31;1,004885
1957-02-28;0,996725
1957-03-31;1,004899
1957-04-30;0,997007
1957-05-31;1,001572
1957-06-30;1,000085
1957-07-31;0,999505
1957-08-31;0,997206
1957-09-30;1,004925
1957-10-31;0,998449
1957-11-30;1,002237
1957-12-31;0,999492
1958-01-31;1,001286
1958-02-28;1,001326
1958-03-31;1,002593
1958-04-30;0,989223
1958-05-31;0,996201
1958-06-30;1,005797
1958-07-31;0,998467
1958-08-31;1,011492
1958-09-30;0,988056
1958-10-31;1,010063
1958-11-30;0,993857
1958-12-31;0,993004
1959-01-31;1,00215
1959-02-28;1,000038
1959-03-31;1,004534
1959-04-30;1,000089
1959-05-31;1,0021
1959-06-30;0,992891
1959-07-31;1,003933
1959-08-31;0,999378
1959-09-30;1,003598
1959-10-31;0,991879
1959-11-30;1,001485
1959-12-31;1,008707
1960-01-31;1,000163
1960-02-29;0,998832
1960-03-31;0,985476
1960-04-30;1,010306
1960-05-31;1,002759
1960-06-30;0,998555
1960-07-31;0,999735
1960-08-31;1,00045
1960-09-30;0,99672
1960-10-31;1,004062
1960-11-30;1,001282
1960-12-31;0,996818
