;x
1949-01-31;0,912923
1949-02-28;0,946574
1949-03-31;1,054969
1949-04-30;1,011989
1949-05-31;0,949973
1949-06-30;1,069798
1949-07-31;1,182382
1949-08-31;1,167784
1949-09-30;1,055429
1949-10-31;0,921525
1949-11-30;0,789848
1949-12-31;0,904381
1950-01-31;0,905592
1950-02-28;0,941816
1950-03-31;1,051453
1950-04-30;1,016003
1950-05-31;0,937284
1950-06-30;1,07084
1950-07-31;1,189274
1950-08-31;1,171762
1950-09-30;1,063984
1950-10-31;0,912537
1950-11-30;0,787965
1950-12-31;0,914479
1951-01-31;0,90598
1951-02-28;0,935258
1951-03-31;1,078563
1951-04-30;0,984442
1951-05-31;0,942954
1951-06-30;1,085665
1951-07-31;1,179804
1951-08-31;1,171052
1951-09-30;1,066633
1951-10-31;0,908339
1951-11-30;0,793412
1951-12-31;0,915743
1952-01-31;0,908249
1952-02-29;0,955813
1952-03-31;1,054731
1952-04-30;0,990475
1952-05-31;0,962669
1952-06-30;1,095088
1952-07-31;1,17584
1952-08-31;1,199643
1952-09-30;1,04008
1952-10-31;0,91023
1952-11-30;0,810571
1952-12-31;0,894442
1953-01-31;0,910658
1953-02-28;0,902209
1953-03-31;1,040758
1953-04-30;0,994178
1953-05-31;0,987418
1953-06-30;1,093174
1953-07-31;1,191868
1953-08-31;1,207768
1953-09-30;1,043165
1953-10-31;0,919049
1953-11-30;0,799894
1953-12-31;0,889407
1954-01-31;0,914616
1954-02-28;0,885325
1954-03-31;1,010904
1954-04-30;0,987598
1954-05-31;0,990044
1954-06-30;1,104214
1954-07-31;1,228932
1954-08-31;1,206405
1954-09-30;1,04713
1954-10-31;0,926029
1954-11-30;0,791868
1954-12-31;0,88849
1955-01-31;0,918137
1955-02-28;0,87378
1955-03-31;0,995404
1955-04-30;0,98966
1955-05-31;0,98097
1955-06-30;1,114109
1955-07-31;1,259652
1955-08-31;1,206569
1955-09-30;1,050008
1955-10-31;0,925948
1955-11-30;0,791526
1955-12-31;0,895046
1956-01-31;0,910778
1956-02-29;0,895599
1956-03-31;1,008176
1956-04-30;0,968324
1956-05-31;0,973789
1956-06-30;1,133793
1956-07-31;1,25916
1956-08-31;1,222159
1956-09-30;1,072956
1956-10-31;0,91002
1956-11-30;0,791767
1956-12-31;0,898505
1957-01-31;0,900103
1957-02-28;0,853763
1957-03-31;0,989237
1957-04-30;0,966014
1957-05-31;0,972891
1957-06-30;1,149211
1957-07-31;1,258917
1957-08-31;1,255092
1957-09-30;1,066182
1957-10-31;0,916914
1957-11-30;0,801895
1957-12-31;0,886886
1958-01-31;0,899145
1958-02-28;0,846803
1958-03-31;0,975428
1958-04-30;0,959063
1958-05-31;0,981452
1958-06-30;1,137475
1958-07-31;1,270216
1958-08-31;1,283316
1958-09-30;1,054972
1958-10-31;0,91832
1958-11-30;0,80841
1958-12-31;0,874688
1959-01-31;0,905428
1959-02-28;0,84086
1959-03-31;0,975523
1959-04-30;0,946275
1959-05-31;0,998053
1959-06-30;1,125123
1959-07-31;1,274384
1959-08-31;1,288391
1959-09-30;1,054614
1959-10-31;0,929654
1959-11-30;0,803341
1959-12-31;0,878291
1960-01-31;0,913744
1960-02-29;0,865882
1960-03-31;0,934644
1960-04-30;0,978503
1960-05-31;0,992706
1960-06-30;1,126261
1960-07-31;1,303315
1960-08-31;1,262858
1960-09-30;1,055096
1960-10-31;0,942088
1960-11-30;0,79674
1960-12-31;0,886668
