;x
1949-01-31;122,891965
1949-02-28;124,278987
1949-03-31;125,590915
1949-04-30;126,838109
1949-05-31;127,081109
1949-06-30;126,239027
1949-07-31;125,843866
1949-08-31;126,876772
1949-09-30;128,387184
1949-10-31;129,687126
1949-11-30;130,695694
1949-12-31;129,897876
1950-01-31;129,581897
1950-02-28;132,106189
1950-03-31;133,671234
1950-04-30;133,331903
1950-05-31;134,706987
1950-06-30;138,600826
1950-07-31;142,488682
1950-08-31;145,359868
1950-09-30;146,901942
1950-10-31;146,191524
1950-11-30;147,096479
1950-12-31;152,629168
1951-01-31;158,312137
1951-02-28;161,441402
1951-03-31;163,972828
1951-04-30;165,218547
1951-05-31;164,806457
1951-06-30;165,374257
1951-07-31;167,795141
1951-08-31;170,269214
1951-09-30;173,335123
1951-10-31;178,236232
1951-11-30;181,868672
1951-12-31;183,713278
1952-01-31;186,47184
1952-02-29;186,906168
1952-03-31;184,307221
1952-04-30;184,721397
1952-05-31;190,410045
1952-06-30;195,864124
1952-07-31;197,990456
1952-08-31;200,018407
1952-09-30;203,366543
1952-10-31;208,163623
1952-11-30;212,736454
1952-12-31;215,275839
1953-01-31;216,2015
1953-02-28;219,176431
1953-03-31;226,667579
1953-04-30;232,676976
1953-05-31;230,50652
1953-06-30;224,551239
1953-07-31;222,706185
1953-08-31;224,782998
1953-09-30;227,257428
1953-10-31;227,806285
1953-11-30;226,404874
1953-12-31;225,03811
1954-01-31;224,989259
1954-02-28;227,701913
1954-03-31;230,581714
1954-04-30;232,146375
1954-05-31;235,409872
1954-06-30;240,013174
1954-07-31;243,305849
1954-08-31;244,701482
1954-09-30;246,239513
1954-10-31;249,569312
1954-11-30;254,393786
1954-12-31;258,83207
1955-01-31;262,858724
1955-02-28;266,261298
1955-03-31;268,742485
1955-04-30;271,794295
1955-05-31;276,264381
1955-06-30;282,356465
1955-07-31;287,036559
1955-08-31;290,323021
1955-09-30;294,40318
1955-10-31;297,134923
1955-11-30;301,349252
1955-12-31;308,005316
1956-01-31;310,848374
1956-02-29;311,288389
1956-03-31;315,368721
1956-04-30;321,815542
1956-05-31;326,512878
1956-06-30;328,562087
1956-07-31;329,330719
1956-08-31;330,434329
1956-09-30;332,388089
1956-10-31;336,400187
1956-11-30;340,330241
1956-12-31;343,372215
1957-01-31;348,25872
1957-02-28;353,715295
1957-03-31;358,118848
1957-04-30;361,324513
1957-05-31;364,319279
1957-06-30;367,177247
1957-07-31;369,547876
1957-08-31;373,126636
1957-09-30;377,064908
1957-10-31;379,031214
1957-11-30;379,500062
1957-12-31;379,046312
1958-01-31;377,651244
1958-02-28;375,032852
1958-03-31;370,159385
1958-04-30;366,80703
1958-05-31;371,270436
1958-06-30;380,221748
1958-07-31;387,141878
1958-08-31;389,041157
1958-09-30;387,577496
1958-10-31;387,036465
1958-11-30;385,838962
1958-12-31;387,994365
1959-01-31;396,748963
1959-02-28;406,711094
1959-03-31;414,308382
1959-04-30;418,446077
1959-05-31;419,937508
1959-06-30;422,513222
1959-07-31;428,327276
1959-08-31;434,144566
1959-09-30;437,44921
1959-10-31;441,381925
1959-11-30;449,950044
1959-12-31;457,142628
1960-01-31;456,289585
1960-02-29;452,090694
1960-03-31;454,906277
1960-04-30;466,32174
1960-05-31;474,159809
1960-06-30;475,710409
1960-07-31;477,371073
1960-08-31;479,648154
1960-09-30;483,056901
1960-10-31;487,35879
1960-11-30;488,867971
1960-12-31;488,772668
