;x
1949-01-31;110,672313
1949-02-28;119,212137
1949-03-31;134,513381
1949-04-30;127,157005
1949-05-31;120,819766
1949-06-30;135,807354
1949-07-31;146,245556
1949-08-31;149,329632
1949-09-30;136,813334
1949-10-31;117,589332
1949-11-30;104,621962
1949-12-31;117,824235
1950-01-31;114,828703
1950-02-28;127,294316
1950-03-31;143,684748
1950-04-30;131,689968
1950-05-31;126,123
1950-06-30;149,89108
1950-07-31;167,98476
1950-08-31;171,52728
1950-09-30;157,295011
1950-10-31;132,801892
1950-11-30;114,681766
1950-12-31;138,340391
1951-01-31;146,30268
1951-02-28;151,540852
1951-03-31;175,980822
1951-04-30;163,890109
1951-05-31;173,545248
1951-06-30;177,205772
1951-07-31;198,703582
1951-08-31;200,787816
1951-09-30;181,277551
1951-10-31;163,455408
1951-11-30;146,873138
1951-12-31;164,032177
1952-01-31;172,536264
1952-02-29;175,086179
1952-03-31;192,61298
1952-04-30;180,285506
1952-05-31;182,727415
1952-06-30;217,027293
1952-07-31;232,066319
1952-08-31;239,131247
1952-09-30;210,249903
1952-10-31;192,715944
1952-11-30;169,455102
1952-12-31;195,742896
1953-01-31;195,708051
1953-02-28;198,01338
1953-03-31;237,21172
1953-04-30;234,847457
1953-05-31;226,285353
1953-06-30;244,453237
1953-07-31;266,371775
1953-08-31;268,775616
1953-09-30;238,417355
1953-10-31;210,685708
1953-11-30;179,196848
1953-12-31;202,805784
1954-01-31;201,581712
1954-02-28;189,931202
1954-03-31;239,47458
1954-04-30;226,103922
1954-05-31;231,226082
1954-06-30;265,578825
1954-07-31;301,55016
1954-08-31;292,563566
1954-09-30;260,548923
1954-10-31;226,285353
1954-11-30;204,214021
1954-12-31;231,057335
1955-01-31;239,131247
1955-02-28;235,393457
1955-03-31;272,083885
1955-04-30;265,156856
1955-05-31;269,597825
1955-06-30;316,883826
1955-07-31;359,685016
1955-08-31;350,117447
1955-09-30;313,865885
1955-10-31;270,751907
1955-11-30;238,417355
1955-12-31;277,585909
1956-01-31;283,576972
1956-02-29;269,438176
1956-03-31;314,441864
1956-04-30;313,67053
1956-05-31;320,856911
1956-06-30;372,331228
1956-07-31;412,384821
1956-08-31;408,638519
1956-09-30;349,747449
1956-10-31;308,749103
1956-11-30;272,620688
1956-12-31;302,372568
1957-01-31;317,829959
1957-02-28;304,091977
1957-03-31;355,286119
1957-04-30;346,626277
1957-05-31;358,189319
1957-06-30;415,756123
1957-07-31;469,177559
1957-08-31;466,304386
1957-09-30;402,19737
1957-10-31;350,117447
1957-11-30;303,639103
1957-12-31;335,499516
1958-01-31;343,054559
1958-02-28;321,266607
1958-03-31;361,274087
1958-04-30;346,626277
1958-05-31;362,459298
1958-06-30;433,059049
1958-07-31;495,411143
1958-08-31;499,013552
1958-09-30;406,416081
1958-10-31;362,225255
1958-11-30;305,413265
1958-12-31;340,027607
1959-01-31;359,463767
1959-02-28;345,513143
1959-03-31;401,39446
1959-04-30;402,338863
1959-05-31;415,021172
1959-06-30;474,822749
1959-07-31;552,923231
1959-08-31;552,373417
1959-09-30;465,768925
1959-10-31;406,393759
1959-11-30;360,384772
1959-12-31;408,638519
1960-01-31;412,056735
1960-02-29;380,326089
1960-03-31;426,978081
1960-04-30;454,413794
1960-05-31;471,296939
1960-06-30;538,199514
1960-07-31;614,626593
1960-08-31;611,444303
1960-09-30;511,038043
1960-10-31;455,535143
1960-11-30;392,332356
1960-12-31;431,35652
