;Europe * France;Europe * France
1990-01-01;1,011074;1,015159
1990-02-01;0,997613;0,977306
1990-03-01;1,022516;1,022242
1990-04-01;0,99844;0,998023
1990-05-01;0,988267;0,99289
1990-06-01;0,987892;0,991414
1990-07-01;0,849496;0,844275
1990-08-01;1,002183;0,995394
1990-09-01;1,009104;1,001599
1990-10-01;1,000045;1,007877
1990-11-01;1,003386;1,001136
1990-12-01;1,00432;0,99898
1991-01-01;0,999085;1,006818
1991-02-01;0,990602;0,981457
1991-03-01;0,994525;0,998346
1991-04-01;0,997378;1,003579
1991-05-01;1,006018;1,004987
1991-06-01;1,013685;1,005866
1991-07-01;0,98676;0,990263
1991-08-01;0,998573;0,997905
1991-09-01;1,003475;1,000979
1991-10-01;1,007829;1,009391
1991-11-01;0,996484;0,997131
1991-12-01;0,999348;0,995125
1992-01-01;0,988481;0,992791
1992-02-01;1,004815;1,015287
1992-03-01;1,004506;0,996847
1992-04-01;1,00324;1,00319
1992-05-01;0,999552;1,00106
1992-06-01;0,98678;0,995483
1992-07-01;1,013396;1,008804
1992-08-01;1,00719;0,998824
1992-09-01;0,99532;1,001561
1992-10-01;0,969272;0,9893
1992-11-01;0,989722;0,997502
1992-12-01;0,997129;0,995064
1993-01-01;1,003796;1,005903
1993-02-01;1,019604;1,003022
1993-03-01;0,986987;0,988643
1993-04-01;1,022405;1,016872
1993-05-01;1,00719;0,999667
1993-06-01;0,995989;0,997126
1993-07-01;0,998922;0,999665
1993-08-01;0,983998;0,985004
1993-09-01;0,981447;0,988772
1993-10-01;1,000248;1,001271
1993-11-01;1,010195;1,006197
1993-12-01;1,03117;1,014357
1994-01-01;1,011765;1,012169
1994-02-01;0,996332;0,987357
1994-03-01;1,00228;1,006997
1994-04-01;0,986657;0,992872
1994-05-01;0,997303;0,993381
1994-06-01;1,022995;1,02298
1994-07-01;0,99571;0,987994
1994-08-01;0,998542;0,996554
1994-09-01;1,014765;1,013044
1994-10-01;0,991664;0,991974
1994-11-01;1,00695;1,006203
1994-12-01;0,994953;0,994924
1995-01-01;0,990985;1,001272
1995-02-01;0,992333;0,984952
1995-03-01;1,014381;1,016165
1995-04-01;0,995684;0,988481
1995-05-01;0,998659;0,997988
1995-06-01;1,011568;1,017477
1995-07-01;0,98629;0,987494
1995-08-01;1,006282;1,003095
1995-09-01;0,992209;0,994957
1995-10-01;1,013748;1,011586
1995-11-01;1,10046;1,100502
1995-12-01;0,991392;0,989496
1996-01-01;1,008038;1,019689
1996-02-01;0,962704;0,992515
1996-03-01;0,98855;0,992022
1996-04-01;1,003535;1,006083
1996-05-01;1,000573;0,997941
1996-06-01;1,002905;1,001128
1996-07-01;1,001124;1,00589
