;Europe * France;Europe * France
1990-01-01;1,012877;1,004783
1990-02-01;0,903661;0,918801
1990-03-01;1,029917;1,021022
1990-04-01;0,992349;0,985539
1990-05-01;1,025685;1,021095
1990-06-01;0,983245;0,98257
1990-07-01;1,006992;1,015765
1990-08-01;1,003603;1,012498
1990-09-01;0,985653;0,992679
1990-10-01;1,043986;1,033308
1990-11-01;0,991346;0,99169
1990-12-01;1,015777;1,020113
1991-01-01;1,010135;1,004651
1991-02-01;0,904774;0,918909
1991-03-01;1,022874;1,020904
1991-04-01;0,997576;0,985569
1991-05-01;1,027812;1,021218
1991-06-01;0,976088;0,982715
1991-07-01;1,012055;1,015872
1991-08-01;1,004239;1,012556
1991-09-01;0,989237;0,992629
1991-10-01;1,038216;1,033155
1991-11-01;0,993622;0,991586
1991-12-01;1,014938;1,020032
1992-01-01;1,013345;1,004505
1992-02-01;0,939142;0,919134
1992-03-01;1,023133;1,020801
1992-04-01;0,990322;0,985583
1992-05-01;1,022787;1,021317
1992-06-01;0,989028;0,982863
1992-07-01;1,008966;1,016024
1992-08-01;0,999699;1,012655
1992-09-01;0,989259;0,992568
1992-10-01;1,04135;1,032962
1992-11-01;0,990062;0,991494
1992-12-01;1,015591;1,019989
1993-01-01;1,010108;1,004342
1993-02-01;0,907849;0,919283
1993-03-01;1,027592;1,020654
1993-04-01;0,990096;0,985486
1993-05-01;1,022979;1,021347
1993-06-01;0,986742;0,982986
1993-07-01;1,011568;1,016151
1993-08-01;1,000931;1,01281
1993-09-01;0,988637;0,992582
1993-10-01;1,032783;1,032872
1993-11-01;0,99701;0,991472
1993-12-01;1,017823;1,01997
1994-01-01;1,012831;1,004131
1994-02-01;0,909964;0,919384
1994-03-01;1,021407;1,020492
1994-04-01;0,988436;0,985295
1994-05-01;1,01949;1,021378
1994-06-01;0,988474;0,983151
1994-07-01;1,007433;1,016419
1994-08-01;1,007349;1,013193
1994-09-01;0,99073;0,992744
1994-10-01;1,033929;1,032843
1994-11-01;0,992352;0,991344
1994-12-01;1,021472;1,019769
1995-01-01;1,013296;1,003735
1995-02-01;0,911996;0,919466
1995-03-01;1,022633;1,020256
1995-04-01;0,976315;0,985093
