;Europe * France;Europe * France
1990-01-01;390,859539;394,008174
1990-02-01;380,444635;374,175619
1990-03-01;383,975658;387,321043
1990-04-01;368,954666;371,504395
1990-05-01;359,956031;361,574048
1990-06-01;356,23933;356,484012
1990-07-01;305,12209;302,486817
1990-08-01;360,269429;357,104169
1990-09-01;363,385357;360,81341
1990-10-01;359,930572;363,650243
1990-11-01;359,373024;359,2482
1990-12-01;356,775736;355,259522
1991-01-01;352,086916;354,008802
1991-02-01;347,292969;341,950804
1991-03-01;348,17262;348,844258
1991-04-01;349,839023;354,100896
1991-05-01;354,326814;356,61467
1991-06-01;358,726482;356,307187
1991-07-01;350,540554;349,223622
1991-08-01;355,326935;352,408391
1991-09-01;356,90004;355,680266
1991-10-01;357,844154;359,597134
1991-11-01;353,136107;353,861461
1991-12-01;353,684251;351,917913
1992-01-01;349,379792;352,454565
1992-02-01;354,646687;362,366547
1992-03-01;354,158789;354,967773
1992-04-01;353,053928;354,751609
1992-05-01;350,435076;350,939433
1992-06-01;343,671265;345,82679
1992-07-01;349,569517;347,141325
1992-08-01;343,297206;338,904959
1992-09-01;335,159655;334,042191
1992-10-01;322,748365;325,369451
1992-11-01;326,689569;326,217839
1992-12-01;327,492103;326,080091
1993-01-01;329,181623;331,071409
1993-02-01;334,4598;330,299877
1993-03-01;323,440955;325,639568
1993-04-01;333,80408;335,365648
1993-05-01;326,865305;327,387416
1993-06-01;321,401391;322,629498
1993-07-01;321,749117;320,297852
1993-08-01;318,423837;314,689292
1993-09-01;321,221175;319,944549
1993-10-01;332,662976;332,634378
1993-11-01;341,573712;343,481791
1993-12-01;352,793193;352,050686
1994-01-01;347,866748;350,880944
1994-02-01;342,047915;338,543629
1994-03-01;341,981703;342,288286
1994-04-01;334,206436;335,271755
1994-05-01;335,578918;334,958686
1994-06-01;342,249283;344,102433
1994-07-01;331,096397;328,169371
1994-08-01;329,326124;327,426535
1994-09-01;330,615642;329,945105
1994-10-01;318,162247;318,496772
1994-11-01;317,755075;318,078059
1994-12-01;309,194379;309,710654
1995-01-01;304,307042;307,20567
1995-02-01;302,265784;299,809932
1995-03-01;307,620063;308,336607
1995-04-01;301,039343;298,356854
1995-05-01;300,939651;300,637817
1995-06-01;303,63433;305,675661
1995-07-01;294,399731;293,601036
1995-08-01;298,295609;295,6493
1995-09-01;291,788263;291,925827
1995-10-01;295,206694;294,928065
1995-11-01;316,512916;316,643374
1995-12-01;281,094628;280,851038
1996-01-01;281,401849;285,652358
1996-02-01;264,466927;272,234544
1996-03-01;267,499447;266,741607
1996-04-01;267,695331;266,913908
1996-05-01;262,949902;260,989282
1996-06-01;258,884527;257,771721
1996-07-01;252,926528;254,378748
1996-08-01;249,117314;248,080957
1996-09-01;239,336242;238,535005
1996-10-01;229,241047;229,716503
1996-11-01;227,393949;227,989552
1996-12-01;223,098314;223,978964
1997-01-01;217,738401;220,672656
1997-02-01;223,221043;222,464629
1997-03-01;215,02128;214,433781
1997-04-01;214,920718;212,504308
1997-05-01;210,496091;208,759117
1997-06-01;205,7242;204,556789
1997-07-01;213,012887;214,106846
1997-08-01;207,936556;206,225332
1997-09-01;211,089169;212,068342
1997-10-01;213,392728;214,27556
1997-11-01;211,591266;209,664157
1997-12-01;214,617787;217,374524
1998-01-01;211,159185;214,399753
1998-02-01;211,483946;211,474749
1998-03-01;210,383783;209,313102
1998-04-01;207,393372;204,709844
1998-05-01;205,097017;202,257884
1998-06-01;200,756342;199,894579
1998-07-01;204,532784;206,240758
1998-08-01;200,130013;198,944452
1998-09-01;200,974913;201,114275
1998-10-01;198,545852;199,813454
1998-11-01;208,576772;206,723391
1998-12-01;197,968222;199,867003
1999-01-01;195,899159;198,078852
1999-02-01;194,170526;194,564131
1999-03-01;190,675074;190,693863
1999-04-01;185,105792;183,352248
1999-05-01;165,601662;164,103606
1999-06-01;185,000472;182,659274
1999-07-01;186,387899;187,716906
1999-08-01;187,343809;186,060804
1999-09-01;184,8499;185,298892
1999-10-01;187,575462;187,475181
1999-11-01;185,084455;184,225452
1999-12-01;165,34409;167,008738
2000-01-01;170,71755;173,12896
2000-02-01;172,70628;179,325461
2000-03-01;173,347501;173,398304
2000-04-01;155,953732;153,649139
2000-05-01;163,558147;163,673299
2000-06-01;173,241302;171,517591
2000-07-01;169,407344;169,00225
2000-08-01;177,300076;176,114541
2000-09-01;171,267099;172,09261
2000-10-01;168,35107;168,47376
2000-11-01;165,779715;163,952615
2000-12-01;171,737101;172,160359
2001-01-01;168,183796;171,521932
2001-02-01;168,206108;168,607448
2001-03-01;166,272624;166,852874
2001-04-01;165,3578;164,243825
2001-05-01;166,989826;167,310074
2001-06-01;165,414775;164,221971
2001-07-01;165,093691;163,688023
2001-08-01;166,250799;165,269906
2001-09-01;167,121382;165,90662
2001-10-01;164,84198;165,421115
2001-11-01;162,599645;161,437923
2001-12-01;160,696601;161,460415
2002-01-01;164,139572;166,663712
2002-02-01;161,822977;162,136119
2002-03-01;167,91261;167,920018
2002-04-01;165,353268;165,642661
2002-05-01;157,444727;158,622632
2002-06-01;155,749671;153,492577
2002-07-01;153,847767;152,797544
2002-08-01;154,281735;153,380654
2002-09-01;155,289477;154,106064
2002-10-01;155,437445;155,092644
2002-11-01;153,7063;153,023646
2002-12-01;148,31632;149,208155
2003-01-01;144,390118;147,068494
2003-02-01;149,263943;149,657832
2003-03-01;151,044666;151,537241
2003-04-01;151,30137;150,825358
2003-05-01;151,300721;152,512332
2003-06-01;148,932333;147,294545
2003-07-01;145,673102;143,665738
2003-08-01;138,412518;136,564198
2003-09-01;138,853515;138,457674
2003-10-01;139,32689;139,455316
2003-11-01;139,859658;138,747983
2003-12-01;144,650642;146,634604
2004-01-01;140,780285;143,627569
2004-02-01;142,712871;147,202294
2004-03-01;140,113756;141,192916
2004-04-01;140,909991;140,336616
2004-05-01;145,163974;145,366797
2004-06-01;137,80074;136,509441
2004-07-01;136,32418;134,964564
2004-08-01;133,40123;131,810149
2004-09-01;131,030461;129,90802
2004-10-01;126,783661;126,533426
2004-11-01;131,014835;131,740221
2004-12-01;131,44555;133,294247
2005-01-01;134,573499;136,787203
2005-02-01;126,765522;126,938348
2005-03-01;128,80802;128,809861
2005-04-01;123,5642;122,715486
2005-05-01;125,877152;125,540375
2005-06-01;125,891856;124,923231
2005-07-01;128,964271;127,049066
2005-08-01;131,990902;131,427943
2005-09-01;131,694959;131,08893
2005-10-01;131,759381;131,875851
2005-11-01;130,18808;130,48619
2005-12-01;128,565621;130,814622
2006-01-01;129,640274;131,585815
2006-02-01;129,738292;129,416692
2006-03-01;124,26445;124,352555
2006-04-01;125,169132;122,937172
2006-05-01;124,106425;124,193007
2006-06-01;125,73207;125,377703
2006-07-01;124,582173;123,179291
2006-08-01;125,002944;124,419865
2006-09-01;128,546839;128,261355
2006-10-01;128,387082;128,430353
2006-11-01;128,359506;128,510488
2006-12-01;124,24418;125,506049
2007-01-01;111,054465;113,250925
2007-02-01;105,020106;104,34291
2007-03-01;115,958463;116,211078
2007-04-01;117,110712;115,680799
2007-05-01;119,779607;119,085844
2007-06-01;119,571109;119,604773
2007-07-01;119,999604;118,635657
2007-08-01;117,625492;117,606561
2007-09-01;117,783088;116,785789
2007-10-01;117,67194;118,414577
2007-11-01;117,681247;118,064271
2007-12-01;120,175255;121,1437
2008-01-01;120,252691;121,835236
2008-02-01;119,643665;122,717334
2008-03-01;119,253572;119,272587
2008-04-01;119,57772;118,824116
2008-05-01;115,119784;115,042169
2008-06-01;118,169201;117,858081
2008-07-01;121,595644;120,370288
2008-08-01;117,124957;116,630154
2008-09-01;112,324524;112,667422
2008-10-01;111,476502;111,722653
2008-11-01;109,28583;108,622981
2008-12-01;110,528574;111,538311
2009-01-01;104,434813;105,965834
2009-02-01;119,239693;117,292041
2009-03-01;109,91969;110,115966
2009-04-01;109,621999;109,690725
2009-05-01;108,912891;108,375176
2009-06-01;111,857626;112,388808
2009-07-01;107,184081;106,309579
2009-08-01;107,099594;106,949837
2009-09-01;105,755361;105,717706
2009-10-01;106,354876;106,381431
2009-11-01;106,664612;106,32388
2009-12-01;105,122315;105,253347
2010-01-01;103,933696;104,493901
2010-02-01;99,867252;97,924106
2010-03-01;102,780157;103,815425
2010-04-01;103,771272;104,635135
2010-05-01;98,542361;98,408274
2010-06-01;111,807644;111,722681
2010-07-01;111,553709;110,974644
2010-08-01;109,265425;109,183886
2010-09-01;111,106602;111,439187
2010-10-01;112,030938;110,921898
2010-11-01;110,87578;111,182116
2010-12-01;110,911024;110,935835
2011-01-01;112,446303;112,923761
2011-02-01;111,547906;109,20494
2011-03-01;110,0264;110,735875
2011-04-01;109,83647;111,170356
2011-05-01;110,130058;109,992525
2011-06-01;108,086637;107,88663
2011-07-01;105,96555;105,18231
2011-08-01;106,695912;107,243091
2011-09-01;106,981082;108,027097
2011-10-01;104,02728;102,988911
2011-11-01;103,620008;103,302622
2011-12-01;100,843434;100,613749
2012-01-01;95,604088;95,566945
2012-02-01;98,514449;99,852885
2012-03-01;99,543486;100,489004
2012-04-01;100,554584;101,286599
2012-05-01;98,483875;98,802939
2012-06-01;96,980387;97,229798
2012-07-01;94,820652;94,829429
2012-08-01;96,34458;96,467677
2012-09-01;94,458432;94,792149
2012-10-01;94,159596;93,358812
2012-11-01;95,392072;95,306569
2012-12-01;94,780555;93,951041
2013-01-01;89,498773;89,228503
2013-02-01;95,959052;94,143979
2013-03-01;94,477613;94,68134
2013-04-01;90,980712;92,359478
2013-05-01;91,690687;92,456186
2013-06-01;95,104628;94,599123
2013-07-01;97,674116;98,805242
2013-08-01;103,242255;103,389952
2013-09-01;96,699424;97,032689
2013-10-01;93,492529;92,133319
2013-11-01;92,557867;92,40097
2013-12-01;94,269231;93,362315
2014-01-01;92,85821;92,543143
2014-02-01;90,990839;89,582017
2014-03-01;91,051762;91,322947
2014-04-01;90,795884;91,730538
2014-05-01;91,089105;92,257754
2014-06-01;90,091793;90,051132
2014-07-01;92,173579;93,184659
2014-08-01;92,139545;91,419991
2014-09-01;92,440533;92,899962
2014-10-01;93,769873;92,515242
2014-11-01;91,977653;91,087635
2014-12-01;92,260556;92,083661
2015-01-01;94,067994;93,760259
2015-02-01;96,966487;95,67196
2015-03-01;98,772974;98,981002
2015-04-01;99,344296;100,499726
2015-05-01;103,453442;104,061467
2015-06-01;103,017044;103,685423
2015-07-01;102,081782;103,483174
2015-08-01;99,482591;98,595967
2015-09-01;97,544164;97,116603
2015-10-01;99,783996;98,936175
2015-11-01;103,425506;102,829016
2015-12-01;102,417569;101,921406
2016-01-01;102,345779;101,492113
2016-02-01;103,34028;106,36608
2016-03-01;100,678219;100,91027
2016-04-01;101,154134;102,51068
2016-05-01;97,352635;97,893804
2016-06-01;96,793462;97,01984
2016-07-01;97,212887;97,720651
2016-08-01;96,49066;95,975051
2016-09-01;93,152078;92,996622
2016-10-01;94,521412;93,824099
2016-11-01;92,466178;92,289671
2016-12-01;93,677507;93,564131
2017-01-01;92,411551;91,866159
2017-02-01;88,217598;87,505229
2017-03-01;89,911147;90,09017
2017-04-01;93,770165;93,879872
2017-05-01;92,146419;92,677649
2017-06-01;89,570408;90,149523
2017-07-01;88,804151;89,089695
2017-08-01;88,802339;88,330794
2017-09-01;90,57229;90,706329
2017-10-01;90,152349;90,038941
2017-11-01;92,561453;92,386826
2017-12-01;92,325282;91,433989
2018-01-01;90,819565;91,063159
2018-02-01;91,220251;90,612691
2018-03-01;94,761457;94,636357
2018-04-01;95,301834;95,072391
2018-05-01;91,826358;91,590547
2018-06-01;93,829377;94,678622
2018-07-01;92,691761;92,594257
2018-08-01;91,597425;91,935506
2018-09-01;92,246626;92,111218
2018-10-01;92,531258;93,399312
2018-11-01;91,738922;91,85458
2018-12-01;92,518051;91,561714
2019-01-01;93,675388;93,634323
2019-02-01;94,050504;93,293542
2019-03-01;92,542169;91,440827
2019-04-01;90,432241;90,248968
2019-05-01;70,858438;70,557146
2019-06-01;74,35999;74,518484
2019-07-01;80,944509;81,282299
2019-08-01;87,365931;88,464632
2019-09-01;88,780637;89,457513
2019-10-01;91,216055;92,039675
2019-11-01;89,91627;89,868748
2019-12-01;88,127237;86,808356
2020-01-01;87,934591;88,254618
2020-02-01;89,67489;92,081613
2020-03-01;86,01622;84,754063
2020-04-01;57,214993;56,478373
2020-05-01;48,820102;48,368329
2020-06-01;73,672284;74,657342
2020-07-01;79,393189;79,555332
2020-08-01;81,45199;82,605198
2020-09-01;82,145608;83,211569
2020-10-01;81,899552;83,111296
2020-11-01;81,540905;81,025301
2020-12-01;81,736178;80,352845
2021-01-01;84,011609;83,888441
2021-02-01;81,626919;80,81682
2021-03-01;81,132066;80,121539
2021-04-01;81,443265;80,38624
2021-05-01;80,538982;79,921668
2021-06-01;79,149748;79,86065
2021-07-01;76,882802;77,324704
2021-08-01;76,970967;78,323236
2021-09-01;76,248483;77,34565
