;Europe * France;Europe * France
1990-01-01;386,578455;388,124684
1990-02-01;381,354741;382,864336
1990-03-01;375,520436;378,893864
1990-04-01;369,530985;372,240312
1990-05-01;364,229633;364,16325
1990-06-01;360,605676;359,571252
1990-07-01;359,179981;358,279951
1990-08-01;359,484628;358,756738
1990-09-01;360,107095;360,237226
1990-10-01;359,914411;360,808178
1990-11-01;358,160316;358,840473
1990-12-01;355,241241;355,622204
1991-01-01;352,409432;351,611544
1991-02-01;350,587925;348,411226
1991-03-01;350,089327;349,422145
1991-04-01;350,758793;352,837966
1991-05-01;352,20713;354,844998
1991-06-01;353,883633;354,229209
1991-07-01;355,243853;352,657499
1991-08-01;355,83478;353,148111
1991-09-01;355,663932;355,332558
1991-10-01;355,064382;356,251605
1991-11-01;354,381982;354,879475
1991-12-01;353,914969;353,641844
1992-01-01;353,45121;355,013763
1992-02-01;352,947073;356,910539
1992-03-01;352,570241;356,090512
1992-04-01;351,913644;353,623642
1992-05-01;350,592019;350,567986
1992-06-01;348,275521;347,395886
1992-07-01;344,948579;344,111691
1992-08-01;340,846646;339,304022
1992-09-01;336,735503;333,521575
1992-10-01;332,980341;328,888559
1992-11-01;330,082027;327,034676
1992-12-01;328,435106;327,697462
1993-01-01;327,936736;329,128597
1993-02-01;328,029204;329,304838
1993-03-01;327,705548;329,380503
1993-04-01;326,489135;329,801354
1993-05-01;324,531892;327,496607
1993-06-01;322,695639;323,55926
1993-07-01;322,096243;320,405216
1993-08-01;323,60201;319,480364
1993-09-01;327,2936;323,577627
1993-10-01;332,580489;332,212082
1993-11-01;338,126525;341,366195
1993-12-01;342,129097;347,067903
1994-01-01;343,821751;346,662424
1994-02-01;343,30712;342,878728
1994-03-01;341,203847;339,909979
1994-04-01;338,725892;337,678872
1994-05-01;336,486492;337,190652
1994-06-01;334,556038;336,372497
1994-07-01;332,522968;332,157223
1994-08-01;329,806883;328,558591
1994-09-01;325,805043;325,696581
1994-10-01;320,836794;321,073606
1994-11-01;315,561912;316,117185
1994-12-01;310,762704;311,290827
1995-01-01;307,075259;306,815462
1995-02-01;304,601192;304,390449
1995-03-01;303,25888;303,431529
1995-04-01;302,344287;301,833691
1995-05-01;301,343648;301,24382
1995-06-01;300,16196;300,425031
1995-07-01;298,492002;297,319327
1995-08-01;296,433539;294,737188
1995-09-01;294,079308;293,405349
1995-10-01;291,203336;291,550253
1995-11-01;287,618607;287,726206
1995-12-01;283,535303;283,832351
1996-01-01;279,158069;280,13682
1996-02-01;274,712584;274,287673
1996-03-01;270,597845;268,886829
1996-04-01;266,752288;265,30011
1996-05-01;262,799412;261,527791
1996-06-01;258,134614;257,481161
1996-07-01;252,642523;252,889347
1996-08-01;246,339422;246,589793
1996-09-01;239,514458;238,963608
1996-10-01;232,856575;232,316537
1996-11-01;227,098864;227,853015
1996-12-01;222,522001;224,490159
1997-01-01;219,093147;221,972107
1997-02-01;216,658549;219,51256
1997-03-01;214,837598;215,920136
1997-04-01;213,269368;212,336069
1997-05-01;212,015536;209,47816
1997-06-01;211,140739;208,666315
1997-07-01;210,711081;209,533795
1997-08-01;210,785807;209,958301
1997-09-01;211,290638;211,149351
1997-10-01;211,969306;212,336499
1997-11-01;212,53045;212,944624
1997-12-01;212,721297;214,061898
1998-01-01;212,277275;213,65353
1998-02-01;211,119313;211,414355
1998-03-01;209,363557;208,580186
1998-04-01;207,416626;205,490285
1998-05-01;205,470153;203,025717
1998-06-01;203,699808;202,36194
1998-07-01;202,268714;202,403689
1998-08-01;201,145881;201,45246
1998-09-01;200,310167;200,862749
1998-10-01;199,579365;201,734854
1998-11-01;198,657804;202,304537
1998-12-01;197,28582;200,561829
1999-01-01;195,319074;197,499044
1999-02-01;192,846508;194,118505
1999-03-01;190,197724;189,959189
1999-04-01;187,873562;186,274555
1999-05-01;186,272488;184,565546
1999-06-01;185,624229;184,740841
1999-07-01;185,688216;185,745958
1999-08-01;186,015448;186,043003
1999-09-01;186,160015;185,729991
1999-10-01;185,774713;184,660109
1999-11-01;184,83298;180,12166
1999-12-01;183,59432;174,660864
2000-01-01;182,403175;174,009038
2000-02-01;181,501919;175,551853
2000-03-01;180,940241;175,34375
2000-04-01;180,663976;175,813578
2000-05-01;180,413885;178,041927
2000-06-01;179,712674;179,290905
2000-07-01;178,490215;178,944048
2000-08-01;176,851472;178,058462
2000-09-01;175,031854;175,451231
2000-10-01;173,337322;171,661367
2000-11-01;171,884716;169,972436
2000-12-01;170,643398;170,890856
2001-01-01;169,534083;171,07474
2001-02-01;168,474186;169,389378
2001-03-01;167,467217;167,409934
2001-04-01;166,628882;166,265922
2001-05-01;166,149934;165,852724
2001-06-01;166,091042;165,124018
2001-07-01;166,092525;164,670323
2001-08-01;165,850023;165,043592
2001-09-01;165,30191;165,245756
2001-10-01;164,496777;164,384063
2001-11-01;163,726677;163,048704
2001-12-01;163,157452;163,127765
2002-01-01;162,744712;164,076871
2002-02-01;162,293496;164,643534
2002-03-01;161,483408;165,041866
2002-04-01;160,11794;163,368022
2002-05-01;158,360004;159,187295
2002-06-01;156,736499;155,434028
2002-07-01;155,553749;153,760848
2002-08-01;154,802106;153,624938
2002-09-01;154,148399;153,965989
2002-10-01;153,364471;153,78589
2002-11-01;152,326901;152,281967
2002-12-01;151,244104;150,073748
2003-01-01;150,520364;148,97573
2003-02-01;150,342765;149,622931
2003-03-01;150,552589;150,612891
2003-04-01;150,568532;150,916964
2003-05-01;149,779999;149,97608
2003-06-01;147,89484;147,124323
2003-07-01;145,342228;143,044196
2003-08-01;142,85399;139,760149
2003-09-01;141,065889;138,860533
2003-10-01;140,293374;139,46747
2003-11-01;140,410623;141,122927
2003-12-01;141,006264;143,422305
2004-01-01;141,556033;144,629193
2004-02-01;141,708297;144,287211
2004-03-01;141,333483;142,731175
2004-04-01;140,465348;141,828312
2004-05-01;139,156357;140,990538
2004-06-01;137,459804;138,101469
2004-07-01;135,581794;134,831422
2004-08-01;133,769929;132,278346
2004-09-01;132,241563;130,148565
2004-10-01;131,113749;129,52208
2004-11-01;130,333795;130,972884
2004-12-01;129,654693;132,835578
2005-01-01;128,835095;132,44901
2005-02-01;127,787619;129,801839
2005-03-01;126,759555;127,175164
2005-04-01;126,187434;125,48689
2005-05-01;126,414536;125,159837
2005-06-01;127,443379;125,988552
2005-07-01;128,851544;127,735146
2005-08-01;130,126314;129,837777
2005-09-01;131,011087;130,981475
2005-10-01;131,280705;131,170111
2005-11-01;130,867704;130,948761
2005-12-01;129,95767;130,787025
2006-01-01;128,781862;130,270691
2006-02-01;127,58599;128,355913
2006-03-01;126,423302;125,713961
2006-04-01;125,424572;124,230628
2006-05-01;124,822125;124,253053
2006-06-01;124,854431;124,448823
2006-07-01;125,504783;124,430193
2006-08-01;126,431032;125,347078
2006-09-01;127,120257;126,959753
2006-10-01;127,237158;127,664485
2006-11-01;126,708977;126,562445
2006-12-01;125,641886;122,689778
2007-01-01;124,356512;118,078253
2007-02-01;123,243757;116,261046
2007-03-01;122,556911;116,319674
2007-04-01;122,210015;116,91816
