;Europe * France;Europe * France
1990-01-01;395,892609;395,892609
1990-02-01;343,792821;343,792821
1990-03-01;395,463148;395,463148
1990-04-01;366,131971;366,131971
1990-05-01;369,201396;369,201396
1990-06-01;350,270643;350,270643
1990-07-01;307,255605;307,255605
1990-08-01;361,567333;361,567333
1990-09-01;358,171862;358,171862
1990-10-01;375,762525;375,762525
1990-11-01;356,262988;356,262988
1990-12-01;362,40471;362,40471
1991-01-01;355,655422;355,655422
1991-02-01;314,221778;314,221778
1991-03-01;356,136591;356,136591
1991-04-01;348,990878;348,990878
1991-05-01;364,181443;364,181443
1991-06-01;350,148555;350,148555
1991-07-01;354,766338;354,766338
1991-08-01;356,833208;356,833208
1991-09-01;353,058548;353,058548
1991-10-01;371,519623;371,519623
1991-11-01;350,883953;350,883953
1991-12-01;358,967586;358,967586
1992-01-01;354,04243;354,04243
1992-02-01;333,063479;333,063479
1992-03-01;362,351566;362,351566
1992-04-01;349,637224;349,637224
1992-05-01;358,420347;358,420347
1992-06-01;339,900382;339,900382
1992-07-01;352,703776;352,703776
1992-08-01;343,193874;343,193874
1992-09-01;331,559647;331,559647
1992-10-01;336,094123;336,094123
1992-11-01;323,442979;323,442979
1992-12-01;332,59811;332,59811
1993-01-01;332,509058;332,509058
1993-02-01;303,638941;303,638941
1993-03-01;332,365425;332,365425
1993-04-01;330,498204;330,498204
1993-05-01;334,376279;334,376279
1993-06-01;317,140389;317,140389
1993-07-01;325,471069;325,471069
1993-08-01;318,720345;318,720345
1993-09-01;317,571286;317,571286
1993-10-01;343,568754;343,568754
1993-11-01;340,552473;340,552473
1993-12-01;359,081056;359,081056
1994-01-01;352,330332;352,330332
1994-02-01;311,251459;311,251459
1994-03-01;349,30256;349,30256
1994-04-01;330,341644;330,341644
1994-05-01;342,119503;342,119503
1994-06-01;338,304626;338,304626
1994-07-01;333,557574;333,557574
1994-08-01;331,74637;331,74637
1994-09-01;327,550866;327,550866
1994-10-01;328,957028;328,957028
1994-11-01;315,324875;315,324875
1994-12-01;315,833334;315,833334
1995-01-01;308,352957;308,352957
1995-02-01;275,66509;275,66509
1995-03-01;314,582295;314,582295
1995-04-01;293,909281;293,909281
1995-05-01;307,070319;307,070319
1995-06-01;300,533608;300,533608
1995-07-01;298,515572;298,515572
1995-08-01;299,676122;299,676122
1995-09-01;289,851665;289,851665
1995-10-01;304,611332;304,611332
1995-11-01;313,862697;313,862697
1995-12-01;286,36427;286,36427
1996-01-01;286,612754;286,612754
1996-02-01;250,372856;250,372856
1996-03-01;272,084334;272,084334
1996-04-01;262,901913;262,901913
1996-05-01;266,584649;266,584649
1996-06-01;253,412118;253,412118
1996-07-01;258,726519;258,726519
1996-08-01;251,55926;251,55926
1996-09-01;236,868536;236,868536
1996-10-01;237,244853;237,244853
1996-11-01;225,949599;225,949599
1996-12-01;228,349697;228,349697
1997-01-01;221,314581;221,314581
1997-02-01;204,656092;204,656092
1997-03-01;218,686107;218,686107
1997-04-01;209,282493;209,282493
1997-05-01;213,241002;213,241002
1997-06-01;201,068154;201,068154
1997-07-01;217,820004;217,820004
1997-08-01;209,190568;209,190568
1997-09-01;210,613965;210,613965
1997-10-01;221,294472;221,294472
1997-11-01;207,767171;207,767171
