;Europe * France;Europe * France
1990-01-01;394,5231;395,892609
1990-02-01;346,862399;343,792821
1990-03-01;394,352946;395,463148
1990-04-01;366,871698;366,131971
1990-05-01;369,545942;369,201396
1990-06-01;349,238473;350,270643
1990-07-01;307,877795;307,255605
1990-08-01;361,081336;361,567333
1990-09-01;360,18278;358,171862
1990-10-01;374,462652;375,762525
1990-11-01;355,503747;356,262988
1990-12-01;362,89082;362,40471
1991-01-01;355,987327;355,655422
1991-02-01;317,027329;314,221778
1991-03-01;357,32288;356,136591
1991-04-01;347,509547;348,990878
1991-05-01;363,691932;364,181443
1991-06-01;352,114427;350,148555
1991-07-01;353,539096;354,766338
1991-08-01;355,831453;356,833208
1991-09-01;353,771862;353,058548
1991-10-01;371,866332;371,519623
1991-11-01;349,849976;350,883953
1991-12-01;359,694492;358,967586
1992-01-01;353,566548;354,04243
1992-02-01;324,229899;333,063479
1992-03-01;363,085324;362,351566
1992-04-01;349,961903;349,637224
1992-05-01;359,614243;358,420347
1992-06-01;338,457637;339,900382
1992-07-01;352,229693;352,703776
1992-08-01;343,654215;343,193874
1992-09-01;331,822662;331,559647
1992-10-01;335,15059;336,094123
1992-11-01;324,096458;323,442979
1992-12-01;332,908496;332,59811
1993-01-01;333,616644;332,509058
1993-02-01;306,350003;303,638941
1993-03-01;331,215675;332,365425
1993-04-01;329,793871;330,498204
1993-05-01;334,824793;334,376279
1993-06-01;317,391965;317,140389
1993-07-01;324,557359;325,471069
1993-08-01;319,36575;318,720345
1993-09-01;317,866188;317,571286
1993-10-01;344,71318;343,568754
1993-11-01;339,10696;340,552473
1993-12-01;358,5984;359,081056
1994-01-01;352,802929;352,330332
1994-02-01;314,03049;311,251459
1994-03-01;349,628536;349,30256
1994-04-01;329,368201;330,341644
1994-05-01;342,812291;342,119503
1994-06-01;338,618781;338,304626
1994-07-01;334,668653;333,557574
1994-08-01;330,598761;331,74637
1994-09-01;326,852815;327,550866
1994-10-01;329,398273;328,957028
1994-11-01;315,575011;315,324875
1994-12-01;314,94668;315,833334
1995-01-01;308,977368;308,352957
1995-02-01;278,126386;275,66509
1995-03-01;314,159452;314,582295
1995-04-01;295,559403;293,909281
1995-05-01;306,008073;307,070319
1995-06-01;299,893133;300,533608
1995-07-01;298,915985;298,515572
1995-08-01;299,955786;299,676122
1995-09-01;288,997536;289,851665
1995-10-01;305,228167;304,611332
1995-11-01;314,154155;313,862697
1995-12-01;287,318148;286,36427
1996-01-01;285,621275;286,612754
1996-02-01;243,931803;250,372856
1996-03-01;272,990646;272,084334
1996-04-01;261,785997;262,901913
1996-05-01;266,226322;266,584649
1996-06-01;254,834873;253,412118
1996-07-01;257,831508;258,726519
1996-08-01;250,853045;251,55926
1996-09-01;237,347101;236,868536
1996-10-01;237,466254;237,244853
1996-11-01;225,283776;225,949599
1996-12-01;228,812102;228,349697
1997-01-01;221,017103;221,314581
1997-02-01;206,483379;204,656092
1997-03-01;218,979441;218,686107
1997-04-01;209,448509;209,282493
1997-05-01;212,642361;213,241002
1997-06-01;201,474389;201,068154
1997-07-01;218,023277;217,820004
1997-08-01;209,887381;209,190568
1997-09-01;209,719991;210,613965
1997-10-01;220,997021;221,294472
1997-11-01;208,933657;207,767171
1997-12-01;220,830965;221,597537
1998-01-01;214,321007;214,924374
1998-02-01;196,332093;194,594641
1998-03-01;213,868549;213,436342
1998-04-01;201,781053;201,593849
1998-05-01;207,320766;206,632474
1998-06-01;195,656563;196,490589
1998-07-01;209,573511;209,855586
1998-08-01;202,163412;201,892605
1998-09-01;199,912376;199,753918
1998-10-01;205,764495;206,343773
1998-11-01;205,230769;204,816961
1998-12-01;203,889597;203,6995
1999-01-01;199,107888;198,446863
1999-02-01;180,659552;179,060795
1999-03-01;193,749718;194,422282
1999-04-01;180,182687;180,567499
1999-05-01;167,924413;167,69947
1999-06-01;179,727512;179,585053
1999-07-01;190,493398;191,029685
1999-08-01;189,300845;188,918288
1999-09-01;184,232999;184,062076
1999-10-01;194,219648;193,574851
1999-11-01;181,6861;182,460574
1999-12-01;169,934044;170,162766
2000-01-01;173,569548;173,337043
2000-02-01;160,78307;165,050888
2000-03-01;176,533689;176,771294
2000-04-01;152,19664;151,346919
2000-05-01;166,744333;167,323153
2000-06-01;168,318134;168,677607
2000-07-01;172,224783;171,99408
2000-08-01;179,066879;178,899927
2000-09-01;170,440392;170,944127
2000-10-01;174,262302;173,910136
2000-11-01;162,463981;162,313254
2000-12-01;175,989624;175,40535
2001-01-01;171,042694;171,636435
2001-02-01;156,584847;155,199141
2001-03-01;169,620607;170,098132
2001-04-01;162,161927;161,834958
2001-05-01;171,25461;171,094941
2001-06-01;161,051599;161,527585
2001-07-01;166,919337;166,58201
2001-08-01;167,703562;167,929282
2001-09-01;165,711781;164,786605
2001-10-01;170,123764;170,714315
2001-11-01;159,434769;159,77527
