;Europe * Francé;Europe * Spain;Europe * Greecà
1990-01-31;1,015159;0,975851;0,009903
1990-02-28;0,977306;0,982858;-2,919877
1990-03-31;1,022241;0,98988;7,028381
1990-04-30;0,998023;1,004506;-7,477495
1990-05-31;0,99289;1,002573;-4,385383
1990-06-30;0,991414;0,85611;-0,625171
1990-07-31;0,844275;0,126793;-5,183464
1990-08-31;0,995394;0,736062;19,28326
1990-09-30;1,001599;1,220712;-19,759087
1990-10-31;1,007877;1,065843;9,127173
1990-11-30;1,001136;1,028745;6,60776
1990-12-31;0,99898;0,97329;-7,337884
1991-01-31;1,006818;1,008033;8,657656
1991-02-28;0,981458;0,984956;2,005309
1991-03-31;0,998346;1,008537;-9,170178
1991-04-30;1,003579;1,006074;3,842523
1991-05-31;1,004987;1,053965;3,551276
1991-06-30;1,005866;1,395853;-3,970307
1991-07-31;0,990263;1,111516;6,445167
1991-08-31;0,997905;1,048238;-12,31472
1991-09-30;1,000978;0,775657;5,168454
1991-10-31;1,009391;0,887367;10,395767
1991-11-30;0,997131;0,972644;-8,476689
1991-12-31;0,995125;1,017244;-11,725322
1992-01-31;0,992791;1,022524;14,095192
1992-02-29;1,015287;1,01874;-1,000569
1992-03-31;0,996847;0,991288;-1,147853
1992-04-30;1,00319;0,985805;10,650577
1992-05-31;1,00106;1,012502;-6,746571
1992-06-30;0,995483;0,907352;1,772913
1992-07-31;1,008804;0,949879;3,793157
1992-08-31;0,998824;0,913693;-8,028199
1992-09-30;1,001561;1,021757;1,084721
1992-10-31;0,9893;1,042839;-7,624184
1992-11-30;0,997502;0,949805;6,016718
1992-12-31;0,995064;0,982398;3,588628
1993-01-31;1,005903;1,064143;-17,628568
1993-02-28;1,003022;1,006802;11,726773
1993-03-31;0,988642;1,036813;3,205593
1993-04-30;1,016872;1,022011;5,443321
1993-05-31;0,999667;1,017174;-12,81727
1993-06-30;0,997126;0,967582;0,963808
1993-07-31;0,999665;1,090052;5,681227
1993-08-31;0,985004;1,128974;-5,105508
1993-09-30;0,988772;0,73677;13,231315
1993-10-31;1,001271;0,9302;-10,68856
1993-11-30;1,006197;1,073938;-5,493427
1993-12-31;1,014357;1,058214;7,077338
1994-01-31;1,012169;0,842868;4,583075
1994-02-28;0,987357;1,018824;-16,729745
1994-03-31;1,006997;1,014817;16,840939
1994-04-30;0,992872;1,03904;-17,427305
1994-05-31;0,993381;0,976438;14,166096
1994-06-30;1,02298;1,138284;6,477771
1994-07-31;0,987994;1,17111;-11,365299
1994-08-31;0,996555;1,18423;4,139542
1994-09-30;1,013044;0,890476;-3,096533
1994-10-31;0,991974;0,99572;0,665362
1994-11-30;1,006203;1,034772;0,228724
1994-12-31;0,994924;1,022759;-3,345915
1995-01-31;1,001272;1,100295;5,190419
1995-02-28;0,984952;1,037542;-2,391096
1995-03-31;1,016165;1,023697;-0,235062
1995-04-30;0,988481;1,031208;-3,377367
1995-05-31;0,997988;1,110666;9,738849
1995-06-30;1,017477;0,667885;4,263301
1995-07-31;0,987494;0,760495;-10,60347
1995-08-31;1,003095;1,045491;1,943313
1995-09-30;0,994957;1,203627;5,319492
1995-10-31;1,011586;1,093819;-5,2936
1995-11-30;1,100502;1,08843;9,69405
1995-12-31;0,989496;1,058643;-13,722589
1996-01-31;1,019689;1,099947;8,969899
1996-02-29;0,992515;1,074836;7,233504
1996-03-31;0,992022;1,084642;-18,122184
1996-04-30;1,006083;1,03661;3,823813
1996-05-31;0,997941;1,07861;6,901637
1996-06-30;1,001128;0,861332;-11,967251
1996-07-31;1,005889;0,587485;10,426081
1996-08-31;1,006047;0,885017;-4,645101
1996-09-30;0,998206;1,08597;-9,421448
1996-10-31;0,988808;0,991762;16,424015
1996-11-30;1,000599;0,987775;-9,607259
1996-12-31;0,997723;0,974249;6,573846
1997-01-31;0,994146;0,973861;-4,829418
1997-02-28;1,013448;0,959858;5,49435
1997-03-31;0,993116;0,983779;-8,063283
1997-04-30;1,000792;1,03502;48,908032
1997-05-31;0,996568;1,002471;-0,213501
1997-06-30;0,980306;1,079969;1,469503
1997-07-31;1,021825;1,117473;2,657678
1997-08-31;0,98222;1,027338;-12,013925
1997-09-30;1,004352;1,022474;1,528877
1997-10-31;1,009132;0,986257;10,271648
1997-11-30;0,984595;0,971792;-0,736876
1997-12-31;1,015475;0,99127;10,193753
1998-01-31;1,003493;0,962383;-10,509096
1998-02-28;1,000286;0,948719;-3,986807
1998-03-31;1,003514;0,853678;11,283366
1998-04-30;0,996202;0,989206;4,596806
1998-05-31;0,996218;0,816675;-17,936074
1998-06-30;0,987807;0,891893;3,44069
1998-07-31;1,018957;1,038785;6,130357
1998-08-31;0,98755;1,0162;-8,799962
1998-09-30;1,001252;1,006641;20,092705
1998-10-31;0,990476;1,047001;-24,165908
1998-11-30;1,021842;1,053867;3,372391
