;Europe * Francé;Europe * Spain;Europe * Greecà
1990-01-31;1,004783;1,087561;9,794294
1990-02-28;0,918801;1,01349;-1,092449
1990-03-31;1,021022;1,115005;23,250121
1990-04-30;0,985539;1,058353;0,321558
1990-05-31;1,021095;1,046808;-7,718342
1990-06-30;0,98257;0,769626;9,66861
1990-07-31;1,015765;0,929523;10,132072
1990-08-31;1,012498;0,948707;-44,942098
1990-09-30;0,992679;0,897992;24,883246
1990-10-31;1,033308;1,018816;20,066375
1990-11-30;0,99169;1,052998;-2,134311
1990-12-31;1,020113;1,091664;-42,985309
1991-01-31;1,004651;1,087058;9,719812
1991-02-28;0,918909;1,012892;-0,746855
1991-03-31;1,020904;1,113509;23,212208
1991-04-30;0,985569;1,055592;1,257599
1991-05-31;1,021218;1,045369;-7,108183
1991-06-30;0,982715;0,773172;10,031138
1991-07-31;1,015871;0,94018;10,487922
1991-08-31;1,012556;0,962414;-46,2385
1991-09-30;0,992629;0,888614;25,693572
1991-10-31;1,033155;1,012549;18,881615
1991-11-30;0,991586;1,050168;-2,947083
1991-12-31;1,020032;1,091783;-42,815116
1992-01-31;1,004505;1,086615;8,695839
1992-02-29;0,919134;1,013135;-0,783575
1992-03-31;1,020801;1,112078;23,535079
1992-04-30;0,985583;1,053856;2,011302
1992-05-31;1,021317;1,039463;-6,241473
1992-06-30;0,982863;0,76585;10,919861
1992-07-31;1,016024;0,944401;10,733311
1992-08-31;1,012655;0,979173;-46,660481
1992-09-30;0,992568;0,888779;26,833018
1992-10-31;1,032962;1,014288;17,261731
1992-11-30;0,991494;1,048542;-3,324458
1992-12-31;1,019989;1,091235;-42,123515
1993-01-31;1,004343;1,083359;6,733003
1993-02-28;0,919283;1,012022;-1,263626
1993-03-31;1,020654;1,109857;23,486329
1993-04-30;0,985486;1,051403;1,627068
1993-05-31;1,021347;1,032668;-5,085184
1993-06-30;0,982986;0,759812;11,74626
1993-07-31;1,016151;0,951386;10,827383
1993-08-31;1,01281;0,997427;-46,211818
1993-09-30;0,992582;0,891419;28,005959
1993-10-31;1,032872;1,013167;16,592353
1993-11-30;0,991472;1,049429;-3,495892
1993-12-31;1,01997;1,090174;-41,292407
1994-01-31;1,004131;1,078066;5,485577
1994-02-28;0,919384;1,008905;-2,363161
1994-03-31;1,020492;1,105742;22,856534
1994-04-30;0,985295;1,046735;0,737375
1994-05-31;1,021378;1,025143;-3,725162
1994-06-30;0,983151;0,754619;12,158256
1994-07-31;1,016419;0,952754;10,601779
1994-08-31;1,013193;1,010208;-45,289296
1994-09-30;0,992744;0,908213;28,596961
1994-10-31;1,032843;1,016873;16,637409
1994-11-30;0,991344;1,045924;-3,183478
1994-12-31;1,019769;1,087497;-40,746321
1995-01-31;1,003735;1,080596;4,3781
1995-02-28;0,919466;1,006937;-2,683384
1995-03-31;1,020256;1,100122;21,074465
1995-04-30;0,985093;1,042275;0,572179
1995-05-31;1,021396;1,0175;-3,238275
1995-06-30;0,983178;0,747965;12,023371
1995-07-31;1,016739;0,947035;11,036604
1995-08-31;1,01362;1,014743;-44,597349
1995-09-30;0,992895;0,932567;29,274978
1995-10-31;1,032833;1,022538;17,071303
1995-11-30;0,991218;1,041071;-2,719552
1995-12-31;1,01963;1,083269;-39,755357
1996-01-31;1,003362;1,079938;2,88926
1996-02-29;0,919695;1,002474;-2,681886
1996-03-31;1,02003;1,09416;19,313523
1996-04-30;0,984969;1,035224;0,643645
1996-05-31;1,021439;1,006753;-3,766685
1996-06-30;0,983087;0,757495;11,416531
1996-07-31;1,017092;0,956976;11,95738
1996-08-31;1,014021;1,017175;-44,101042
1996-09-30;0,993014;0,949164;29,784892
1996-10-31;1,032772;1,023303;17,53874
1996-11-30;0,991052;1,03224;-2,807613
1996-12-31;1,019514;1,076302;-38,041615
1997-01-31;1,002909;1,074054;1,051574
1997-02-28;0,919949;0,994537;-2,964459
1997-03-31;1,019831;1,084254;18,992393
1997-04-30;0,984839;1,025998;0,635016
1997-05-31;1,021469;0,992182;-4,700946
1997-06-30;0,982945;0,774807;11,56809
1997-07-31;1,017343;0,975295;12,425337
1997-08-31;1,014379;1,025421;-43,186372
1997-09-30;0,993142;0,961461;30,549154
1997-10-31;1,032757;1,023537;16,652503
1997-11-30;0,990952;1,023898;-2,835438
1997-12-31;1,019427;1,070314;-36,814196
1998-01-31;1,002447;1,069418;-0,585941
1998-02-28;0,920179;0,98841;-3,438785
1998-03-31;1,019699;1,07588;19,32613
1998-04-30;0,984778;1,014649;0,753042
1998-05-31;1,021629;0,977667;-5,133537
1998-06-30;0,982971;0,790277;12,08106
1998-07-31;1,017527;0,987534;12,674993
1998-08-31;1,014819;1,032378;-41,532788
1998-09-30;0,993236;0,971338;30,937532
1998-10-31;1,032682;1,023779;15,041458
1998-11-30;0,990778;1,015588;-3,1073
1998-12-31;1,019175;1,064114;-36,77
1999-01-31;1,001858;1,065546;-1,799451
1999-02-28;0,920318;0,985171;-3,65444
1999-03-31;1,019552;1,073191;19,216677
1999-04-30;0,984812;1,004323;0,610858
1999-05-31;1,021912;0,971417;-4,492397
1999-06-30;0,98317;0,809852;12,312388
1999-07-31;1,017648;0,994159;12,841246
1999-08-31;1,015358;1,036158;-39,08381
1999-09-30;0,993325;0,977953;29,995985
1999-10-31;1,032536;1,019007;14,631734
1999-11-30;0,99042;1,002395;-3,408022
1999-12-31;1,018885;1,057175;-37,420003
2000-01-31;1,001202;1,066381;-2,063446
2000-02-29;0,920399;0,984053;-3,302794
2000-03-31;1,019452;1,070769;18,975524
2000-04-30;0,985016;0,998897;0,392846
2000-05-31;1,0223;0,973414;-3,50927
2000-06-30;0,983442;0,83241;12,022853
2000-07-31;1,017703;0,995364;12,750943
2000-08-31;1,015816;1,036396;-36,91403
2000-09-30;0,993326;0,980685;27,502873
2000-10-31;1,032268;1,008372;14,528445
2000-11-30;0,990001;0,985175;-3,38103
2000-12-31;1,018849;1,050005;-38,470026
2001-01-31;1,000668;1,067537;-1,752922
2001-02-28;0,920476;0,981453;-2,34203
2001-03-31;1,01945;1,067538;18,750328
2001-04-30;0,985334;0,998696;1,659216
2001-05-31;1,022622;0,986889;-2,772359
2001-06-30;0,983593;0,860806;11,846584
2001-07-31;1,01768;0,997746;12,831066
2001-08-31;1,016091;1,033805;-36,038082
2001-09-30;0,993249;0,981515;24,759936
2001-10-31;1,031998;0,993611;13,781471
2001-11-30;0,989701;0,965397;-3,736538
2001-12-31;1,018875;1,041805;-38,939517
2002-01-31;1,000079;1,067811;-1,758426
2002-02-28;0,920549;0,979393;-1,281024
2002-03-31;1,019472;1,063455;18,295721
2002-04-30;0,985718;0,998467;4,239224
2002-05-31;1,02295;0,999433;-2,192998
2002-06-30;0,983794;0,883283;11,587528
