;Europe * Francé;Europe * Spain;Europe * Greecà
1990-01-31;394,008132;2774,586772;238,33953
1990-02-28;374,17563;2790,921003;233,709201
1990-03-31;387,321025;2807,731208;241,496349
1990-04-30;371,504401;2846,338738;224,853847
1990-05-31;361,574061;2837,35551;228,34264
1990-06-30;356,484028;2420,523265;236,015865
1990-07-31;302,486837;358,681079;237,225671
1990-08-31;357,104203;2090,054784;266,443228
1990-09-30;360,813414;3488,210554;230,424026
1990-10-31;363,65023;3061,086743;262,685326
1990-11-30;359,248181;2964,831724;262,771665
1990-12-31;355,259504;2814,493069;249,338711
1991-01-31;354,008764;2924,832574;264,272098
1991-02-28;341,950813;2867,609;254,908089
1991-03-31;348,844244;2946,259065;240,995002
1991-04-30;354,100901;2948,573443;252,815136
1991-05-31;356,614682;3098,91521;251,569372
1991-06-30;356,307201;4111,568329;242,211523
1991-07-31;349,223645;3268,901233;250,611241
1991-08-31;352,408424;3071,016004;231,05608
1991-09-30;355,680271;2264,036627;249,166913
1991-10-31;359,597123;2586,588896;253,884535
1991-11-30;353,861443;2836,534731;233,215233
1991-12-31;351,917896;2968,574899;230,68325
1992-01-31;352,454529;2985,311341;259,919754
1992-02-29;362,366555;2974,384629;247,005677
1992-03-31;354,967758;2893,495912;246,314482
1992-04-30;354,751614;2876,879444;255,021617
1992-05-31;350,939444;2954,011254;232,369605
1992-06-30;345,826803;2646,747327;235,005687
1992-07-31;347,141347;2772,465337;230,944673
1992-08-31;338,90499;2670,883155;213,593258
1992-09-30;334,042196;2993,538141;219,50534
1992-10-31;325,369443;3061,603123;210,225068
1992-11-30;326,217824;2792,768072;224,626898
1992-12-31;326,080075;2894,269477;222,690002
1993-01-31;331,071375;3141,395979;203,116434
1993-02-28;330,299882;2976,143566;236,095393
1993-03-31;325,639555;3067,708362;229,458397
1993-04-30;335,365654;3025,473046;229,959972
1993-05-31;327,387426;3011,203517;209,254044
1993-06-30;322,629509;2863,921374;223,25213
1993-07-31;320,297871;3226,338055;229,698197
1993-08-31;314,689321;3336,783942;219,328548
1993-09-30;319,944554;2172,954419;235,758912
1993-10-31;332,63437;2744,76908;208,75392
1993-11-30;343,481774;3174,9099;212,739335
1993-12-31;352,050669;3130,449466;226,009863
1994-01-31;350,880908;2494,362995;223,489176
1994-02-28;338,543633;3020,007914;202,15819
1994-03-31;342,288274;3013,811594;237,396507
1994-04-30;335,271763;3089,509805;205,717646
1994-05-31;334,958697;2906,204378;239,421442
1994-06-30;344,102444;3390,148009;230,699697
