;Europe * Francé;Europe * Spain;Europe * Greecà
1990-01-31;388,124706;2843,248056;238,329627
1990-02-28;382,864329;2839,59775;236,629079
1990-03-31;378,893891;2836,435645;234,467967
1990-04-30;372,240326;2833,570093;232,331342
1990-05-31;364,163216;2830,072984;232,728024
1990-06-30;359,571206;2827,350638;236,641036
1990-07-31;358,27992;2828,873007;242,409135
1990-08-31;358,75673;2839,509253;247,159968
1990-09-30;360,237242;2857,522312;250,183114
1990-10-31;360,808202;2871,986667;253,558153
1990-11-30;358,840479;2881,989846;256,163905
1990-12-31;355,622193;2891,731893;256,676595
1991-01-31;351,611507;2901,525523;255,614442
1991-02-28;348,411163;2911,406973;252,902779
1991-03-31;349,422109;2921,321062;250,16518
1991-04-30;352,837982;2930,772883;248,972613
1991-05-31;354,84504;2940,245862;248,018096
1991-06-30;354,229236;2945,558881;246,181831
1991-07-31;352,657498;2940,938805;244,166074
1991-08-31;353,148111;2929,693174;243,3708
1991-09-30;355,332579;2918,861963;243,998459
1991-10-31;356,251623;2914,903451;243,488769
1991-11-30;354,879458;2916,31287;241,691922
1991-12-31;353,641797;2918,253805;242,408572
1992-01-31;355,013741;2919,550413;245,824562
1992-02-29;356,910561;2919,671278;248,006246
1992-03-31;356,090534;2918,926724;247,462335
1992-04-30;353,623657;2918,304612;244,37104
1992-05-31;350,568001;2917,535953;239,116176
1992-06-30;347,395908;2917,000325;233,232774
1992-07-31;344,11173;2918,755542;227,151516
1992-08-31;339,304051;2923,174787;221,621457
1992-09-30;333,521564;2929,794257;218,420618
1992-10-31;328,888514;2935,835951;217,849253
1992-11-30;327,034627;2940,360793;218,61018
1992-12-31;327,697431;2946,12671;219,101374
1993-01-31;329,12859;2952,043879;220,745002
1993-02-28;329,304833;2956,036428;224,36862
1993-03-31;329,380505;2958,785295;226,252804
1993-04-30;329,801389;2960,314886;224,516651
1993-05-31;327,496636;2960,36279;222,071314
1993-06-30;323,55926;2959,875117;222,288321
1993-07-31;320,405192;2959,800833;224,016971
1993-08-31;319,480308;2955,588646;224,434056
1993-09-30;323,577572;2949,297685;222,527596
1993-10-31;332,212071;2950,731429;219,44248
1993-11-30;341,366235;2956,325397;218,232763
1993-12-31;347,067969;2958,239017;218,932525
1994-01-31;346,662459;2959,376166;218,9061
1994-02-28;342,87872;2964,208492;218,887936
1994-03-31;339,909964;2969,807415;220,555568
1994-04-30;337,678857;2973,427923;223,144951
1994-05-31;337,190668;2976,331625;225,255346
1994-06-30;336,372545;2978,297092;224,221926
1994-07-31;332,15724;2976,119421;220,774923
1994-08-31;328,558604;2966,425839;218,361325
1994-09-30;325,696606;2951,96634;217,522828
1994-10-31;321,073608;2939,336418;217,696486
1994-11-30;316,117172;2927,541451;218,364509
1994-12-31;311,290802;2914,152614;219,483634
1995-01-31;306,81542;2899,063389;220,712113
1995-02-28;304,39042;2880,917338;221,559016
1995-03-31;303,431527;2860,535211;222,771535
1995-04-30;301,833685;2839,732662;224,610547
1995-05-31;301,243833;2816,069826;225,28119
1995-06-30;300,425065;2791,844337;222,921356
1995-07-31;297,319338;2778,838808;219,323445
1995-08-31;294,73719;2775,886734;217,432546
1995-09-30;293,405362;2771,094762;216,307745
1995-10-31;291,550275;2760,264794;214,239981
1995-11-30;287,72621;2745,193325;211,291125
1995-12-31;283,832346;2727,359087;208,276784
1996-01-31;280,136831;2706,782482;205,560252
1996-02-29;274,287664;2683,232843;201,611569
1996-03-31;268,88681;2656,609367;197,688487
1996-04-30;265,300113;2627,81514;196,782067
1996-05-31;261,527805;2596,843948;197,393587
1996-06-30;257,481183;2565,033857;197,77663
1996-07-31;252,889383;2536,707246;198,268902
1996-08-31;246,589821;2513,573954;198,850967
1996-09-30;238,963601;2492,947894;200,623203
1996-10-31;232,316506;2471,159803;202,79398
1996-11-30;227,852988;2448,71724;203,193807
1996-12-31;224,490136;2427,012909;202,266113
1997-01-31;221,972096;2405,889974;200,775887
1997-02-28;219,512565;2385,68542;199,194443
1997-03-31;215,920135;2366,610808;198,26603
1997-04-30;212,336059;2347,797694;198,786233
1997-05-31;209,478138;2328,309049;200,063233
1997-06-30;208,666299;2308,255676;200,777833
1997-07-31;209,5338;2286,009039;201,123158
1997-08-31;209,9583;2260,911818;203,146718
1997-09-30;211,149353;2234,72081;208,216913
1997-10-31;212,336501;2208,253648;213,111025
