;Europe * Francé;Europe * Spain;Europe * Greecà
1990-01-31;395,892609;3017,533674;248,133824
1990-02-28;343,792821;2828,569346;232,616753
1990-03-31;395,463148;3130,635347;264,74647
1990-04-30;366,131971;3012,432439;225,175406
1990-05-31;369,201396;2970,165061;220,624298
1990-06-30;350,270643;1862,89823;245,684475
1990-07-31;307,255605;333,40216;247,357743
1990-08-31;361,567333;1982,850133;221,50113
1990-09-30;358,171862;3132,384342;255,307272
1990-10-31;375,762525;3118,683881;282,751701
1990-11-30;356,262988;3121,963247;260,637354
1990-12-31;362,40471;3072,481265;206,353402
1991-01-31;355,655422;3179,461455;273,991911
1991-02-28;314,221778;2904,577751;254,161233
1991-03-31;356,136591;3280,684537;264,20721
1991-04-30;348,990878;3112,489524;254,072735
1991-05-31;364,181443;3239,510281;244,461189
1991-06-30;350,148555;3178,951332;252,242662
1991-07-31;354,766338;3073,355763;261,099163
1991-08-31;356,833208;2955,590104;184,81758
1991-09-30;353,058548;2011,854299;274,860485
1991-10-31;371,519623;2619,047041;272,766151
1991-11-30;350,883953;2978,837161;230,26815
1991-12-31;358,967586;3241,040652;187,868134
1992-01-31;354,04243;3243,882769;268,615593
1992-02-29;333,063479;3013,452686;246,222102
1992-03-31;362,351566;3217,793594;269,849561
1992-04-30;349,637224;3031,817133;257,032919
1992-05-31;358,420347;3070,586521;226,128131
1992-06-30;339,900382;2027,012255;245,925548
1992-07-31;352,703776;2618,318293;241,677984
1992-08-31;343,193874;2615,257552;166,932777
1992-09-30;331,559647;2660,592958;246,338358
1992-10-31;336,094123;3105,347795;227,486799
1992-11-30;323,442979;2928,334933;221,30244
1992-12-31;332,59811;3158,327767;180,566487
1993-01-31;332,509058;3403,259932;209,849437
1993-02-28;303,638941;3011,922315;234,831767
1993-03-31;332,365425;3404,717428;252,944727
1993-04-30;330,498204;3180,991826;231,587041
1993-05-31;334,376279;3109,574533;204,16886
1993-06-30;317,140389;2176,041199;234,99839
1993-07-31;325,471069;3069,493399;240,525581
1993-08-31;318,720345;3328,1989;173,11673
1993-09-30;317,571286;1937,011891;263,764871
1993-10-31;343,568754;2780,909234;225,346273
1993-11-30;340,552473;3331,842639;209,243444
1993-12-31;359,081056;3412,733655;184,717456
1994-01-31;352,330332;2689,087;228,974752
1994-02-28;311,251459;3046,902214;199,795029
1994-03-31;349,30256;3332,498512;260,253041
1994-04-30;330,341644;3233,898923;206,45502
1994-05-31;342,119503;2979,27441;235,69628
1994-06-30;338,304626;2558,269467;242,857952
1994-07-31;333,557574;3320,692796;220,011403
1994-08-31;331,74637;3548,790886;177,21157
1994-09-30;327,550866;2387,378087;243,023255
1994-10-31;328,957028;2976,140794;234,999256
1994-11-30;315,324875;3168,457362;215,409756
1994-12-31;315,833334;3241,259276;175,391398
1995-01-31;308,352957;3446,911931;230,280633
1995-02-28;275,66509;3009,808947;216,484536
1995-03-31;314,582295;3221,510209;243,610938
1995-04-30;293,909281;3052,149199;221,805359
1995-05-31;307,070319;3182,449322;231,781764
1995-06-30;300,533608;1394,677711;239,208028
1995-07-31;298,515572;2001,360329;219,75658
1995-08-31;299,676122;2944,950384;174,778509
1995-09-30;289,851665;3110,44903;250,902215
1995-10-31;304,611332;3087,274847;226,017685
1995-11-30;313,862697;3110,667655;218,265623
1995-12-31;286,36427;3127,720355;154,798839
1996-01-31;286,612754;3215,315851;217,419412
1996-02-29;250,372856;2891,16879;206,163188
1996-03-31;272,084334;3152,789283;198,879827
1996-04-30;262,901913;2819,970121;201,249525
1996-05-31;266,584649;2819,897247;200,528539
1996-06-30;253,412118;1673,569529;197,22591
1996-07-31;258,726519;1426,15962;220,652363
1996-08-31;251,55926;2262,762197;150,104824
1996-09-30;236,868536;2569,637934;220,986647
1996-10-31;237,244853;2507,912988;236,756735
1996-11-30;225,949599;2496,763145;190,778935
1996-12-31;228,349697;2544,93338;170,798344
1997-01-31;221,314581;2516,512213;196,998043
1997-02-28;204,656092;2277,41003;201,724333
1997-03-31;218,686107;2524,38269;209,19514
1997-04-30;209,282493;2493,19228;248,329281
1997-05-31;213,241002;2315,815044;195,148787
1997-06-30;201,068154;1931,473407;213,815427
1997-07-31;217,820004;2491,443285;216,206173
1997-08-31;209,190568;2381,766728;147,946422
1997-09-30;210,613965;2196,883388;240,294945
1997-10-31;221,294472;2229,16692;240,035176
1997-11-30;207,767171;2171,377212;210,390227
1997-12-31;221,597537;2288,559873;183,938233
1998-01-31;214,924374;2194,770019;194,708044
1998-02-28;194,594641;1977,457399;195,453045
1998-03-31;213,436342;1917,189948;231,007478
1998-04-30;201,593849;2076,639986;200,833049
1998-05-31;206,632474;1638,808254;167,436681
1998-06-30;196,490589;1438,038211;204,744327
1998-07-31;209,855586;2083,490217;208,561381
1998-08-31;201,892605;2120,36486;138,634165
1998-09-30;199,753918;1965,943182;237,097214
1998-10-31;206,343773;2143,539043;173,6809
1998-11-30;204,816961;2127,433714;182,612307
1998-12-31;203,6995;2062,065029;158,180477
1999-01-31;198,446863;1901,230369;170,474748
1999-02-28;179,060795;1775,958607;171,680926
1999-03-31;194,422282;2136,688813;205,218099
1999-04-30;180,567499;1703,448192;195,660825
1999-05-31;167,69947;692,893493;185,356171
1999-06-30;179,585053;1448,022057;213,94718
1999-07-31;191,029685;2126,777841;206,700362
1999-08-31;188,918288;2033,206612;155,318403
1999-09-30;184,062076;1996,696343;247,063735
1999-10-31;193,574851;2090,559071;206,288062
