;Asia * China;Asia * Japon;Asia * India
1990-01-01;2,455203;-4,016826;0,492559
1990-02-01;-3,039538;1,236422;-0,101079
1990-03-01;0,760807;2,997557;2,064166
1990-04-01;-3,312271;1,926879;-1,873874
1990-05-01;6,228347;1,30034;0,9268
1990-06-01;-0,327107;14,086548;-2,641273
1990-07-01;1,389752;0,701917;4,681034
1990-08-01;-2,171775;-2,565152;-1,337471
1990-09-01;-1,416685;-27,860213;-3,228759
1990-10-01;3,717142;-6,151929;4,322944
1990-11-01;5,191568;5,048346;3,654363
1990-12-01;-3,556556;0,554001;-3,399936
1991-01-01;0,480244;0,535798;1,706698
1991-02-01;-0,566545;-0,081094;-2,710264
1991-03-01;-6,915118;-9,742121;-8,168289
1991-04-01;9,518914;18,405881;-0,026625
1991-05-01;-0,530901;-1,22236;-1,263165
1991-06-01;-3,438995;4,244204;1,741947
1991-07-01;-1,523799;4,989817;3,199463
1991-08-01;4,209092;-1,234376;1,820102
1991-09-01;12,516811;-20,818541;-1,454069
1991-10-01;4,822761;1,671521;-0,872277
1991-11-01;-2,280154;-3,940222;-3,013411
1991-12-01;-5,565709;-11,824083;-0,655591
1992-01-01;1,674622;0,874157;-0,197502
1992-02-01;0,744955;-1,235981;2,141414
1992-03-01;-1,203071;4,090092;-0,165031
1992-04-01;-0,230655;2,914321;0,182599
1992-05-01;-0,849062;1,977504;-9,043398
1992-06-01;0,801847;-4,777388;-0,793535
1992-07-01;2,039387;2,536071;1,314162
1992-08-01;-0,001443;-1,634104;-0,825412
1992-09-01;0,313621;0,111875;0,838487
1992-10-01;-6,030161;2,196746;2,031512
1992-11-01;-2,575313;-1,528566;-0,091215
1992-12-01;2,331521;-7,322306;1,521131
1993-01-01;-4,769967;11,264246;-6,651189
1993-02-01;4,756896;2,374055;-0,057622
1993-03-01;3,924036;-1,862496;-2,538328
1993-04-01;2,290543;3,303027;4,178761
1993-05-01;-3,102967;-1,374511;-8,169174
1993-06-01;2,075712;1,221025;-0,959068
1993-07-01;0,787655;-4,624118;-1,531816
1993-08-01;-2,98276;2,394201;9,943618
1993-09-01;-1,304899;1,999173;3,372759
1993-10-01;-0,150659;0,416728;-5,462284
1993-11-01;-0,594754;-1,410841;-1,865744
1993-12-01;1,645249;4,771562;-0,317398
1994-01-01;-0,746752;-4,058874;0,47939
1994-02-01;2,073832;0,158126;-0,404122
1994-03-01;-3,609886;1,543536;3,697604
1994-04-01;2,213159;-8,502725;-1,168849
1994-05-01;-1,231499;-0,767131;3,023317
1994-06-01;-0,281012;4,9874;0,855199
1994-07-01;-1,383101;-3,412185;-4,325563
1994-08-01;15,312856;1,835786;-0,555456
1994-09-01;4,0452;-2,896372;-1,144482
1994-10-01;-3,256387;-15,813353;-5,158397
1994-11-01;0,406159;1,760984;2,187977
1994-12-01;0,009268;4,417708;3,054019
1995-01-01;5,011143;2,507765;4,28115
1995-02-01;-4,632314;0,085676;-1,084597
1995-03-01;2,742869;-1,658872;1,035785
1995-04-01;-7,660641;-15,9896;-4,37068
1995-05-01;1,037772;1,304043;1,37068
1995-06-01;1,713683;-1,570757;0,719195
1995-07-01;1,358843;-3,705138;0,090643
1995-08-01;13,828797;4,701484;-2,999785
1995-09-01;-2,743723;-0,829171;0,883564
1995-10-01;-0,689187;-4,711603;1,443923
1995-11-01;3,668966;4,902331;2,471645
1995-12-01;0,534047;1,1334;-6,796078
1996-01-01;0,481878;2,308482;-0,388226
1996-02-01;-2,786495;-5,8934;2,80187
1996-03-01;-1,989459;-3,853146;-3,766736
1996-04-01;-2,825094;3,014284;0,644186
1996-05-01;4,59425;2,709263;-0,180955
1996-06-01;-1,160549;-2,216398;-6,353168
1996-07-01;13,711304;15,99146;0,179454
1996-08-01;2,141247;-2,156729;5,598846
1996-09-01;-3,02602;0,256514;-1,765366
1996-10-01;8,037129;5,598735;1,857683
1996-11-01;1,044607;-1,707868;-1,796137
1996-12-01;-17,473366;-0,739773;1,679928
1997-01-01;-3,788736;-11,607668;-2,413075
1997-02-01;-0,304707;0,811398;0,367559
1997-03-01;0,950683;-14,935655;-1,739136
1997-04-01;10,630445;6,074767;2,006974
1997-05-01;2,027084;-1,184139;-0,908893
1997-06-01;-0,355619;-2,974735;2,269577
1997-07-01;-8,459869;4,921444;0,366979
1997-08-01;-8,408168;-2,810546;-2,927717
1997-09-01;12,635712;5,527008;-0,195542
1997-10-01;5,692094;5,729437;2,202114
1997-11-01;-6,524792;-4,106877;-1,883415
1997-12-01;4,544033;-2,257438;0,560503
1998-01-01;3,49764;0,461743;0,985502
1998-02-01;1,63122;1,063589;-1,855884
1998-03-01;-2,427362;-1,307351;2,973048
1998-04-01;-0,43961;-4,999297;0,214993
1998-05-01;-4,175142;-4,962491;-2,845033
1998-06-01;0,887724;2,582081;-0,520685
1998-07-01;1,519198;6,033903;2,881044
1998-08-01;0,521719;0,644198;-8,978071
1998-09-01;3,736898;1,780908;1,962492
1998-10-01;-3,33482;-1,833747;-1,416142
1998-11-01;-1,109088;1,385991;1,693186
1998-12-01;0,671435;1,59061;0,27806
1999-01-01;-3,005791;-5,783737;-1,358563
1999-02-01;-2,370021;-6,222388;-5,075179
1999-03-01;2,761567;3,290767;-2,361802
1999-04-01;9,158288;2,282763;3,359775
1999-05-01;-1,563;2,804075;1,165575
1999-06-01;-0,511456;12,839894;1,240081
1999-07-01;-2,910753;-3,562099;0,116036
1999-08-01;2,106334;1,579206;-11,489624
1999-09-01;4,023031;-0,496861;0,000563
1999-10-01;-4,343191;-6,022354;-2,084736
1999-11-01;3,836088;-1,66556;0,409824
1999-12-01;-8,683668;4,507737;8,684346
2000-01-01;-1,41881;-1,230435;-2,40687
2000-02-01;4,820745;6,262924;3,927588
2000-03-01;-1,929278;1,589227;3,490258
2000-04-01;-8,742296;-11,417528;-4,547496
2000-05-01;14,002508;14,463334;7,547151
2000-06-01;1,766215;-2,397306;-2,703096
2000-07-01;4,049675;-4,196602;-3,8774
2000-08-01;0,722824;0,442337;2,419516
2000-09-01;-4,408437;-3,048712;-0,622252
2000-10-01;0,702122;-1,913167;-0,101042
2000-11-01;-1,202064;3,843584;1,42545
2000-12-01;4,483588;-1,642183;-0,731157
2001-01-01;-4,316794;8,134161;2,688177
2001-02-01;-0,571822;0,691196;1,198859
2001-03-01;4,615352;-1,727588;1,385777
2001-04-01;-4,205958;-9,007607;-3,637079
2001-05-01;3,88263;7,174134;1,188135
2001-06-01;-6,655484;-3,363387;0,494598
2001-07-01;-0,03337;1,462859;-2,208429
2001-08-01;8,56889;2,741819;8,232443
2001-09-01;-4,820123;-1,564328;-0,082753
2001-10-01;3,471809;-0,976291;2,252112
2001-11-01;1,800804;14,128448;1,182416
2001-12-01;-1,424571;-3,235383;-1,543495
2002-01-01;4,338987;2,610063;-2,673455
2002-02-01;-3,373473;-1,690304;-0,970838
2002-03-01;0,595954;-2,013098;-0,196702
2002-04-01;1,068526;6,092249;-0,804915
2002-05-01;-3,16739;-3,152733;-1,169524
2002-06-01;-1,770424;-0,657954;1,047082
2002-07-01;1,794046;21,116959;4,618612
2002-08-01;-9,060778;-1,213793;0,091189
2002-09-01;3,253083;-4,114695;2,107338
2002-10-01;14,345015;8,187199;-0,997587
2002-11-01;2,616809;-1,5046;-4,614116
2002-12-01;-3,577316;-2,291307;0,377362
2003-01-01;2,28381;-3,656772;2,950364
2003-02-01;-0,455552;2,289792;0,206647
2003-03-01;-4,736514;-1,265073;-1,750866
2003-04-01;4,764628;4,244522;3,399482
2003-05-01;1,334503;-4,611384;-2,062228
2003-06-01;-2,016035;-0,591201;-7,300854
2003-07-01;13,885057;16,175507;0,005641
2003-08-01;-1,965075;-13,212882;2,739651
2003-09-01;-0,459801;3,570889;-3,592983
2003-10-01;-0,909883;6,223112;2,336994
2003-11-01;-10,498982;-9,378676;-1,55395
2003-12-01;2,597281;-2,647928;-2,749803
2004-01-01;-1,764775;-3,059336;-3,51038
2004-02-01;4,746508;2,033557;4,235516
2004-03-01;-1,97035;16,37492;2,388083
2004-04-01;0,838045;4,160429;2,907996
2004-05-01;-4,6373;-1,003159;-1,123597
2004-06-01;6,338576;2,433295;1,094151
2004-07-01;-3,233553;-1,352115;1,134444
2004-08-01;9,009398;-1,700191;-4,119424
2004-09-01;3,210711;-0,343122;-2,472145
2004-10-01;-2,590841;-7,403585;1,581879
2004-11-01;-5,209172;-0,333388;2,523949
2004-12-01;2,359997;10,019177;2,718211
2005-01-01;1,514556;4,124375;1,536307
2005-02-01;-0,755279;-4,442323;-3,556376
2005-03-01;1,090136;-18,745133;-6,256688
2005-04-01;-0,450686;-4,774845;-0,429035
2005-05-01;2,281057;1,915591;3,247474
2005-06-01;-0,704573;3,848502;2,499416
2005-07-01;-1,744252;-5,334226;-2,133905
2005-08-01;-1,004694;2,652443;0,017119
2005-09-01;1,935148;6,91678;4,059633
2005-10-01;-3,906131;-8,868227;-4,29124
2005-11-01;2,556421;3,701956;-1,738474
2005-12-01;0,660659;4,131189;2,191798
2006-01-01;0,840741;-2,68298;10,580687
2006-02-01;-2,757702;-2,499031;-2,158146
2006-03-01;2,541149;3,725631;2,887171
