;Asia * China;Asia * Japon;Asia * India
1990-01-01;-10,73398;-2,014938;9,488658
1990-02-01;-7,985753;6,409051;3,826719
1990-03-01;-0,750413;23,098444;3,990614
1990-04-01;-7,781036;21,459872;5,174667
1990-05-01;-5,985231;1,274231;3,659263
1990-06-01;15,951533;16,363869;11,754235
1990-07-01;16,936053;9,087237;17,646643
1990-08-01;10,93208;-47,561778;-54,833471
1990-09-01;22,858413;0,240646;0,057705
1990-10-01;9,090597;8,973757;14,527708
1990-11-01;-12,848006;-6,555986;1,046522
1990-12-01;-29,594864;-30,45472;-16,381858
1991-01-01;-11,243998;-1,873462;9,358594
1991-02-01;-7,724115;6,511701;3,985893
1991-03-01;-0,717802;22,707775;4,129216
1991-04-01;-7,325763;20,764999;5,262412
1991-05-01;-6,029864;1,215529;3,929046
1991-06-01;16,221511;16,70226;12,002575
1991-07-01;16,558293;8,10184;16,627668
1991-08-01;10,74346;-46,939453;-54,859655
1991-09-01;23,03925;0,510719;0,342298
1991-10-01;8,476533;9,249486;13,833573
1991-11-01;-12,767224;-6,371757;1,204162
1991-12-01;-29,219995;-29,251372;-15,842175
1992-01-01;-11,670483;-1,313426;9,447454
1992-02-01;-7,703462;6,235901;4,222458
1992-03-01;-0,466845;21,513332;4,204048
1992-04-01;-6,840822;19,345298;5,13061
1992-05-01;-5,953431;1,155548;4,154451
1992-06-01;16,753631;16,827822;12,627588
1992-07-01;15,850009;6,591496;14,986098
1992-08-01;10,634488;-45,592611;-54,966502
1992-09-01;23,127279;1,263655;1,015027
1992-10-01;7,388671;9,860994;12,815823
1992-11-01;-12,595467;-6,112028;1,35515
1992-12-01;-28,298523;-27,536444;-14,973713
1993-01-01;-11,844616;-0,683278;9,466407
1993-02-01;-8,310643;5,234384;4,851186
1993-03-01;-0,33919;19,896746;4,204738
1993-04-01;-6,542541;17,614308;4,823263
1993-05-01;-5,170597;1,405248;4,269734
1993-06-01;17,291597;16,382903;13,199751
1993-07-01;15,016188;5,448375;13,053284
1993-08-01;10,527042;-44,280205;-54,943516
1993-09-01;22,998698;2,453647;1,530813
1993-10-01;6,163176;10,764388;12,269767
1993-11-01;-12,101612;-5,697628;1,747251
1993-12-01;-27,33014;-25,880689;-13,868842
1994-01-01;-12,368763;-0,168046;9,124217
1994-02-01;-9,20659;4,148447;5,340834
1994-03-01;0,277049;17,68322;3,815774
1994-04-01;-5,912827;16,027779;4,730955
1994-05-01;-4,027221;1,486326;3,912909
1994-06-01;17,676216;15,693747;13,982991
1994-07-01;13,611391;5,152517;11,4651
1994-08-01;9,860904;-43,30797;-54,720527
1994-09-01;22,565031;4,389649;2,04592
1994-10-01;5,882932;11,836804;12,169414
1994-11-01;-11,635843;-5,765377;1,847074
1994-12-01;-26,215826;-24,634523;-13,160994
1995-01-01;-12,512244;-0,200874;8,557919
1995-02-01;-10,199725;3,112721;5,651057
1995-03-01;0,356564;16,084859;3,881429
1995-04-01;-5,186298;14,278409;4,661151
1995-05-01;-2,875177;1,398291;3,130512
1995-06-01;17,649029;15,22038;14,509301
1995-07-01;12,300319;6,435795;10,572253
1995-08-01;9,344342;-43,237586;-54,108071
1995-09-01;22,511533;6,241168;2,123767
1995-10-01;5,745899;12,466925;12,635088
1995-11-01;-11,159774;-5,856774;2,186316
1995-12-01;-25,680802;-24,296098;-12,830646
1996-01-01;-12,821389;-0,492024;7,772808
1996-02-01;-11,123591;2,288712;5,239929
1996-03-01;0,873802;15,269123;3,833855
1996-04-01;-3,963908;13,037352;4,863596
1996-05-01;-2,229711;1,297074;2,008825
1996-06-01;17,259139;15,098026;15,155401
1996-07-01;10,95086;8,221621;10,54967
1996-08-01;9,141626;-43,590934;-53,075429
1996-09-01;22,617935;7,865062;2,138695
1996-10-01;5,667874;12,378462;13,17438
1996-11-01;-10,657224;-6,412378;2,159387
1996-12-01;-25,938751;-24,896486;-13,253821
1997-01-01;-13,174768;-0,650714;6,635794
1997-02-01;-11,09129;2,163261;5,262909
1997-03-01;0,958572;15,578153;4,212069
1997-04-01;-2,709779;12,338299;5,124571
1997-05-01;-2,015095;1,353075;0,867827
1997-06-01;16,794818;14,981849;15,236413
1997-07-01;10,553952;9,846752;10,521364
1997-08-01;9,498121;-44,431414;-51,195003
1997-09-01;22,462646;8,590523;1,996683
1997-10-01;4,881004;12,122937;13,652732
1997-11-01;-10,438177;-6,973641;2,004332
1997-12-01;-26,435796;-26,556637;-13,952719
1998-01-01;-14,177849;-0,116338;5,485415
1998-02-01;-10,316239;2,989958;5,385503
1998-03-01;1,941805;16,533186;4,715533
1998-04-01;-1,40436;11,806716;5,344121
1998-05-01;-2,008692;1,906934;0,08481
1998-06-01;16,090733;14,798403;15,238335
1998-07-01;10,323374;10,335684;10,162977
1998-08-01;9,67547;-45,207546;-49,10293
1998-09-01;21,662001;8,671786;1,90579
1998-10-01;4,201831;11,641422;14,003001
1998-11-01;-10,129154;-7,506685;1,640344
1998-12-01;-26,982839;-28,624783;-15,179304
1999-01-01;-14,132132;1,201214;4,653501
1999-02-01;-9,208307;4,484725;5,789242
1999-03-01;2,379269;17,776736;5,689872
1999-04-01;-0,73201;11,558291;5,151535
1999-05-01;-2,51085;2,100509;-0,362454
1999-06-01;15,445687;14,967013;15,038984
1999-07-01;10,79071;9,99789;9,721663
1999-08-01;9,983449;-46,178787;-46,809018
1999-09-01;20,930004;7,695731;1,762879
1999-10-01;3,182435;11,826941;13,950712
1999-11-01;-9,724773;-7,612831;1,054677
1999-12-01;-27,678566;-30,790277;-16,420079
2000-01-01;-13,29352;2,799126;4,641121
2000-02-01;-8,725518;5,87272;6,094076
2000-03-01;2,844168;18,992804;6,096285
2000-04-01;-0,301541;12,014121;5,15897
2000-05-01;-2,68687;2,208539;-0,479971
2000-06-01;15,018596;15,021097;14,939287
2000-07-01;11,034388;8,757499;9,375299
2000-08-01;9,921819;-47,335581;-44,743366
2000-09-01;19,971105;7,031411;1,263084
2000-10-01;2,221179;12,635366;14,102625
2000-11-01;-9,184571;-8,028217;0,213576
2000-12-01;-28,302348;-32,781489;-17,928996
2001-01-01;-11,613515;4,252538;4,627945
2001-02-01;-7,984352;7,221958;7,005496
2001-03-01;2,407004;20,012694;6,245707
2001-04-01;-0,454572;13,325447;5,582619
2001-05-01;-3,006571;1,605041;-0,584659
2001-06-01;15,816735;15,229338;14,747215
2001-07-01;11,057783;7,303241;9,178905
