;Asia * China;Asia * Japon;Asia * India
1990-01-01;83,355406;183,233165;72,04666
1990-02-01;78,303733;187,810009;71,272841
1990-03-01;82,594005;188,886562;73,441194
1990-04-01;79,034543;187,072905;69,425826
1990-05-01;89,109939;185,623307;72,186493
1990-06-01;83,118167;197,550698;68,613272
1990-07-01;85,37002;183,348603;75,96975
1990-08-01;82,302344;179,313243;69,974671
1990-09-01;83,434152;153,376817;68,061083
1990-10-01;88,749707;174,718469;75,568694
1990-11-01;90,242921;185,846699;74,86203
1990-12-01;81,435567;181,545331;67,78028
1991-01-01;85,45433;181,900991;72,854677
1991-02-01;84,517857;181,667307;68,374851
1991-03-01;78,483611;172,192817;62,785698
1991-04-01;95,461074;200,147307;70,7104
1991-05-01;86,177816;179,834744;69,176657
1991-06-01;84,197752;184,09811;71,806598
1991-07-01;87,127907;183,199057;72,832303
1991-08-01;93,848524;174,975831;70,965926
1991-09-01;103,014524;153,159501;67,185542
1991-10-01;95,944538;173,272629;67,254793
1991-11-01;89,191231;165,187091;64,603767
1991-12-01;85,997921;154,762948;66,52082
1992-01-01;93,092512;164,934182;66,656382
1992-02-01;91,819595;160,304215;68,805996
1992-03-01;89,373293;163,069408;66,438146
1992-04-01;89,751275;159,246728;66,799311
1992-05-01;88,527013;155,508435;57,562909
1992-06-01;89,689265;145,777811;65,693094
1992-07-01;90,62972;149,955871;67,503411
1992-08-01;88,507035;142,606033;64,86936
1992-09-01;88,976988;141,23807;65,850672
1992-10-01;83,033656;140,356528;66,18635
1992-11-01;87,088743;133,899053;63,081617
1992-12-01;92,731936;125,687324;63,647811
1993-01-01;86,370534;142,146135;54,406735
1993-02-01;96,52099;131,391053;59,956818
1993-03-01;96,106203;125,504134;56,517213
1993-04-01;94,64954;129,152314;62,412695
1993-05-01;89,156691;123,069563;49,441532
1993-06-01;93,98066;124,325311;56,261894
1993-07-01;92,139421;117,120463;55,556145
1993-08-01;87,722106;122,705069;67,185154
1993-09-01;88,776241;120,797144;61,048761
1993-10-01;89,418349;117,653405;52,884713
1993-11-01;88,673088;114,277977;57,348998
1993-12-01;90,846064;118,994795;59,888272
1994-01-01;88,612744;108,816261;61,71368
1994-02-01;91,770624;111,837032;61,834148
1994-03-01;86,557355;112,262404;66,891114
1994-04-01;92,956104;101,574405;62,937754
1994-05-01;90,19546;109,011754;68,040727
1994-06-01;91,891828;114,789233;66,823119
1994-07-01;91,515462;106,646396;62,639319
1994-08-01;108,873332;112,270109;67,444698
1994-09-01;98,171201;107,826753;67,920458
1994-10-01;91,318934;94,973158;64,971657
1994-11-01;95,304104;112,301799;73,340839
1994-12-01;95,084405;114,309196;75,096828
1995-01-01;100,128654;111,318277;77,021794
1995-02-01;90,433631;107,442464;72,115662
1995-03-01;97,716684;103,973554;74,416916
1995-04-01;87,229991;87,789917;68,929886
1995-05-01;95,859211;103,199701;74,373597
1995-06-01;96,454814;98,455442;73,251623
1995-07-01;95,983226;94,558487;72,058288
1995-08-01;108,277652;101,396465;68,362505
1995-09-01;91,45013;94,524344;71,602164
1995-10-01;93,206899;89,538196;71,504529
1995-11-01;97,25637;98,226704;71,848871
1995-12-01;93,812444;93,688767;61,860959
1996-01-01;93,502565;94,258954;67,527248
1996-02-01;90,095182;85,656782;70,007867
1996-03-01;90,921403;87,515105;62,811752
1996-04-01;90,248798;94,41861;66,704038
1996-05-01;97,918596;94,338796;65,473034
1996-06-01;92,420451;89,811743;58,992899
1996-07-01;107,533533;108,598466;65,315732
1996-08-01;96,208;91,158753;70,629379
1996-09-01;91,305239;94,39471;63,278384
1996-10-01;102,613703;100,6735;67,017926
1996-11-01;95,76546;94,392607;63,574791
1996-12-01;77,303031;96,502876;67,376784
1997-01-01;90,992562;86,963838;63,741221
1997-02-01;94,484058;100,903905;67,098123
1997-03-01;95,826121;86,819036;65,697168
1997-04-01;105,747014;109,508424;70,271544
1997-05-01;97,58236;103,822252;68,272082
1997-06-01;95,858905;103,400885;72,453386
1997-07-01;88,624883;112,326577;71,614817
1997-08-01;89,675295;105,138471;69,392338
1997-09-01;111,755787;113,499177;73,178135
1997-10-01;105,77895;113,238191;76,592756
1997-11-01;94,373313;102,595528;73,472138
1997-12-01;106,051509;103,488339;76,817552
1998-01-01;105,355014;105,26916;78,056497
1998-02-01;103,535044;105,13529;75,935694
1998-03-01;99,184252;102,36038;81,371671
1998-04-01;100,53292;98,620023;79,077383
1998-05-01;95,85329;98,916134;76,267227
1998-06-01;99,809596;106,952596;78,599866
1998-07-01;99,324185;111,020719;81,765354
1998-08-01;97,324429;106,302923;69,478207
1998-09-01;99,678496;108,132093;79,865559
1998-10-01;91,861508;105,199318;75,868657
1998-11-01;93,491596;109,161309;78,382009
1998-12-01;94,82661;110,223408;76,46913
1999-01-01;90,84152;103,785728;74,469894
1999-02-01;91,311053;104,362692;70,570078
1999-03-01;96,375973;114,959285;73,273419
1999-04-01;102,782455;115,111719;79,125719
1999-05-01;92,112667;116,857432;77,216577
1999-06-01;93,222513;128,125245;77,700724
1999-07-01;90,843657;112,899652;77,061512
1999-08-01;95,841862;119,140033;65,975777
1999-09-01;97,753313;118,050891;77,961516
1999-10-01;89,495757;113,352318;76,294776
1999-11-01;97,97667;118,334387;79,111804
1999-12-01;85,967158;124,863057;87,601103
2000-01-01;93,913117;119,212561;76,658029
2000-02-01;100,977575;126,510113;83,107748
2000-03-01;95,105919;121,366147;82,783694
2000-04-01;89,098821;107,684188;74,872647
2000-05-01;112,531187;132,865797;87,157845
2000-06-01;100,80938;115,387271;77,207708
2000-07-01;103,408769;113,185635;76,457181
2000-08-01;100,170803;117,726318;83,302936
2000-09-01;94,871153;114,448296;80,889176
2000-10-01;99,630314;116,115459;82,04373
2000-11-01;97,264043;122,663149;84,109253
2000-12-01;102,431569;118,082602;82,29531
2001-01-01;93,166021;128,773106;85,80386
2001-02-01;96,524898;122,166278;84,123504
2001-03-01;101,482438;120,449975;83,823988
2001-04-01;92,654047;113,76679;78,066951
2001-05-01;100,947701;130,441002;81,984797
2001-06-01;90,805595;120,353714;80,27641
2001-07-01;97,977048;125,644717;76,52428
2001-08-01;107,221273;127,416576;85,919951
2001-09-01;94,52974;123,629123;76,622583
2001-10-01;103,493339;124,767567;78,121862
2001-11-01;102,385638;140,359215;76,435313
2001-12-01;99,578873;123,373832;73,379977
2002-01-01;105,637897;129,500434;72,222626
2002-02-01;98,136575;125,400922;74,155277
2002-03-01;102,248039;125,239475;75,380787
2002-04-01;102,856792;133,477298;75,399537
2002-05-01;98,780052;124,295795;75,749341
2002-06-01;100,344347;126,765306;78,674517
2002-07-01;104,103752;148,475222;82,883948
2002-08-01;93,411325;126,035455;78,850698
2002-09-01;105,823052;123,026244;81,134987
2002-10-01;116,912591;135,259575;78,065236
2002-11-01;105,013645;125,549852;74,255785
2002-12-01;98,47623;124,889334;78,890896
2003-01-01;103,810513;123,861585;81,028391
2003-02-01;100,388379;130,356328;77,840911
2003-03-01;95,322877;127,520595;75,447677
2003-04-01;104,010674;133,827949;80,196434
2003-05-01;99,834557;125,771003;74,401487
2003-06-01;95,914377;130,598205;68,952532
2003-07-01;111,434282;148,143482;76,215382
2003-08-01;95,420182;119,505451;79,12178
2003-09-01;96,974699;137,023796;73,250201
2003-10-01;96,743894;140,370105;79,942707
2003-11-01;87,547995;125,415314;77,065334
2003-12-01;101,206701;132,748847;77,014408
2004-01-01;97,514436;132,789811;77,377056
2004-02-01;104,696318;138,093272;86,115175
2004-03-01;115,592389;152,388864;85,080421
2004-04-01;118,866536;139,912321;86,199444
2004-05-01;113,65578;134,32516;82,498301
2004-06-01;124,701134;137,225364;84,740646
2004-07-01;115,031166;132,793694;84,470176
2004-08-01;127,044394;131,782593;78,611127
2004-09-01;120,929982;132,554544;79,440861
2004-10-01;114,735242;125,064859;82,556047
2004-11-01;111,677303;132,040926;82,546344
2004-12-01;118,747862;142,741342;81,887792
2005-01-01;117,330661;137,601459;79,984432
2005-02-01;114,431655;130,169455;74,289921
2005-03-01;115,619193;117,317166;71,102765
2005-04-01;113,430837;132,957948;76,567495
2005-05-01;115,565503;141,484659;80,035888
2005-06-01;112,043533;145,314717;79,235346
2005-07-01;110,517072;137,986079;74,691424
2005-08-01;110,87092;147,728263;77,056716
2005-09-01;113,549138;153,571672;81,385484
2005-10-01;107,641546;139,11535;73,320248
2005-11-01;114,253941;152,710623;76,132693
2005-12-01;112,710946;153,810513;80,332295
2006-01-01;113,444924;147,429855;89,05306
2006-02-01;110,576803;147,987415;76,74473
2006-03-01;116,739948;154,672264;82,34491
2006-04-01;106,211446;134,212135;71,868461
2006-05-01;118,156738;156,638375;82,170405
2006-06-01;118,261939;152,743737;79,224673
2006-07-01;117,760239;151,171925;68,292958
2006-08-01;118,843275;156,480182;86,230875
2006-09-01;116,41596;159,797639;85,43345
2006-10-01;124,415549;162,975725;83,135848
2006-11-01;119,725714;168,279678;81,588805
2006-12-01;112,358375;151,406161;72,48869
2007-01-01;120,644206;168,288453;86,796675
2007-02-01;116,852844;172,820611;83,384754
2007-03-01;119,545816;170,598572;86,283556
2007-04-01;107,496895;162,092185;87,165114
2007-05-01;119,47344;167,945542;83,890198
2007-06-01;118,178548;157,986044;85,889894
2007-07-01;113,346109;165,342905;85,03569
2007-08-01;112,166659;161,669997;88,215862
2007-09-01;107,241816;146,342176;81,103218
2007-10-01;127,178353;166,328285;93,871035
2007-11-01;117,34706;162,891809;97,773608
2007-12-01;103,936692;148,408299;82,522935
2008-01-01;119,302831;173,23031;95,111479
2008-02-01;120,318742;167,054941;99,475784
2008-03-01;104,009243;149,108984;76,937634
2008-04-01;116,621857;162,680558;94,930777
2008-05-01;106,762554;149,852401;92,337343
2008-06-01;110,067848;162,53255;91,994117
2008-07-01;122,094607;167,190564;92,672653
2008-08-01;107,450357;143,344116;84,009042
2008-09-01;105,819252;142,42712;85,201131
2008-10-01;110,233975;145,342766;86,520083
2008-11-01;98,372566;126,100473;66,121782
2008-12-01;113,066403;138,742995;61,649245
2009-01-01;96,338169;120,576389;61,357176
2009-02-01;105,346498;123,803546;48,941851
2009-03-01;107,40823;121,803383;45,615433
2009-04-01;110,015322;132,789415;61,490138
2009-05-01;104,525281;126,369778;67,577128
2009-06-01;108,416794;125,468549;71,469243
2009-07-01;107,987277;128,667229;80,85217
2009-08-01;103,411825;127,029511;74,749385
2009-09-01;110,364037;133,742104;78,139108
2009-10-01;94,901679;132,470135;82,024791
2009-11-01;101,595158;135,46829;76,470006
2009-12-01;96,24501;133,941888;81,973589
2010-01-01;89,911243;113,040114;73,73288
2010-02-01;94,595169;123,43463;75,053761
2010-03-01;93,614823;139,995413;80,757238
2010-04-01;94,07641;135,378528;77,590001
2010-05-01;96,821614;138,84918;77,594067
2010-06-01;94,832276;140,944875;82,07448
2010-07-01;97,496202;135,077561;76,222966
2010-08-01;94,702947;140,514403;81,995744
2010-09-01;95,828111;136,2865;83,165013
2010-10-01;93,770354;126,721575;76,320866
2010-11-01;103,11112;138,690272;80,598747
2010-12-01;101,742656;130,550567;85,317882
2011-01-01;97,916455;142,307556;83,182592
2011-02-01;92,466546;152,590326;78,222076
2011-03-01;102,135588;151,055216;90,394812
2011-04-01;101,260854;122,465684;83,262942
2011-05-01;125,129269;161,891648;101,891663
2011-06-01;99,208692;125,411907;83,834116
2011-07-01;94,263008;126,29728;82,401968
2011-08-01;103,274082;136,7656;88,561176
2011-09-01;102,353219;144,299054;101,753093
2011-10-01;95,932928;131,445437;87,627369
2011-11-01;93,813134;140,49016;92,857293
2011-12-01;98,139888;135,632712;90,698213
2012-01-01;97,763053;142,493671;94,0337
2012-02-01;100,030563;123,895072;92,076827
2012-03-01;97,825332;131,366921;90,143798
2012-04-01;93,609064;122,683552;87,553016
2012-05-01;96,854911;126,624243;87,639819
2012-06-01;92,215922;140,846339;88,922063
2012-07-01;87,563907;137,578162;90,433128
2012-08-01;90,466964;130,373722;93,024586
2012-09-01;84,202988;118,478968;86,18329
2012-10-01;94,986161;129,543646;88,339012
2012-11-01;92,625119;121,982755;89,583345
2012-12-01;88,115147;117,033447;85,513099
2013-01-01;90,630153;117,206364;90,573128
2013-02-01;84,299734;121,965189;91,054908
2013-03-01;82,042005;113,188306;90,710114
2013-04-01;87,059954;127,439136;97,757989
2013-05-01;87,380764;131,591817;96,862853
2013-06-01;76,951095;121,66205;89,944271
2013-07-01;91,360003;140,2194;102,926913
2013-08-01;88,217471;118,008281;90,924312
