;Asia * China;Asia * Japon;Asia * India
1990-01-01;80,900203;187,249991;71,554101
1990-02-01;81,343271;186,573587;71,37392
1990-03-01;81,833198;185,889005;71,377029
1990-04-01;82,346813;185,146026;71,2997
1990-05-01;82,881592;184,322967;71,259693
1990-06-01;83,445274;183,46415;71,254545
1990-07-01;83,980268;182,646686;71,288716
1990-08-01;84,474118;181,878395;71,312142
1990-09-01;84,850837;181,23703;71,289842
1990-10-01;85,032566;180,870398;71,24575
1990-11-01;85,051353;180,798352;71,207667
1990-12-01;84,992122;180,991331;71,180216
1991-01-01;84,974086;181,365193;71,147979
1991-02-01;85,084402;181,748402;71,085114
1991-03-01;85,398729;181,934938;70,953987
1991-04-01;85,94216;181,741426;70,737025
1991-05-01;86,708717;181,057104;70,439822
1991-06-01;87,636747;179,853907;70,064651
1991-07-01;88,651707;178,209239;69,632841
1991-08-01;89,639432;176,210207;69,145825
1991-09-01;90,497713;173,978041;68,639611
1991-10-01;91,121776;171,601108;68,127069
1991-11-01;91,471386;169,127312;67,617178
1991-12-01;91,56363;166,587032;67,176411
1992-01-01;91,417889;164,060025;66,853884
1992-02-01;91,074639;161,540196;66,664582
1992-03-01;90,576364;158,979315;66,603177
1992-04-01;89,98193;156,332406;66,616712
1992-05-01;89,376075;153,530931;66,606307
1992-06-01;88,887419;150,555199;66,486629
1992-07-01;88,590333;147,419801;66,189249
1992-08-01;88,508478;144,240137;65,694772
1992-09-01;88,663367;141,126195;65,012184
1992-10-01;89,063817;138,159782;64,154837
1992-11-01;89,664056;135,427619;63,172831
1992-12-01;90,400414;133,009631;62,12668
1993-01-01;91,1405;130,881889;61,057924
1993-02-01;91,764094;129,016998;60,014441
1993-03-01;92,182167;127,36663;59,055541
1993-04-01;92,358997;125,849287;58,233934
1993-05-01;92,259658;124,444075;57,610706
1993-06-01;91,904948;123,104286;57,220963
1993-07-01;91,351765;121,744581;57,087961
1993-08-01;90,704866;120,310868;57,241536
1993-09-01;90,08114;118,797972;57,676001
1993-10-01;89,569008;117,236677;58,346998
1993-11-01;89,267842;115,688818;59,214742
1993-12-01;89,200816;114,223233;60,205669
1994-01-01;89,359495;112,875135;61,234291
1994-02-01;89,696792;111,678906;62,23827
1994-03-01;90,167242;110,718868;63,19351
1994-04-01;90,742945;110,07713;64,106603
1994-05-01;91,426959;109,778884;65,017409
1994-06-01;92,17284;109,801832;65,967919
1994-07-01;92,898563;110,05858;66,964882
1994-08-01;93,560476;110,434323;68,000155
1994-09-01;94,126001;110,723125;69,06494
1994-10-01;94,575321;110,786512;70,130054
1994-11-01;94,897945;110,540816;71,152863
1994-12-01;95,075137;109,891488;72,042809
1995-01-01;95,117511;108,810512;72,740643
1995-02-01;95,065945;107,356789;73,200259
1995-03-01;94,973815;105,632426;73,381131
1995-04-01;94,890632;103,779516;73,300566
1995-05-01;94,821439;101,895658;73,002917
1995-06-01;94,741131;100,026199;72,532428
1995-07-01;94,624383;98,263625;71,967645
1995-08-01;94,448855;96,694982;71,36229
1995-09-01;94,193852;95,353515;70,7186
1995-10-01;93,896085;94,249799;70,060606
1995-11-01;93,587404;93,324373;69,377227
1995-12-01;93,278397;92,555367;68,657036
1996-01-01;93,020688;91,950473;67,915474
1996-02-01;92,881677;91,550182;67,205997
1996-03-01;92,910861;91,368251;66,578488
1996-04-01;93,073892;91,404326;66,059852
1996-05-01;93,324346;91,629533;65,653989
1996-06-01;93,581;92,028141;65,346068
1996-07-01;93,822229;92,607006;65,136277
1996-08-01;94,066753;93,315482;65,030534
1996-09-01;94,331259;94,138197;65,04375
1996-10-01;94,576574;95,074764;65,160243
1996-11-01;94,720853;96,100475;65,370929
1996-12-01;94,776397;97,242649;65,696857
1997-01-01;94,781298;98,571506;66,154297
1997-02-01;94,788766;100,092507;66,730564
1997-03-01;94,875439;101,754691;67,436304
1997-04-01;95,116568;103,433658;68,26457
1997-05-01;95,555276;105,006391;69,180975
1997-06-01;96,214523;106,37562;70,183809
1997-07-01;97,084752;107,405133;71,247838
1997-08-01;98,083463;107,949017;72,320055
1997-09-01;99,120075;107,972169;73,373677
1997-10-01;100,086856;107,508754;74,390642
1997-11-01;100,898105;106,702404;75,355553
1997-12-01;101,507476;105,745777;76,257049
1998-01-01;101,857374;104,807417;77,070995
1998-02-01;101,903824;104,071702;77,791578
1998-03-01;101,611614;103,667731;78,398624
1998-04-01;100,97253;103,61932;78,862391
1998-05-01;100,028433;103,878625;79,11226
1998-06-01;98,921872;104,370515;79,120551
1998-07-01;97,804987;104,986816;78,88431
1998-08-01;96,802711;105,658725;78,456278
1998-09-01;95,941597;106,351185;77,903067
1998-10-01;95,196327;107,033066;77,284799
1998-11-01;94,600684;107,775318;76,688823
1998-12-01;94,155174;108,632798;76,19107
1999-01-01;93,847311;109,569465;75,828456
