;Asia * China;Asia * Japon;Asia * India
1990-01-01;72,621426;181,218226;81,535318
1990-02-01;70,31798;194,21906;75,09956
1990-03-01;81,843592;211,985005;77,431808
1990-04-01;71,253506;208,532777;74,600493
1990-05-01;83,124708;186,897538;75,845756
1990-06-01;99,0697;213,914566;80,367507
1990-07-01;102,306073;192,43584;93,616392
1990-08-01;93,234424;131,751465;15,1412
1990-09-01;106,292565;153,617463;68,118787
1990-10-01;97,840304;183,692225;90,096402
1990-11-01;77,394915;179,290713;75,908551
1990-12-01;51,840702;151,090612;51,398422
1991-01-01;74,210332;180,027529;82,213271
1991-02-01;76,793742;188,179008;72,360744
1991-03-01;77,765808;194,900593;66,914914
1991-04-01;88,135311;220,912306;75,972812
1991-05-01;80,147952;181,050273;73,105703
1991-06-01;100,419263;200,80037;83,809173
1991-07-01;103,686201;191,300896;89,459972
1991-08-01;104,591984;128,036377;16,106271
1991-09-01;126,053774;153,67022;67,52784
1991-10-01;104,421071;182,522115;81,088366
1991-11-01;76,424007;158,815334;65,807928
1991-12-01;56,777926;125,511577;50,678645
1992-01-01;81,422028;163,620757;76,103836
1992-02-01;84,116133;166,540116;73,028454
1992-03-01;88,906448;184,582739;70,642195
1992-04-01;82,910453;178,592025;71,929921
1992-05-01;82,573582;156,663982;61,71736
1992-06-01;106,442897;162,605633;78,320682
1992-07-01;106,479729;156,547368;82,489509
1992-08-01;99,141522;97,013422;9,902858
1992-09-01;112,104267;142,501725;66,865699
1992-10-01;90,422327;150,217523;79,002172
1992-11-01;74,493276;127,787025;64,436766
1992-12-01;64,433413;98,150881;48,674098
1993-01-01;74,525918;141,462857;63,873142
1993-02-01;88,210347;136,625437;64,808004
1993-03-01;95,767012;145,40088;60,721951
1993-04-01;88,106999;146,766621;67,235958
1993-05-01;83,986094;124,474812;53,711266
1993-06-01;111,272257;140,708214;69,461646
1993-07-01;107,155608;122,568838;68,609429
1993-08-01;98,249148;78,424864;12,241638
1993-09-01;111,774939;123,250791;62,579574
1993-10-01;95,581524;128,417793;65,15448
1993-11-01;76,571476;108,580349;59,096249
1993-12-01;63,515925;93,114107;46,01943
1994-01-01;76,243981;108,648215;70,837897
1994-02-01;82,564034;115,985479;67,174983
1994-03-01;86,834404;129,945624;70,706888
1994-04-01;87,043278;117,602184;67,668709
1994-05-01;86,168239;110,49808;71,953636
1994-06-01;109,568043;130,482979;80,80611
1994-07-01;105,126853;111,798913;74,104419
1994-08-01;118,734236;68,962139;12,724171
1994-09-01;120,736232;112,216403;69,966378
1994-10-01;97,201867;106,809962;77,141071
1994-11-01;83,66826;106,536422;75,187914
1994-12-01;68,868579;89,674674;61,935834
1995-01-01;87,61641;111,117403;85,579712
1995-02-01;80,233906;110,555186;77,766718
1995-03-01;98,073247;120,058413;78,298345
1995-04-01;82,043693;102,068326;73,591037
1995-05-01;92,984034;104,597992;77,50411
1995-06-01;114,103842;113,675821;87,760924
1995-07-01;108,283545;100,994282;82,630542
1995-08-01;117,621993;58,15888;14,254434
1995-09-01;113,961662;100,765512;73,725931
1995-10-01;98,952798;102,00512;84,139617
1995-11-01;86,096595;92,36993;74,035188
1995-12-01;68,131642;69,39267;49,030312
1996-01-01;80,681176;93,76693;75,300056
1996-02-01;78,971591;87,945494;75,247796
1996-03-01;91,795205;102,784228;66,645607
1996-04-01;86,28489;107,455962;71,567634
1996-05-01;95,688884;95,63587;67,481859
1996-06-01;109,67959;104,909769;74,1483
1996-07-01;118,484393;116,820087;75,865401
1996-08-01;105,349626;47,567819;17,55395
1996-09-01;113,923174;102,259772;65,417079
1996-10-01;108,281577;113,051962;80,192306
1996-11-01;85,108236;87,98023;65,734178
1996-12-01;51,364281;71,60639;54,122964
1997-01-01;77,817794;86,313124;70,377015
1997-02-01;83,392768;103,067166;72,361032
1997-03-01;96,784693;102,39719;69,909236
1997-04-01;103,037235;121,846723;75,396115
1997-05-01;95,567266;105,175328;69,139909
1997-06-01;112,653722;118,382735;87,689799
1997-07-01;99,178836;122,173329;82,136181
1997-08-01;99,173416;60,707057;18,197335
1997-09-01;134,218434;122,0897;75,174818
1997-10-01;110,659954;125,361128;90,245487
1997-11-01;83,935136;95,621886;75,47647
1997-12-01;79,615713;76,931702;62,864832
1998-01-01;91,177165;105,152822;83,541912
1998-02-01;93,218805;108,125249;81,321197
1998-03-01;101,126057;118,893566;86,087204
1998-04-01;99,12856;110,426739;84,421505
1998-05-01;93,844599;100,823068;76,352038
1998-06-01;115,900329;121,750999;93,838201
1998-07-01;109,647559;121,356404;91,928332
1998-08-01;106,9999;61,095377;20,375277
1998-09-01;121,340497;116,803879;81,771349
1998-10-01;96,063339;116,84074;89,871659
1998-11-01;83,362442;101,654624;80,022353
1998-12-01;67,843771;81,598625;61,289826
1999-01-01;76,709388;104,986942;79,123395
1999-02-01;82,102746;108,847416;76,35932
1999-03-01;98,755242;132,73602;78,963291
1999-04-01;102,050445;126,67001;84,277254
1999-05-01;89,601817;118,957941;76,854123
1999-06-01;108,6682;143,092258;92,739707
1999-07-01;101,634367;122,897542;86,783174
1999-08-01;105,825311;72,961246;19,166758
1999-09-01;118,683316;125,746621;79,724394
1999-10-01;92,678192;125,179259;90,245487
1999-11-01;88,251897;110,721556;80,166482
1999-12-01;58,288592;94,07278;71,181024
2000-01-01;80,619597;122,011687;81,29915
2000-02-01;92,252057;132,382833;89,201824
2000-03-01;97,950088;140,35895;88,879979
2000-04-01;88,79728;119,698309;80,031617
2000-05-01;109,844318;135,074336;86,677875
2000-06-01;115,827977;130,408368;92,146995
2000-07-01;114,443157;121,943134;85,83248
2000-08-01;110,092622;70,390738;38,55957
2000-09-01;114,842258;121,479708;82,15226
2000-10-01;101,851493;128,750824;96,146354
2000-11-01;88,079472;114,634933;84,32283
2000-12-01;74,129221;85,301113;64,366314
2001-01-01;81,552506;133,025645;90,431805
