;Europe * Francé;Europe * Spain;Europe * Greecà;Asia * China;Asia * Japon;Asia * India
1990-01-31;1,017042;0,99002;3,33464;1,010895;-4,676229;-0,024727
1990-02-28;0,999503;1,010649;1,902423;0,980685;0,542023;-1,191533
1990-03-31;1,035474;1,010229;9,639813;1,004603;3,984377;2,355026
1990-04-30;1,000002;1,020757;-12,341519;0,963316;-2,651049;-2,245942
1990-05-31;0,990003;0,985779;-5,12773;1,021499;-1,962682;2,181924
1990-06-30;0,991241;0,881717;-1,886324;1,000459;6,511294;-3,35385
1990-07-31;0,845266;0,112454;-6,633598;1,017632;0,54438;4,516825
1990-08-31;1,001116;0,601727;33,027242;0,984783;0,379276;-2,465531
1990-09-30;1,003593;1,081745;-23,440108;1,001926;-10,713596;-3,130858
1990-10-31;1,005548;1,021919;12,585432;1,020659;-0,737406;3,649123
1990-11-30;1,003812;0,994317;11,529713;1,018826;5,296126;2,214588
1990-12-31;1,004254;0,953726;-0,578713;0,966742;0,78816;-3,526767
1991-01-31;0,996567;0,9919;-0,289285;0,992172;-0,538988;3,161989
1991-02-28;0,987576;0,991517;-2,581149;1,001197;0,568929;-0,857899
1991-03-31;0,995465;1,002987;-13,291592;0,97648;-7,581847;-4,424133
1991-04-30;1,001555;0,986093;0,202357;1,029715;13,420409;1,350577
1991-05-31;1,007519;1,014237;4,987164;0,983801;-3,967413;1,218231
1991-06-30;1,007275;1,438582;-3,710448;0,988486;-0,364134;0,459507
1991-07-31;0,98827;1,043422;4,776585;0,992368;4,233968;2,207254
1991-08-31;0,999961;0,950273;-3,862816;1,014337;0,608692;-0,043533
1991-09-30;1,001798;0,763754;0,347609;1,042928;-7,639911;-0,96373
1991-10-31;1,009072;0,949242;10,433116;1,022983;6,616477;0,23787
1991-11-30;0,997436;1,014897;-9,958578;0,986564;0,064391;-2,205692
1991-12-31;0,998293;1,03277;-10,467733;0,965596;-6,215148;-0,322168
1992-01-31;0,989809;0,997565;6,175432;1,011104;1,886932;0,514568
