;Europe * Francé;Europe * Spain;Europe * Greecà;Asia * China;Asia * Japon;Asia * India
1990-01-31;1,011738;1,077231;21,429518;0,884313;-1,300173;9,147759
1990-02-28;0,90652;0,998192;4,312268;0,888237;6,563898;3,961719
1990-03-31;1,021994;1,108304;25,751797;1,011382;20,913357;2,8529
1990-04-30;0,994954;1,056266;5,074076;0,910494;24,605603;4,854527
1990-05-31;1,027079;1,069644;-9,940631;0,981808;2,762532;1,881913
1990-06-30;0,981693;0,731373;8,23511;1,173927;22,444179;12,08041
1990-07-31;1,012623;0,987883;10,888205;1,183791;10,031049;17,667875
1990-08-31;1,004567;1,057517;-58,346509;1,112588;-46,348622;-53,46638
1990-09-30;0,991039;0,907351;28,676823;1,23902;-11,117485;0,07491
1990-10-31;1,03871;0,953266;17,555829;1,114163;7,692004;14,729646
1990-11-30;0,991559;0,998117;-5,026431;0,893219;-5,54778;2,05179
1990-12-31;1,016391;1,055296;-47,667498;0,642429;-30,713309;-15,940564
1991-01-31;1,012986;1,080025;20,109179;0,90028;-0,55613;9,123327
1991-02-28;0,907688;0,998485;3,703509;0,917715;6,372937;4,232018
1991-03-31;1,022012;1,10805;26,048714;0,942074;20,179762;2,660489
1991-04-30;0,993576;1,055242;4,158859;0,998348;24,212943;5,203158
1991-05-31;1,026656;1,0589;-8,627566;0,943122;2,687446;1,477388
1991-06-30;0,983074;0,734409;9,129234;1,16315;21,16842;12,519903
1991-07-31;1,011654;0,990171;10,32786;1,167157;10,079746;16,849627
1991-08-31;1,00397;1,060332;-56,919513;1,117253;-45,859564;-53,087958
1991-09-30;0,991667;0,906646;28,999401;1,287113;-8,63719;0,634014
1991-10-31;1,037332;0,949832;16,763286;1,099291;8,50785;14,099966
1991-11-30;0,992854;1,002426;-5,348816;0,8576;-5,949548;1,798613
1991-12-31;1,016439;1,058956;-46,988396;0,660329;-30,65273;-15,389841
1992-01-31;1,012805;1,087092;17,800225;0,89803;0,239411;8,670033
1992-02-29;0,908871;0,997803;2,393908;0,915801;5,818616;4,630156
1992-03-31;1,022944;1,104654;25,484839;0,987596;19,58924;3,038363
1992-04-30;0,990673;1,049963;3,752508;0,946235;21,708573;5,41692
1992-05-31;1,026372;1,048158;-5,628745;0,945436;2,563347;0,9306
1992-06-30;0,986424;0,737404;10,813175;1,188574;19,714036;12,896946
1992-07-31;1,009892;0,996006;9,40013;1,171092;9,253662;15,428685
1992-08-31;1,003688;1,05421;-54,727919;1,11602;-45,128262;-52,633671
1992-09-30;0,991713;0,906883;29,440918;1,277817;-4,633679;1,368068
1992-10-31;1,036109;0,949492;14,583495;1,052789;8,964675;13,315002
1992-11-30;0,993869;1,009416;-5,73897;0,863627;-6,020805;1,80441
1992-12-31;1,016104;1,0657;-46,137728;0,712829;-29,486898;-14,699326
1993-01-31;1,013823;1,093966;15,391308;0,837978;0,715872;8,316301
1993-02-28;0,909936;0,999214;0,864693;0,923583;5,220168;5,020573
1993-03-31;1,0233;1,101712;24,954878;1,013846;18,552325;3,513974
1993-04-30;0,987252;1,045132;3,164429;0,946036;18,502566;5,402416
1993-05-31;1,024553;1,03132;-2,246103;0,932569;2,285798;1,061504
