;Europe * Francé;Europe * Spain;Europe * Greecà;Asia * China;Asia * Japon;Asia * India
1990-01-31;391,299557;2801,195097;226,704307;82,121835;182,5184;72,387559
1990-02-28;379,244602;2833,693801;228,304485;79,165771;187,655162;71,137841
1990-03-31;386,952328;2824,707484;238,994672;80,922531;191,071649;74,578908
1990-04-30;367,988865;2851,962849;220,101329;78,258034;183,927174;69,745966
1990-05-31;359,467339;2776,779119;230,564929;84,664918;184,135006;73,963843
1990-06-30;356,802518;2547,126249;237,449365;84,391699;191,470387;68,287098
1990-07-31;303,425509;337,491473;236,469538;86,422431;182,404791;75,948518
1990-08-31;359,923641;1875,005323;279,84764;83,799571;178,100087;68,60758
1990-09-30;361,41043;3452,229408;226,630449;85,787597;164,734947;68,043877
1990-10-31;361,758689;3271,57711;265,195872;87,815082;176,000222;75,366755
1990-11-30;359,295815;3127,851937;265,663785;86,647146;184,838492;73,856761
1990-12-31;356,560428;2911,487816;254,020899;80,694832;181,803921;67,338987
1991-01-31;351,09625;2943,877843;253,882732;82,430326;180,583659;73,089944
1991-02-28;346,178066;2908,986015;250,457724;83,679337;181,806071;68,128725
1991-03-31;348,466184;2960,772384;238,158495;82,547424;174,720831;64,254425
1991-04-30;351,24739;2949,550494;249,913876;88,28119;196,699363;70,769654
1991-05-31;354,726024;3059,317218;253,088756;84,981548;178,362827;71,628316
1991-06-30;356,177146;4328,58665;243,113428;86,333884;179,63195;71,28927
1991-07-31;350,679593;3103,862452;250,771303;88,836583;181,22115;72,610345
1991-08-31;355,422075;2787,420297;241,737093;93,615316;173,895941;69,194229
1991-09-30;356,025335;2219,006841;245,861085;97,935278;162,30741;66,893827
1991-10-31;358,149225;2757,379088;256,002865;94,989434;174,014265;66,988399
1991-11-30;353,409467;2971,628606;235,616965;89,113795;164,764882;64,009315
1991-12-31;353,162081;3060,600052;234,85653;85,984257;156,164306;66,068486
1992-01-31;349,566233;2984,001362;250,815368;90,667333;163,381345;67,433804
1992-02-29;366,458399;3020,089197;243,828193;91,849812;160,721501;68,398299
1992-03-31;354,224294;2912,942703;244,364722;90,023093;164,993499;67,603832
1992-04-30;352,929092;2887,54709;253,280412;87,621457;156,883453;66,513001
1992-05-31;349,210977;2929,508314;231,756876;87,339151;154,100635;60,786759
1992-06-30;344,578526;2748,850147;235,112373;89,555153;142,891597;65,423736
1992-07-31;349,249097;2628,817097;232,277854;90,923487;147,293706;67,060824
1992-08-31;341,932694;2480,774492;221,660696;88,834925;142,141684;62,536529
1992-09-30;334,330346;2933,776038;216,897441;87,731097;147,135404;65,49763
1992-10-31;324,380921;3270,53444;212,903304;85,88835;141,252848;65,68717
1992-11-30;325,438249;2901,018627;227,04141;86,2563;133,80783;62,632356
1992-12-31;327,326931;2963,61914;226,704215;90,391128;127,637779;63,373424
1993-01-31;327,975383;3110,937429;194,458129;88,93546;140,746985;55,556841
1993-02-28;333,692795;3014,29228;233,967074;95,508844;131,405269;59,787431
1993-03-31;324,79762;3090,387357;227,989849;94,459138;126,848555;57,207977
1993-04-30;334,765962;3043,628151;228,422612;93,132796;128,264055;61,833542
1993-05-31;326,363049;3015,141625;206,414963;90,058812;122,189013;52,649763
1993-06-30;320,561175;2954,229162;223,119349;92,429964;121,932634;56,320512
1993-07-31;322,143331;3079,128986;231,945806;91,638935;114,085385;55,031127
1993-08-31;317,022806;3185,642278;225,357264;89,022241;122,627131;64,478213
1993-09-30;320,125875;2124,569283;235,12732;88,740711;124,181619;60,843187
1993-10-31;332,386213;2882,451903;211,915364;89,242986;119,490668;52,755186
