;Europe * Francé;Europe * Spain;Europe * Greecà;Asia * China;Asia * Japon;Asia * India
1990-01-31;384,742863;2829,432638;223,369667;81,236769;187,194629;72,412286
1990-02-28;379,43319;2803,836955;226,402062;80,724974;187,11314;72,329373
1990-03-31;373,695784;2796,1051;229,354859;80,551791;187,087272;72,223881
1990-04-30;367,988201;2793,969316;232,442848;81,238167;186,578223;71,991908
1990-05-31;363,097276;2816,836229;235,692659;82,883046;186,097688;71,781919
1990-06-30;359,955409;2888,825315;239,335689;84,352995;184,959093;71,640947
1990-07-31;358,970518;3001,161507;243,103136;84,925074;181,860411;71,431692
1990-08-31;359,522397;3116,03882;246,820398;85,094415;177,720811;71,073111
1990-09-30;360,116438;3191,351664;250,070557;85,622725;175,448543;71,174735
1990-10-31;359,762837;3201,405587;252,610439;86,037618;176,737628;71,717632
1990-11-30;357,93141;3145,730606;254,134071;85,046043;179,542366;71,642173
1990-12-31;355,049987;3052,750324;254,599612;83,470918;181,015761;70,865754
1991-01-31;352,305857;2967,918116;254,172017;83,080674;181,122647;69,927955
1991-02-28;350,53304;2933,87375;253,038873;83,57928;181,237142;68,986625
1991-03-31;350,053597;2951,953772;251,450087;84,53571;182,302677;68,678558
1991-04-30;350,701967;2991,148794;249,71152;85,733629;183,278955;69,419077
1991-05-31;352,078887;3016,374461;248,101592;86,380801;182,33024;70,410085
1991-06-30;353,604762;3008,925257;246,823876;87,339543;179,996084;70,829763
1991-07-31;354,841848;2974,694899;245,994718;89,519825;176,987183;70,403091
1991-08-31;355,435797;2933,282493;245,599909;92,292095;173,287249;69,237762
1991-09-30;355,386457;2905,39286;245,513476;93,904171;169,94732;67,857557
1991-10-31;354,929332;2904,823027;245,569749;92,855298;167,397788;66,75053
1991-11-30;354,31808;2928,010982;245,575543;90,327396;164,700491;66,215007
1991-12-31;353,766016;2963,487342;245,324263;89,047858;162,379455;66,390654
1992-01-31;353,165188;2991,284363;244,639936;89,671603;161,494413;66,919235
1992-02-29;352,614414;2995,47903;243,395636;90,248948;161,251533;67,133982
1992-03-31;352,237841;2969,869588;241,518428;89,6258;160,012658;66,624012
1992-04-30;351,640702;2911,671558;239,046593;88,679406;156,850815;65,565256
1992-05-31;350,361776;2828,371224;236,081879;88,523221;152,445262;64,732605
1992-06-30;347,935751;2733,590329;232,936804;89,167073;148,4371;64,648961
1992-07-31;344,36155;2631,286389;229,939864;89,495763;145,945595;64,76775
1992-08-31;339,913669;2534,994688;227,300565;88,905804;144,531976;64,640168
1992-09-30;335,47663;3093,641911;225,236214;87,935588;142,796499;64,452937
1992-10-31;331,685749;3034,658025;223,818027;87,346461;139,781856;63,961205
1992-11-30;329,026215;3014,331489;223,178991;87,874741;136,33767;62,851799
1992-12-31;327,778566;3020,425999;223,365341;89,23381;134,263165;61,224907
1993-01-31;327,630103;3031,64058;224,089475;90,8934;133,322969;59,698613
1993-02-28;327,822666;3035,869315;225,02014;92,651224;131,63933;58,896402
1993-03-31;327,355803;3035,972258;225,913872;93,272943;129,041403;58,529253
1993-04-30;325,971547;3040,829581;226,463104;92,492837;126,28289;57,880711
1993-05-31;323,994216;3044,231677;226,557674;91,676197;123,543987;57,024632
1993-06-30;322,425918;3037,855184;226,161813;91,425222;121,251636;56,976887
1993-07-31;322,297326;3038,113459;225,278044;90,907437;120,20492;58,038842
1993-08-31;324,285112;3044,982163;224,157485;89,944791;120,488062;59,080857
1993-09-30;328,250098;3054,036064;223,025968;89,384583;120,564196;58,848866
1993-10-31;333,387315;3061,732313;222,086886;89,292703;119,307109;58,065864
1993-11-30;338,522682;3067,541703;221,415859;89,409331;117,327726;58,390484
1993-12-31;342,107518;3062,103692;220,996137;89,494371;115,197918;59,872759
1994-01-31;343,54689;3052,181824;220,839105;89,451478;112,955963;61,564936
1994-02-28;342,998563;3048,648248;220,877043;89,466901;111,036646;63,020712
1994-03-31;341,017244;3065,52087;221,027548;89,659437;109,412168;64,29141
1994-04-30;338,683324;3113,736272;221,240087;90,200878;108,2071;65,41027
1994-05-31;336,523768;3188,610398;221,438467;91,197516;108,061443;66,143409
1994-06-30;334,589076;3264,229708;221,502852;92,801071;108,398772;66,026626
1994-07-31;332,493015;3301,467167;221,309543;94,999161;108,518776;65,583131
1994-08-31;329,744491;3288,066061;220,933858;96,676638;108,342739;65,877611
1994-09-30;325,74364;3236,070741;220,49677;96,507517;107,607501;67,01077
1994-10-31;320,831951;3164,56803;220,123515;95,689295;107,452984;68,879104
1994-11-30;315,566316;3092,09448;220,024964;95,819851;108,984528;71,351038
