;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India
1990-01-01;1,017042;0,990021;3,33464;1,009238;-5,25373;-0,925003
1990-02-01;0,999503;1,010649;1,902423;0,965275;0,955354;-0,173936
1990-03-01;1,035474;1,01023;9,639814;1,023872;2,167969;2,148505
1990-04-01;1,000002;1,020756;-12,341521;0,943844;2,408985;-0,8642
1990-05-01;0,990003;0,985777;-5,127729;1,023216;-3,174472;0,597318
1990-06-01;0,991241;0,881715;-1,886324;1,011675;7,676609;-2,969604
1990-07-01;0,845266;0,112452;-6,633598;1,046287;1,610303;4,886104
1990-08-01;1,001116;0,601724;33,027242;0,947389;-4,86717;-4,348346
1990-09-01;1,003593;1,081741;-23,440108;1,023477;-8,216933;-0,392155
1990-10-01;1,005548;1,021917;12,585432;1,029022;-5,466177;2,300937
1990-11-01;1,003812;0,994316;11,529714;1,028086;2,590132;1,129066
1990-12-01;1,004254;0,953726;-0,578713;0,945747;5,938231;-0,938628
1991-01-01;0,996567;0,9919;-0,289284;0,984997;-2,575301;1,312486
1991-02-01;0,987576;0,991517;-2,581148;1,001398;-0,06538;-0,66156
1991-03-01;0,995465;1,002987;-13,291591;0,95866;2,693397;-2,742219
1991-04-01;1,001555;0,986093;0,202353;1,064181;7,917629;-0,060691
1991-05-01;1,007519;1,014237;4,987165;0,938502;-4,416877;-0,548762
1991-06-01;1,007275;1,438586;-3,710447;1,012352;6,533896;4,098483
1991-07-01;0,98827;1,043419;4,776585;0,967868;2,584;0,579345
1991-08-01;0,999961;0,950274;-3,862816;1,023881;1,645194;0,776102
1991-09-01;1,001798;0,763755;0,347609;1,090064;-6,343091;-0,412427
1991-10-01;1,009072;0,949242;10,433116;1,026622;3,037791;-1,742064
1991-11-01;0,997436;1,014897;-9,958578;0,9881;1,226634;-1,103825
1991-12-01;0,998293;1,03277;-10,467733;0,931301;-5,992918;0,27191
1992-01-01;0,989809;0,997565;6,175432;1,011485;-1,253415;-0,380151
1992-02-01;1,039261;1,008216;0,432557;1,054645;2,729432;-0,565149
1992-03-01;1,00564;0,980832;2,846296;1,004035;4,564739;2,179093
1992-04-01;1,003664;0,991715;14,233811;0,964317;0,817826;0,041495
1992-05-01;0,996715;1,035759;-4,325002;1,011515;6,043903;-1,180035
1992-06-01;0,990351;1,005584;2,175569;0,988198;-9,207906;-0,867985
1992-07-01;1,014193;0,999059;2,33799;0,999214;-2,270136;0,46238
1992-08-01;1,00594;0,978612;-5,639869;1,024449;1,951469;0,934079
1992-09-01;0,996583;0,948324;-8,338773;0,97533;2,074163;-0,341804
1992-10-01;0,977977;1,077728;-10,914723;0,955188;1,698095;2,404407
1992-11-01;0,989095;0,962409;3,86242;0,979997;-1,110785;1,142169
1992-12-01;0,998622;0,981192;3,338875;1,008749;-10,349198;-0,191695
1993-01-01;1,001054;1,026156;-29,631346;0,986167;11,944149;-1,916064
1993-02-01;1,017906;0,992892;8,946934;1,062851;-0,295249;1,602521
1993-03-01;0,992185;1,017923;2,075983;1,018608;-6,847632;-3,375486
1993-04-01;1,026979;1,00092;1,959499;0,996061;1,495686;2,494971
1993-05-01;1,007311;0,990445;-20,14271;0,999857;1,789581;-2,217086
1993-06-01;0,994217;0,972472;-3,042463;1,010769;-2,89529;-2,375697
1993-07-01;0,999522;1,013499;6,667763;1,02528;-6,242132;-2,665065
1993-08-01;0,977605;1,046194;1,199781;0,965233;2,461619;6,052605
1993-09-01;0,97525;0,695659;12,101352;0,968009;2,130241;0,603706
1993-10-01;0,996997;0,941445;-10,171523;1,036245;5,212216;-3,101302
1993-11-01;1,011898;1,067351;-6,994638;0,964659;-4,437107;-3,016681
1993-12-01;1,032957;1,042731;7,598937;0,984292;2,285078;-2,02292
1994-01-01;1,011275;0,800737;-4,039408;1,017499;-0,975054;3,181456
1994-02-01;0,994886;1,002544;-21,358063;1,017558;-0,819629;-0,047915
1994-03-01;1,001424;0,990943;16,353503;0,937042;1,063513;0,719687
1994-04-01;0,990921;0,999371;-16,991861;1,023777;-6,997046;-1,421885
1994-05-01;0,994447;0,922573;14,437994;0,981596;-0,198984;4,483484
1994-06-01;1,020413;1,067391;9,495299;0,979216;1,657989;-0,022496
1994-07-01;0,991426;1,007564;-9,855713;1,009443;-0,563993;-1,322043
1994-08-01;1,000439;1,044821;6,761613;1,065782;0,816232;-3,22401
1994-09-01;1,013766;0,798418;-6,612911;0,991229;0,49457;-0,77644
1994-10-01;0,992622;0,958241;0,721883;0,995108;-5,381649;-1,685047
1994-11-01;1,005346;0,995611;-0,103597;0,984346;1,91661;0,584417
1994-12-01;0,998713;0,9883;-4,20375;1,022879;8,467499;3,556706
1995-01-01;0,989008;1,03413;1,662902;1,06365;4,567636;3,808553
1995-02-01;0,990971;0,997759;-3,679631;0,946908;2,227963;0,281814
1995-03-01;1,016562;0,9796;0,039705;1,008435;-3,34579;-0,966773
1995-04-01;0,991599;0,979337;-1,076914;0,962815;-3,150375;-0,300933
1995-05-01;1,001858;1,086536;8,363745;0,987532;-0,093135;0,830906
1995-06-01;1,012854;0,641133;5,779519;0,995666;-3,461179;0,486485
1995-07-01;0,984758;0,674071;-10,684166;1,027577;-1,253918;2,720432
1995-08-01;1,005245;0,959593;4,234143;1,049998;1,431408;-5,858632
