;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India
1990-01-01;1,011738;1,077231;21,429518;0,891619;0,662915;10,324461
1990-02-01;0,90652;0,998191;4,312268;0,900047;7,611634;3,054833
1990-03-01;1,021994;1,108304;25,751797;0,983062;24,27254;3,051354
1990-04-01;0,994954;1,056266;5,074079;0,922188;21,138325;3,476994
1990-05-01;1,027079;1,069644;-9,940631;0,982515;5,792466;3,585796
1990-06-01;0,981693;0,731371;8,23511;1,172708;22,745856;11,791992
1990-07-01;1,012623;0,987888;10,888205;1,16479;8,881157;17,267208
1990-08-01;1,004567;1,057517;-58,346509;1,169036;-43,399547;-51,697629
1990-09-01;0,991039;0,907351;28,676823;1,228026;-17,079125;-2,731058
1990-10-01;1,03871;0,953265;17,555829;1,120424;10,015801;16,276273
1990-11-01;0,991559;0,998117;-5,026432;0,888847;-3,502916;3,405103
1990-12-01;1,016391;1,055295;-47,667498;0,649459;-35,735058;-18,605861
1991-01-01;1,012986;1,080025;20,109178;0,891574;1,704912;10,434782
1991-02-01;0,907688;0,998484;3,703509;0,902784;7,300688;3,114358
1991-03-01;1,022012;1,10805;26,048714;0,947608;11,124482;0,090113
1991-04-01;0,993576;1,055242;4,158863;0,95917;32,486126;6,317888
1991-05-01;1,026656;1,058899;-8,627567;0,981594;6,262302;3,521393
1991-06-01;0,983074;0,734408;9,129234;1,128821;16,514968;9,39272
1991-07-01;1,011654;0,990176;10,32786;1,202977;12,969815;19,027411
1991-08-01;1,00397;1,060332;-56,919513;1,130467;-46,610186;-53,582024
1991-09-01;0,991667;0,906646;28,9994;1,267576;-10,296064;0,104149
1991-10-01;1,037332;0,949831;16,763286;1,116577;11,386138;15,927335
1991-11-01;0,992854;1,002425;-5,348816;0,855731;-8,160272;0,544438
1991-12-01;1,016439;1,058955;-46,988397;0,677651;-31,826815;-15,71854
1992-01-01;1,012805;1,087091;17,800225;0,892788;3,285625;10,522502
1992-02-01;0,908871;0,997802;2,393908;0,882995;3,655567;7,708694
1992-03-01;1,022944;1,104654;25,484837;0,984545;21,784437;2,703332
1992-04-01;0,990673;1,049963;3,752514;0,961387;22,050878;6,551765
1992-05-01;1,026372;1,048157;-5,628746;0,915562;-1,993215;-1,93552
1992-06-01;0,986424;0,737403;10,813175;1,210393;22,569033;14,603233
1992-07-01;1,009892;0,996009;9,40013;1,199168;12,116163;17,490423
1992-08-01;1,003688;1,05421;-54,72792;1,091291;-49,719503;-55,446496
1992-09-01;0,991713;0,906883;29,440917;1,300423;-2,177993;3,06495
1992-10-01;1,036109;0,949492;14,583495;1,070974;8,458401;12,931408
1992-11-01;0,993869;1,009416;-5,738971;0,854319;-8,329882;0,53996
1992-12-01;1,016104;1,065699;-46,137729;0,71057;-26,50517;-12,630647
1993-01-01;1,013823;1,093966;15,391308;0,831558;-3,914287;5,449972
1993-02-01;0,909936;0,999214;0,864692;0,905287;5,904284;3,820981
1993-03-01;1,0233;1,101712;24,954872;1,023038;23,892094;5,489996
1993-04-01;0,987252;1,045132;3,164439;0,964724;18,766797;6,68699
1993-05-01;1,024553;1,031319;-2,246103;0,918813;-2,017534;-1,635178
1993-06-01;0,989329;0,736585;11,879041;1,208287;20,906561;14,408055
1993-07-01;1,01033;0,996872;8,579775;1,153782;7,559746;13,204042
1993-08-01;1,005355;1,04475;-52,240535;1,131767;-44,562629;-52,66825
1993-09-01;0,99202;0,91172;28,637551;1,288344;1,356409;3,108831
1993-10-01;1,033643;0,964772;13,430909;1,029595;4,823276;9,692439
1993-11-01;0,994168;1,017623;-5,177779;0,886638;-3,598063;3,159845
1993-12-01;1,016126;1,068834;-43,877621;0,719545;-24,188498;-12,193577
1994-01-01;1,014132;1,100283;12,175052;0,832154;-3,844084;5,819881
1994-02-01;0,912107;0,996891;0,276045;0,899121;4,847081;4,11439
1994-03-01;1,022839;1,097026;22,871986;1,024129;18,352795;5,899159
1994-04-01;0,984307;1,039245;2,20679;0,933154;15,256255;4,014824
1994-05-01;1,022305;1,012764;-0,180186;0,955254;1,802123;1,588252
1994-06-01;0,990878;0,734246;11,859797;1,205352;20,092523;14,730103
1994-07-01;1,011878;0,998272;8,557569;1,10795;3,959059;9,353965
1994-08-01;1,005629;1,032994;-50,483904;1,174194;-39,922766;-50,565465
1994-09-01;0,991894;0,924002;29,139393;1,280014;4,077812;3,112209
1994-10-01;1,032946;0,981442;14,153857;1,025679;4,802404;9,568681
1994-11-01;0,993922;1,029213;-4,511613;0,890455;-3,065511;3,440434
1994-12-01;1,017914;1,076938;-40,58418;0,703331;-26,489644;-14,445119
1995-01-01;1,015963;1,099235;8,009926;0,862003;0,02335;8,199759
1995-02-01;0,914114;0,99484;-1,084189;0,892345;3,904068;4,077494
1995-03-01;1,021481;1,086756;21,663345;1,028921;21,315772;6,298231
1995-04-01;0,9813;1,037172;0,479724;0,902479;5,01784;1,219115
1995-05-01;1,017938;0,982352;0,8418;0,99452;5,87759;4,242904
1995-06-01;0,989154;0,732383;11,207093;1,203371;19,419545;15,238264
1995-07-01;1,01621;0,999069;9,075532;1,100537;5,184122;8,629651
1995-08-01;1,006462;1,029074;-49,413755;1,169381;-39,958974;-50,402532
1995-09-01;0,993235;0,942274;28,621918;1,227669;2,215283;0,640995
1995-10-01;1,032558;1,007538;17,403188;1,058737;9,700593;12,639394
1995-11-01;0,992666;1,041311;-2,99825;0,895128;-2,901502;3,73591
1995-12-01;1,021264;1,079124;-36,64051;0,685948;-30,830761;-17,136302
1996-01-01;1,015884;1,091053;2,966247;0,890136;2,885106;9,690894
