;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India
1990-01-01;391,299558;2801,195772;226,704307;81,448987;180,555311;71,210857
1990-02-01;379,244601;2833,694531;228,304485;78,126998;186,607426;72,044727
1990-03-01;386,952329;2824,70808;238,994672;83,253771;187,712465;74,380454
1990-04-01;367,988865;2851,963508;220,101327;77,265731;187,394452;71,123499
1990-05-01;359,46734;2776,780102;230,564929;84,603991;181,105071;72,25996
1990-06-01;356,80252;2547,130398;237,449365;84,479439;191,16871;68,575515
1990-07-01;303,425494;337,489749;236,469538;87,832195;183,554683;76,349184
1990-08-01;359,923643;1875,005026;279,84764;79,753229;175,151012;66,838828
1990-09-01;361,410433;3452,230813;226,630449;86,5556;170,696588;70,849845
1990-10-01;361,758695;3271,580264;265,195872;87,324395;173,676425;73,820129
1990-11-01;359,295817;3127,854309;265,663785;87,073336;182,793629;72,503448
1990-12-01;356,560429;2911,489548;254,0209;79,821379;186,82567;70,004283
1991-01-01;351,09625;2943,878492;253,882732;83,235216;178,322617;71,778488
1991-02-01;346,178065;2908,986612;250,457725;85,063257;180,87832;69,246386
1991-03-01;348,466184;2960,772885;238,158496;82,065412;183,77611;66,824801
1991-04-01;351,24739;2949,551078;249,913872;91,887051;188,42618;69,654923
1991-05-01;354,726025;3059,318189;253,088756;81,650837;174,787971;69,58431
1991-06-01;356,177148;4328,592888;243,113428;88,959434;184,285402;74,416453
1991-07-01;350,679577;3103,848513;250,771303;86,191326;178,331081;70,43256
1991-08-01;355,422078;2787,419894;241,737093;92,521027;174,646563;69,688295
1991-09-01;356,025338;2219,007572;245,861085;99,444761;163,966284;67,423692
1991-10-01;358,14923;2757,381414;256,002865;93,518905;171,135977;65,161031
1991-11-01;353,409468;2971,630535;235,616966;89,308463;166,975606;65,26349
1991-12-01;353,162082;3060,601667;234,856531;83,78636;157,338392;66,397185
1992-01-01;349,566233;2984,002011;250,815369;91,199693;160,335132;65,581335
1992-02-01;366,458399;3020,089582;243,828194;95,262334;162,88455;65,31976
1992-03-01;354,224294;2912,942937;244,364724;90,302073;162,798302;67,938862
1992-04-01;352,929091;2887,547298;253,280405;86,240418;156,541148;65,378157
1992-05-01;349,210977;2929,509223;231,756877;90,189004;158,657198;63,65288
1992-06-01;344,578527;2748,852403;235,112373;87,940799;140,0366;63,717449
1992-07-01;349,249087;2628,809719;232,277854;88,794656;144,431205;64,999085
1992-08-01;341,932696;2480,774081;221,660697;90,847919;146,732925;65,349354
1992-09-01;334,330348;2933,776196;216,897441;86,206021;144,679718;63,800748
1992-10-01;324,380924;3270,536204;212,903304;84,430005;141,759121;66,070765
1992-11-01;325,438251;2901,019822;227,041411;87,196061;136,116907;63,896806
1992-12-01;327,326932;2963,620181;226,704216;90,67844;124,656051;61,304744
1993-01-01;327,975383;3110,937897;194,458129;89,622084;145,377145;58,42317
1993-02-01;333,692794;3014,29239;233,967074;97,439123;130,721153;60,987022
1993-03-01;324,79762;3090,387307;227,989854;93,610393;121,508786;55,231955
1993-04-01;334,765961;3043,628013;228,422602;91,3287;127,999825;60,548968
1993-05-01;326,363048;3015,143611;206,414963;91,40716;126,492346;55,346444
1993-06-01;320,561175;2954,22991;223,119349;92,090915;119,801653;55,053591
1993-07-01;322,143327;3079,124867;231,945806;92,873361;115,009092;55,405387
1993-08-01;317,022806;3185,641763;225,357265;86,810363;122,987493;64,909888
1993-09-01;320,125876;2124,568752;235,12732;86,758603;121,894382;59,470742
1993-10-01;332,386215;2882,452582;211,915364;92,834137;123,594517;55,462041
1993-11-01;342,550395;3274,144015;214,421223;86,361613;112,178412;55,936404
1993-12-01;353,3825;3192,951241;228,595077;88,272404;117,302604;58,213007
1994-01-01;347,420415;2443,995338;216,7997;91,622407;112,492299;65,018016
1994-02-01;341,244496;3056,403064;199,518984;91,827462;111,138398;63,060593
1994-03-01;341,502961;3037,756442;237,381056;84,788555;111,59283;64,807729
1994-04-01;335,608326;3111,776678;204,24823;93,278625;102,345929;63,653886
1994-05-01;334,655079;2941,726321;235,876466;90,204571;108,695957;70,365384
1994-06-01;341,419071;3484,211122;230,998155;90,901289;110,390456;66,076008
1994-07-01;329,642219;3326,44019;211,453834;94,884144;107,839854;64,750454
1994-08-01;329,889386;3435,44165;227,695474;101,119774;108,884905;63,289636
1994-09-01;330,227745;2583,736723;213,883862;94,324132;108,138591;66,854169
1994-10-01;318,464925;3032,41791;220,8454;94,768332;102,007558;67,57239
1994-11-01;317,253186;3078,523809;219,921368;93,961244;109,601933;71,747479
1994-12-01;310,274957;3009,699387;215,975578;97,917748;116,164317;76,380953
1995-01-01;303,508134;3135,73712;222,270707;101,642767;111,094052;77,379953
1995-02-01;301,565205;3025,418974;217,568726;89,913558;106,651118;73,689224
1995-03-01;307,966919;2964,336741;221,947593;95,316615;98,742641;72,000114
1995-04-01;299,510168;2942,760901;221,325635;90,909296;97,050486;72,371922
1995-05-01;301,659212;3239,623002;230,939965;93,496383;98,720402;73,261205
1995-06-01;303,82895;1904,301134;228,000935;94,820174;94,256277;72,522661
1995-07-01;293,753834;2003,225924;210,681048;98,391554;95,81016;74,000891
1995-08-01;297,751918;2861,749204;224,192264;100,584865;98,117854;64,656966
1995-09-01;291,825771;3301,001825;222,280297;92,827696;98,550229;73,084936
1995-10-01;295,006424;3064,176485;208,614496;93,463064;92,304528;71,500223
1995-11-01;316,18165;2987,259527;221,263874;96,183605;95,271433;70,299278
1995-12-01;280,401936;2898,387234;191,439349;99,324774;100,223431;66,166614
1996-01-01;282,13135;2946,984274;214,453165;90,639192;90,881824;65,609162
1996-02-01;273,154877;2926,816695;209,096916;87,864052;83,847464;64,350158
1996-03-01;266,532741;2928,443905;179,420217;95,321271;90,808679;65,355422
1996-04-01;268,835676;2744,909293;201,39398;88,377966;94,603113;64,973162
1996-05-01;262,827298;2945,974133;200,028028;95,679437;89,65542;63,621678
1996-06-01;257,160597;2277,289722;186,004061;98,124472;94,345068;63,803095
1996-07-01;253,545419;1419,951876;210,375647;101,176121;101,531025;62,604274
1996-08-01;249,838434;2205,145485;198,832149;94,20433;92,072422;69,725754
1996-09-01;238,367202;2660,895584;192,172755;93,172129;98,055114;64,782658
1996-10-01;229,175653;2433,058292;216,519115;99,08015;98,012089;64,5855
1996-11-01;228,167219;2376,754639;193,138257;98,18421;95,358989;64,586609
1996-12-01;222,942082;2359,313862;204,313379;71,661727;99,445717;68,742748
1997-01-01;217,866257;2337,892486;198,371432;87,520579;84,252084;61,63152
1997-02-01;222,371078;2313,289894;206,682784;93,496199;100,23191;68,449269
1997-03-01;214,529722;2363,849416;190,688384;100,006535;98,376787;68,088085
1997-04-01;214,653081;2456,238259;248,105956;104,519665;102,134431;68,717388
1997-05-01;210,680526;2481,189279;195,602291;98,580399;103,111973;68,119298
1997-06-01;205,114857;2607,326142;202,965385;97,575002;103,535623;74,27689
1997-07-01;212,568813;2468,951802;204,073652;85,722539;106,715253;69,449802
1997-08-01;207,401972;2304,272327;195,815921;92,703622;109,790764;72,464548
1997-09-01;211,79308;2235,839156;212,424086;106,296082;112,247233;72,00904
1997-10-01;213,809599;2111,47376;217,850849;101,950522;109,72738;74,470421
1997-11-01;210,51109;2059,119396;212,633344;100,182685;107,486335;77,045001
1997-12-01;215,718376;2131,057089;215,156518;106,484952;101,891599;75,174524
1998-01-01;211,714358;2070,28624;199,297347;105,889352;106,347799;77,814487
1998-02-01;210,310014;2025,523361;201,622238;103,975167;104,791775;77,431405
