;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India
1990-01-01;384,742858;2829,429284;223,369667;80,70341;185,809041;72,13586
1990-02-01;379,433188;2803,835386;226,402061;80,937538;185,652072;72,218662
1990-03-01;373,695784;2796,105267;229,354859;81,312683;185,544496;72,231949
1990-04-01;367,988205;2793,972422;232,442848;81,862843;184,985467;71,9877
1990-05-01;363,097285;2816,843656;235,692659;82,684354;184,279543;71,662642
1990-06-01;359,955422;2888,837294;239,335689;83,504506;183,492101;71,545119
1990-07-01;358,970533;3001,176543;243,103136;83,946585;181,94438;71,463081
1990-08-01;359,52241;3116,054174;246,820398;84,182125;180,018182;71,187175
1990-09-01;360,116449;3191,364537;250,070557;84,570149;178,913521;71,242
1990-10-01;359,762844;3201,414161;252,610439;84,861518;179,142602;71,519191
1990-11-01;357,931413;3145,734716;254,134072;84,694581;180,203497;71,374382
1990-12-01;355,049988;3052,751384;254,599613;84,400387;180,887439;70,942912
1991-01-01;352,305858;2967,918466;254,172017;84,503008;180,897918;70,466002
1991-02-01;350,533041;2933,874571;253,038873;84,944466;180,9437;69,907946
1991-03-01;350,053598;2951,954248;251,450087;85,60432;181,082713;69,567021
1991-04-01;350,701966;2991,148358;249,711519;86,345326;180,508552;69,715615
1991-05-01;352,078885;3016,372719;248,101591;87,001211;179,204848;70,133072
1991-06-01;353,60476;3008,922429;246,823875;87,874054;177,751506;70,317971
1991-07-01;354,841846;2974,691681;245,994718;89,0528;175,747081;69,853216
1991-08-01;355,435796;2933,279795;245,599909;90,363046;173,001368;68,912194
1991-09-01;355,386457;2905,39143;245,513476;91,228386;170,309375;67,836119
1991-10-01;354,929333;2904,823118;245,569749;91,093848;168,098186;66,903095
1991-11-01;354,318083;2928,012238;245,575544;90,384047;165,748971;66,367315
1991-12-01;353,766018;2963,488968;245,324264;89,967049;163,33131;66,125275
1992-01-01;353,16519;2991,285793;244,639937;90,16417;161,588547;65,961485
1992-02-01;352,614415;2995,480006;243,395636;90,326409;160,155118;65,884909
1992-03-01;352,23784;2969,87023;241,518428;89,939202;158,233563;65,759769
1992-04-01;351,640702;2911,67172;239,046593;89,431584;155,723321;65,336662
1992-05-01;350,361775;2828,370825;236,081879;89,162291;152,613294;64,832915
1992-06-01;347,93575;2733,589368;232,936805;88,991039;149,244506;64,585435
1992-07-01;344,361548;2631,285053;229,939865;88,864507;146,70134;64,536705
1992-08-01;339,913667;2534,993292;227,300565;88,679794;144,781456;64,415275
1992-09-01;335,476628;3093,641761;225,236214;88,386496;142,605555;64,142553
1992-10-01;331,685748;3034,658413;223,818028;88,390962;140,061027;63,666358
1992-11-01;329,026214;3014,332322;223,178991;88,975836;137,227692;62,754637
1992-12-01;327,778566;3020,426957;223,365342;89,892011;135,005249;61,496439
1993-01-01;327,630103;3031,641405;224,089474;90,87922;133,432996;60,339234
1993-02-01;327,822667;3035,869878;225,02014;91,677128;131,016403;59,384502
1993-03-01;327,355803;3035,972687;225,913871;91,900315;128,356418;58,607442
1993-04-01;325,971547;3040,829779;226,463103;91,689852;126,504139;58,053997
1993-05-01;323,994215;3044,231553;226,557673;91,420267;124,702765;57,56353
1993-06-01;322,425917;3037,854715;226,161811;91,109794;122,696943;57,429287
1993-07-01;322,297324;3038,112775;225,278043;90,583383;121,251225;58,070452
1993-08-01;324,285111;3044,981495;224,157484;89,937212;120,525874;58,857283
1993-09-01;328,250097;3054,035653;223,025968;89,625832;119,764142;58,867036
1993-10-01;333,387315;3061,732299;222,086887;89,587076;118,382301;58,563343
1993-11-01;338,522683;3067,541975;221,415861;89,525537;116,615519;58,953085
1993-12-01;342,107519;3062,104067;220,99614;89,681124;115,017526;60,235927
1994-01-01;343,546891;3052,182133;220,839109;90,046664;113,467352;61,83656
1994-02-01;342,998563;3048,648496;220,877048;90,242939;111,958028;63,108508
1994-03-01;341,017244;3065,521219;221,027552;90,485302;110,529317;64,088042
1994-04-01;338,683323;3113,736735;221,240092;91,11227;109,342975;65,07577
1994-05-01;336,523766;3188,610881;221,438471;91,895826;108,89494;65,881899
1994-06-01;334,589075;3264,230042;221,502856;92,830691;108,732468;66,098504
1994-07-01;332,493014;3301,467206;221,309547;93,996524;108,403848;66,072497
1994-08-01;329,74449;3288,065771;220,933861;94,878444;108,068673;66,513646
1994-09-01;325,74364;3236,070204;220,496772;95,158735;107,644021;67,630608
1994-10-01;320,831952;3164,567399;220,123517;95,2342;107,389207;69,257437
1994-11-01;315,566317;3092,09392;220,024965;95,455477;107,685323;71,163063
1994-12-01;310,674873;3045,329673;220,179328;95,727554;107,696818;72,824247
1995-01-01;306,881272;3032,247744;220,607805;95,560332;106,526416;73,571401
1995-02-01;304,312701;3032,214541;221,248357;94,954883;104,423155;73,40741
1995-03-01;302,949545;3026,069396;221,907888;94,519356;102,088431;72,966887
1995-04-01;302,047549;3004,850445;222,402549;94,420363;100,200861;72,672855
1995-05-01;301,099885;2981,605813;222,576219;94,676792;98,813537;72,4303
1995-06-01;299,973227;2970,21359;222,221416;95,232926;97,717455;72,036176
1995-07-01;298,30059;2971,830496;221,365214;95,750989;97,064078;71,280459
1995-08-01;296,19823;2982,254209;219,958121;95,795326;96,686446;70,515598
1995-09-01;293,822353;2991,73347;217,973964;95,370435;96,085323;70,23249
1995-10-01;290,891144;2999,740011;215,578948;95,035891;95,312608;69,82816
1995-11-01;287,233621;3003,530551;212,858226;94,907084;94,817091;68,818273
1995-12-01;283,152905;2996,634563;210,035175;94,489262;94,181112;67,553748
1996-01-01;278,767283;2964,57691;207,289957;93,694832;92,921973;66,461744
1996-02-01;274,322795;2907,522254;204,785062;93,239447;91,997421;65,727361
1996-03-01;270,251977;2817,704986;202,630853;93,370683;92,179723;65,277999
1996-04-01;266,452906;2692,440208;200,934674;93,847468;92,767908;64,929419
1996-05-01;262,487062;2543,928914;199,718654;94,727228;93,34956;64,658221
1996-06-01;257,780811;2406,423589;198,974564;95,67176;94,321197;64,620662
1996-07-01;252,260867;2312,450742;198,665404;96,085627;95,187067;64,991226
1996-08-01;245,945977;2276,938214;198,683725;95,972408;95,542208;65,476744
1996-09-01;239,1853;2288,098291;198,8773;95,914703;95,938677;65,549898
1996-10-01;232,726793;2318,878919;199,110267;96,057874;96,242632;65,489096
1996-11-01;227,197636;2343,968437;199,252558;95,925288;96,339125;65,730232
1996-12-01;222,764452;2352,709328;199,236596;95,42195;96,272537;66,016909
1997-01-01;219,404254;2355,358429;199,141499;95,196734;96,504633;66,344154
1997-02-01;216,966017;2371,386524;199,106141;95,861474;97,791749;67,101373
1997-03-01;215,013002;2405,851267;199,363781;97,00722;99,460657;68,019466
1997-04-01;213,272864;2451,540757;200,012167;97,657947;101,01623;68,836039
1997-05-01;211,923924;2485,085783;201,068236;97,451225;102,521717;69,803593
1997-06-01;211,034358;2480,233145;202,512567;96,762146;103,940766;70,773542
