;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India
1990-01-01;395,892609;3017,533674;248,133824;72,621426;181,218226;81,535318
1990-02-01;343,792821;2828,569346;232,616753;70,31798;194,21906;75,09956
1990-03-01;395,463148;3130,635347;264,74647;81,843592;211,985005;77,431808
1990-04-01;366,131971;3012,432439;225,175406;71,253506;208,532777;74,600493
1990-05-01;369,201396;2970,165061;220,624298;83,124708;186,897538;75,845756
1990-06-01;350,270643;1862,89823;245,684475;99,0697;213,914566;80,367507
1990-07-01;307,255605;333,40216;247,357743;102,306073;192,43584;93,616392
1990-08-01;361,567333;1982,850133;221,50113;93,234424;131,751465;15,1412
1990-09-01;358,171862;3132,384342;255,307272;106,292565;153,617463;68,118787
1990-10-01;375,762525;3118,683881;282,751701;97,840304;183,692225;90,096402
1990-11-01;356,262988;3121,963247;260,637354;77,394915;179,290713;75,908551
1990-12-01;362,40471;3072,481265;206,353402;51,840702;151,090612;51,398422
1991-01-01;355,655422;3179,461455;273,991911;74,210332;180,027529;82,213271
1991-02-01;314,221778;2904,577751;254,161233;76,793742;188,179008;72,360744
1991-03-01;356,136591;3280,684537;264,20721;77,765808;194,900593;66,914914
1991-04-01;348,990878;3112,489524;254,072735;88,135311;220,912306;75,972812
1991-05-01;364,181443;3239,510281;244,461189;80,147952;181,050273;73,105703
1991-06-01;350,148555;3178,951332;252,242662;100,419263;200,80037;83,809173
1991-07-01;354,766338;3073,355763;261,099163;103,686201;191,300896;89,459972
1991-08-01;356,833208;2955,590104;184,81758;104,591984;128,036377;16,106271
1991-09-01;353,058548;2011,854299;274,860485;126,053774;153,67022;67,52784
1991-10-01;371,519623;2619,047041;272,766151;104,421071;182,522115;81,088366
1991-11-01;350,883953;2978,837161;230,26815;76,424007;158,815334;65,807928
1991-12-01;358,967586;3241,040652;187,868134;56,777926;125,511577;50,678645
1992-01-01;354,04243;3243,882769;268,615593;81,422028;163,620757;76,103836
1992-02-01;333,063479;3013,452686;246,222102;84,116133;166,540116;73,028454
1992-03-01;362,351566;3217,793594;269,849561;88,906448;184,582739;70,642195
1992-04-01;349,637224;3031,817133;257,032919;82,910453;178,592025;71,929921
1992-05-01;358,420347;3070,586521;226,128131;82,573582;156,663982;61,71736
1992-06-01;339,900382;2027,012255;245,925548;106,442897;162,605633;78,320682
1992-07-01;352,703776;2618,318293;241,677984;106,479729;156,547368;82,489509
1992-08-01;343,193874;2615,257552;166,932777;99,141522;97,013422;9,902858
1992-09-01;331,559647;2660,592958;246,338358;112,104267;142,501725;66,865699
1992-10-01;336,094123;3105,347795;227,486799;90,422327;150,217523;79,002172
1992-11-01;323,442979;2928,334933;221,30244;74,493276;127,787025;64,436766
1992-12-01;332,59811;3158,327767;180,566487;64,433413;98,150881;48,674098
1993-01-01;332,509058;3403,259932;209,849437;74,525918;141,462857;63,873142
1993-02-01;303,638941;3011,922315;234,831767;88,210347;136,625437;64,808004
1993-03-01;332,365425;3404,717428;252,944727;95,767012;145,40088;60,721951
1993-04-01;330,498204;3180,991826;231,587041;88,106999;146,766621;67,235958
1993-05-01;334,376279;3109,574533;204,16886;83,986094;124,474812;53,711266
1993-06-01;317,140389;2176,041199;234,99839;111,272257;140,708214;69,461646
1993-07-01;325,471069;3069,493399;240,525581;107,155608;122,568838;68,609429
1993-08-01;318,720345;3328,1989;173,11673;98,249148;78,424864;12,241638
1993-09-01;317,571286;1937,011891;263,764871;111,774939;123,250791;62,579574
1993-10-01;343,568754;2780,909234;225,346273;95,581524;128,417793;65,15448
1993-11-01;340,552473;3331,842639;209,243444;76,571476;108,580349;59,096249
1993-12-01;359,081056;3412,733655;184,717456;63,515925;93,114107;46,01943
1994-01-01;352,330332;2689,087;228,974752;76,243981;108,648215;70,837897
1994-02-01;311,251459;3046,902214;199,795029;82,564034;115,985479;67,174983
1994-03-01;349,30256;3332,498512;260,253041;86,834404;129,945624;70,706888
1994-04-01;330,341644;3233,898923;206,45502;87,043278;117,602184;67,668709
1994-05-01;342,119503;2979,27441;235,69628;86,168239;110,49808;71,953636
1994-06-01;338,304626;2558,269467;242,857952;109,568043;130,482979;80,80611
1994-07-01;333,557574;3320,692796;220,011403;105,126853;111,798913;74,104419
1994-08-01;331,74637;3548,790886;177,21157;118,734236;68,962139;12,724171
1994-09-01;327,550866;2387,378087;243,023255;120,736232;112,216403;69,966378
1994-10-01;328,957028;2976,140794;234,999256;97,201867;106,809962;77,141071
1994-11-01;315,324875;3168,457362;215,409756;83,66826;106,536422;75,187914
1994-12-01;315,833334;3241,259276;175,391398;68,868579;89,674674;61,935834
1995-01-01;308,352957;3446,911931;230,280633;87,61641;111,117403;85,579712
1995-02-01;275,66509;3009,808947;216,484536;80,233906;110,555186;77,766718
1995-03-01;314,582295;3221,510209;243,610938;98,073247;120,058413;78,298345
1995-04-01;293,909281;3052,149199;221,805359;82,043693;102,068326;73,591037
1995-05-01;307,070319;3182,449322;231,781764;92,984034;104,597992;77,50411
1995-06-01;300,533608;1394,677711;239,208028;114,103842;113,675821;87,760924
1995-07-01;298,515572;2001,360329;219,75658;108,283545;100,994282;82,630542
1995-08-01;299,676122;2944,950384;174,778509;117,621993;58,15888;14,254434
1995-09-01;289,851665;3110,44903;250,902215;113,961662;100,765512;73,725931
1995-10-01;304,611332;3087,274847;226,017685;98,952798;102,00512;84,139617
1995-11-01;313,862697;3110,667655;218,265623;86,096595;92,36993;74,035188
1995-12-01;286,36427;3127,720355;154,798839;68,131642;69,39267;49,030312
1996-01-01;286,612754;3215,315851;217,419412;80,681176;93,76693;75,300056
1996-02-01;250,372856;2891,16879;206,163188;78,971591;87,945494;75,247796
1996-03-01;272,084334;3152,789283;198,879827;91,795205;102,784228;66,645607
1996-04-01;262,901913;2819,970121;201,249525;86,28489;107,455962;71,567634
1996-05-01;266,584649;2819,897247;200,528539;95,688884;95,63587;67,481859
1996-06-01;253,412118;1673,569529;197,22591;109,67959;104,909769;74,1483
1996-07-01;258,726519;1426,15962;220,652363;118,484393;116,820087;75,865401
1996-08-01;251,55926;2262,762197;150,104824;105,349626;47,567819;17,55395
1996-09-01;236,868536;2569,637934;220,986647;113,923174;102,259772;65,417079
1996-10-01;237,244853;2507,912988;236,756735;108,281577;113,051962;80,192306
1996-11-01;225,949599;2496,763145;190,778935;85,108236;87,98023;65,734178
1996-12-01;228,349697;2544,93338;170,798344;51,364281;71,60639;54,122964
1997-01-01;221,314581;2516,512213;196,998043;77,817794;86,313124;70,377015
1997-02-01;204,656092;2277,41003;201,724333;83,392768;103,067166;72,361032
1997-03-01;218,686107;2524,38269;209,19514;96,784693;102,39719;69,909236
1997-04-01;209,282493;2493,19228;248,329281;103,037235;121,846723;75,396115
1997-05-01;213,241002;2315,815044;195,148787;95,567266;105,175328;69,139909
1997-06-01;201,068154;1931,473407;213,815427;112,653722;118,382735;87,689799
1997-07-01;217,820004;2491,443285;216,206173;99,178836;122,173329;82,136181
1997-08-01;209,190568;2381,766728;147,946422;99,173416;60,707057;18,197335
1997-09-01;210,613965;2196,883388;240,294945;134,218434;122,0897;75,174818
1997-10-01;221,294472;2229,16692;240,035176;110,659954;125,361128;90,245487
1997-11-01;207,767171;2171,377212;210,390227;83,935136;95,621886;75,47647
1997-12-01;221,597537;2288,559873;183,938233;79,615713;76,931702;62,864832
1998-01-01;214,924374;2194,770019;194,708044;91,177165;105,152822;83,541912
1998-02-01;194,594641;1977,457399;195,453045;93,218805;108,125249;81,321197
1998-03-01;213,436342;1917,189948;231,007478;101,126057;118,893566;86,087204
1998-04-01;201,593849;2076,639986;200,833049;99,12856;110,426739;84,421505
