;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India
1990-01-01;395,892609;3017,533674;248,133824;70,408337;177,44129;79,224482
1990-02-01;343,792821;2828,569346;232,616753;70,31798;194,21906;76,656273
1990-03-01;395,463148;3130,635347;264,74647;82,266837;208,623283;77,816947
1990-04-01;366,131971;3012,432439;225,175406;72,36467;214,412456;75,755911
1990-05-01;369,201396;2970,165061;220,624298;80,591538;183,120601;73,534921
1990-06-01;350,270643;1862,89823;245,684475;100,614644;215,803034;81,522925
1990-07-01;307,255605;333,40216;247,357743;102,835136;193,06533;94,001532
1990-08-01;361,567333;1982,850133;221,50113;90,393167;127,974529;12,830364
1990-09-01;358,171862;3132,384342;255,307272;111,919055;159,912356;71,97018
1990-10-01;375,762525;3118,683881;282,751701;94,858686;179,915289;87,785566
1990-11-01;356,262988;3121,963247;260,637354;75,814447;176,772755;74,367994
1990-12-01;362,40471;3072,481265;206,353402;54,024629;156,126527;54,479536
1991-01-01;355,655422;3179,461455;273,991911;71,948822;176,250593;79,902435
1991-02-01;314,221778;2904,577751;254,161233;76,793742;188,179008;73,917457
1991-03-01;356,136591;3280,684537;264,20721;81,041899;203,927719;69,996028
1991-04-01;348,990878;3112,489524;254,072735;86,335515;214,403137;74,432255
1991-05-01;364,181443;3239,510281;244,461189;77,705497;177,273337;70,794868
1991-06-01;350,148555;3178,951332;252,242662;105,734856;207,095263;87,660566
1991-07-01;354,766338;3073,355763;261,099163;100,526433;187,52396;87,149136
1991-08-01;356,833208;2955,590104;184,81758;105,132869;128,665867;16,491411
1991-09-01;353,058548;2011,854299;274,860485;128,019521;155,558688;68,683258
1991-10-01;371,519623;2619,047041;272,766151;101,238908;178,745179;78,77753
1991-11-01;350,883953;2978,837161;230,26815;77,615802;160,703802;66,963346
1991-12-01;358,967586;3241,040652;187,868134;57,071546;126,141066;51,063784
1992-01-01;354,04243;3243,882769;268,615593;78,940746;159,84382;73,793001
1992-02-01;333,063479;3013,452686;246,222102;86,313728;169,687563;70,28401
1992-03-01;362,351566;3217,793594;269,849561;89,366217;181,221017;71,027334
1992-04-01;349,637224;3031,817133;257,032919;81,217353;180,065279;70,389364
1992-05-01;358,420347;3070,586521;226,128131;86,052213;161,699897;64,798474
1992-06-01;339,900382;2027,012255;245,925548;104,269244;160,087676;76,780125
1992-07-01;352,703776;2618,318293;241,677984;103,23483;152,770431;80,178673
1992-08-01;343,193874;2615,257552;166,932777;103,318122;102,049337;12,983972
1992-09-01;331,559647;2660,592958;246,338358;109,815005;139,983768;65,325142
1992-10-01;336,094123;3105,347795;227,486799;90,889936;150,847012;79,387311
1992-11-01;323,442979;2928,334933;221,30244;75,654962;129,675493;65,592184
1992-12-01;332,59811;3158,327767;180,566487;62,469848;94,373945;46,363262
1993-01-01;332,509058;3403,259932;209,849437;77,66552;146,498772;66,954256
1993-02-01;303,638941;3011,922315;234,831767;88,210347;136,625437;66,364717
1993-03-01;332,365425;3404,717428;252,944727;92,848576;137,632732;58,411116
1993-04-01;330,498204;3180,991826;231,587041;86,307781;148,239876;65,695401
1993-05-01;334,376279;3109,574533;204,16886;87,524231;129,510726;56,79238
1993-06-01;317,140389;2176,041199;234,99839;108,999985;138,190256;67,921089
1993-07-01;325,471069;3069,493399;240,525581;107,709751;123,198327;68,994568
1993-08-01;318,720345;3328,1989;173,11673;98,757231;79,054354;12,626777
1993-09-01;317,571286;1937,011891;263,764871;109,492402;120,732834;61,039017
1993-10-01;343,568754;2780,909234;225,346273;99,608149;133,453707;68,235594
1993-11-01;340,552473;3331,842639;209,243444;75,007823;106,062392;57,555692
1993-12-01;359,081056;3412,733655;184,717456;61,580319;89,337171;43,708594
1994-01-01;352,330332;2689,087;228,974752;79,455961;113,68413;73,919011
1994-02-01;311,251459;3046,902214;199,795029;82,564034;115,985479;68,731696
1994-03-01;349,30256;3332,498512;260,253041;84,188183;126,168688;68,396053
1994-04-01;330,341644;3233,898923;206,45502;88,400675;119,490652;68,824127
1994-05-01;342,119503;2979,27441;235,69628;86,613848;111,127569;72,338775
1994-06-01;338,304626;2558,269467;242,857952;107,330573;127,965022;79,265553
1994-07-01;333,557574;3320,692796;220,011403;109,5556;116,834827;77,185533
1994-08-01;331,74637;3548,790886;177,21157;115,115889;65,185203;10,413336
1994-09-01;327,550866;2387,378087;243,023255;118,270697;109,698445;68,425821
1994-10-01;328,957028;2976,140794;234,999256;101,296753;111,845877;80,222185
1994-11-01;315,324875;3168,457362;215,409756;81,959685;104,018465;73,647357
1994-12-01;315,833334;3241,259276;175,391398;69,224725;90,304163;62,320973
1995-01-01;308,352957;3446,911931;230,280633;88,069508;111,746892;85,964852
1995-02-01;275,66509;3009,808947;216,484536;80,233906;110,555186;79,323432
1995-03-01;314,582295;3221,510209;243,610938;95,084531;112,290265;75,98751
1995-04-01;293,909281;3052,149199;221,805359;86,386594;112,354431;77,44243
1995-05-01;307,070319;3182,449322;231,781764;90,150408;100,821056;75,193274
1995-06-01;300,533608;1394,677711;239,208028;111,773747;111,157864;86,220367
1995-07-01;298,515572;2001,360329;219,75658;112,845277;106,030197;85,711656
1995-08-01;299,676122;2944,950384;174,778509;114,037541;54,381944;11,943598
1995-09-01;289,851665;3110,44903;250,902215;115,738839;102,65398;74,881349
1995-10-01;304,611332;3087,274847;226,017685;99,46452;102,63461;84,524756
1995-11-01;313,862697;3110,667655;218,265623;84,338431;89,851973;72,49463
1995-12-01;286,36427;3127,720355;154,798839;71,001868;74,428585;52,111426
1996-01-01;286,612754;3215,315851;217,419412;78,222471;89,989994;72,989221
1996-02-01;250,372856;2891,16879;206,163188;78,161099;86,686516;69,807377
1996-03-01;272,084334;3152,789283;198,879827;95,662321;103,828931;69,726721
1996-04-01;262,901913;2819,970121;201,249525;84,522881;108,929216;70,027077
1996-05-01;266,584649;2819,897247;200,528539;92,772829;91,858934;65,171024
1996-06-01;253,412118;1673,569529;197,22591;115,485369;111,204662;77,999693
1996-07-01;258,726519;1426,15962;220,652363;114,87366;113,043151;73,554566
1996-08-01;251,55926;2262,762197;150,104824;105,894429;48,197308;17,939089
1996-09-01;236,868536;2569,637934;220,986647;115,69975;104,14824;66,572497
1996-10-01;237,244853;2507,912988;236,756735;104,981768;109,275025;77,881471
1996-11-01;225,949599;2496,763145;190,778935;86,435457;89,868698;66,889596
1996-12-01;228,349697;2544,93338;170,798344;51,629905;72,235879;54,508103
1997-01-01;221,314581;2516,512213;196,998043;75,446349;82,536188;68,06618
1997-02-01;204,656092;2277,41003;201,724333;83,392768;103,067166;73,917745
1997-03-01;218,686107;2524,38269;209,19514;100,862005;111,424316;72,99035
1997-04-01;209,282493;2493,19228;248,329281;100,933129;115,337555;73,855558
1997-05-01;213,241002;2315,815044;195,148787;96,06148;105,804817;69,525048
1997-06-01;201,068154;1931,473407;213,815427;114,410502;120,271203;88,845217
1997-07-01;217,820004;2491,443285;216,206173;96,156427;118,396393;79,825345
1997-08-01;209,190568;2381,766728;147,946422;103,35136;65,742971;21,278449
1997-09-01;210,613965;2196,883388;240,294945;131,477581;119,571742;73,634261
1997-10-01;221,294472;2229,16692;240,035176;107,287665;121,584192;87,934652
1997-11-01;207,767171;2171,377212;210,390227;88,378158;101,91678;79,327863
1997-12-01;221,597537;2288,559873;183,938233;77,189477;73,154766;60,553997
1998-01-01;214,924374;2194,770019;194,708044;91,648676;105,782312;83,927052
1998-02-01;194,594641;1977,457399;195,453045;93,218805;108,125249;82,877911
1998-03-01;213,436342;1917,189948;231,007478;101,649018;115,531844;86,472343
1998-04-01;201,593849;2076,639986;200,833049;97,104272;111,899993;82,880948
1998-05-01;206,632474;1638,808254;167,436681;97,798051;105,858982;79,433152
1998-06-01;196,490589;1438,038211;204,744327;113,533548;119,233042;92,297644
1998-07-01;209,855586;2083,490217;208,561381;106,306122;117,579468;89,617496
1998-08-01;201,892605;2120,36486;138,634165;111,507554;66,131292;23,456391
1998-09-01;199,753918;1965,943182;237,097214;118,862623;114,285921;80,230792
1998-10-01;206,343773;2143,539043;173,6809;96,560119;117,47023;90,256798
1998-11-01;204,816961;2127,433714;182,612307;84,662438;103,543092;81,177771
1998-12-01;203,6995;2062,065029;158,180477;65,776277;77,821689;58,97899
1999-01-01;198,446863;1901,230369;170,474748;79,940974;110,022857;82,204509
1999-02-01;179,060795;1775,958607;171,680926;82,102746;108,847416;77,916034
1999-03-01;194,422282;2136,688813;205,218099;95,745741;127,628681;76,652455
1999-04-01;180,567499;1703,448192;195,660825;99,96649;125,482457;82,736697
1999-05-01;167,69947;692,893493;185,356171;93,376531;123,993855;79,935237
1999-06-01;179,585053;1448,022057;213,94718;106,449105;140,574301;91,19915
1999-07-01;191,029685;2126,777841;206,700362;102,159957;123,527032;87,168314
1999-08-01;188,918288;2033,206612;155,318403;106,372574;73,590735;19,551897
1999-09-01;184,062076;1996,696343;247,063735;116,259704;123,228664;78,183837
1999-10-01;193,574851;2090,559071;206,288062;96,582507;130,215173;93,326602
1999-11-01;182,460574;2004,785444;183,878114;86,44972;108,203599;78,625925
1999-12-01;170,162766;1965,360184;165,865133;56,512286;90,295844;68,870188
2000-01-01;173,337043;1965,068684;186,880883;84,015912;127,047602;84,380264
2000-02-01;165,050888;1900,355872;185,42926;91,305267;131,123854;83,761405
2000-03-01;176,771294;1948,890481;214,648386;94,965124;132,590803;86,569144
2000-04-01;151,346919;1713,650663;175,185621;93,497675;129,984414;83,88301
2000-05-01;167,323153;1419,528014;197,635245;106,496885;131,2974;84,367039
2000-06-01;168,677607;765,112409;205,201509;113,462673;127,89041;90,606438
2000-07-01;171,99408;1739,302588;206,534123;119,264378;126,979049;88,913594
2000-08-01;178,899927;2009,230807;185,658518;106,737623;66,613802;36,248734
2000-09-01;170,944127;1834,987186;230,300959;116,633167;123,368176;83,307678
2000-10-01;173,910136;1979,060644;227,861006;102,378206;129,380314;96,531494
2000-11-01;162,313254;1937,30339;203,363288;86,280816;112,116975;82,782273
2000-12-01;175,40535;2014,477791;146,59638;77,252111;90,337028;67,447428
2001-01-01;171,636435;1967,692177;200,967835;79,067248;129,248709;88,120969
2001-02-01;155,199141;1754,460544;192,059711;88,540546;129,388236;92,685713
2001-03-01;170,098132;1963,246815;219,638996;104,426694;137,100948;90,454834
2001-04-01;161,834958;1801,319034;169,327828;93,63728;132,971916;84,804988
2001-05-01;171,094941;1803,651027;187,050937;94,956439;128,269107;79,089302
2001-06-01;161,527585;1742,290455;205,860065;108,285053;137,47152;96,179042
2001-07-01;166,58201;1748,484812;206,99326;109,598691;133,577447;86,088325
2001-08-01;167,929282;1808,460763;150,141373;113,24352;74,413176;40,504633
2001-09-01;164,786605;1681,075632;208,117178;119,681256;136,842405;80,955686
2001-10-01;170,714315;1689,018984;194,810844;101,660977;134,873732;90,169585
2001-11-01;159,77527;1249,729756;176,649963;90,964861;129,519981;74,267018
2001-12-01;164,507958;1324,645039;137,453935;74,391695;94,313675;57,494312
2002-01-01;166,676807;1776,687355;181,863677;92,77771;131,331158;75,030962
2002-02-01;149,254195;1624,306171;190,758812;90,711111;133,231073;83,085822
2002-03-01;171,189738;1734,201353;191,098278;108,790682;155,135097;83,949387
2002-04-01;163,277028;1561,925352;193,743139;100,117292;140,916559;80,303936
2002-05-01;162,262983;1738,428091;193,805104;93,044475;121,705709;73,114873
2002-06-01;151,005074;1660,233442;187,215677;123,70978;148,824837;97,499925
