;;period;start;end;n;missing;log;adjust;ll;adjustedll;ssqerr;aic;bic;aicc;bicc;bic2;hannanquinn;nparams;nobs;neffectiveobs;df;p;d;q;bp;bd;bq;theta(1);;;theta(2);;;theta(3);;;phi(1);;;phi(2);;;phi(3);;;btheta(1);;;bphi(1);;;start;end;n;missing;mean;nlp;ntd;leaster;nmh;nout;nao;nls;ntc;nso;nusers;mu;;;lp;;;td(1);;;td(2);;;td(3);;;td(4);;;td(5);;;td(6);;;td-derived;;;td-ftest;easter;;;outlier(1);;;outlier(2);;;outlier(3);;;outlier(4);;;outlier(5);;;outlier(6);;;outlier(7);;;outlier(8);;;outlier(9);;;outlier(10);;;outlier(11);;;outlier(12);;;outlier(13);;;outlier(14);;;outlier(15);;;outlier(16);;;outlier(17);;;outlier(18);;;outlier(19);;;outlier(20);;;outlier(21);;;outlier(22);;;outlier(23);;;outlier(24);;;outlier(25);;;outlier(26);;;outlier(27);;;outlier(28);;;outlier(29);;;outlier(30);;;ser;type;mean;skewness;kurtosis;doornikhansen;lb;bp;lb2;bp2;seaslb;seasbp;nruns;lruns;nudruns;ludruns;mode;seasonal;icratio;trend-filter;seasonal-filters;d9-global-msr;seas-lin-combined;seas-lin-evolutive;seas-lin-stable;seas-si-combined;seas-si-combined3;seas-si-evolutive;seas-si-stable;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-lin-qs;seas-lin-f;seas-lin-friedman;seas-lin-kw;seas-lin-periodogram;seas-lin-spectralpeaks;seas-res-qs;seas-res-f;seas-res-friedman;seas-res-kw;seas-res-periodogram;seas-res-spectralpeaks;seas-sa-qs;seas-sa-f;seas-sa-friedman;seas-sa-kw;seas-sa-periodogram;seas-sa-spectralpeaks;seas-i-qs;seas-i-f;seas-i-friedman;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-sa-ac1;td-res-all;td-res-last;td-sa-all;td-sa-last;td-i-all;td-i-last;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;summary
Europe * France;;12;1990-01-01;2021-09-01;381;0;1;LeapYear;834,72282276;-993,082296828;0,218479847;2028,164593657;2110,234335358;2030,835113888;-7,108052978;-4,199391043;2060,770092576;21;381;368;347;0;1;1;0;1;1;-0,140172;-2,4691;0,014;;;;;;;;;;;;;;;;-0,901825;-24,8662;0;;;;1990-01-01;2021-09-01;381;0;0;0;6;0;0;12;6;1;5;0;0;;;;;;;monday;0,004258;1,8778;tuesday;-0,000005;-0,002;wednesday;-0,000788;-0,3481;thursday;-0,00014;-0,0619;friday;0,002273;0,9986;saturday;0,000678;0,3061;td-derived;-0,006277;-2,7946;1,646429;;;;AO (7-1990);-0,162818;-8,4927;AO (11-1995);0,097267;5,136;AO (5-1999);-0,111575;-5,9466;TC (12-1999);-0,099036;-4,2685;TC (4-2000);-0,122672;-5,2871;TC (1-2007);-0,108145;-4,6772;AO (2-2007);-0,082232;-4,4321;AO (2-2009);0,094035;5,0728;LS (6-2010);0,122807;5,0168;TC (5-2019);-0,253566;-10,7755;TC (4-2020);-0,424537;-18,0136;AO (5-2020);-0,307668;-16,0665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,551381;0,018833;2,843428;0,157883;21,559596;20,645362;26,59805;25,754621;2,398318;2,307571;0,313775;8,337114;-1,239394;4,770691;Multiplicative;1;1,549525266;13;S3X5;5,441208144;Present;0,596476572;0;Present;ProbablyNone;0,889845365;0;None;None;0,003612991;0,444683363;None;None;0;0,999995752;None;None;0,030402205;0,913577743;480,833454;39,768642;274,121588;302,575171;136,171894;-t.-t.AT.AT.AT.AT;2,398318;0,95497;7,579487;10,860536;0,911471;--.--.--.--.--.--;0;0,458835;2,523573;2,597928;0,420774;--.--.-t.--.--.--;0;0,587355;2,01737;0,908555;0,54734;--.--.-t.--.--.--;-0,140978708;0,160805;0,160805;0,017897;0,017897;0,172085;0,172085;0,989604165;0,071726334;0,274762633;1,26034247;0,423386615;0,576483258;0,233177386;0,73883525;0,190681973;1,201985909;1,178857785;0,54164671;0,599726757;Good
Europe * Spain;;12;1990-01-01;2021-09-01;381;0;1;None;288,178974841;-2135,350581686;4,337416121;4330,701163372;4448,025062693;4336,204121952;-3,978983683;-1,08139309;4377,308000469;30;381;369;339;0;0;1;0;1;1;0,495369;10,6721;0;;;;;;;;;;;;;;;;-0,856104;-22,9714;0;;;;1990-01-01;2021-09-01;381;0;1;0;0;0;0;26;16;9;1;0;0;Constant;-0,076067;-28,6135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AO (7-1990);-2,04406;-17,8868;AO (8-1990);-0,560741;-4,9186;LS (9-1992);0,229533;5,999;AO (6-1995);-0,40596;-4,2472;AO (5-1999);-0,855651;-9,019;AO (6-2000);-0,586014;-6,1753;TC (9-2005);-0,633585;-6,4914;AO (4-2007);-0,462952;-4,8877;LS (12-2010);-0,160828;-4,2756;AO (9-2011);-0,379824;-3,9846;AO (10-2013);-0,950793;-9,2461;LS (11-2013);-2,59681;-38,1386;AO (12-2013);-0,554471;-4,6929;AO (1-2014);-1,074557;-9,1367;LS (6-2014);-0,612318;-7,356;AO (8-2014);0,869589;8,6687;AO (10-2014);0,716345;7,1098;LS (1-2015);1,605841;22,4864;LS (1-2016);0,443318;6,8991;LS (10-2016);-0,275664;-4,706;AO (3-2018);-1,351201;-12,018;AO (4-2018);-0,513375;-4,5519;LS (10-2018);0,192682;4,2683;LS (10-2020);0,247596;4,4597;AO (4-2021);-1,033831;-10,312;AO (9-2021);-1,611582;-13,6527;;;;;;;;;;;;;0;FullResiduals;0,418266;-0,414881;4,628171;26,759698;11,87348;11,389301;17,263369;16,493133;0,399482;0,384407;-1,716329;36,508081;1,650274;6,632879;Multiplicative;1;2,707825938;13;S3X5;4,486926878;Present;0,000563006;0;Present;None;0,013429447;0;None;None;0,219479548;0,544885759;None;None;0;0,670924703;None;None;0,12029989;0,234528734;66,293021;2,994864;111,501241;119,42048;10,296237;--.-T.-t.--.At.aT;0,399482;0,371241;12,317949;9,169863;0,668747;--.-t.--.A-.A-.--;0;0,481487;6,662531;5,533896;1,301045;--.-t.--.--.--.--;0;0,590601;3,143921;2,324153;1,4339;--.-t.--.a-.--.--;-0,228254519;0,397017;0,397017;0,255278;0,255278;0,205862;0,205862;2,717226086;3;0,853912969;1,071291099;3;0,194770751;0,785293416;1,404568061;0,277413845;1,841735962;1,743726594;1,524804319;1,342476763;Uncertain
Europe * Greece;;12;1990-01-01;2021-09-01;381;0;0;None;-1414,383530312;-1414,383530312;45532,820691088;2858,767060624;2917,388304696;2860,130696987;5,042869765;7,927685611;2882,056702709;15;381;368;353;1;1;2;0;1;1;-1,453914;-16,0455;0;0,468065;5,5193;0;;;;-0,801996;-11,4628;0;;;;;;;-0,714085;-15,7642;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;1;1;2;0;2;0;0;0;;;;Leap year;9,265803;2,4754;monday;0,592419;0,4877;tuesday;1,152312;0,9544;wednesday;3,118728;2,5877;thursday;2,378656;1,958;friday;-0,161233;-0,1328;saturday;-5,500765;-4,6174;td-derived;-1,580117;-1,3006;21,244534;Easter [1];-11,016768;-4,483;LS (12-2008);-27,973546;-4,2167;LS (2-2012);-48,554793;-7,2352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,471269;-0,209694;3,709951;8,734703;15,061658;14,395086;28,306933;26,914499;1,232365;1,185735;0,000567;20,893152;-0,495758;12,536893;Additive;1;3,289658369;13;S3X5;4,446051265;Present;0,000003829;0;Present;ProbablyNone;0,000002595;0;None;None;0,172159149;0,324075756;None;None;0,026170352;0,99901416;None;None;0,04708793;0,944928673;509,112631;17,829259;259,555831;287,838683;93,776752;AT.AT.AT.AT.AT.AT;1,232365;1,006616;20,512821;12,694495;1,434105;a-.--.--.--.--.A-;0;0,188588;2,801489;2,203057;0,353346;--.--.--.--.--.--;0;0,190854;2,290323;1,651998;0,373462;--.--.--.--.--.--;-0,4573851;0,021715;0,021715;0,035557;0,035557;0,045942;0,045942;0,620487344;0,844701379;1,144829185;0,078771404;1,091021957;0,178420506;0,282820862;0,605825352;0,251707429;0,645939935;0,599483432;0,574356967;0,540943613;Good
Asia * China;;12;1990-01-01;2021-09-01;381;0;0;None;-1178,702793777;-1178,702793777;12449,700489237;2383,405587554;2434,21066575;2384,433836141;3,714023785;6,614702896;2403,589944028;13;381;368;355;0;1;2;0;1;1;-0,496454;-9,2505;0;-0,224076;-3,9331;0,0001;;;;;;;;;;;;;-0,864154;-16,6505;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;8;1;1;1;0;0;0;0;;;;Leap year;3,258368;1,6366;monday;1,461251;2,3394;tuesday;1,329986;2,1386;wednesday;1,361632;2,1818;thursday;-0,17921;-0,2877;friday;1,577873;2,5053;saturday;-2,53588;-4,1204;td-derived;-3,015652;-4,8061;27,385014;Easter [8];-2,453144;-1,9515;AO (5-2011);23,795251;4,6571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;-0,718136;-0,080017;3,179574;1,278514;20,891339;19,962169;15,512897;14,879682;2,807979;2,701119;-0,208799;7,826087;-1,115455;71,853166;Additive;1;3,262753673;13;S3X5;4,167168845;Present;0,001717038;0;Present;Present;0,035000824;0;None;None;0,178725045;0,796045846;None;None;0,000000195;0,54104287;None;None;0,162142592;0,48933897;460,253096;42,781233;276,712159;306,703037;123,231557;AT.AT.AT.AT.AT.AT;2,807979;0,889501;8,389744;10,901341;0,655743;--.A-.--.--.--.--;0;0,269549;5,461538;4,985732;0,483195;--.--.--.--.--.--;0;0,542958;2,315136;3,06071;0,898451;--.--.--.--.--.--;-0,35936771;0,280846;0,280846;0,053897;0,053897;0,048996;0,048996;0,29220323;0,235219833;1,131376836;0,36234846;1,206556314;0,066867538;0,148837532;0,483444515;0,122919055;0,715194216;0,677490708;0,461571616;0,489547679;Good
Asia * Japon;;12;1990-01-01;2021-09-01;381;0;0;None;-1318,417025338;-1318,417025338;27375,416170505;2660,834050676;2707,731045934;2661,712923915;4,485918037;7,357964799;2679,465764344;12;381;368;356;0;1;1;0;1;1;-0,552248;-11,6234;0;;;;;;;;;;;;;;;;-0,639156;-12,9004;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;8;1;1;0;0;1;0;0;;;;Leap year;1,671533;0,6314;monday;1,795201;2,0842;tuesday;2,763098;3,2326;wednesday;0,667315;0,7789;thursday;0,225487;0,2622;friday;1,017916;1,174;saturday;-3,414602;-4,0263;td-derived;-3,054414;-3,5446;21,715152;Easter [8];-7,130732;-4,0967;TC (3-2020);-57,800576;-7,7252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,163194;-0,13375;3,194654;1,876386;29,245314;28,194953;26,619436;25,747837;2,458325;2,365307;-1,456875;6,321595;0,123939;1,748696;Additive;1;2,371526838;13;S3X5;3,592438505;Present;0,000007516;0;Present;ProbablyNone;0,000011857;0;None;None;0,018358759;0,62188391;None;None;0,000426709;0,977530983;None;None;0,060335789;0,979530882;638,496283;67,495214;296,766749;321,843958;278,674038;AT.AT.AT.AT.AT.AT;2,458325;0,863149;7,538462;9,487689;0,812751;--.--.--.--.--.--;0;0,533613;3,655087;3,148193;0,229972;--.--.--.--.--.--;0,153302;0,47272;4,022333;1,752449;0,308399;a-.--.--.--.--.--;-0,342310286;0,318088;0,318088;0,027272;0,027272;0,020211;0,020211;0,282417327;0,117328347;0,685763419;0,456874145;0,761655728;0,163024598;0,171921967;0,41646585;0,123638879;0,460635666;0,405985101;0,34977683;0,378506418;Good
Asia * India;;12;1990-01-01;2021-09-01;381;0;0;None;-1127,553405958;-1127,553405958;9718,290082165;2285,106811916;2343,728055989;2286,47044828;3,498446051;6,368826239;2308,396454002;15;381;368;353;0;1;1;0;1;1;-0,596148;-13,8328;0;;;;;;;;;;;;;;;;-0,611155;-15,0043;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;1;1;4;0;4;0;0;0;;;;Leap year;6,042138;3,7978;monday;0,846945;1,6218;tuesday;1,242876;2,4039;wednesday;-0,522968;-1,0127;thursday;0,940156;1,8083;friday;2,243866;4,3164;saturday;-3,512593;-6,8748;td-derived;-1,238281;-2,368;22,293093;Easter [1];-2,381016;-2,2536;LS (12-2008);-24,251214;-6,3453;LS (4-2009);15,957863;4,1672;LS (3-2020);-41,040487;-10,0828;LS (6-2020);28,428868;7,0442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;-0,426499;0,072871;3,192665;1,330303;20,627787;19,736026;27,767234;26,725332;0,000697;0,000671;0,020448;12,443573;-0,247879;9,666578;Additive;1;2,949553628;13;S3X5;3,564188822;Present;0,407343705;0;Present;Present;0,563471622;0;None;None;0,035931154;0,002386097;None;None;0,000077038;0,963080986;None;None;0,200871967;0,942426215;649,516611;53,643268;294,682382;323,819803;211,845303;AT.AT.AT.AT.AT.AT;0,000697;2,361764;20,020513;22,684467;2,60841;--.--.--.--.-t.--;0;0,504336;2,870968;3,74642;0,338532;--.--.--.--.--.--;0;0,536621;1,506203;2,320951;0,338087;--.--.--.--.--.--;-0,413781446;0,128793;0,128793;0,022029;0,022029;0,019836;0,019836;0,21820652;0,134969042;0,974776814;0,252068494;0,948804563;0,174324471;0,149781379;0,369023795;0,181104998;0,555192377;0,546907904;0,385665032;0,416649929;Good
Africa * Gabon;;12;1990-01-01;2021-09-01;381;0;1;LeapYear;481,961741007;-1078,642281362;1,550277376;2195,284562723;2269,538138549;2197,468470769;-5,180666753;-2,314320397;2224,784776032;19;381;368;349;0;1;1;0;1;1;-0,541385;-12,4225;0;;;;;;;;;;;;;;;;-0,544562;-10,6299;0;;;;1990-01-01;2021-09-01;381;0;0;0;6;8;1;9;3;2;4;0;0;;;;;;;monday;0,018478;2,9251;tuesday;0,006075;0,9761;wednesday;0,00798;1,2717;thursday;-0,001445;-0,2298;friday;0,0116;1,8216;saturday;-0,012461;-2,0028;td-derived;-0,030228;-4,8056;12,149583;Easter [8];-0,059108;-4,6793;AO (8-1996);0,25596;4,9317;LS (8-2008);-0,217456;-4,3543;TC (11-2008);-0,266853;-4,743;AO (12-2008);-0,46659;-8,5433;AO (12-2012);-0,282466;-5,4363;TC (3-2020);-0,383179;-6,5355;TC (4-2020);-1,129919;-19,273;TC (6-2020);0,372939;6,5626;LS (5-2021);-0,256735;-4,4303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,087189;0,164964;3,761542;9,517888;31,938372;30,490994;37,97966;36,543241;0,224525;0,21603;0,419917;9,451238;-0,371818;1,964145;Multiplicative;1;2,476816228;13;S3X5;3,372536644;Present;0,95230043;0;Present;ProbablyNone;0,948338203;0;None;None;0,119454771;0,975953199;None;None;0,000000011;0,802855633;None;None;0,239785321;0,875805258;626,298726;65,565722;284,022333;316,349333;195,245741;AT.AT.AT.AT.AT.AT;0,224525;0,974196;4,923077;4,703679;0,322486;--.--.--.--.--.--;0;0,466161;2,60794;2,282959;0,282413;--.--.--.--.--.--;0;0,681475;1,655087;1,166018;0,516267;--.--.--.--.--.--;-0,426147155;0,22817;0,22817;0,014606;0,014606;0,014175;0,014175;0,231256428;0,149581686;0,738408114;0,17329709;0,705008055;0,250985342;0,153503237;0,559978859;0,183083845;0,466174063;0,437913879;0,345742117;0,369986664;Good
Africa * Cameroun;;12;1990-01-01;2021-09-01;381;0;0;None;-1160,869625884;-1160,869625884;11768,320794747;2361,739251769;2439,900910532;2364,160001048;3,770120474;6,630165518;2392,792107883;20;381;368;348;3;1;1;0;1;1;0,872368;11,7959;0;;;;;;;1,301025;14,8986;0;0,659157;7,8193;0;0,291105;5,5354;0;-0,399591;-6,8153;0;;;;1990-01-01;2021-09-01;381;0;0;1;6;8;1;6;1;1;4;0;0;;;;Leap year;2,634634;1,7923;monday;0,471762;0,9975;tuesday;1,148816;2,4325;wednesday;0,361873;0,7589;thursday;-0,133964;-0,2828;friday;1,373834;2,84;saturday;-1,411794;-2,9649;td-derived;-1,810528;-3,7897;11,058051;Easter [8];-5,155001;-5,6441;LS (8-2008);-17,936157;-4,1477;TC (11-2008);-24,085268;-5,3016;TC (12-2008);-18,495416;-4,089;AO (5-2011);16,736849;4,0989;TC (3-2020);-42,989867;-9,1809;TC (4-2020);-54,735614;-11,7505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;-0,416564;-0,29723;3,206731;5,426902;55,180971;52,570407;45,743108;44,378807;0,960217;0,923885;-0,617612;25,327614;-1,115455;5,205703;Additive;1;2,006017498;13;S3X3;3,057883383;Present;0,000000009;0;Present;Present;0,000000001;0;None;None;0,057129162;0,999895363;None;None;0,000252028;0,99680784;None;None;0,036602057;0,967972458;705,932034;99,197456;300,73201;333,390397;234,950208;AT.AT.AT.AT.AT.AT;0,960217;1,372853;3,34359;3,579202;0,0721;--.--.-t.--.--.--;3,680542;0,372966;5,451613;3,058781;0,3384;--.--.--.--.-t.--;1,902587;0,374572;2,746898;1,435371;0,347491;--.--.--.--.-t.--;-0,343688046;0,050931;0,050931;0,072349;0,072349;0,132642;0,132642;0,115418633;0,042385298;0,503008749;0,551399831;0,515552599;0,376846647;0,187022609;0,559245055;0,071036378;0,548325248;0,490948148;0,318536221;0,356987615;Good
Africa * Guinée equatoriale;;12;1990-01-01;2021-09-01;381;0;1;None;942,071780111;-761,798388669;0,114151594;1599,596777338;1748,103928988;1608,605895879;-7,484291674;-4,509881545;1658,597203955;38;381;368;330;2;1;1;0;1;1;-0,843408;-33,9324;0;;;;;;;0,337789;7,5694;0;0,605015;13,5675;0;;;;1;35,9919;0;;;;1990-01-01;2021-09-01;381;0;0;0;0;1;1;32;21;5;6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Easter [1];-0,004373;-2,0432;AO (8-2011);0,054063;3,9177;AO (8-2012);0,1834;6,9584;LS (10-2012);-0,066348;-8,9101;TC (11-2012);0,062545;5,2103;AO (12-2012);0,062575;7,8624;TC (4-2013);0,065821;7,3042;AO (5-2013);-0,236202;-31,6277;AO (8-2013);-0,564839;-20,7826;AO (10-2013);0,067147;10,0392;AO (11-2013);0,113733;9,8545;AO (2-2014);-0,026367;-4,356;AO (4-2014);0,144166;15,764;AO (8-2014);-0,213099;-13,0489;AO (9-2014);0,198219;31,8132;LS (12-2014);0,077751;16,7966;AO (12-2015);0,076498;10,0843;TC (4-2017);-0,188058;-27,2198;LS (9-2017);0,140064;26,8094;TC (2-2018);-0,074556;-6,6402;AO (6-2018);0,099457;6,313;AO (8-2018);-0,050942;-5,1744;AO (11-2018);0,099238;9,0532;AO (1-2019);-0,085163;-10,8538;TC (2-2019);0,084902;6,106;AO (5-2019);0,256886;25,7665;AO (6-2019);-0,104485;-6,267;LS (8-2019);0,038503;5,039;TC (3-2020);-0,28381;-27,408;AO (4-2020);-0,530894;-37,9978;AO (7-2020);0,103356;8,6984;0;FullResiduals;1,432424;0,35245;10,142693;252,414767;99,568696;95,577535;499,880971;480,677786;40,495535;38,963272;-2,72151;141,58101;-0,991515;5701,682363;Multiplicative;1;5,591380603;23;S3X3;1,804325644;None;0;0;None;Present;0;0;None;None;0;0,357237771;None;None;0;0,818511806;None;None;0;0,906645524;544,585517;19,018144;93,251378;81,385479;12,145299;at.AT.AT.At.AT.-t;40,495535;1,121002;8,379487;8,195129;1,11183;--.--.--.--.--.--;119,199136;0,594227;15,387097;9,567503;0,485304;-t.--.--.--.--.--;131,815614;0,693781;17,411911;8,2793;0,468994;-t.--.--.--.--.--;-0,328757845;1,054101;1,054101;0,406679;0,406679;0,436849;0,436849;0,240804307;0,103521661;2,295690302;3;2,222551406;0,878269743;1,435873492;0,801010654;0,571871352;1,888153148;1,705283937;1,386459945;1,565096921;Severe
Africa * Namibie;;12;1990-01-01;2021-09-01;381;0;1;LeapYear;335,19223657;-1206,100531376;3,47336529;2448,201062752;2518,546555639;2450,160948139;-4,390031245;-1,53271462;2476,148633254;18;381;368;350;0;1;1;0;1;1;-0,523266;-10,4953;0;;;;;;;;;;;;;;;;-0,272445;-4,7399;0;;;;1990-01-01;2021-09-01;381;0;0;0;6;0;0;9;6;2;1;0;0;;;;;;;monday;0,005459;0,6726;tuesday;0,022228;2,7369;wednesday;0,00846;1,0383;thursday;-0,0118;-1,4391;friday;0,023321;2,816;saturday;-0,03269;-4,0582;td-derived;-0,014978;-1,8552;9,596407;;;;AO (8-2003);-0,302253;-4,3126;AO (8-2007);0,440327;5,8492;AO (8-2008);0,477315;6,2865;LS (11-2008);-0,296219;-4,2497;AO (1-2009);-0,820139;-11,5858;TC (5-2009);-0,484825;-6,6966;LS (3-2020);-0,536414;-7,5085;AO (4-2020);-1,453757;-19,6009;AO (8-2020);0,671183;9,3206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;FullResiduals;0,043717;-0,185945;3,903983;12,314588;34,707491;33,219627;44,544055;42,741036;0,439458;0,42283;-3,616702;68,364237;-1,735152;79,643359;Multiplicative;1;2,053949863;13;S3X3;2,794815499;Present;0,655626355;0;Present;ProbablyNone;0,390347185;0;None;None;0,068816874;0,589616335;None;None;0;0,927029849;None;None;0,00218177;0,668329136;713,266235;435,109627;236,305211;256,653397;647,904587;AT.AT.AT.AT.AT.AT;0,439458;0,313333;6,353846;6,435859;0,84197;--.--.--.--.--.--;4,489352;0,414018;3,317618;3,733742;0,276187;--.--.--.--.--.--;5,985314;0,741688;2,766749;2,219965;0,450074;--.--.--.--.--.a-;-0,359551858;0,165624;0,165624;0,067595;0,067595;0,057992;0,057992;0,027601712;0,022243096;0,526974932;0,504136988;0,662142054;0,4820738;0,189681986;0,506356973;0,208372918;0,458972889;0,425528336;0,322916543;0,364782466;Good
