;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899
1990-01-01;1,011074;0,990021;-1,274489;0,957981;-4,625901;-0,449389;0,985255;-0,206176;0,99998;0,984339;-5,354479;0,94095;1,010493;1,011074;0,990021;-1,274489;1,55248;6,670964;-1,182379;1,015159;0,965734;-0,833873;1,009238;-5,25373;-0,925003;0,998817;0,184064;0,999567;0,989356;-3,355844;0,906009;1,001523;1,015159;0,965734;-0,833873;1,113781;5,718131;-1,110689
1990-02-01;0,997613;1,010649;2,579154;-2,270089;0,997433;-0,90141;1,008227;0,813698;0,999981;0,981379;-0,718697;0,955429;1,010588;0,997613;1,010649;2,579154;1,158734;-4,981494;1,420605;0,977306;0,973511;-2,349348;0,965275;0,955354;-0,173936;1,008258;0,598548;0,999567;0,983132;-0,323624;0,963904;1,000565;0,977306;0,973511;-2,349348;-0,475198;-2,377399;1,759211
1990-03-01;1,022516;1,01023;6,741422;2,027697;4,141641;1,957449;0,981813;-0,709306;0,998004;0,967389;5,256047;0,944879;1,002105;1,022516;1,01023;6,741422;0,441765;6,647946;1,278512;1,022242;0,982573;3,3142;1,023872;2,167969;2,148505;0,984434;-1,055916;0,999567;0,961164;3,882852;0,947734;0,99382;1,022242;0,982573;3,3142;0,066334;3,264556;1,778704
1990-04-01;0,99844;1,020756;-5,250681;-1,659651;0,953525;-1,24156;1,028569;0,653868;1,000053;1,153116;-1,109919;1,028248;1,003874;0,99844;1,020756;-5,250681;-2,407993;-4,338557;-1,462547;0,998023;0,998332;-6,381459;0,943844;2,408985;-0,8642;1,030346;1,764072;0,999567;1,058404;-1,55087;0,991827;1,004541;0,998023;0,998332;-6,381459;-1,671747;0,258701;-2,302574
1990-05-01;0,988267;0,985777;-7,719756;0,946791;-2,939243;1,613851;0,993963;-0,360488;0,999985;1,052647;5,918761;1,244471;0,971463;0,988267;0,985777;-7,719756;1,59051;0,363589;2,039806;0,99289;0,997641;-12,409831;1,023216;-3,174472;0,597318;0,995219;-0,709253;0,999567;1,026754;2,339007;1,135165;0,971855;0,99289;0,997641;-12,409831;1,753328;-4,918908;2,102353
1990-06-01;0,987892;0,881715;3,629788;-0,356923;12,721318;-1,167184;1,010327;0,318249;0,999987;1,142074;-3,673387;0,991055;0,985597;0,987892;0,881715;3,629788;-0,959929;-4,187145;-4,047836;0,991414;0,842156;-1,73261;1,011675;7,676609;-2,969604;1,016496;0,416231;0,999567;1,039324;-2,110728;0,97438;0,97665;0,991414;0,842156;-1,73261;-1,711465;-4,412494;-3,063834
1990-07-01;0,849496;0,112452;-2,614193;0,321737;3,345389;6,254881;0,996423;-0,528701;0,99999;0,83823;-6,748232;1,025923;1,015883;0,849496;0,112452;-2,614193;0,687803;0,286359;-0,8003;0,844275;0,127929;-3,632231;1,046287;1,610303;4,886104;0,990122;-0,264419;0,999567;0,962205;-3,811299;1,007169;1,012184;0,844275;0,127929;-3,632231;0,333078;2,242442;4,178886
1990-08-01;1,002183;0,601724;21,772465;-10,451894;-3,420477;-7,175042;0,967738;-0,281916;0,999993;0,806476;-0,37754;1,012136;1,007414;1,002183;0,601724;21,772465;-2,244751;0,573187;2,534235;0,995394;0,718999;15,853689;0,947389;-4,86717;-4,348346;0,974389;-0,997946;0,999567;0,940282;2,778979;0,997727;0,995308;0,995394;0,718999;15,853689;-0,872497;1,521642;2,814311
1990-09-01;1,009104;1,081741;-19,16054;1,50589;-17,488128;-0,602231;1,024154;1,15292;0,999997;0,852952;4,660735;0,955153;1,03458;1,009104;1,081741;-19,16054;-0,244132;-3,18722;-34,355042;1,001599;1,203982;-10,613654;1,023477;-8,216933;-0,392155;1,01711;0,962261;0,999567;0,957042;5,279076;0,999427;1,016977;1,001599;1,203982;-10,613654;-0,277361;-1,958035;-19,035495
1990-10-01;1,000045;1,021917;3,067901;-0,650752;-12,501359;2,06331;0,99258;-0,340274;1,000001;1,018377;2,727597;0,928553;0,979364;1,000045;1,021917;3,067901;-1,209227;6,202101;1,88779;1,007877;1,060624;7,864164;1,029022;-5,466177;2,300937;0,994344;-0,750173;0,999567;1,03672;2,475699;0,919489;0,979659;1,007877;1,060624;7,864164;-0,145953;3,463234;6,173239
