;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899
1990-01-01;1,012877;1,077231;20,108403;-9,075569;-0,214368;9,632541;0,963878;1,204016;0,999836;1,249474;30,722088;0,713195;0,832361;1,012877;1,077231;20,108403;-15,788445;11,933165;4,311374;1,004783;1,086198;14,088304;0,891619;0,662915;10,324461;0,955115;1,10504;0,995277;1,253155;28,316873;0,724395;0,846161;1,004783;1,086198;14,088304;-15,707047;15,340892;6,42847
1990-02-01;0,903661;0,998191;0,925741;-8,717504;6,728894;3,688473;0,893669;2,469712;0,999837;0,763592;1,028587;0,834721;0,805844;0,903661;0,998191;0,925741;-13,932517;-1,672778;-3,604835;0,918801;1,012092;0,031004;0,900047;7,611634;3,054833;0,899929;2,781855;0,995277;0,777227;0,483462;0,813621;0,817994;0,918801;1,012092;0,031004;-12,479892;-2,410463;-2,452615
1990-03-01;1,029917;1,108304;28,499832;-2,115415;21,574933;3,291276;1,068125;10,240241;1,001821;1,076871;-0,541792;1,100495;0,904428;1,029917;1,108304;28,499832;7,954143;-3,298319;10,467985;1,021022;1,111844;26,341957;0,983062;24,27254;3,051354;1,071822;10,430693;0,995277;1,109511;0,826979;1,088174;0,915027;1,021022;1,111844;26,341957;8,349349;1,383699;11,21544
1990-04-01;0,992349;1,056266;0,046842;-9,786079;21,955948;3,914188;1,032038;5,777574;0,99977;1,16459;-6,239875;0,671296;1,586815;0,992349;1,056266;0,046842;4,802558;1,683117;-2,40331;0,985539;1,054713;-3,782784;0,922188;21,138325;3,476994;1,034595;4,282015;0,995277;1,296419;-5,75132;0,693695;1,589053;0,985539;1,054713;-3,782784;4,204195;-2,117584;-0,428273
1990-05-01;1,025685;1,069644;-3,849834;-1,378655;5,447439;2,686687;1,146767;1,294833;0,999841;0,990283;12,065077;0,763831;0,996095;1,025685;1,069644;-3,849834;8,35172;-17,31913;2,098039;1,021095;1,042496;-3,536272;0,982515;5,792466;3,585796;1,148208;1,292225;0,995277;1,038079;15,855511;0,839449;0,996725;1,021095;1,042496;-3,536272;8,387183;-11,636544;3,149088
1990-06-01;0,983245;0,731371;6,343506;14,926248;18,684985;10,302332;1,174725;8,879829;0,999841;1,004951;-8,602125;1,546173;1,102758;0,983245;0,731371;6,343506;15,916594;2,30256;9,948361;0,98257;0,77575;8,137767;1,172708;22,745856;11,791992;1,168442;8,583769;0,995277;1,135667;-9,796524;1,58511;1,111897;0,98257;0,77575;8,137767;16,944893;2,37142;10,466322
1990-07-01;1,006992;0,987888;8,685949;16,443964;8,351244;16,273161;0,914055;-2,949391;0,999842;0,796885;-15,138786;0,803814;1,115671;1,006992;0,987888;8,685949;14,880811;-1,08858;31,452266;1,015765;0,914104;8,128398;1,16479;8,881157;17,267208;0,919786;-3,258216;0,995277;0,718093;-17,756914;0,829633;1,116525;1,015765;0,914104;8,128398;15,619681;-3,90726;29,126418
1990-08-01;1,003603;1,057517;-48,238104;17,217589;-44,715514;-48,905553;0,785763;-28,142594;0,999842;0,197429;-13,493599;1,050692;0,953863;1,003603;1,057517;-48,238104;-16,314098;-36,454964;-63,052707;1,012498;0,964739;-40,483202;1,169036;-43,399547;-51,697629;0,778954;-27,477498;0,995277;0,174812;-16,674057;1,083076;0,961302;1,012498;0,964739;-40,483202;-17,227979;-38,786874;-58,431994
1990-09-01;0,985653;0,907351;20,391948;17,693936;-9,022061;-2,845618;1,072938;2,905516;0,999842;0,934526;-3,629577;1,461441;0,919204;0,985653;0,907351;20,391948;3,231916;16,620414;3,21933;0,992679;0,905633;17,312796;1,228026;-17,079125;-2,731058;1,073358;2,721013;0,995277;0,849419;-4,539742;1,424135;0,931278;0,992679;0,905633;17,312796;3,811612;13,68035;-5,5908
1990-10-01;1,043986;0,953265;21,363525;11,207152;15,241721;16,137416;1,126171;10,615797;0,999842;1,09081;-5,057081;0,846698;1,037312;1,043986;0,953265;21,363525;19,849063;6,103293;14,37201;1,033308;1,019417;23,922464;1,120424;10,015801;16,276273;1,112834;10,26897;0,995277;1,083948;-4,945144;0,874596;1,034703;1,033308;1,019417;23,922464;19,449371;6,971119;15,650455
1990-11-01;0,991346;0,998117;-1,280632;-11,944199;-5,468588;4,451491;1,120691;2,023356;0,999842;1,059862;-0,483195;0,920802;0,911492;0,991346;0,998117;-1,280632;0,907608;11,721494;8,090346;0,99169;1,050957;0,692762;0,888847;-3,502916;3,405103;1,12232;1,51634;0,995277;1,066159;6,939851;0,957631;0,909062;0,99169;1,050957;0,692762;2,106747;8,009389;5,3068
1990-12-01;1,015777;1,055295;-54,461688;-34,007522;-37,145473;-19,409329;0,710046;-14,820335;0,999843;1,63512;7,379532;1,286936;0,836359;1,015777;1,055295;-54,461688;-29,542674;9,594598;-15,631073;1,020113;1,090814;-49,765414;0,649459;-35,735058;-18,605861;0,719932;-12,074492;0,995277;1,66823;7,489481;1,271014;0,839103;1,020113;1,090814;-49,765414;-34,136589;11,181874;-13,327494
1991-01-01;1,010135;1,080025;21,745992;-10,517364;-1,075178;9,655369;0,95094;0,977539;0,999838;1,231435;31,17483;0,716967;0,833472;1,010135;1,080025;21,745992;-16,732132;11,844747;5,687282;1,004651;1,086012;14,036816;0,891574;1,704912;10,434782;0,958803;1,202702;0,995277;1,258747;29,615159;0,732479;0,844983;1,004651;1,086012;14,036816;-17,04391;15,106754;6,490502
1991-02-01;0,904774;0,998484;0,377274;-8,522432;6,766421;3,887729;0,895308;2,415587;0,999839;0,763308;1,806539;0,824003;0,803977;0,904774;0,998484;0,377274;-14,229619;-2,100445;-3,619816;0,918909;1,011774;0,222227;0,902784;7,300688;3,114358;0,899756;2,121838;0,995277;0,784451;0,94837;0,816034;0,817006;0,918909;1,011774;0,222227;-11,944214;-2,277825;-2,553693
1991-03-01;1,022874;1,10805;13,160146;-7,71688;10,636832;-1,269872;0,976078;3,15534;0,997443;1,06612;0,014072;1,106117;0,886227;1,022874;1,10805;13,160146;0,686317;-3,546266;2,275654;1,020904;1,110792;10,598781;0,947608;11,124482;0,090113;0,980156;2,851894;0,995277;1,081642;-2,943742;1,091054;0,89748;1,020904;1,110792;10,598781;1,508424;1,176438;0,314431
1991-04-01;0,997576;1,055242;14,090701;-2,711478;33,971855;8,907163;1,136901;13,765866;1,004158;1,208138;-5,803393;0,663563;1,61043;0,997576;1,055242;14,090701;13,968954;1,958272;6,59368;0,985569;1,052714;12,582086;0,95917;32,486126;6,317888;1,124811;10,980863;0,995277;1,266853;-3,116424;0,693788;1,614304;0,985569;1,052714;12,582086;14,141697;-2,101557;10,52958
1991-05-01;1,027812;1,058899;-4,830149;-1,288917;3,803261;3,879972;1,15653;2,468384;0,999841;0,983033;14,365609;0,767597;1,00259;1,027812;1,058899;-4,830149;6,759986;-16,671872;3,757572;1,021218;1,041299;-2,478995;0,981594;6,262302;3,521393;1,148077;1,833903;0,995277;1,005998;14,995361;0,824789;1,004698;1,021218;1,041299;-2,478995;6,787551;-11,452987;3,028131
1991-06-01;0,976088;0,734408;5,004053;10,333872;14,300073;7,075989;1,124004;5,512208;0,999842;0,962125;-12,306268;1,557504;1,084968;0,976088;0,734408;5,004053;12,69109;3,127864;4,476287;0,982715;0,778458;2,307785;1,128821;16,514968;9,39272;1,131316;6,019014;0,995277;1,055263;-11,522817;1,58503;1,09569;0,982715;0,778458;2,307785;14,667818;2,614279;6,600505
1991-07-01;1,012055;0,990176;13,558555;20,704597;11,973772;16,527887;0,949618;-0,412989;0,999842;0,82894;-13,734093;0,803266;1,126648;1,012055;0,990176;13,558555;19,245004;-1,255379;34,762339;1,015872;0,921561;14,35981;1,202977;12,969815;19,027411;0,945663;-0,754906;0,995277;0,788058;-14,452278;0,828768;1,132116;1,015872;0,921561;14,35981;20,018341;-4,00749;32,780657
1991-08-01;1,004239;1,060332;-56,295881;13,572369;-48,555691;-52,162919;0,767456;-30,458618;0,999842;0,190648;-18,934396;1,052019;0,930241;1,004239;1,060332;-56,295881;-20,390484;-37,217187;-67,193847;1,012556;0,974771;-47,505005;1,130467;-46,610186;-53,582024;0,764356;-29,1233;0,995277;0,184457;-19,935849;1,083779;0,943258;1,012556;0,974771;-47,505005;-20,666035;-38,856815;-62,521306
1991-09-01;0,989237;0,906646;26,550722;21,543058;-3,166341;1,502907;1,099111;4,305287;0,999842;0,980219;-0,262321;1,439713;0,9473;0,989237;0,906646;26,550722;7,44908;16,017162;6,48127;0,992629;0,8993;23,720254;1,267576;-10,296064;0,104149;1,095347;4,591997;0,995277;0,933984;-4,172306;1,42082;0,942464;0,992629;0,8993;23,720254;8,168899;13,767284;0,070885
1991-10-01;1,038216;0,949831;23,319173;9,497844;13,686101;15,879181;1,106559;10,182298;0,999841;1,079669;-5,194205;0,861299;1,037525;1,038216;0,949831;23,319173;18,24589;6,145792;15,062205;1,033155;1,014915;23,031004;1,116577;11,386138;15,927335;1,115852;10,678298;0,995277;1,075064;-5,875636;0,884875;1,03987;1,033155;1,014915;23,031004;19,516151;6,801272;15,165445
1991-11-01;0,993622;1,002425;-9,933925;-14,641433;-9,062328;0,078101;1,105271;0,339284;0,99984;1,036909;-3,273873;0,920753;0,879405;0,993622;1,002425;-9,933925;-1,852629;11,06809;3,045658;0,991586;1,048682;-6,002888;0,855731;-8,160272;0,544438;1,093356;-0,125035;0,995277;1,021919;5,866433;0,947697;0,895995;0,991586;1,048682;-6,002888;-2,457822;7,902581;0,374011
1991-12-01;1,014938;1,058955;-47,064246;-29,928217;-30,111483;-14,493475;0,722893;-12,643383;0,99984;1,717225;12,125581;1,292557;0,859975;1,014938;1,058955;-47,064246;-24,191822;10,770965;-10,854826;1,020032;1,090656;-43,996393;0,677651;-31,826815;-15,71854;0,73251;-11,345276;0,995277;1,674352;10,892181;1,289064;0,853748;1,020032;1,090656;-43,996393;-27,746559;11,348064;-9,598754
1992-01-01;1,013345;1,087091;20,002633;-9,817111;-1,244883;10,853421;0,966525;2,034444;0,999838;1,243919;34,737285;0,728655;0,84168;1,013345;1,087091;20,002633;-17,95413;11,739499;7,524803;1,004505;1,08576;13,315615;0,892788;3,285625;10,522502;0,971266;2,45998;0,995277;1,233883;31,226492;0,737608;0,846857;1,004505;1,08576;13,315615;-18,558677;15,14629;6,639488
1992-02-01;0,939142;0,997802;3,050713;-7,903257;4,8759;6,711875;0,921042;3,417358;0,999838;0,763122;2,228615;0,807362;0,811203;0,939142;0,997802;3,050713;-13,824795;-2,861697;-6,124584;0,919134;1,011914;-4,128351;0,882995;3,655567;7,708694;0,93889;3,526533;0,995277;0,745337;1,450327;0,812697;0,806595;0,919134;1,011914;-4,128351;-15,295794;-1,997093;-5,397262
1992-03-01;1,023133;1,104654;29,701171;-1,870665;23,283645;4,244303;1,064151;9,489495;1,001805;1,088123;-1,484051;1,103305;0,910583;1,023133;1,104654;29,701171;9,857602;-3,446127;8,710628;1,020801;1,109592;25,881159;0,984545;21,784437;2,703332;1,069141;9,50972;0,995277;1,077924;-3,682661;1,075096;0,911683;1,020801;1,109592;25,881159;8,576362;0,482095;10,825097
1992-04-01;0,990322;1,049963;7,753062;-6,286118;21,060586;5,120736;1,053074;7,492213;0,999801;1,174345;-5,371193;0,647812;1,598938;0,990322;1,049963;7,753062;7,595205;2,296857;2,485845;0,985583;1,051246;4,166306;0,961387;22,050878;6,551765;1,056743;6,271049;0,995277;1,209308;-2,307783;0,696711;1,605588;0,985583;1,051246;4,166306;9,494636;-1,751817;4,413109
1992-05-01;1,022787;1,048157;-15,673227;-8,360919;-3,46126;-1,101112;1,100574;0,629508;0,999839;0,926884;9,049926;0,773519;0,971924;1,022787;1,048157;-15,673227;-0,536185;-15,803766;-3,565237;1,021317;1,036874;-13,062771;0,915562;-1,993215;-1,93552;1,093147;-0,787376;0,995277;0,923817;9,10914;0,817195;0,978446;1,021317;1,036874;-13,062771;-0,251365;-11,78903;-5,182627
1992-06-01;0,989028;0,737403;13,757904;18,805828;24,498695;14,205455;1,195638;10,439979;0,99984;1,024003;-9,120775;1,566507;1,135438;0,989028;0,737403;13,757904;22,4036;4,485696;12,639024;0,982863;0,773836;14,693446;1,210393;22,569033;14,603233;1,17468;9,416955;0,995277;1,072237;-6,24613;1,570773;1,136224;0,982863;0,773836;14,693446;21,027418;3,158118;15,00886
1992-07-01;1,008966;0,996009;14,098841;19,170673;8,507163;17,007684;0,938619;-0,241372;0,99984;0,842878;-10,125941;0,807718;1,129643;1,008966;0,996009;14,098841;16,095008;-2,03795;36,200671;1,016024;0,923975;14,870721;1,199168;12,116163;17,490423;0,947821;-0,69019;0,995277;0,846582;-14,74599;0,837267;1,12923;1,016024;0,923975;14,870721;17,437583;-4,200945;31,840584
1992-08-01;0,999699;1,05421;-58,895131;11,232276;-50,143815;-56,052212;0,748704;-34,387958;0,99984;0,187275;-22,429438;1,062392;0,914305;0,999699;1,05421;-58,895131;-22,188325;-37,644553;-72,913707;1,012655;0,987279;-53,810285;1,091291;-49,719503;-55,446496;0,745419;-31,264598;0,995277;0,192485;-23,189963;1,098212;0,930587;1,012655;0,987279;-53,810285;-22,014655;-38,927269;-65,99743
1992-09-01;0,989259;0,906883;32,56538;25,250498;3,017031;2,67516;1,115132;6,230785;0,99984;1,025469;1,710376;1,409348;0,945526;0,989259;0,906883;32,56538;13,397536;15,192906;12,108795;0,992568;0,900048;30,2801;1,300423;-2,177993;3,06495;1,111649;5,494865;0,995277;1,013921;-4,013319;1,401744;0,95216;0,992568;0,900048;30,2801;12,917367;13,834444;5,978694
