;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899
1990-01-01;390,859539;2801,195772;228,025422;81,696995;181,432594;71,902776;27,998672;66,660258;98,298993;15,805575;28,754103;71,36042;115,962086;390,859539;2801,195772;228,025422;111,305787;96,702306;113,591657;394,008174;2778,0704;234,04552;81,448987;180,555311;71,210857;28,255568;66,759235;98,74924;15,759155;31,159318;70,257131;114,070836;394,008174;2778,0704;234,04552;111,224389;93,294579;111,474561
1990-02-01;380,444635;2833,694531;231,691012;79,035484;187,490166;71,411087;28,753402;67,187783;98,298854;16,192478;34,305367;73,332989;115,89433;380,444635;2833,694531;231,691012;110,949306;84,488981;115,640148;374,175619;2794,776067;232,585749;78,126998;186,607426;72,044727;28,553405;66,87564;98,74924;15,908418;34,850492;75,234757;114,1728;374,175619;2794,776067;232,585749;109,496681;85,226667;114,487929
1990-03-01;383,975658;2824,70808;236,246638;83,959007;190,410073;74,140532;28,002311;65,015468;98,104262;16,408604;41,082529;73,78108;114,942879;383,975658;2824,70808;236,246638;110,304583;95,473175;115,136547;387,321043;2815,714716;238,404512;83,253771;187,712465;74,380454;27,905729;64,825016;98,74924;15,925891;39,713758;74,616478;113,611464;387,321043;2815,714716;238,404512;109,909377;90,791157;114,389093
1990-04-01;368,954666;2851,963508;225,128564;81,039586;186,576829;70,686305;29,288093;65,649086;98,30547;20,059596;35,28337;81,508646;115,214532;368,954666;2851,963508;225,128564;107,571333;83,825185;111,976124;371,504395;2856,162272;228,95819;77,265731;187,394452;71,123499;29,215709;67,144644;98,749239;18,019788;34,794815;78,876772;115,052273;371,504395;2856,162272;228,95819;108,169697;87,625885;110,001087
1990-05-01;359,956031;2776,780102;224,474133;84,503362;181,450098;73,159069;28,171683;63,870796;98,298522;18,635;42,944997;100,134926;111,621188;359,956031;2776,780102;224,474133;111,739188;88,017387;115,195844;361,574048;2849,090151;224,16057;84,603991;181,105071;72,25996;28,136338;63,873404;98,749242;17,776996;39,154563;91,114782;111,550565;361,574048;2849,090151;224,16057;111,703726;82,334801;114,144795
1990-06-01;356,23933;2547,130398;239,340969;84,143452;195,229581;70,065175;28,413578;63,789072;98,298462;20,369916;33,925148;80,721237;113,390302;356,23933;2547,130398;239,340969;109,41123;83,065657;109,308429;356,484012;2401,4144;237,546708;84,479439;191,16871;68,575515;28,566375;64,085133;98,749241;18,025324;35,119547;78,738404;112,458348;356,484012;2401,4144;237,546708;108,382931;82,996797;108,790469
1990-07-01;305,12209;337,489749;238,671794;85,862108;184,084596;77,343232;27,789844;62,209594;98,298436;14,960122;31,294552;84,479616;117,10866;305,12209;337,489749;238,671794;111,417253;87,215506;113,510235;302,486817;364,730983;239,229345;87,832195;183,554683;76,349184;27,616698;62,518419;98,74924;16,601604;33,912681;81,850557;117,019022;302,486817;364,730983;239,229345;110,678382;90,034186;115,836084
1990-08-01;360,269429;1875,005026;269,739235;76,016835;176,466979;64,046753;26,800481;61,747824;98,298436;14,425377;37,955469;84,050707;116,430066;360,269429;1875,005026;269,739235;108,941537;87,360503;118,389112;357,104169;2055,323312;261,984332;79,753229;175,151012;66,838828;27,034727;61,082728;98,749245;16,291745;41,135927;81,537629;115,529169;357,104169;2055,323312;261,984332;109,855418;89,692414;113,768399
1990-09-01;363,385357;3452,230813;234,915324;88,598628;162,639524;70,964405;28,180153;62,436861;98,298398;15,437482;43,121694;80,017954;120,031643;363,385357;3452,230813;234,915324;111,525963;83,589264;82,9835;360,81341;3458,778251;237,994476;86,5556;170,696588;70,849845;28,169121;62,621364;98,74924;16,984221;44,03186;82,114064;118,475441;360,81341;3458,778251;237,994476;110,946267;86,529328;91,79363
1990-10-01;359,930572;3271,580264;261,388175;86,633152;168,450504;73,958986;27,156685;60,195575;98,298374;18,925383;41,263988;78,506997;114,233596;359,930572;3271,580264;261,388175;111,270691;93,089462;119,975193;363,650243;3059,283251;258,829237;87,324395;173,676425;73,820129;27,482142;60,542402;98,74924;19,045189;41,15205;76,002781;114,521679;363,650243;3059,283251;258,829237;111,670383;92,221636;118,696748
1990-11-01;359,373024;3127,854309;261,917986;89,339114;184,759301;71,45706;27,644124;60,036069;98,29837;19,098218;43,558742;94,639999;114,5925;359,373024;3127,854309;261,917986;115,255014;87,058208;119,41969;359,2482;2970,591672;259,944591;87,073336;182,793629;72,503448;27,604008;60,543085;98,74924;18,985425;36,135696;91,000282;114,898878;359,2482;2970,591672;259,944591;114,055875;90,770312;122,203236
1990-12-01;356,775736;2911,489548;260,81509;85,848225;188,236085;70,807751;28,852929;65,633915;98,298333;20,082875;36,125797;72,587868;118,213255;356,775736;2911,489548;260,81509;105,222239;87,66165;117,776494;355,259522;2816,687553;256,118815;79,821379;186,82567;70,004283;28,456717;62,888072;98,749241;19,68429;36,015848;73,497173;117,826746;355,259522;2816,687553;256,118815;109,816153;86,074374;115,472916
1991-01-01;352,086916;2943,878492;252,245918;84,727697;181,102707;72,557902;26,218603;58,875493;98,29882;20,664392;35,789723;90,130421;119,029186;352,086916;2943,878492;252,245918;114,616214;85,146896;113,984497;354,008802;2927,648746;259,955094;83,235216;178,322617;71,778488;26,003563;58,65033;98,74924;20,216011;37,349394;88,221752;117,407708;354,008802;2927,648746;259,955094;114,927992;81,884889;113,181278
1991-02-01;347,292969;2908,986612;253,783959;85,316173;181,412587;68,473015;26,515412;59,032371;98,298729;20,926269;31,815979;86,861106;120,085452;347,292969;2908,986612;253,783959;90,34519;85,412972;111,16308;341,950804;2870,775924;253,939007;85,063257;180,87832;69,246386;26,384322;59,32612;98,74924;20,362259;32,674148;87,709319;118,170383;341,950804;2870,775924;253,939007;88,059785;85,590352;110,096957
1991-03-01;348,17262;2960,772885;251,047063;85,482688;184,263761;68,184786;28,309728;63,218609;98,534845;21,460591;41,080411;100,157449;123,302224;348,17262;2960,772885;251,047063;116,831315;106,606819;113,472318;348,844258;2953,464184;253,608429;82,065412;183,77611;66,824801;28,191934;63,522054;98,74924;21,152634;44,038225;101,540199;121,756111;348,844258;2953,464184;253,608429;116,009209;101,884115;115,433541
1991-04-01;349,839023;2949,551078;239,982034;90,84679;186,940451;67,065649;25,914948;54,271387;97,875888;19,827788;41,906364;84,36121;122,662779;349,839023;2949,551078;239,982034;115,919089;79,005621;113,545865;354,100896;2956,63255;241,490649;91,887051;188,42618;69,654923;26,1935;57,056389;98,749239;18,908831;39,219395;80,68598;122,368403;354,100896;2956,63255;241,490649;115,746346;83,06545;109,609965
1991-05-01;354,326814;3059,318189;249,291339;81,436869;177,247012;69,225732;27,228003;59,594324;98,298492;19,283128;71,075982;85,935686;120,770704;354,326814;3059,318189;249,291339;113,041871;110,537714;112,67631;356,61467;3111,028352;246,940184;81,650837;174,787971;69,58431;27,428486;60,228806;98,749242;18,842932;70,44623;79,976726;120,517343;356,61467;3111,028352;246,940184;113,014306;105,318829;113,405752
1991-06-01;358,726482;4328,592888;247,238608;90,08539;186,500297;76,733184;28,945508;63,699346;98,298441;21,887874;41,585543;96,517833;127,361451;358,726482;4328,592888;247,238608;118,254699;85,160106;117,848905;356,307187;4083,652027;249,934877;88,959434;184,285402;74,416453;28,758416;63,19254;98,749241;19,956033;40,802093;94,841669;126,115205;356,307187;4083,652027;249,934877;116,27797;85,673691;115,724687
1991-07-01;350,540554;3103,848513;247,540608;82,981604;179,327125;72,932085;28,014096;63,228247;98,298424;18,476497;44,029485;81,050848;122,371946;350,540554;3103,848513;247,540608;115,531252;90,798476;122,61647;349,223622;3334,944768;246,739353;86,191326;178,331081;70,43256;28,131264;63,570164;98,74924;19,434996;44,74767;78,556833;121,780916;349,223622;3334,944768;246,739353;114,757915;93,550587;124,598152
1991-08-01;355,326935;2787,419894;241,113461;91,019615;176,592069;68,269191;28,737488;66,087442;98,298429;19,209823;38,361665;80,299229;122,674881;355,326935;2787,419894;241,113461;113,351566;90,300292;115,70552;352,408391;3032,087466;232,322585;92,521027;174,646563;69,688295;28,85402;64,752124;98,749247;19,854554;39,363118;77,94608;120,981962;352,408391;3032,087466;232,322585;113,627117;91,93992;111,032979
1991-09-01;356,90004;2219,007572;248,309764;104,510716;156,836561;66,024933;28,810104;64,96581;98,298403;18,938778;38,07969;93,110936;123,09069;356,90004;2219,007572;248,309764;112,809132;91,438139;114,362602;355,680266;2237,13262;251,140231;99,444761;163,966284;67,423692;28,909098;64,6791;98,74924;19,876298;41,989675;94,349026;123,722307;355,680266;2237,13262;251,140231;112,089314;93,688018;120,772988
1991-10-01;357,844154;2757,381414;249,446978;94,923227;168,836013;65,209185;28,593524;65,44641;98,298479;18,251038;36,224675;81,691252;123,83093;357,844154;2757,381414;249,446978;114,852527;93,695847;118,44808;359,597134;2580,557876;249,735146;93,518905;171,135977;65,161031;28,355394;64,95041;98,749239;18,329215;36,906106;79,514728;123,551662;359,597134;2580,557876;249,735146;113,582266;93,040366;118,34484
1991-11-01;353,136107;2971,630535;240,202075;91,06544;167,877662;65,729828;28,998815;65,95008;98,298582;18,635486;41,705835;78,918405;127,967563;353,136107;2971,630535;240,202075;109,590424;90,780246;118,167096;353,861461;2840,553962;236,271037;89,308463;166,975606;65,26349;29,31482;66,414399;98,749239;18,90884;32,565528;76,674634;125,598138;353,861461;2840,553962;236,271037;110,195618;93,945754;120,838743
1991-12-01;353,684251;3060,601667;234,93238;86,706143;155,623059;65,17212;29,319927;66,916374;98,298576;18,252809;42,955449;102,024267;125,714219;353,684251;3060,601667;234,93238;108,139865;98,078369;128,185637;351,917913;2971,643786;231,864527;83,78636;157,338392;66,397185;28,934964;65,618267;98,749241;18,720187;44,188849;102,30065;126,631257;351,917913;2971,643786;231,864527;111,694601;97,50127;126,929566
1992-01-01;349,379792;2984,002011;248,61296;91,23914;164,86564;65,250415;29,85833;65,428909;98,298845;17,588627;43,54556;91,048597;120,799919;349,379792;2984,002011;248,61296;105,422968;96,261769;116,371351;352,454565;2987,660491;255,299978;91,199693;160,335132;65,581335;29,712582;65,003373;98,749239;17,731697;47,056353;89,943484;120,061432;352,454565;2987,660491;255,299978;106,027515;92,854978;117,256667
1992-02-01;354,646687;3020,089582;243,171389;92,01939;161,664217;66,316579;29,833428;65,820743;98,298815;17,991001;47,403235;111,807283;123,364762;354,646687;3020,089582;243,171389;107,150356;106,743417;118,62668;362,366547;2977,97334;250,350453;95,262334;162,88455;65,31976;29,266306;65,711569;98,74924;18,420299;48,181523;111,073256;124,069538;362,366547;2977,97334;250,350453;108,621355;105,878813;117,899358
1992-03-01;354,158789;2912,942937;240,14839;90,777113;161,299094;66,397892;30,055904;65,320502;98,105827;18,068934;38,609526;75,792765;121,919436;354,158789;2912,942937;240,14839;107,918756;92,567743;116,711801;354,967773;2899,979495;243,968402;90,302073;162,798302;67,938862;29,915615;65,300277;98,74924;18,239904;40,808136;77,78146;121,772306;354,967773;2899,979495;243,968402;109,199996;88,639521;114,597332
1992-04-01;353,053928;2887,547298;249,279857;89,196571;157,53144;66,809185;29,773469;63,352635;98,302472;17,894431;43,694458;112,681922;117,0432;353,053928;2887,547298;249,279857;109,572661;105,014854;130,346676;354,751609;2884,021257;252,866613;86,240418;156,541148;65,378157;29,6701;64,573798;98,749237;17,377066;40,631048;104,773303;116,55846;354,751609;2884,021257;252,866613;107,67323;109,063528;128,419412
1992-05-01;350,435076;2929,509223;241,801359;90,934501;160,125242;62,818471;30,448834;63,988216;98,298689;17,939949;38,008271;80,871091;119,78992;350,435076;2929,509223;241,801359;106,219424;91,439587;115,017478;350,939433;2961,388168;239,190903;90,189004;158,657198;63,65288;30,655719;65,4051;98,749244;17,999502;37,949057;76,548827;118,991465;350,939433;2961,388168;239,190903;105,934605;87,424851;116,634868
1992-06-01;343,671265;2748,852403;232,167645;87,637069;138,106938;64,115227;28,957606;61,622696;98,298643;18,040537;46,46277;79,314752;116,194017;343,671265;2748,852403;232,167645;100,728002;103,034476;130,727288;345,82679;2619,433094;231,232102;87,940799;140,0366;63,717449;29,474258;62,64572;98,749241;17,228994;43,588125;79,099337;116,113731;345,82679;2619,433094;231,232102;102,104185;104,362054;128,357452
1992-07-01;349,569517;2628,809719;227,579143;87,309056;148,040204;65,481824;30,859712;63,889032;98,298616;18,032679;43,194206;89,25436;113,79346;349,569517;2628,809719;227,579143;100,553428;101,513441;111,811283;347,141325;2833,754752;226,807263;88,794656;144,431205;64,999085;30,560129;64,33785;98,74924;17,953779;47,814255;86,104327;113,835085;347,141325;2833,754752;226,807263;99,210853;103,676435;116,17137
1992-08-01;343,297206;2480,774081;225,827908;87,909247;147,157237;65,95507;32,07392;70,494167;98,298607;19,411212;44,222789;89,387423;116,443711;343,297206;2480,774081;225,827908;103,60421;106,210907;110,401156;338,904959;2648,95371;220,743062;90,847919;146,732925;65,349354;32,215247;67,370807;98,749253;18,885787;44,983314;86,471933;114,406387;338,904959;2648,95371;220,743062;103,43054;107,493623;103,48488
1992-09-01;335,159655;2933,776196;213,772978;86,853769;139,484694;64,190539;30,918338;63,964077;98,298561;17,974499;30,71873;97,787204;115,427047;335,159655;2933,776196;213,772978;100,795636;104,90089;113,300533;334,042191;2956,055131;216,058258;86,206021;144,679718;63,800748;31,015229;64,699998;98,749239;18,179228;36,442425;98,317727;114,622873;334,042191;2956,055131;216,058258;101,275805;106,259352;119,430633
1992-10-01;322,748365;3270,536204;214,516653;84,84337;142,275651;65,776472;30,45314;64,049538;98,298601;16,38526;44,856282;94,197644;116,349227;322,748365;3270,536204;214,516653;102,136908;94,583306;112,184622;325,369451;3056,430028;211,47629;84,430005;141,759121;66,070765;30,38313;64,080103;98,749238;16,284378;46,608639;92,159886;115,914108;325,369451;3056,430028;211,47629;100,363365;93,248986;112,87531
1992-11-01;326,689569;2901,019822;227,108153;90,013333;135,418769;63,177781;31,053629;65,772396;98,298695;16,473981;76,900187;88,988769;116,764199;326,689569;2901,019822;227,108153;101,634266;108,077049;113,467764;326,217839;2796,550895;227,744702;87,196061;136,116907;63,896806;30,958168;65,107765;98,749238;16,657698;64,149259;86,434124;116,155227;326,217839;2796,550895;227,744702;103,024969;109,518683;113,468869
