;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899
1990-01-01;386,578455;2829,429284;229,299911;80,739014;186,058496;72,352166;28,41768;66,866434;98,300935;16,057042;34,108582;75,838701;114,757973;386,578455;2829,429284;229,299911;109,753307;90,031341;114,774036;388,124684;2876,641255;234,879394;80,70341;185,809041;72,13586;28,289035;66,575171;98,792045;15,928702;34,515162;77,54575;113,89736;388,124684;2876,641255;234,879394;110,110608;87,576448;112,58525
1990-02-01;381,354741;2803,835386;229,111858;81,305574;186,492734;72,312497;28,518789;66,374085;98,300715;16,499714;35,024065;76,753969;114,680074;381,354741;2803,835386;229,111858;109,790572;89,470475;114,219543;382,864336;2870,821966;234,935097;80,937538;185,652072;72,218662;28,319552;66,277092;98,792045;16,181363;35,174116;78,052138;114,108366;382,864336;2870,821966;234,935097;109,971879;87,604066;112,728718
1990-03-01;375,520436;2796,105267;229,505216;81,93131;186,268432;72,183083;28,52102;65,724773;98,300494;16,961749;35,826482;78,085192;114,701432;375,520436;2796,105267;229,505216;109,862818;88,82523;113,858036;378,893864;2865,653933;235,090312;81,312683;185,544496;72,231949;28,346965;65,880932;98,792045;16,569382;35,830905;78,73149;114,317933;378,893864;2865,653933;235,090312;109,843043;87,526601;112,610389
1990-04-01;369,530985;2793,972422;230,379245;82,699237;185,623304;71,927865;28,474605;64,995218;98,30027;17,395992;36,39329;79,26942;114,769957;369,530985;2793,972422;230,379245;109,979326;88,163741;113,438671;372,240312;2860,935717;235,339648;81,862843;184,985467;71,9877;28,355232;65,380573;98,792045;17,025434;36,345685;79,526775;114,532182;372,240312;2860,935717;235,339648;109,841444;87,367184;112,303662
1990-05-01;364,229633;2816,843656;232,193889;83,556571;184,389342;71,545218;28,342783;64,231284;98,299984;17,702987;37,026236;80,463837;114,900037;364,229633;2816,843656;232,193889;110,148678;87,653798;113,156038;364,16325;2855,826758;236,570401;82,684354;184,279543;71,662642;28,271509;64,582657;98,792046;17,313777;36,815557;80,265667;114,781043;364,16325;2855,826758;236,570401;109,950398;87,253709;112,042442
1990-06-01;360,605676;2888,837294;235,711181;84,500375;182,508263;71,23236;28,123158;63,470824;98,29972;17,835898;37,598535;81,4498;115,047292;360,605676;2888,837294;235,711181;110,371159;87,252803;113,356265;359,571252;2851,50741;239,279318;83,504506;183,492101;71,545119;28,102778;63,668902;98,792046;17,343323;37,230274;80,808717;115,147003;359,571252;2851,50741;239,279318;110,094395;87,409291;111,854303
1990-07-01;359,179981;3001,176543;241,285987;85,540371;180,739206;71,088351;27,889597;62,738295;98,299448;17,847283;38,042784;82,344947;115,277656;359,179981;3001,176543;241,285987;110,72945;86,929148;114,310536;358,279951;2851,035243;242,861576;83,946585;181,94438;71,463081;27,89222;62,782839;98,792046;17,253701;37,723979;81,267936;115,610379;358,279951;2851,035243;242,861576;110,345304;87,791744;111,657198
1990-08-01;359,484628;3116,054174;247,96677;86,468729;179,887455;71,221794;27,693949;62,029739;98,299115;17,886929;38,33301;83,042883;115,573198;359,484628;3116,054174;247,96677;111,186289;86,787316;115,854877;358,756738;2858,590069;246,130643;84,182125;180,018182;71,187175;27,745305;62,080674;98,792046;17,326439;38,356948;81,72339;116,073804;358,756738;2858,590069;246,130643;110,727914;88,170772;110,954089
1990-09-01;360,107095;3191,364537;254,075864;87,092738;180,127652;71,566636;27,515543;61,283941;98,298705;18,098881;38,46096;83,775032;116,019674;360,107095;3191,364537;254,075864;111,770095;86,776484;117,338542;360,237226;2872,78123;248,60813;84,570149;178,913521;71,242;27,695243;61,659103;98,792046;17,746574;38,752784;82,161106;116,497684;360,237226;2872,78123;248,60813;111,223628;88,487363;110,829124
1990-10-01;359,914411;3201,414161;258,320275;87,283904;180,951863;71,895676;27,359693;60,535849;98,298242;18,583863;38,536391;84,547701;116,640539;359,914411;3201,414161;258,320275;112,479919;86,887361;118,087403;360,808178;2884,417707;250,965073;84,861518;179,142602;71,519191;27,638453;61,292575;98,792045;18,370622;38,676351;82,657596;116,899507;360,808178;2884,417707;250,965073;111,816336;88,758401;112,523509
1990-11-01;358,160316;3145,734716;259,785522;87,01357;182,100424;71,860344;27,242359;59,951959;98,297768;19,292623;38,627081;85,305677;117,420097;358,160316;3145,734716;259,785522;113,253373;87,079481;117,837072;358,840473;2892,56331;252,759332;84,694581;180,203497;71,374382;27,564934;61,051986;98,792045;18,947027;38,394184;83,206313;117,368224;358,840473;2892,56331;252,759332;112,361754;88,900923;114,131777
1990-12-01;355,241241;3052,751384;258,786117;86,47839;183,118729;71,361145;27,111196;59,562467;98,297336;20,001534;38,760539;86,099174;118,296417;355,241241;3052,751384;258,786117;114,023485;87,322168;116,648797;355,622204;2900,548914;253,422314;84,400387;180,887439;70,942912;27,415665;60,826212;98,792045;19,421679;38,240061;83,770187;117,934865;355,622204;2900,548914;253,422314;112,89018;88,984834;114,269091
1991-01-01;352,409432;2967,918466;256,041996;85,903433;183,810182;70,428614;27,029137;59,469318;98,296991;20,52363;38,935164;86,818722;119,203612;352,409432;2967,918466;256,041996;114,729149;87,559529;114,931062;351,611544;2908,592402;253,205233;84,503008;180,897918;70,466002;27,199784;60,427082;98,792045;19,789476;38,278368;84,430572;118,547554;351,611544;2908,592402;253,205233;113,539512;89,308921;113,788472
1991-02-01;350,587925;2933,874571;252,618566;85,645751;184,023263;69,486106;27,035211;59,664563;98,296754;20,736894;39,13275;87,404966;120,107826;350,587925;2933,874571;252,618566;115,318039;87,768278;113,618758;348,411226;2916,725123;252,16928;84,944466;180,9437;69,907946;27,160448;60,315377;98,792045;19,994692;38,623777;85,086649;119,199531;348,411226;2916,725123;252,16928;114,153438;90,050826;113,522101
1991-03-01;350,089327;2951,954248;249,556912;85,895892;183,845596;68,899316;27,176692;60,185895;98,296627;20,620694;39,283472;87,758637;120,985651;350,089327;2951,954248;249,556912;115,734601;87,956808;113,222614;349,422145;2924,863836;250,521086;85,60432;181,082713;69,567021;27,271436;60,35056;98,792045;19,949337;39,260928;85,4794;119,860478;349,422145;2924,863836;250,521086;114,55942;90,919891;113,607445
1991-04-01;350,758793;2991,148358;247,309707;86,667772;183,513551;68,802501;27,456055;60,973422;98,296597;20,282891;39,409069;87,917557;121,817527;350,758793;2991,148358;247,309707;115,91966;88,190494;113,716047;352,837966;2932,571621;248,835458;86,345326;180,508552;69,715615;27,399474;60,336664;98,792045;19,698649;39,835423;85,570069;120,444333;352,837966;2932,571621;248,835458;114,688621;91,636307;113,949539
1991-05-01;352,20713;3016,372719;246,221539;87,871296;182,842489;68,981265;27,785222;61,905475;98,296664;19,844941;39,558767;87,864122;122,596783;352,20713;3016,372719;246,221539;115,820106;88,555732;114,825643;354,844998;2940,165104;247,6953;87,001211;179,204848;70,133072;27,671381;60,998788;98,792046;19,546064;40,260045;85,65199;120,939896;354,844998;2940,165104;247,6953;114,628979;92,18173;114,807061
1991-06-01;353,883633;3008,922429;246,122967;89,340441;181,721121;69,077624;28,104085;62,882935;98,296861;19,415565;39,780547;87,709307;123,287748;353,883633;3008,922429;246,122967;115,416073;89,12306;115,981194;354,229209;2944,414244;246,803079;87,874054;177,751506;70,317971;28,027134;62,213868;98,792046;19,556447;40,599488;85,798416;121,339212;354,229209;2944,414244;246,803079;114,489845;92,526499;116,135602
1991-07-01;355,243853;2974,691681;246,165006;90,714302;179,596004;68,866781;28,345714;63,831295;98,29718;19,097775;40,09238;87,617193;123,836856;355,243853;2974,691681;246,165006;114,766777;89,916629;116,839518;352,657499;2940,579784;245,603545;89,0528;175,747081;69,853216;28,304308;63,341757;98,792046;19,554644;40,712855;85,885758;121,592942;352,657499;2940,579784;245,603545;114,128351;92,858009;117,134574
1991-08-01;355,83478;2933,279795;245,869196;91,768249;176,47305;68,193816;28,528176;64,68503;98,297595;18,884985;40,443167;87,629719;124,20898;355,83478;2933,279795;245,869196;113,938304;90,905874;117,238781;353,148111;2931,079518;244,709442;90,363046;173,001368;68,912194;28,526301;64,193103;98,792046;19,485809;40,620643;86,111748;121,769024;353,148111;2931,079518;244,709442;113,522061;93,30923;117,636247
1991-09-01;355,663932;2905,39143;245,236928;92,373055;172,887957;67,150051;28,708595;65,384051;98,298059;18,719908;40,755932;87,760687;124,37761;355,663932;2905,39143;245,236928;112,98178;92,035126;117,34192;355,332558;2922,072179;244,574338;91,228386;170,309375;67,836119;28,693044;64,74704;98,792046;19,285937;40,50438;86,498917;121,922311;355,332558;2922,072179;244,574338;112,826113;93,824025;118,34191
1991-10-01;355,064382;2904,823118;244,125227;92,535119;169,380343;66,125134;28,905404;65,886677;98,29852;18,546481;41,032142;87,952183;124,325439;355,064382;2904,823118;244,125227;111,934457;93,243214;117,289756;356,251605;2919,033974;244,146665;91,093848;168,098186;66,903095;28,836694;65,177844;98,792045;18,994776;40,461914;86,87956;121,997017;356,251605;2919,033974;244,146665;112,047557;94,405788;119,206782
1991-11-01;354,381982;2928,012238;243,086554;92,306664;166,26239;65,52467;29,103273;66,110256;98,298923;18,345131;41,286974;88,133754;124,048343;354,381982;2928,012238;243,086554;110,827942;94,512313;117,30842;354,879475;2920,393937;243,226393;90,384047;165,748971;66,367315;29,015192;65,488315;98,792045;18,759323;40,795063;87,442179;121,934318;354,879475;2920,393937;243,226393;111,140855;95,067263;119,968996
1991-12-01;353,914969;2963,488968;242,837392;91,882487;163,96368;65,449019;29,357258;66,129159;98,299225;18,162547;41,557578;88,279881;123,525727;353,914969;2963,488968;242,837392;109,687542;95,823726;117,484802;353,641844;2922,139104;243,180738;89,967049;163,33131;66,125275;29,205153;65,531907;98,792045;18,53776;41,615931;88,172525;121,662019;353,641844;2922,139104;243,180738;110,129082;95,774366;120,254517
1992-01-01;353,45121;2991,285793;243,220914;91,456178;162,618057;65,62891;29,607209;65,917788;98,299409;18,02214;41,881629;88,467743;122,766912;353,45121;2991,285793;243,220914;108,556444;97,181457;117,830305;355,013763;2923,34256;243,946457;90,16417;161,588547;65,961485;29,387338;65,431225;98,792045;18,323408;42,398151;88,71976;121,202585;355,013763;2923,34256;243,946457;109,126654;96,499153;119,80575
1992-02-01;352,947073;2995,480006;243,758336;91,017469;161,562437;65,742508;29,771841;65,430848;98,299483;17,934046;42,20206;88,672799;121,819157;352,947073;2995,480006;243,758336;107,454065;98,540518;118,062682;356,910539;2923,583937;243,902357;90,326409;160,155118;65,884909;29,561399;65,33139;98,792045;18,185026;42,724849;88,876445;120,646859;356,910539;2923,583937;243,902357;108,305654;97,161069;119,344272
1992-03-01;352,570241;2969,87023;243,872513;90,570535;160,446115;65,637695;29,897771;64,764954;98,299483;17,918076;42,488835;88,849749;120,746775;352,570241;2969,87023;243,872513;106,397745;99,757245;117,885291;356,090512;2923,085279;242,703442;89,939202;158,233563;65,759769;29,740848;65,137131;98,792045;18,039385;42,721415;88,706024;119,977003;356,090512;2923,085279;242,703442;107,49744;97,73117;119,526753
1992-04-01;351,913644;2911,67172;242,744844;90,090784;158,689094;65,361078;30,033805;64,047121;98,299452;17,965798;42,665618;88,894048;119,627925;351,913644;2911,67172;242,744844;105,421795;100,7264;117,303376;353,623642;2922,658485;240,5393;89,431584;155,723321;65,336662;29,935068;64,859953;98,792045;17,884212;42,712081;88,393132;119,241439;353,623642;2922,658485;240,5393;106,430041;98,261613;119,877632
