;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899
1990-01-01;394,5231;3017,533674;243,270366;68,468557;175,992612;79,968465;26,123448;65,881823;98,282874;19,047545;58,263375;50,89392;95,235658;394,5231;3017,533674;243,270366;90,427918;108,63547;115,527862;395,892609;3017,533674;242,968883;70,408337;177,44129;79,224482;26,417905;66,158894;98,282874;19,188049;57,520834;50,89392;94,943257;395,892609;3017,533674;242,968883;91,991954;108,63547;114,364667
1990-02-01;346,862399;2828,569346;234,933204;71,132572;194,636944;76,610094;25,925465;70,316153;98,282874;12,474841;36,037507;61,212602;94,226559;346,862399;2828,569346;234,933204;97,910198;82,816204;112,185361;343,792821;2828,569346;232,616753;70,31798;194,21906;76,656273;26,03605;70,33843;98,282874;12,364444;35,333954;61,212602;93,392696;343,792821;2828,569346;232,616753;97,016789;82,816204;112,035314
1990-03-01;394,352946;3130,635347;265,09935;82,043708;211,432265;77,127029;29,309695;73,458422;98,168628;18,047984;41,901786;81,195712;104,529756;394,352946;3130,635347;265,09935;119,367447;92,174856;124,11824;395,463148;3130,635347;260,814252;82,266837;208,623283;77,816947;29,065897;72,738563;98,282874;17,754959;40,86663;81,195712;104,243794;395,463148;3130,635347;260,814252;116,555461;92,174856;122,916217
1990-04-01;366,871698;3012,432439;229,093565;73,745008;212,51593;75,625179;31,282087;74,734635;98,397253;23,584653;29,574684;54,71643;182,630258;366,871698;3012,432439;229,093565;115,128717;85,508302;113,618834;366,131971;3012,432439;232,550917;72,36467;214,412456;75,755911;31,549569;75,080727;98,282874;23,700012;30,021173;54,71643;184,338239;366,131971;3012,432439;232,550917;116,427416;85,508302;114,620039
1990-05-01;369,545942;2970,165061;213,974602;80,6123;183,241638;74,185693;31,901534;63,788904;98,282874;18,108643;54,224789;76,486197;109,687683;369,545942;2970,165061;213,974602;116,336999;70,698257;113,931775;369,201396;2970,165061;215,459357;80,591538;183,120601;73,534921;31,624743;63,460248;98,282874;17,930073;53,054717;76,486197;109,366307;369,201396;2970,165061;215,459357;116,565519;70,698257;113,755519
1990-06-01;349,238473;1862,89823;251,346473;100,027707;216,311253;81,636234;33,406893;72,706861;98,282874;20,663435;25,577119;124,809006;126,883883;349,238473;1862,89823;251,346473;127,45408;85,368217;119,792903;350,270643;1862,89823;248,266946;100,614644;215,803034;81,522925;33,735936;73,521592;98,282874;20,767647;26,300701;124,809006;126,07764;350,270643;1862,89823;248,266946;127,090518;85,368217;121,025973
1990-07-01;307,877795;333,40216;247,19313;102,530488;190,931955;92,764852;25,545983;59,450153;98,282874;11,770953;16,179522;67,905898;129,90376;307,877795;333,40216;247,19313;125,630225;86,126927;146,079191;307,255605;333,40216;248,218567;102,835136;193,06533;94,001532;25,491881;59,544434;98,282874;11,978856;16,481659;67,905898;131,014396;307,255605;333,40216;248,218567;126,885628;86,126927;145,552229
1990-08-01;361,081336;1982,850133;216,164979;90,474129;129,840747;12,480146;20,680349;32,003487;98,282874;2,79165;20,791706;88,311421;109,086973;361,081336;1982,850133;216,164979;90,495228;50,905539;50,794351;361,567333;1982,850133;216,336189;90,393167;127,974529;12,830364;20,614503;31,899849;98,282874;2,767145;22,506514;88,311421;109,24148;361,567333;1982,850133;216,336189;89,10205;50,905539;51,798042
1990-09-01;360,18278;3132,384342;262,388154;111,844096;160,08648;72,869662;31,554237;68,564699;98,282874;15,13107;42,990293;116,941499;113,876517;360,18278;3132,384342;262,388154;120,41146;100,209678;92,269634;358,171862;3132,384342;263,915508;111,919055;159,912356;71,97018;31,329487;68,184678;98,282874;15,136037;42,751045;116,941499;113,408962;358,171862;3132,384342;263,915508;120,633527;100,209678;92,100103
1990-10-01;374,462652;3118,683881;277,888243;93,687435;178,466611;88,529549;29,604114;68,828921;98,282874;19,911103;34,994091;66,471701;116,916321;374,462652;3118,683881;277,888243;126,03033;99,192755;131,972034;375,762525;3118,683881;277,586759;94,858686;179,915289;87,785566;29,937805;69,105991;98,282874;20,057977;34,25155;66,471701;116,557355;375,762525;3118,683881;277,586759;127,594365;99,192755;130,808839
1990-11-01;355,503747;3121,963247;258,41993;75,996253;178,04731;72,72453;30,667486;60,819555;98,282874;20,00962;40,790187;87,144712;102,567807;355,503747;3121,963247;258,41993;115,598465;98,779701;123,818401;356,262988;3121,963247;257,194059;75,814447;176,772755;74,367994;30,543211;60,922505;98,282874;19,856581;41,771976;87,144712;103,307851;356,262988;3121,963247;257,194059;113,812363;98,779701;125,151127
1990-12-01;362,89082;3072,481265;212,841865;55,930983;155,764427;55,302351;20,988954;53,564139;98,282874;34,253643;47,682927;93,415934;101,130001;362,89082;3072,481265;212,841865;80,107267;97,256248;108,396783;362,40471;3072,481265;213,23999;54,024629;156,126527;54,479536;21,077758;53,087421;98,282874;34,123316;46,112471;93,415934;101,067315;362,40471;3072,481265;213,23999;80,380083;97,256248;106,86324
1991-01-01;355,987327;3179,461455;267,342214;71,697925;176,371629;80,553208;24,619878;58,476307;98,282874;24,970728;66,179268;64,620554;97,871213;355,987327;3179,461455;267,342214;94,130173;96,991643;116,309672;355,655422;3179,461455;268,826969;71,948822;176,250593;79,902435;24,406265;58,147651;98,282874;24,72449;65,009196;64,620554;97,584459;355,655422;3179,461455;268,826969;94,358693;96,991643;116,133416
1991-02-01;317,027329;2904,577751;256,477684;77,608334;188,596891;73,871278;23,951408;62,106616;98,282874;16,115814;34,326071;71,573771;97,407915;317,027329;2904,577751;256,477684;77,00898;83,312527;107,693311;314,221778;2904,577751;254,161233;76,793742;188,179008;73,917457;24,053572;62,128893;98,282874;15,973197;33,622518;71,573771;96,545898;314,221778;2904,577751;254,161233;76,115571;83,312527;107,543264
1991-03-01;357,32288;3280,684537;279,535633;83,25551;204,758486;71,169588;29,565549;71,408227;98,598815;23,443456;41,200346;110,785811;111,766224;357,32288;3280,684537;279,535633;125,607736;103,060552;122,292054;356,136591;3280,684537;275,886839;81,041899;203,927719;69,996028;29,359192;71,449166;98,282874;23,775168;43,701625;110,785811;111,703652;356,136591;3280,684537;275,886839;124,508981;103,060552;123,743834
1991-04-01;347,509547;3112,489524;244,241697;83,828031;211,947214;72,135325;27,716946;63,230883;97,967945;23,300575;36,27496;55,978973;194,852821;347,509547;3112,489524;244,241697;123,256358;80,963894;115,248263;348,990878;3112,489524;245,8364;86,335515;214,403137;74,432255;28,126984;64,098955;98,282874;23,499205;34,7994;55,978973;195,379418;348,990878;3112,489524;245,8364;125,246954;80,963894;114,502592
1991-05-01;363,691932;3239,510281;239,125038;77,387658;179,139555;70,44465;30,924063;60,460966;98,282874;18,580954;81,771426;65,963947;118,934157;363,691932;3239,510281;239,125038;117,669646;93,865842;111,891828;364,181443;3239,510281;239,296248;77,705497;177,273337;70,794868;30,825602;60,357328;98,282874;18,41785;83,486234;65,963947;119,102611;364,181443;3239,510281;239,296248;116,276468;93,865842;112,895518
