;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
1990-01-31;1,01698;0,979407;3,587296;4,136515;6,915824;-1,234542;1,006306;2,864361;-8,947352;0,992308;-0,604201;-2,858088;0,999578;0,967287;1,149011;-0,95233;0,993188;-2,09039;0,952116;0;0,981001;1,983886;-126,386969;1,00012;-1,152242;0,994977;0,890467;-5,376891;1,010516;0,710945;19,025043;0,15483;0,989745;-0,289796;0,99866;0,978347;10,246055;5,003492;0,994359;0,999361;0,977406;0;0,923735;0;1,009548;1,0093;1,001669;1,002473;1,00188;1,03987;0,967457;-3,142384;1,00727;0,991477;0,324695;0,4379;1,007921;1;6,439964;-0,690476;0,467332;-0,440026;0,721606;1,023764;-0;-0,221649;1;26,248976;2,350699;1,035206;6,369053;2,374261;1,836589;0,148934;-4,448688;0,996249;0,99144;1,004202;1,001952;0,978018;0,998658;0,990713;0,958878;0,975213;1,008231;1,002314;-0,079164;-4,861354;1,012819;-0,492167;3,07131;-1,153118;-0,045789;-0,947311;-2,429507;-0,764442;0,981157;-1,186257;10,796244;0,686587;0,983391;1,030576;3,006108;1,043915;-2,379935;1,861412;0,996871;0,976534;0,516296;1,047139;6,105228;0,994041;0,828181;-1,908456;0,233706;0,963972;0,998316;0,975051;4,357901;14,709073;-3,05385;4,097352;-3,863006;-6,94063;0,964687;-1,309575;1,239765;-0,330717;2,719866;0,987682;1,050377;0,991907;3,45879;1,006656;0,99741;2,295612;-4,074848;0,720364;0,836526;1,001986;0,999296;0,874927;0,995153;0,920489;0,974074;0,99012;0,93565;0,987095;7,902581;1,004538;0,995295;1,023486;1,024117;1,019022;-1,067045;0;1,002027;1,013339;0,995307;0,986138;0,998441;0,996053;0,996743;1,029424;0,997926;0,965383;1,007154;1,006665;-2,483005;-3,121507;0,913669;1,043067;1,002995;1,013033;0,94676;1,005013;1,011016;0,010023;1,434048;0,996555;-0,428137;1,003997;0,986015;-3,956232;1,033542;-2,01835;0,99932;-7,341622;0;-2,319029;-6,695419;0;1,002687;0,062854;1,128564;1,001988;0,983368;0,94095;1,01449;0,642873;-0,178446;1,006985;1,005072;1,016945;1,016945;1,023401;1,023401;0,998009;1,762817;2,022428;1;1,104263
1990-02-28;0,999483;1,006305;2,046571;1,104067;-5,164341;1,77889;1,001768;-0,310558;-1,978758;1,00598;0,27107;4,234694;0,99788;1,0311;0,953885;-1,385964;0,985165;-1,940551;0,938043;0;0,994778;-1,456841;6,89181;1,007295;0,200611;1,003236;-0,057049;-1,683758;1,010648;1,201763;4,070184;-1,166315;0,981985;-0,810132;1,054088;0,997536;-4,572513;4,124317;1,013057;0,990437;1,214993;0;-1,09667;0;0,988756;1,003885;0,995086;0,999456;0,981129;0,99756;0,959972;-6,933862;1,007307;1,003671;2,933139;-4,024668;1,174417;1;6,999849;-0,309529;0,98392;0,80715;-0,505535;0,960153;0;-2,86418;1;-4,946414;-1,462743;0,969566;0,174691;-0,664363;-2,251332;0,957139;2,436809;1,006714;1,033953;0,995294;1,009443;0,998028;1,00766;1,015053;0,98196;1,048048;0,93087;0,882006;-2,153819;0,27801;0,993247;-0,624833;-1,266318;0,429078;-2,583035;0,371825;-2,391713;-0,757902;1,007995;-1,651115;-17,097321;-0,144125;0,940626;1,004719;-3,848927;0,994831;0,900734;-3,202468;0,983693;1,009179;-0,269283;0,954986;-4,343115;1,014367;-2,498107;1,159306;-0,266537;1,002933;1,023647;0,980739;-1,286293;5,426688;5,678898;1,231504;20,274286;1,404895;0,903079;-6,735886;0,891573;1,286366;-0,212768;0,993893;-1,294383;0,995903;-5,145773;0,994143;0,94249;-2,841663;1,254282;-0,147828;-1,052208;0,998615;0,998862;0,885122;1,335044;1,046756;1,184365;1,013138;1,032098;0,984141;0,940416;0,928639;0,985185;0,939485;0,940294;0,999748;0,817877;0;1,155804;1,032157;1,002198;0,969291;1,003832;1,007949;0,995049;1,005463;0,98983;0,942845;1,004895;1,016832;13,072075;3,088872;1,119658;1,055859;1,002654;1,018937;0,948208;1,014945;1,012927;-1,098089;2,790113;0,996153;0,111365;0,997115;0,97892;-0,092837;0,999616;4,028051;0,968835;-0,624456;-0;-1,376006;3,023947;0;1,013246;1,256429;1,00338;0,998698;1,023602;0,955429;1,007961;1,001635;7,417733;0,929665;0,988436;0,909464;0,909464;0,813565;0,813565;0,99847;-1,820653;-2,203622;1;-0,823466
1990-03-31;1,035474;1,01246;10,37013;1,338448;6,89196;2,640868;0,98864;-0,257421;2,26679;1,020441;1,298407;2,332539;0,998437;1,064573;0,981178;0,723093;1,013462;1,20357;1,025106;0;1,005227;2,225181;-8,193235;1,001605;1,659854;1,017652;-2,01937;2,325088;1,017145;1,878575;1,329161;-1,879547;0,968172;0,925465;1,006781;1,029741;8,220356;0,776507;1,002356;0,970524;0,874277;0;0,138038;0;0,991474;0,970886;0,982795;0,99547;0,900672;1,004814;1,004574;10,062808;1,001633;1,015085;1,882494;5,225741;1,044104;1;0,536641;1,846411;3,172973;0,906883;0,177056;1,012952;0;4,70378;1;-2,29833;-1,389741;0,969565;-3,165911;0,380312;17,297395;-1,004147;5,595507;1,011721;1,01185;1,024838;1,022942;1,01822;1,006705;1,013808;1,04525;0,974933;1,007461;1,020938;10,288322;3,998244;1,1021;0,677362;0,416639;0,065594;1,111612;1,261325;0,656362;1,199399;1,004072;2,402151;10,955172;2,228341;1,008418;1,03053;1,788503;0,992322;10,028589;3,28963;0,968596;1,020775;-1,358416;1,030619;6,237423;1,016082;3,910108;0,712452;2,188076;0,978252;1,030724;1,075259;1,644871;6,848472;-1,958048;-0,722753;-0,78492;-5,01;1,017389;1,193205;0,873297;3,566987;-1,155411;1,001702;2,250265;1,017939;0,744067;1,00262;1,014162;0,71114;3,040855;3,018829;0,099534;1,000463;1,002859;0,872228;0,997509;0,949234;1,00908;1,015998;1,007932;0,983147;0,002555;0,956493;1,107944;0,945323;0,946186;1,010585;3,288452;0;0,961905;1,016757;1,001566;1,037065;1,021419;0,998896;0,992084;0,986439;0,987064;0,879841;1,006226;1,008844;6,794379;1,549642;1,053519;1,081499;1,005262;1,034892;0,948367;1,037218;1,025613;5,063499;8,100717;0,998282;1,144112;1,003343;0,956943;4,418579;0,969341;3,495634;0,958133;5,290692;0;-0,024535;5,437738;0;1,014309;0,869913;0,845814;1,00329;1,009567;0,944879;1,001954;0,996479;-1,06931;0,982682;0,987536;0,973271;0,973271;0,972858;0,972858;0,999793;2,70758;2,187867;1;1,109733
1990-04-30;1,000047;1,031259;-13,276602;-4,011399;-4,497805;-9,387896;0,995081;-3,584254;1,970214;0,994752;-1,23762;-13,059203;1,00104;0,972067;0,80643;-0,626741;0,989467;-3,454517;1,032664;0;0,99276;-4,78772;-2,971307;0,975695;-1,903996;0,988404;1,300226;0,80492;0,98349;-1,341162;-6,510612;-4,075906;0,995246;-0,982528;0,9493;0,979982;-60,230853;-13,966699;0,985089;0,983967;1,026342;0;2,063043;-0;1,007171;1,022947;1,01133;1,002145;1,014663;1,017681;0,934926;-7,121999;0,989509;0,905507;-5,995361;-6,383283;0,978098;1;7,156389;-1,154362;-3,792448;1,083509;-41,816241;0,990263;0;-1,645416;1;-28,282803;2,081301;1,0105;-1,434433;-1,29615;-10,567555;0,16708;1,402243;0,95484;0,968825;0,96253;0,971784;0,985133;0,970618;0,984346;1,003936;0,993638;0,993981;0,981708;-13,471363;-4,682563;0,957596;-1,461782;-2,259048;-3,632633;0,047656;1,747274;1,820818;-8,236693;0,914786;-2,357718;-13,523391;-1,489051;0,980526;0,976194;0,354517;0,963804;1,229728;-7,549532;1,016423;0,976065;0,136444;0,879628;-10,482748;0,935117;-8,663314;-7,326638;-1,732715;0,960089;0,953426;0,994605;-5,682799;-18,839423;-5,554661;-18,27014;-3,444703;-5,971975;1,018333;5,123221;1,012964;0,409916;-1,605122;0,963484;-3,79307;0,978944;-2,2709;0,967773;0,973272;-3,096725;1,954711;-2,740529;-5,195661;0,990402;0,992145;1,116745;0,947647;1,01334;0,98395;0,983276;1,042264;1,010192;-2,60949;0,982773;0,9554;0,815905;0,817779;0,985938;-6,060303;-0;0,988117;0,955859;1,001182;0,98745;1,015743;0,999274;1,01579;0,998044;1,015592;1,059511;0,986995;0,995691;-2,40772;-0,288916;0,98332;0,967321;0,983546;0,960109;1,048878;0,973512;0,959189;-6,745683;-2,436618;1,000981;-0,906376;1,032154;1,152778;-3,621051;0,981486;-3,491569;1,03489;-3,709446;0;-3,912313;-12,323884;-0;0,994346;-1,282884;1,01976;0,994155;1,00846;1,028248;0,994569;0,977332;-1,00598;1,062777;1,026885;1,028325;1,028325;1,135878;1,135878;0,999577;-2,558982;-5,270586;1;-2,29349
1990-05-31;0,990098;1,00643;-5,516167;6,285337;0,376935;2,756561;1,013109;4,683406;4,791525;1,073398;2,905935;4,029975;1,004975;1,040216;1,04344;1,002555;1,016829;2,934094;0,992056;0;1,040318;5,732813;73,772653;1,000537;4,47529;1,073576;1,533195;14,171509;1,006094;1,486829;1,088616;5,451188;1,004966;-4,291248;1,079672;1,075001;46,343138;4,303464;1,119513;1,041536;1,018658;0;1,400711;-0;1,010464;0,993755;1,014337;0,999025;1,02538;1,002148;1,102747;10,089714;0,996775;1,102264;1,850729;6,137607;1,149437;1;-3,837227;0,763207;9,237177;8,121676;-36,573527;1,061548;0;2,111595;1;3,466536;0,309609;1,056125;-1,250577;1,15144;-3,814871;-0,849084;-4,208108;1,051256;1,096935;1,018683;1,040548;1,027969;1,031449;0,995007;1,019195;0,987316;1,051489;1,078121;23,288734;3,617472;1,114858;1,846722;2,143178;1,847233;1,293118;1,416495;2,459777;1,928651;0,94769;4,319091;7,768803;6,884319;1,041724;1,032295;-2,123151;1,035807;0,732085;3,656118;1,0317;1,080678;1,028936;1,001823;9,751919;1,021634;18,523273;13,059071;-0,24386;1,035391;1,11111;0,974782;2,728107;16,503019;12,196648;25,01156;-0,026885;12,558534;1,053157;1,018377;1,003505;-2,971534;1,524646;1,019268;3,271346;1,053324;5,793591;1,023022;1,138059;5,823361;1,319123;1,355439;2,128998;1,017072;1,013137;1,116231;1,158998;1,072815;1,038245;1,020136;0,990989;1,001035;5,41487;1,145996;1,006082;1,100301;1,101503;1,08882;10,599554;0;1,079695;0,876648;1,000884;1,066393;0,991759;0,995178;1,002683;0,96381;1,006694;1,063073;0,985204;1,004884;-0,98255;-0,872423;0,9866;0,976821;0,995055;0,971967;1,051864;0,995259;0,993698;5,317656;-0,272028;1,009269;0,159367;1,009899;1,143281;4,250611;1,014286;-11,232538;1,049552;12,878742;0;9,438777;8,571046;0;0,988297;4,252334;1,001087;1,005871;0,965152;1,244471;0,986432;1,002514;2,39035;1,000903;0,99679;0,990846;0,990846;0,985757;0,985758;1,001357;4,328945;4,099814;1;2,788572
1990-06-30;0,991382;0,932603;-2,029227;-2,980789;-4,340836;-4,055369;0,978465;-2,631327;-1,782205;0,99037;-1,680408;-5,099163;0,97516;0,785932;1,061741;0,349453;0,994456;1,521995;0,971671;0;0,99109;-2,480857;0,26074;1,003644;0,049412;0,988347;-0,272725;1,062328;0,965812;-2,899795;-3,21568;3,60099;1,035685;0,91117;0,95709;0,936997;4,709049;-8,1568;0,995141;1,039675;0,903218;0;5,182245;0;1,027775;1,006676;1,016222;1,022441;0,924343;0,947342;1,14361;18,516999;0,990901;0,961815;-1,720656;1,943966;0,989006;1;-1,596851;-0,453128;-0,94189;-2,071398;-37,542945;0,96209;0;-3,533218;1;5,715348;-2,021243;1,024437;2,122448;-7,466182;4,489585;-4,907636;-1,006331;1,044175;0,97766;0,995581;0,955871;0,986322;0,978559;1,004614;0,971948;0,983052;0,999033;0,996174;-6,985099;-1,761103;0,983086;-0,683407;-3,551401;-1,457084;0,899836;0,196539;-1,964;-0,954072;1,056726;-0,818802;-8,676005;-2,963864;1,031092;0,921395;1,780252;0,961284;-2,713342;0,281014;1,051398;0,984577;-0,984253;1,011562;-6,412768;1,010817;3,647615;-3,236939;-0,072748;1,044364;0,953902;1,122943;-1,969408;-11,773736;-1,617827;-8,044573;0,443212;-2,367124;0,928915;-17,376481;1,009349;1,920439;0,180989;0,996874;-1,017177;0,98601;0,564218;0,993865;1,046437;-0,30576;14,290021;-3,862845;-0,772786;1,006845;1,008358;1,121996;0,74825;0,97167;0,855631;1,075246;0,966822;1,00083;-1,51913;1,053864;1,016515;0,963804;0,964373;0,998713;0,368031;0;1,04736;0,918829;1,009731;0,963733;0,997802;1,004334;1,003275;0,946905;1,001743;1,045393;0,984655;1,008627;-1,751719;18,884245;0,943253;0,988229;0,985541;0,991696;1,057734;1,002061;0,951188;-3,033532;-0,685403;1,019845;1,76754;1,000417;1,149181;-2,772689;0,989175;2,911227;1,009673;1,744901;0;4,651026;-0,500543;0;0,983144;-0,552581;0,981224;0,993935;0,99604;0,991055;0,977205;1,002753;-1,842574;1,015751;1,012711;1,012363;1,012363;0,995086;0,995086;1,000436;-1,663073;-1,672411;1;-0,620274
1990-07-31;0,845624;0,120511;-7,136152;0,8762;0,29687;-3,296135;0,991649;0,068729;0,681633;0,986083;-0,418067;-4,791976;0,995406;0,991945;1,227862;0,845256;0,999323;1,80686;1,032202;0;1,005172;1,590652;5,851557;0,998541;-1,980593;0,985147;-1,219765;17,632329;0,865853;-7,662222;1,069776;-2,656318;1,030896;0,953899;0,935096;1,041141;-8,621019;-1,833292;0,996251;0,981767;1,12804;0;-4,743951;0;0,914892;1,002449;0,981915;0,987302;1,099476;0,967343;0,951431;-12,296416;1,003559;1,028295;3,949915;3,968445;0,953021;1;-9,929346;5,662275;-1,351228;-2,018217;-9,48952;1,003484;0;-2,207984;1;2,338831;0,068891;0,961381;2,823887;-2,627451;7,321955;1,956797;-7,570111;0,992807;0,99259;1,02226;1,001577;0,98795;0,998752;0,991857;1,020322;1,128059;0,97744;0,967916;-0,226926;-1,658105;0,99343;0,256939;-0,27199;0,434725;0,348904;-1,850584;-0,437379;6,224148;1,017394;15,743207;62,171039;-1,110653;1,255626;0,999163;0,464936;0,97882;1,238167;-1,291737;0,876348;0,969182;2,077203;0,297391;11,205015;1,015992;8,318878;-3,155581;-11,368179;1,028032;1,005349;0,848701;5,760861;-4,550866;58,04061;60,954006;2,640668;12,990997;1,15396;12,962674;1,002942;-6,449864;0,898098;1,016775;-1,688464;1,031673;-7,454704;1,014727;1,019331;1,299412;0,712056;6,845982;3,545641;0,982694;0,983159;1,014547;0,99907;0,992325;0,995377;0,906636;1,003626;1,021016;-0,521572;1,008324;0,999148;1,0525;1,053079;0,996875;-2,771856;0;0,963817;1,093452;0,992357;1,021826;0,884609;0,999539;1,00111;1,053804;1,006377;0,948585;1,012608;0,972245;-2,804502;-0,519752;0,840086;0,977968;1,014056;1,011989;1,017366;0,981931;1,060109;1,749929;-0,683959;0,980185;-2,060733;0,993756;0,888312;-6,800144;1,009873;-2,204416;0,969011;-3,596053;-0;-8,497221;0,779863;0;1,004605;-0,028895;0,996406;1,004779;0,969938;1,025923;1,012542;1,004856;1,19373;0,998185;0,98456;1,00187;1,001869;0,991734;0,991734;1,000221;-3,201294;-1,056377;1;-1,620792
1990-08-31;1,001257;0,635813;35,529341;-0,28208;0,594226;4,106163;1,029657;6,228674;11,370237;1,010121;0,307889;6,303632;1,013745;0,99524;0,977303;0,17835;1,006469;0,54874;0,973622;0;0,988177;-11,792295;-18,432439;1,010698;1,721379;1,023846;-1,185881;-4,943074;1,028692;3,37523;3,828064;9,84116;0,978639;0,029525;1,111925;0,975291;-66,343128;-7,447847;0,999211;0,988371;0,825096;0;-7,316344;0;0,875478;0,997482;1,004912;1,003267;1,037111;1,040659;0,950317;-49,170187;0,992268;1,026538;0,014612;-5,862446;0,963381;1;-7,335666;-1,730965;-1,128797;0,504241;-10,664373;1,071102;0;8,107301;1;0,080037;-2,512033;1,016517;-1,843715;1,977634;-5,963191;-0,140913;7,10276;0,983499;0,994116;0,973573;1,003157;0,998764;1,003183;0,997704;0,903266;1,099715;1,009825;1,023662;11,512353;5,967348;1,01014;-0,178889;5,824891;1,678321;-1,332252;-1,896434;0,404455;-2,28915;1,053756;-12,001336;-24,204542;1,672348;0,688895;0,993454;-10,594429;1,063665;-0,121314;-0,929553;0,933845;0,984893;-1,746869;1,534628;-16,131963;0,685074;-0,467408;15,252768;1,29073;1,03668;1,026093;0,964494;-4,922935;3,926115;-30,235001;-74,344293;2,789536;5,395128;0,865745;-1,898196;0,985871;-0,721924;-0,987326;1,029923;6,438363;0,945753;3,974223;1,00449;0,995346;-2,030387;-2,602205;-1,956043;-0,784216;0,991541;0,992984;1,001972;1,004213;0,994982;0,996645;0,997248;0,977997;1,025042;-0,792759;1,001171;0,989386;1,054673;1,055308;0,99716;-6,429493;0;0,952979;1,016682;0,998254;1,105198;0,909221;1,003196;0,990393;1,034525;1,000646;0,990609;1,014547;0,97746;-0,720101;-22,552941;0,631764;0,983959;1,039152;1,005755;1,023047;0,98902;1,260849;1,693124;-0,97063;0,986556;0,24135;0,990479;0,92011;4,161968;1,018101;-2,245136;0,990366;0,870429;0;0,557874;-1,594706;0;0,996717;-0,391283;0,947778;1,044092;1,023931;1,012136;1,031757;0,994062;0,688736;1,001069;0,993009;1,00992;1,00992;1,011293;1,011293;0,998461;1,046734;10,572801;1;0,882543
1990-09-30;1,003689;1,052766;-25,215905;-5,172894;-3,304208;-35,827377;0,930479;-4,290614;-5,157929;0,960443;-5,222888;-3,117188;0,995524;1,002042;0,934147;-5,803335;0,928469;-7,67129;0,98903;0;0,98091;-3,331888;-54,450913;1,031891;-4,354959;0,943066;1,311294;-4,783064;0,967434;-2,810737;-5,072366;-9,612799;1,015877;-0,190719;0,921343;0,960829;-17,478403;0,194674;0,957227;0,990354;0,997968;0;2,050687;0;0,980708;1,006397;0,995343;0,993374;1,015786;1,025848;0,870199;-6,846617;0,978679;0,9498;-3,747032;-9,064779;0,944501;1;-12,405187;-7,156507;-7,553615;-9,315253;-9,82976;0,983863;0;0,026337;1;1,047639;2,933727;0,986096;-1,280676;-1,045414;-9,375492;-1,757234;4,213334;0,976602;0,976452;0,995044;0,914524;0,991437;0,975129;0,99964;0,996744;0,979156;0,977213;0,974186;-7,400351;-10,951579;1,026833;-0,770656;-0,336883;-0,779383;0,081206;-1,789267;-1,012235;1,376853;0,98996;-8,119501;4,239165;-0,987121;1,196512;0,955131;-0,071793;0,946169;-10,377772;-4,622715;0,952466;0,989246;2,042306;1,019461;-5,098268;0,912984;-1,852823;-3,558135;-9,913623;0,98913;0,980335;0,961507;-1,344973;-14,861615;-3,37039;-5,526365;-9,040935;-21,41459;0,959347;-1,056935;0,977137;1,08856;-1,818506;0,981483;-9,775348;0,94565;-2,033165;0,953313;0,979304;-1,324414;-28,262641;-4,72204;-2,04459;1,007248;1,006189;1,046973;1,009455;0,900235;1,00551;1,012992;1,01779;1,030567;0,220644;1,021783;0,991099;0,960166;0,960834;0,973383;-3,362998;0;0,967734;0,985112;1,000415;0,903054;0,866871;0,997935;0,992422;1,028463;0,992108;1,023481;1,018561;0,99707;1,801423;-10,030153;0,573409;0,980171;0,993384;1,002425;1,041132;0,996494;1,041;-9,976973;-0,417088;0,989027;-0,740395;0,994962;0,969846;4,75951;0,962888;0,761829;0,912201;-7,288609;0;-4,11656;-7,299414;0;0,991393;-1,981957;0,910502;0,987429;1,008681;0,955153;1,006525;0,991737;-0,459722;1,003133;0,999483;0,984335;0,984335;1,01996;1,01996;0,999124;-6,549986;-2,832601;1;-2,637307
1990-10-31;1,005567;1,028487;13,538896;2,62653;6,429751;5,27133;1,037982;0,515169;-0,280299;1,014823;0,792811;4,824527;1,004007;1,017886;1,008371;0,654207;1,013513;-1,397788;1,027938;0;1,01589;5,717373;3,998024;0,913365;0,519509;1,017123;-1,443441;-0,233199;1,009165;1,303361;-3,580011;3,434896;0,994325;-1,108276;1,033747;1,036358;20,798061;17,791826;1,038982;1,020313;1,009119;0;19,77885;0;1,11038;0,995941;0,994882;0,990501;0,962905;0,962567;1,048963;0,242219;1,019489;1,024834;-0,036315;37,01649;1,053543;1;1,430601;-0,560469;3,471608;2,626714;-3,517514;0,963363;0;4,075554;1;-7,284015;1,763321;0,986547;1,705576;1,228773;10,623744;-0,648003;-3,984246;0,952014;1,046254;0,994729;1,147801;1,030118;1,035852;1,005689;1,034539;1,011831;1,015205;1,015431;-0,20556;1,091215;1,135806;0,67564;3,078241;1,666391;0,666047;0,256295;-1,460052;1,446613;1,032615;1,312373;35,852537;1,393178;0,978508;1,044748;5,568074;1,027762;1,07246;3,868817;1,020179;1,021938;-0,851175;1,009646;3,029764;1,016095;-4,992318;3,438855;1,212208;0,959755;1,005637;0,974327;4,26524;5,56048;20,529459;8,135275;2,417029;20,664038;1,020425;1,916744;1,422058;13,278959;2,296911;0,99732;1,416542;1,022114;23,34752;1,012938;0,999105;3,475538;-6,240791;6,322278;4,58705;1,002464;1,000005;0,912248;1,015556;1,015716;1,003382;0,976673;1,014694;0,972369;15,908332;0,992491;1,002607;1,012044;1,012546;1,008446;4,53693;-0;0,903725;1,083964;0,999168;0,993692;1,127646;0,992838;1,003082;0,964236;0,996516;0,853492;0,991944;1,012728;17,50166;3,321855;1,134537;1,020917;1,014361;0,99613;0,899583;1,009985;0,995362;1,326786;8,107617;1,012011;-0,063043;0,999829;0,992619;2,528427;1,02408;-2,135303;1,07812;3,013065;0;33,763135;6,494891;0;1,014739;2,503655;1,072889;0,9987;1,024547;0,928553;0,991347;0,993927;0,677502;0,982537;1,003583;0,944282;0,944282;0,786579;0,786579;1,000244;2,958773;1,285282;1;3,262689
