;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
1990-01-31;1,01174;1,081685;23,05299;-17,620956;12,371175;3,520015;1,041566;-1,058238;0,97338;0,880805;-0,292334;1,680472;0,483266;1,116049;1,064172;2,443611;0,712499;4,358203;1,030316;-0;0,851075;9,275424;58,771366;0,815941;0,913615;1,009144;-3,790465;0,439329;1,07353;22,474703;8,295707;-32,161088;0,790465;2,731339;0,951457;1,145798;-16,508923;27,044858;1,050247;1,573234;1,082408;-0;-13,491097;-0;1,104849;0,98509;1,130368;0,940118;1,24163;1,08216;1,250321;7,094549;1,020882;1,140955;11,543277;7,502834;1,008303;1;2,14602;7,082302;6,014527;11,999673;62,808795;1,008925;-0;-7,365958;1;20,256538;-4,050635;0,999408;-23,830299;2,932416;26,935534;4,852761;9,333776;1,517955;0,927856;0,90716;1,063609;0,657788;0,991201;1,108917;1,098554;1,106472;1,173872;1,025877;18,719882;8,081291;1,067599;2,969974;4,383097;2,615134;-0,291761;2,243062;3,359424;1,098398;1,038868;12,287426;35,762787;-1,451908;1,059823;1,115627;-30,211982;0,922883;8,034336;-10,055561;0,974238;0,276739;4,566587;1,051156;35,551798;1,147721;3,693005;19,087122;8,647618;1,073736;1,09771;0,951763;17,783171;16,352741;19,431037;23,004749;-7,488648;0,488114;0,953824;-13,838686;0,908522;-3,301214;5,652659;0,901562;-2,059613;0,912592;-0,267831;1,058301;0,976008;-10,035571;-2,044043;13,877102;4,744723;0,965444;0,99495;0,873201;0,511454;1,006913;0,515659;0,892917;0,338088;0,869098;-18,705861;1,331813;1,238598;0,350894;0,714373;0,99277;-51,94148;0;0,965051;0,80749;0,98068;1,044531;1,038562;0,713187;1,01096;0,774848;0,954652;0,799845;0,737475;0,823815;6,165091;-21,593671;0,720033;0,992603;0,70828;1,048186;0,705191;1,025012;0,907159;7,379169;-2,167605;0,9423;0,492592;1,207838;1,218588;25,299116;1,231556;-61,798669;0,64321;-3,149251;-0;-5,950114;-13,589392;0;1,142585;-1,313041;0,8755;0,846989;0,774751;0,713195;0,827408;1,003053;-7,874561;1,228818;0,915665;1,365767;1,365767;1,643336;1,643336;0,988548;0,812207;-1,128895;1;0,186491
1990-02-28;0,906516;0,997895;4,638961;-12,89599;-1,734177;-5,049769;0,886481;-8,452509;-0,746434;0,895463;2,570683;-5,656099;0,41615;1,046142;0,96419;-4,157961;0,780236;-2,798087;0,920573;-0;1,080607;11,314726;54,724705;1,06856;-7,565649;0,95567;-5,885239;-1,804535;0,963862;4,130715;-3,949447;-35,404954;0,774118;-7,45648;0,78549;1,064085;-58,793077;12,859846;0,972792;0,790092;1,158772;-0;-12,853983;-0;0,976718;0,959124;1,091842;1,653983;1,490892;1,005713;1,096796;-29,616085;1,089605;1,110982;-0,835404;-6,638632;0,918743;1;-6,456494;-3,594483;-1,439842;-0,079435;22,969843;1,084563;0;-16,090547;1;-8,804776;-4,245364;1,000886;-26,273575;-0,217008;24,404855;-0,673964;1,391472;1,321354;1,037408;0,932518;0,960062;0,644549;0,978288;0,981614;0,942554;1,059827;0,96826;0,985915;16,109937;4,78412;0,99873;2,753837;1,391824;0,7475;-5,130833;2,172016;-0,032754;-1,591904;1,048317;9,347365;8,564455;-1,93543;0,986313;1,069725;-16,715682;0,952604;2,968958;-5,982457;1,071398;0,50916;-0,047843;1,017242;7,140788;1,053156;-3,675359;9,688928;1,761578;0,982581;1,066235;1,302185;8,786944;3,729864;6,502565;10,177393;-6,573761;-12,350482;0,907594;10,382418;1,061353;-0,077701;-0,016384;0,814849;-5,643027;0,951777;4,107877;1,047899;0,99739;-7,466132;6,501627;5,596552;-3,462826;0,993946;0,860825;0,685649;0,706192;0,863555;0,648459;0,947699;0,534167;0,796167;-32,319092;1,364158;0,784924;0,726256;1,052668;0,94444;-60,089187;0;0,920168;0,951456;1,021006;1,005949;0,970085;0,971086;1,000957;1,000849;0,805476;0,530425;0,868055;0,919241;4,699814;-5,559303;0,420159;1,041375;0,892729;1,025675;0,841638;1,142775;0,964312;-3,997079;2,785455;0,898163;3,174706;1,168116;0,758591;0,664231;1,142251;51,995195;1,055077;2,394494;-0;-13,417125;-3,247359;0;0,988012;7,685782;0,883974;0,889056;0,876295;0,834721;0,807104;1,59556;-11,711959;1,094207;0,852666;1,186761;1,186761;1,508605;1,508605;0,898999;-5,258108;-8,235871;1;-3,984897
1990-03-31;1,021999;1,103292;27,702726;6,517268;-3,419385;6,863184;1,022159;3,641863;-0,095733;1,086036;11,509407;6,272011;0,408421;1,108206;1,014158;5,961928;1,150936;4,541425;0,991046;-0;1,077417;11,993204;78,948563;1,060441;-5,770063;1,047971;3,164017;13,656826;1,035616;11,906785;-17,423637;-20,25899;1,006119;-0,374688;1,006371;1,149473;63,046258;47,823689;1,155189;1,019325;0,968473;0;4,403263;0;1,021922;0,976732;1,047958;1,480146;1,335072;1,140239;0,850829;97,313755;1,104413;1,222359;4,887099;18,635754;1,059752;1;2,945704;12,211391;7,619015;6,544548;30,592904;1,15848;-0;-1,343658;1;-9,776449;-0,998428;1,118327;-5,378656;0,205963;51,810254;4,888518;8,357139;1,339185;1,155567;1,079485;1,093434;0,99833;1,117638;1,130242;1,044113;1,120642;1,268747;1,050032;39,207452;14,577095;1,079758;8,826105;7,029297;5,947759;-0,972409;3,085727;8,868245;3,032999;1,112505;20,084208;47,774077;11,314917;1,040628;1,111956;16,656053;1,142314;10,436562;9,722648;1,095318;1,156845;15,993983;1,121892;24,284342;1,100889;14,607307;24,342087;9,55616;1,088298;1,134174;1,125135;22,928151;35,864401;27,661837;34,763576;8,991686;5,275641;0,882557;-2,135272;1,074172;21,293344;8,95235;1,089854;14,601461;1,077805;26,947737;1,089794;1,08935;-0,70126;23,43209;5,836247;12,664043;0,993976;1,010871;1,285648;0,989327;1,094748;0,797372;1,186731;1,23671;1,083037;-7,843457;1,415948;1,216848;0,619707;0,939633;1,015536;-10,772153;0;1,106795;1,035134;1,014362;1,133186;1,082963;1,063402;1,138428;0,844095;1,04101;1,243578;1,073239;1,061986;29,386066;2,8742;0,830903;1,036601;1,026162;1,202776;0,898809;1,163853;1,386953;15,92391;5,613711;1,045413;10,693056;1,276464;1,096957;-0,268481;1,251908;-29,889399;1,411858;19,599425;0;5,838084;23,453417;0;1,104815;0,06309;1,168128;1,04522;0,981036;1,100495;0,90367;1,289716;-0,210184;1,072879;0,959768;1,119261;1,119261;1,256522;1,256522;0,977786;-4,145024;7,212756;1;-3,054893
1990-04-30;0,99496;1,048184;5,458604;6,470443;1,744896;3,556185;1,006405;1,646981;6,904698;0,988574;12,343552;14,500387;0,338251;1,005979;1,058805;6,583855;1,503147;-1,863688;0,89129;-0;1,056399;0,38557;28,80973;0,955945;10,029575;1,200087;5,130871;11,816802;1,005443;2,309669;1,380916;-17,987848;1,149018;-0,862922;1,140152;1,064444;18,155419;50,016017;1,125107;1,189726;0,856558;-0;9,250315;-0;1,042171;0,896357;0,833455;0,902541;0,936358;0,878335;1,397662;25,919082;1,140452;1,121869;6,609116;16,318484;0,94473;1;-5,215601;2,757142;2,282254;3,305108;42,614794;1,158794;-0;-12,081016;1;-21,136595;-0,981032;1,026471;11,011536;2,070427;-3,704893;0,705143;7,27357;0,797995;1,145602;1,03613;0,990826;0,712811;1,115074;1,021507;0,964256;1,073838;1,155215;1,04182;12,02647;9,914208;1,106265;4,287261;8,053466;4,482423;-3,828634;4,996338;3,526267;1,033872;1,069114;8,324046;56,273181;9,34636;0,995272;1,035284;10,987342;1,136214;6,973315;6,534141;1,009821;1,247039;7,920926;1,125089;9,513771;1,096512;9,811302;15,241909;7,385143;1,04661;1,039823;1,097022;13,056316;36,218488;19,986408;25,728568;8,047133;3,807913;0,878955;-3,914732;0,886842;-0,312482;8,924764;0,909571;4,194475;1,046596;16,585463;1,021252;0,940707;-7,27469;21,76985;7,567918;4,272698;0,961976;0,835539;0,511809;0,929644;1,000894;0,82856;1,091221;0,611301;1,32613;-7,84255;0,999039;0,738458;0,49356;0,779905;1,054278;-33,234336;-0;1,048595;0,815993;1,02414;1,091282;1,042622;0,97564;1,020913;0,715704;0,966548;0,821916;1,11118;0,932299;23,441022;-16,147655;1,321949;1,048718;0,917322;0,827924;0,910103;1,067844;0,876396;9,572221;14,61766;1,057741;8,742853;0,756709;1,194789;-2,359768;0,944451;32,438401;1,474619;-7,196952;-0;-0,189983;11,95697;-0;1,016695;2,547564;1,016785;0,982018;1,116417;0,671296;1,599942;1,054771;-6,915962;0,985645;1,020856;0,992401;0,992401;0,985514;0,985514;0,971552;17,337452;5,54693;1;9,27902
1990-05-31;1,027093;1,058504;-10,693741;3,254435;-17,954834;-1,362341;1,002132;1,294188;18,192074;0,909457;6,62318;11,434971;0,422308;0,948235;0,814108;9,021554;1,552698;-6,935594;0,941954;0;1,008406;-12,758243;-64,268282;0,841984;12,487963;0,945759;5,939946;1,642915;0,999443;-2,454489;-9,218282;-9,586382;1,292029;2,383891;1,332618;0,902018;20,725226;6,525212;1,018057;1,117332;0,973344;-0;-5,214422;-0;1,030448;0,779857;0,805915;0,523728;1,098748;0,823389;1,007851;-15,127855;0,921099;0,876798;1,539339;0,78262;0,85143;1;7,24659;6,015283;-5,663815;-3,977518;8,761265;0,930278;-0;-3,076323;1;6,874941;1,540978;0,957162;11,984324;-4,349162;-54,147551;1,402739;5,092329;0,667053;1,08606;0,978724;0,954916;0,796239;1,028294;1,045405;1,072585;1,109076;0,890121;0,904249;-18,352434;0,108046;0,980173;-0,894039;-0,973763;0,402801;0,520173;4,017121;6,821502;2,935593;1,039733;1,516841;19,944136;2,174832;0,992802;0,975422;9,52401;1,041226;1,866477;0,171997;0,940578;1,290198;8,09701;0,974552;-4,861853;1,007303;-4,028151;-2,225015;3,44398;1,017292;0,944904;1,049268;2,155086;-7,494701;4,59682;-1,463864;-2,243006;0,626085;0,766703;18,55282;0,904296;-16,967259;-2,800256;0,913992;-4,426309;1,036535;3,529119;0,961622;0,941758;-5,595937;1,292637;5,351649;-7,756639;1,024563;0,960067;0,831727;0,824414;1,007783;0,806274;1,115231;0,806107;1,496376;-7,728128;0,820073;0,717608;0,564493;0,824029;1,025467;-22,985569;0;0,986558;0,91773;0,97332;0,963379;0,948996;1,017358;1,037486;0,719711;0,940902;1,065697;1,032629;0,898372;-8,793376;-14,150532;1,957129;1,042998;0,988056;0,860867;0,878326;1,283187;0,860604;3,507682;1,782609;1,129059;0,581553;0,900864;0,951398;10,669009;0,833289;20,175443;1,285338;-25,63517;-0;-16,6819;-22,649277;0;1,035944;-2,173272;1,000457;0,986423;1,145484;0,763831;0,979984;0,739224;-6,599555;0,897407;1,077338;0,803668;0,803668;0,607657;0,607657;1,011106;2,134319;5,418599;1;-0,108283
1990-06-30;0,981715;0,70519;8,858996;17,1801;2,387076;7,150933;0,981958;4,469538;11,429244;1,162074;12,611566;9,270089;1,218746;0,867964;0,963589;2,069964;1,684044;-1,945217;0,946772;-0;1,085228;8,390932;30,009715;0,879989;-10,883289;1,115235;7,58076;11,980636;0,950231;0,723596;-4,924651;-11,2188;1,551134;1,372429;1,280563;1,081727;10,374916;37,79093;1,103814;0,970823;0,934614;0;19,155498;-0;0,995892;1,314392;1,008627;0,768568;1,213986;1,162524;0,761665;84,507952;0,976275;1,139117;7,424651;43,126184;1,084944;1;8,325307;6,463929;12,043823;4,212919;30,11606;1,034522;0;0,56849;1;-3,305442;0,489267;1,058567;6,218021;7,947468;7,274367;3,130406;-2,944148;0,677115;1,217133;1,276856;1,075607;1,108897;1,184051;1,152067;1,364979;1,04404;1,005076;1,017526;24,675427;13,17762;1,092696;4,996595;5,491081;6,237443;-3,426883;0,132022;3,439152;1,941945;1,144309;7,492968;35,019036;9,848033;1,036132;1,098475;17,875612;1,172028;9,193983;8,745521;1,134681;1,375133;13,255005;1,0578;32,796723;1,121726;23,982141;19,873836;8,839466;1,033172;1,137236;1,026971;21,08323;30,257044;30,701269;34,712479;12,261306;24,345328;1,060581;69,27489;0,956693;6,889462;9,664815;1,629888;13,973605;1,05772;29,546354;1,098928;1,218418;14,913744;16,600237;17,190494;1,443985;0,977864;1,121809;1,329038;1,288533;0,465355;1,083742;0,908833;2,347102;1,363317;44,352457;0,924609;0,836484;1,145995;0,772912;1,207627;47,606579;0;1,070498;0,932026;1,052346;1,106997;1,229087;1,132502;1,090278;1,198363;1,117589;1,308242;1,276005;1,049904;1,658751;23,89794;3,188382;1,093192;1,193255;1,054125;1,00517;0,950269;0,994506;21,36704;13,675377;1,165485;10,631164;0,965875;1,062658;-7,553171;0,962056;28,806412;1,120579;-0,519219;-0;-5,777486;6,595082;0;1,140748;5,942651;1,034207;1,170911;1,150812;1,546173;1,110993;0,956244;22,468473;0,864836;1,07359;0,786024;0,786024;0,542342;0,542342;1,056668;4,802651;6,11935;1;6,037581
1990-07-31;1,012388;0,947985;11,713082;13,905994;-1,128536;30,697306;1,010552;-4,015258;13,163494;1,050616;-29,948973;7,692087;1,62328;0,51919;0,846828;-0,98485;1,410353;-8,306784;0,972988;-0;0,910196;-35,787083;-70,415718;0,788465;-2,862014;0,885455;2,074179;-7,419837;0,968352;-17,752846;-21,437837;-17,818564;1,175156;1,206034;1,284087;0,891887;-62,65901;-38,27411;0,807154;0,768404;0,733036;-0;-2,321879;-0;1,087859;1,329975;1,269747;1,132412;1,353867;0,965274;1,15233;-54,825492;0,887861;0,879338;12,5303;67,542548;1,136911;1;8,779705;17,03703;8,882582;19,163392;66,384348;1,137387;-0;-17,20832;1;10,123962;-0,963556;1,082033;12,669789;3,846878;-47,623473;1,514793;-19,956606;0,793379;1,143562;0,937418;1,122012;0,649951;1,213728;1,066045;0,970432;0,744865;1,003999;0,984221;-24,066199;17,305052;1,055033;3,81276;5,91722;5,59752;1,869753;-6,620087;-12,17942;-3,755908;1,066559;9,530335;41,504805;3,516091;0,998362;0,748075;21,54889;1,151603;0,995317;11,47605;1,338183;1,674083;3,983258;1,027204;44,807942;1,298288;34,005284;23,985584;10,982571;1,074771;1,026968;0,934371;-18,930088;-21,227331;-16,94156;-18,632101;-8,830875;38,052723;0,944011;-2,5048;1,077102;-18,912402;2,566876;0,664905;3,083949;0,982332;14,475156;0,932257;0,958447;15,83417;9,218498;25,808102;8,686358;0,973575;0,877585;0,560563;0,826563;1,126733;0,687255;0,547466;0,613041;0,950913;6,325269;0,95588;0,843101;1,356669;1,146983;1,071444;41,022114;0;0,816814;1,092578;0,966383;1,101378;0,909314;1,040211;0,997778;0,746836;0,976102;1,242076;0,979852;1,052897;-13,637315;13,879316;0,35199;1,037407;1,056487;1,124545;0,973421;1,231021;0,95534;15,045689;3,526667;0,931037;-2,334488;0,672509;0,821896;-11,615903;0,977682;74,976667;0,977682;-3,542682;-0;9,169915;-5,320874;0;0,929899;4,888849;0,913775;0,978914;1,179504;0,803814;1,118373;0,882275;2,173381;0,886396;1,120457;0,805239;0,805239;0,4836;0,4836;1,127823;11,778163;-1,438011;1;7,778498
1990-08-31;1,004608;1,033797;-62,766774;-16,450643;-37,793054;-61,878569;1,002217;-7,689187;7,08964;0,839497;1,472567;-1,837347;2,097487;0,995201;0,920929;-8,572812;0,793684;-5,639466;0,980807;-0;0,829751;-13,690284;-212,426418;0,889275;-9,698397;0,7267;-8,9478;-26,380991;0,94291;-13,180196;-2,621635;-32,918775;1,100259;1,275686;1,168148;0,426023;-384,292027;-111,573971;0,337961;0,223339;0,628405;-0;-25,070142;0;0,394216;0,639346;0,686279;0,601772;0,49937;0,45018;0,575197;-266,002739;0,577039;0,588859;-49,771081;-131,988323;0,796875;1;-2,878046;-48,119444;-40,901102;-32,283252;-181,539248;0,593351;0;-23,237594;1;8,561191;-4,257573;0,675969;-5,922301;-4,118074;-11,739822;-14,06045;-14,276612;0,373075;0,696726;0,851439;0,839356;1,696635;0,662531;0,846725;0,94073;0,544477;0,622545;0,820067;-98,317497;-80,271751;0,764274;-20,334432;-31,90596;-31,326407;-3,837819;-9,655035;-24,492293;-8,874008;0,566074;-60,825685;-370,363935;-58,086257;0,498877;0,941755;-16,256327;0,604458;-34,150174;-16,802817;0,365;0,538063;-42,871733;0,651051;-176,573057;0,061206;-50,671694;-115,99126;-47,628627;0,64501;0,514458;0,255478;-101,885653;-180,441211;-115,557771;-134,483912;-20,528232;-78,273472;0,620786;-62,617154;0,802786;-24,378443;-50,379351;0,944608;-53,717141;0,583712;-113,644019;0,618591;0,904341;10,220781;-48,248786;-80,1936;-54,912136;0,798622;0,768473;0,510393;0,865354;0,586708;0,573226;0,755771;0,600348;0,553638;-51,448888;0,742139;0,785863;0,77995;0,874251;0,805813;15,86318;0;0,477758;0,972373;0,863832;0,548237;0,772571;0,831431;0,732382;0,95447;0,689701;0,273153;0,721104;0,656727;-48,410256;-30,393948;0,186924;0,643967;0,876303;0,530648;0,964596;0,751657;0,781975;-98,373294;-48,259813;0,771372;-38,374748;0,502775;0,196306;-16,012263;0,989614;-66,758436;0,640163;-76,419773;0;5,696226;-123,35333;0;0,682035;-42,559369;0,816567;0,694137;0,750387;1,050692;0,930669;0,722418;-10,173148;0,823652;1,0097;0,732692;0,732692;0,376864;0,376864;1,066014;-40,062177;-17,133763;1;-34,016642
1990-09-30;0,991083;0,962665;30,849335;8,100862;17,230471;7,470976;1,010018;1,147651;-12,16506;1,111811;9,893789;-12,412971;2,294211;1,103113;1,031568;-7,449169;0,761308;1,305169;1,081501;-0;1,211763;13,59135;22,385941;1,16535;4,259111;0,955872;-0,750616;12,700916;0,957213;3,619084;2,302658;8,892953;0,845727;-1,293194;0,816857;1,126915;96,516623;-7,488228;1,106391;1,26731;1,01951;-0;13,459364;0;1,081168;0,817111;1,38301;1,009994;0,683363;1,114073;0,97968;44,372052;1,101968;1,080417;16,259908;5,772049;1,14104;1;-2,079315;5,450336;14,858424;3,306101;-16,325554;1,010811;-0;10,819586;1;-13,847832;2,991071;1,029705;11,156618;-4,883054;28,683711;2,520081;6,766432;0,701223;1,053374;1,119711;1,067383;0,939437;1,105938;0,989086;0,95464;1,023492;0,802675;1,007357;25,590963;15,555255;1,071138;1,924061;3,051988;6,063233;3,227873;-7,128876;-1,503922;1,173957;0,979366;-3,77529;34,674934;3,219379;1,093887;1,063364;5,354184;1,075797;9,10417;3,085193;1,042273;1,542919;5,70193;0,929532;30,7636;1,09947;10,424932;14,309176;7,197991;1,04485;1,086559;1,106112;13,096333;48,656513;25,314661;27,580957;11,514177;17,436275;1,19357;-12,470555;0,999963;-1,795719;10,988636;0,88127;15,127867;1,165048;16,124937;1,038677;1,058938;21,371132;0,244122;0,084393;9,467811;1,129373;1,250133;1,127749;0,857653;1,279344;1,160784;0,735224;1,654611;0,521248;32,859742;0,948947;1,090539;0,692827;0,864398;0,919974;4,055747;0;1,175526;1,298639;1,03343;1,044781;1,069276;1,082517;0,990461;1,201338;1,131177;1,267062;1,047914;1,055438;-1,56426;14,021157;0,312083;0,880975;0,903951;1,107503;0,914922;0,603426;0,956114;15,670556;6,024324;1,107986;6,166458;1,048323;0,974094;-4,23989;0,987787;-0,160713;0,962231;17,068922;0;57,304861;42,128752;0;0,975685;5,642688;0,905095;1,082895;1,061929;1,461441;0,944391;0,858323;-1,066359;0,886845;1,05918;0,797605;0,797605;0,581364;0,581364;1,013692;-0,049304;6,426594;1;2,103811
1990-10-31;1,038777;0,973669;18,885817;14,483113;6,327316;12,259635;1,044013;4,768652;-7,864101;0,985496;-0,213389;-10,065524;1,318147;1,191734;1,217967;-0,475076;0,586474;7,867505;1,154824;-0;1,080548;14,961685;72,337047;1,380469;13,837068;1,126052;0,227277;4,889495;1,046421;6,732777;10,126107;21,175857;0,896061;2,119376;0,734282;1,215663;221,301483;36,372832;1,251746;1,299098;1,396087;0;1,251278;-0;1,34834;1,102908;1,084118;1,320479;0,815558;1,198963;1,260069;84,737092;1,183776;1,044409;18,374823;28,275813;1,128995;1;-7,290576;9,170714;13,440245;8,190723;44,814647;1,018954;-0;24,948696;1;2,637079;6,27331;1,095395;13,215938;8,318611;16,10877;2,761379;0,9598;1,087233;1,050641;1,145249;1,01034;1,265311;1,022225;1,023568;1,066757;1,076279;1,245817;1,117111;40,031497;16,452069;1,080346;4,329266;6,714396;7,623696;6,830409;-0,831422;6,741074;2,242046;1,065697;13,276929;70,980735;18,116412;1,13624;1,127918;12,94672;1,120385;8,410063;8,519211;1,092179;1,044054;10,42241;1,062944;38,674397;1,196918;13,672129;25,112992;7,782723;1,092918;1,159561;1,403109;32,218869;55,278197;18,026611;37,063329;13,686999;24,771292;1,488808;-22,830911;1,084857;22,078783;12,576961;1,003409;14,972029;1,158473;32,78352;1,126023;1,142101;8,4989;9,103378;21,246679;16,662154;1,026581;0,986244;0,763046;1,187626;1,700165;1,272732;1,217527;0,560001;1,164463;16,644898;0,785975;1,406133;0,758395;1,036456;1,063881;23,610916;-0;1,449291;0,948858;1,07836;1,121452;1,001015;1,126382;1,073371;2,154739;1,073011;1,636216;1,009452;1,069565;3,368478;8,579031;0,780707;1,172255;1,01921;1,076474;1,180267;0,726156;1,052896;20,97783;8,223182;1,098472;13,348022;1,300545;1,040274;-4,682017;0,945682;1,652653;1,012467;38,899247;-0;6,199614;56,641094;0;1,04339;28,175417;1,123906;1,085145;1,031171;0,846698;1,024632;1,144881;-0,445255;0,991186;1,080457;0,986813;0,986813;1,079045;1,079045;0,993561;20,410068;10,157714;1;17,200571
