;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;E4100Y1;E4200Y1;RF3230;E4300Y1
1990-01-31;505,218321;2739,835395;243,879152;105,464205;100,251792;108,460158;97,682993;89,124648;75,242669;67,503853;81,242199;47,027068;97,23391;40,430217;566,162209;83,230167;76,789768;85,990744;29,521916;92,832691;102,92907;101,519844;195,316641;91,596933;88,165853;80,11952;44,771967;79,43567;98,386966;95,580951;104,386524;82,796433;103,578881;90,775772;87,748654;826,842671;1042,120831;295,923873;661,286948;597,857055;203,414803;139,501801;101,907825;125,843842;619,77926;1861,723393;5298,943211;12821,46656;6550,384008;691,417568;827,039732;607,930055;179,834822;2468,498837;105,81965;214,082053;107,010146;72,732701;135,008755;138,641713;110,486926;91,923656;612,892459;317,816647;119,76929;156,062242;97,163182;232,07467;72,064459;414,104692;131,117606;84,133492;277,086818;62,16844;122,352322;83,768612;102,512097;92,148085;33,810606;64,856833;66,999814;80,797432;41,122232;188,363396;42,638614;26,985292;319,16573;107,96087;74,836996;61,946635;54,247459;60,275923;68,024366;79,689109;115,092457;42,973777;242,867368;168,923675;560,655317;107,141993;498,912266;441,433284;151,499127;143,013404;61,059577;90,378997;154,19042;163,57388;122,344585;414,052939;261,252726;471,216501;180,296006;152,919819;100,417352;181,118697;477,228917;94,29942;174,516305;327,384787;187,776161;270,005608;137,265188;192,443053;126,516192;126,918467;196,822276;134,404903;106,423861;94,327779;116,063654;146,769584;279,596184;252,166412;168,284343;77,932165;185,879884;105,367778;111,791503;31,075178;22,834505;149,213458;405,118476;64,434352;83,836985;4347,798727;35,194573;29,587132;120,168259;132,616735;124,150007;16,877347;106,478358;157,636192;240,260825;83,435517;123,598306;117,533599;92,363262;112,477914;91,757553;163,156822;153,162415;466,824142;96,369804;91,40319;63,169909;48,60432;135,62701;150,911867;150,203553;307,032274;156,631272;72,21843;156,688533;43,332182;218,318651;149,904819;84,146726;28,389676;91,368039;54,692439;13,796017;24,075581;85,944654;169,260677;511,453859;265,440091;55,392485;202,495388;284,723737;69,257456;43,174457;88,98408;62,618848;84,035467;40,047102;82,955151;111,790461;49,222866;69,969269;71,755111;116,333319;63,019479;63,019476;67,639187;67,639207;83,527171;127,007873;139,485861;68,631861;106,3906
1990-02-28;489,656616;2783,910362;245,600555;102,118217;87,590174;111,456989;97,620277;85,578168;81,531133;68,501953;82,287092;54,025141;97,211751;42,978835;469,481851;82,811346;76,157767;86,835942;29,814843;92,832691;104,449528;98,439655;327,589269;91,874286;89,800266;80,910411;44,006593;83,811495;98,36449;95,943914;89,18927;80,259408;103,035069;91,374171;91,252635;835,856735;1011,664102;291,101676;668,082524;605,42097;255,690479;139,501801;98,966235;125,843842;605,018083;1844,769355;5258,22407;12711,449872;6552,644771;657,26501;818,941981;599,376768;180,133128;2497,251629;107,259908;208,895149;122,691699;72,732701;135,25304;139,068238;110,979973;92,808132;610,714987;290,185186;119,76929;152,928905;97,163182;205,026982;67,597596;381,901071;124,276485;79,555547;274,019813;63,286307;126,24121;83,124185;106,133269;91,164784;34,002219;66,41577;67,473506;82,068261;42,833315;205,23228;39,57517;23,858728;314,267699;113,058823;73,844671;62,117774;50,677408;61,839147;66,216915;80,357366;116,294392;42,776989;251,146815;168,881509;532,2651;104,848133;476,965155;428,067132;144,290827;136,330209;64,853421;85,367752;154,110418;168,095709;122,378423;375,139537;247,178174;478,561275;179,08354;156,324867;99,911816;188,194758;489,936658;94,163345;167,829162;313,641738;195,771703;265,501322;161,943315;201,510023;121,607933;124,657922;140,945927;135,063808;102,192666;95,520316;113,535321;146,422167;270,329335;248,331195;158,920406;73,209145;190,522839;104,236072;110,505979;30,81;22,712154;151,234306;537,873;74,641713;102,258687;4348,176762;38,925709;29,415774;113,054515;124,790238;124,314246;15,619753;98,536634;153,563781;240,2602;83,435517;143,511719;116,840332;92,688242;109,924417;92,175213;164,821868;153,075266;454,449151;95,533498;93,344435;62,951148;48,792447;148,050307;158,75637;179,156872;306,551241;156,252448;70,761572;154,97752;43,400406;217,363614;147,224256;82,568462;28,359667;91,113217;54,35409;13,875224;28,66857;83,194813;172,51236;506,808025;271,077237;55,392485;203,143006;294,470178;69,257456;43,770157;89,891551;55,681012;83,619167;41,516071;85,248227;110,886811;76,675768;77,526986;67,039901;114,638811;56,730703;56,730712;53,902659;53,90269;83,987118;123,263797;135,194007;68,631861;104,261572
1990-03-31;499,603926;2786,858674;257,100615;102,240268;98,977546;112,431605;96,966505;85,414756;85,08923;69,660464;83,59885;52,62432;97,454204;44,156796;482,600159;85,042396;78,415864;90,765586;33,341237;92,832691;105,782169;102,452878;313,44669;91,066235;91,655841;82,365444;42,088886;88,839403;99,076719;96,637272;85,825497;78,382986;101,877924;94,414424;85,935033;858,123915;1005,774051;284,165746;654,484248;607,242168;185,921473;139,501801;99,340016;125,843842;604,235;1775,165434;5182,865892;12571,197952;6179,213252;655,573972;862,770256;611,294382;179,976745;2527,385264;105,423053;217,806628;107,732835;72,732701;128,617686;141,122359;113,194869;92,796966;610,43184;297,945341;119,76929;159,988386;97,163182;212,547655;66,850864;376,257938;120,401378;79,228334;294,668483;61,750872;126,099028;82,434202;103,232665;93,821118;34,479836;68,01667;67,438169;81,093996;46,355719;194,797112;43,079267;27,763818;324,261452;116,630965;82,528665;63,795711;52,939395;61,412137;70,479196;80,58988;120,520815;44,474902;252,111163;173,242603;559,456201;105,778027;511,837219;437,68622;149,49371;135,924632;74,564662;92,023241;152,944147;169,004029;122,09983;402,076161;252,633085;475,799966;187,623135;156,411765;102,548249;183,970225;494,189411;102,740621;169,400373;311,359478;186,993253;261,928971;141,746137;196,629971;140,58024;135,766834;137,176752;136,402257;99,889138;96,97674;116,88261;149,224842;276,006273;249,822177;170,706822;77,220016;191,614942;107,407276;112,443762;30,652444;22,647607;149,037814;399,727218;68,876886;87,538451;4224,26718;37,876432;29,37822;112,082641;130,607781;141,112143;15,922174;100,427747;154,35731;240,85692;83,435517;119,909861;112,272268;92,269561;117,123683;93,797591;163,018284;152,537079;446,417776;95,366193;90,923801;62,922995;48,146622;137,845688;158,729018;164,44458;309,734041;156,013261;69,770183;153,495947;43,912239;218,582387;151,489632;84,580708;28,360795;91,172572;54,821859;13,712566;33,923739;80,791944;168,441293;513,626969;276,124563;55,392485;204,281754;297,183888;69,257456;43,978252;89,309991;46,977984;83,837227;40,909118;85,769123;110,241016;76,281292;68,959565;71,929545;114,771441;61,275958;61,275962;64,838062;64,838073;84,610597;127,848371;139,62441;68,631861;106,018193
1990-04-30;475,119329;2822,624153;236,775817;96,87506;86,902013;100,512239;98,276482;81,96144;84,035301;68,097534;81,371642;37,637265;97,888359;40,026195;396,396789;83,770797;76,603183;86,916384;34,281455;92,832691;104,813358;96,029301;319,664894;88,394845;88,499768;80,29688;45,479669;88,398435;95,927479;93,48837;77,53637;75,124881;105,033566;93,959933;79,908689;811,696462;916,21542;265,726946;635,237437;630,214721;220,134102;139,501801;100,330049;125,843842;610,59514;1860,344329;5313,58507;12546,951362;7165,385871;658,128723;806,546466;588,908068;179,082893;2254,06901;96,635013;205,901134;99,512298;72,732701;135,022922;137,952169;106,38176;92,83997;567,367742;284,080161;119,76929;153,215711;97,163182;192,1186;69,558476;386,47633;122,01936;76,222634;268,280725;63,483958;118,02542;76,735427;98,116129;88,21343;32,741605;65,977722;64,980664;77,780925;45,14338;203,16423;42,76963;26,85728;297,77342;107,738943;72,115072;61,97569;50,907156;57,658664;69,838315;80,38074;122,651268;34,751956;231,452334;168,450836;534,290179;100,547897;497,161177;413,532525;147,681775;132,067296;66,301183;81,366665;161,151958;160,47988;124,564911;341,690216;230,310387;433,93269;177,465818;148,714232;98,825156;180,833039;458,272018;94,767153;160,928987;282,099499;181,885537;242,644875;139,778216;196,81717;143,665794;142,640614;157,847827;132,267551;98,119697;93,952356;110,632711;142,748547;272,732669;240,473491;163,552633;73,892363;189,775087;101,534825;107,85371;30,093093;22,218478;190,434599;378,255794;74,508547;85,839363;3932,946117;38,787268;30,201489;109,527901;136,226738;122,833811;13,879302;87,654234;149,704377;229,499454;83,435517;123,307304;103,012412;91,844278;111,04516;93,212554;162,721731;155,85227;452,618211;98,237464;113,608391;61,612717;47,272784;124,110077;158,463286;149,08495;273,335135;151,940578;62,793181;168,019485;40,7853;203,700234;137,38203;70,637784;28,32682;87,9398;56,556971;16,644744;26,470488;81,906534;157,520757;567,290161;266,111407;55,392485;199,854752;279,363063;69,257456;43,290479;86,949783;56,733552;82,896935;40,861864;94,752274;109,503047;74,858135;69,014653;79,144479;119,53599;65,440316;65,440321;76,370461;76,370498;85,159745;122,692338;132,141298;68,631861;102,456988
1990-05-31;464,113462;2755,884971;248,032269;107,188081;91,248091;112,763966;100,744383;90,129908;86,013739;73,677912;85,809278;55,146712;98,411783;42,458144;512,138433;85,444519;78,743261;94,057823;33,443658;92,832691;110,117235;107,08414;397,467037;90,324972;95,268926;87,526792;45,83834;102,698264;98,292438;96,412757;84,659302;83,447455;106,299338;92,127208;89,577922;884,132643;1000,168615;280,338147;711,020444;679,884415;219,539461;139,501801;98,703564;125,843842;607,889182;1796,559476;5293,14647;12375,209246;7454,707957;642,927331;953,95388;600,500941;182,257749;2741,678941;103,568642;218,006492;115,373999;72,732701;124,107317;139,608495;119,532982;99,736749;571,570932;296,265061;119,76929;156,491975;97,163182;229,420067;67,202698;397,827013;122,543652;77,601385;276,685187;63,123959;108,570449;83,241086;110,302458;93,393125;35,057607;69,008301;69,027781;77,635228;46,452425;207,369526;45,537646;29,671495;332,057446;115,703711;84,469735;65,598673;56,026016;63,061192;71,160562;79,33793;123,811518;44,634277;241,535688;174,470128;554,914366;107,599116;527,304883;436,396147;144,872376;142,032207;66,379837;92,732395;162,548089;176,319848;126,493761;388,807459;244,36525;468,578253;206,870633;169,141028;100,482704;195,142897;535,427362;92,518564;168,479818;314,117144;197,564032;284,258605;143,825439;216,403617;150,240413;140,681647;154,642892;127,938237;99,878373;100,067867;117,485462;152,739656;280,429528;253,419717;190,657949;83,312458;188,30455;105,572283;115,892454;30,605133;22,461938;189,188903;460,339683;79,290361;91,001207;3899,020324;36,291406;29,919196;117,616055;161,16513;130,583631;18,904618;119,235399;164,35871;244,11528;83,435517;133,705382;92,684113;91,411107;119,268338;90,969573;161,678976;153,107629;438,115922;97,46032;116,534335;61,403362;47,471068;120,810687;159,475551;146,087852;272,585164;153,015752;61,925676;166,299891;41,2708;211,799668;146,728814;69,636209;28,363625;87,62621;55,501079;16,511997;34,998101;84,783165;145,701378;584,105943;281,489249;55,392485;212,663374;300,1324;69,257456;43,224283;92,271968;55,862119;83,694167;39,27449;116,404976;108,723931;76,851909;72,374557;75,899032;116,043411;63,725227;63,725233;67,099347;67,099386;85,896205;129,656818;141,466964;68,631861;107,384009
1990-06-30;460,668801;2594,515495;255,438237;98,078586;86,114606;106,114993;98,00817;82,737284;78,496894;68,187884;81,533488;46,496953;95,60661;31,835646;519,612688;84,798276;77,014274;93,316413;33,12511;92,832691;105,120145;99,500665;325,427448;90,252238;91,238238;80,89573;44,139177;90,441377;94,591618;92,211491;80,003881;80,264956;109,668024;98,589612;78,280598;764,93145;937,114032;264,361265;622,819606;685,676723;194,958205;139,501801;101,534236;125,843842;612,864679;1806,256231;5243,434625;12494,064623;6876,943312;603,120186;990,750445;603,095929;184,339199;2390,431125;99,112375;213,363816;98,04307;72,732701;126,856386;138,180003;109,570115;89,444613;569,919481;260,624806;119,76929;150,339656;97,163182;235,741849;64,787416;379,612266;126,606228;68,565939;287,192824;59,760833;108,627964;81,388558;97,6329;91,336649;32,224527;66,363706;65,476527;77,549405;44,92146;212,142139;43,569688;27,591816;299,93037;109,921751;74,978557;63,384209;51,114995;59,648879;70,262182;77,406931;119,279967;41,444722;271,085734;167,97024;537,840538;97,066477;520,129981;389,218432;148,599096;132,028806;63,475736;89,556024;162,393562;159,385718;125,40312;393,753216;221,78455;457,223905;192,837757;152,840359;100,873619;196,565115;461,245651;106,143947;163,426379;282,83147;181,39962;249,634371;144,881712;202,275976;132,214207;123,165358;153,345326;131,92868;97,173733;98,488266;112,998232;142,194806;274,738781;245,416102;174,562603;77,71037;200,404227;100,34647;113,710403;29,974947;22,101187;187,964106;295,666204;71,553296;75,313059;3898,585873;34,739087;29,869695;110,826836;150,262269;133,168711;16,705371;105,299924;149,944349;231,750321;83,435517;127,368185;96,428897;91,79203;107,157935;91,538986;162,763225;151,93664;431,631295;97,033429;114,294178;61,278503;47,432715;116,008079;180,924066;144,382283;272,75171;150,850419;62,083324;164,38593;41,14328;204,834056;135,392179;66,991922;28,388712;87,732978;55,151415;16,398853;28,575308;82,867358;156,165752;565,578726;269,01762;55,392485;207,236604;290,870551;69,257456;43,220817;87,292239;55,067705;82,510526;41,079645;93,836926;107,85538;76,958988;68,091706;78,252279;117,81052;65,55582;65,555824;68,708107;68,708142;86,402857;123,8254;135,680943;68,631861;103,836035
1990-07-31;391,853081;345,414248;254,384184;102,244979;90,416777;106,983005;100,05629;85,399877;79,970687;68,116951;83,132698;47,331551;97,76515;40,00774;598,55512;85,216645;77,332735;94,147405;35,513535;92,832691;106,82493;104,347209;333,234212;89,386042;89,58997;80,953949;43,3294;107,789075;85,060578;87,699772;84,098586;72,542855;109,036819;99,488998;75,518932;843,620626;906,469954;267,437791;617,063979;645,0606;243,656908;139,501801;90,663691;125,843842;542,63599;1778,233189;4983,769041;11873,099178;8261,757134;612,315244;825,7032;566,300731;191,975133;2551,705133;103,859327;215,114413;93,504046;72,732701;119,74904;144,457251;109,453369;89,385584;597,690074;263,3519;119,76929;151,092356;97,163182;233,534246;67,339126;350,408305;128,060043;73,874858;292,87757;67,387496;100,059176;76,21999;98,459034;93,8898;33,804262;66,591998;66,81916;76,059727;47,790953;248,035101;42,95125;26,990629;305,538452;109,453209;76,222551;64,619492;55,245563;61,352449;68,455093;74,666921;120,287933;48,320149;262,149655;182,847667;608,158282;99,228363;629,864094;422,623294;147,178042;134,680545;67,958668;88,206924;131,515717;155,717854;128,948256;116,237672;233,133847;453,29959;195,746177;153,227256;89,836168;192,825609;488,177546;80,035996;171,175017;287,767549;239,001664;317,128126;147,509046;217,988677;161,875457;153,008811;150,418086;122,69304;96,507182;101,018157;112,132854;147,981104;266,324539;249,607875;169,000847;79,815755;185,99699;111,105272;118,681372;28,957708;21,304763;167,013632;392,926784;72,298559;87,983033;3098,707893;35,424888;30,401527;112,054617;145,459433;132,091368;18,362398;115,729243;148,91759;226,508808;83,435517;114,708563;115,535835;89,762453;112,931754;81,225673;161,640043;149,994688;482,351965;97,533809;100,893965;62,920484;45,554937;112,509474;163,468742;146,508396;267,526928;154,458941;63,00755;154,826293;39,931297;229,859881;137,101553;66,290987;27,044659;82,548706;54,978914;12,34773;25,027758;84,848147;148,696075;543,641239;262,203617;55,392485;193,180062;291,774244;69,257456;44,418567;87,676213;56,549963;83,159415;40,917599;98,205971;111,952869;77,35343;71,075361;77,809423;114,503342;65,099584;65,099584;69,585187;69,585234;86,977442;122,501857;136,283572;68,631861;102,674331
1990-08-31;464,689747;1883,769685;301,048561;101,636171;90,567096;114,435151;104,683834;91,727181;89,633586;70,077608;84,253249;59,072564;99,852265;40,239173;474,063518;84,394302;77,778751;93,360999;33,782203;92,832691;105,311654;91,866069;311,789115;90,016809;93,704947;84,545019;43,622167;85,976935;101,456067;99,098451;86,873296;83,498575;103,198659;98,951587;88,936282;784,177813;836,181251;258,913123;615,93168;638,048126;178,687685;139,501801;87,156838;125,843842;520,165873;1740,83717;5007,224;11882,821807;7745,564544;656,505102;827,008553;523,244584;197,003811;2540,404306;99,062406;205,146834;93,901858;72,732701;124,247081;137,841361;110,13678;91,841701;596,624779;272,410654;119,76929;160,789721;97,163182;229,751617;65,479944;364,961524;123,55236;79,65937;281,781172;66,105354;114,167981;74,600695;97,954261;89,582768;33,927673;67,373155;67,097906;76,308536;42,793653;243,281008;44,751751;28,766305;317,02642;116,223053;77,844742;64,456584;62,196293;62,336256;65,070581;73,990344;120,653612;39,445698;272,297943;153,80769;521,300012;103,129751;343,020595;421,689837;135,74742;146,698639;67,097748;88,879133;136,224624;157,041819;125,007534;600,387994;200,067082;302,325039;182,601689;172,520819;102,804526;193,526592;500,706074;91,110167;160,586944;294,671218;149,620194;180,271246;147,851833;210,277709;118,958845;136,604944;146,685789;127,582546;93,225023;102,801724;120,062239;134,92397;276,673481;245,973562;163,698476;76,947707;181,90334;102,337507;114,891415;28,935216;21,285433;160,997564;393,830678;71,620318;88,505429;3206,729325;43,308873;30,431364;112,06931;145,617321;132,000154;18,475986;116,445212;148,349318;220,794302;83,435517;111,631834;109,36268;89,823487;121,503832;83,612907;161,988767;146,747018;476,002168;97,047118;101,470689;62,923367;45,691789;113,912977;143,560361;133,542318;267,598646;157,374064;62,762915;152,00394;39,857736;272,304565;134,275968;66,791523;27,062021;83,862564;55,042168;12,35031;36,319506;85,773196;147,842215;556,704157;265,059824;55,392485;201,197998;288,817317;69,257456;44,352497;87,225642;54,672519;86,095379;44,380044;97,707373;114,354373;77,045987;70,496636;78,691574;115,588934;65,769097;65,769108;72,082508;72,082496;87,430992;127,089926;147,918825;68,631861;105,074135
1990-09-30;466,607836;3195,750757;243,799707;97,437093;86,657433;74,401455;95,192896;81,534615;72,144342;66,951522;79,121247;50,29732;98,44178;40,83237;450,18001;78,179542;71,597133;85,553628;34,60526;92,832691;104,913142;101,106543;279,247971;91,424178;88,012784;78,259672;46,480047;86,967982;95,856657;93,355739;78,022194;62,468764;106,666493;98,815537;73,043301;766,082145;875,513701;263,989834;590,445865;622,594812;217,264862;139,501801;95,644899;125,843842;587,589933;1722,170371;4892,987893;11645,162995;7453,829831;646,8342;758,054052;559,111493;202,329999;2340,883643;94,501857;201,759476;91,747899;72,732701;121,827072;133,680508;104,209392;81,976729;597,86077;242,825012;119,76929;152,02482;97,163182;228,442639;71,602436;349,498043;123,271265;78,144597;278,580874;65,281145;111,755225;73,363233;95,594946;91,737967;30,994047;66,814928;65,149703;76,352832;47,63045;214,869909;43,679005;27,586051;298,709095;98,064842;79,294123;64,032744;56,837303;59,506473;64,718203;73,59739;119,196182;42,65446;256,0901;157,73617;548,962131;101,704357;590,214685;407,349405;145,435652;130,723648;57,284997;85,50905;136,401404;156,254313;128,145213;398,278877;206,552171;400,048212;175,556475;154,865046;91,872657;183,714557;480,565681;91,284872;164,098239;275,024437;176,330988;247,282438;135,994236;182,906629;129,725294;135,961277;145,356206;128,550281;90,962721;98,22608;103,630067;134,200592;268,394593;232,133518;159,416996;78,005919;155,592275;99,538897;113,941397;29,09489;21,332275;163,089175;395,502861;64,375368;89,699036;3075,968648;44,904577;30,495804;113,435413;149,175241;133,361014;16,803462;105,914654;144,33933;221,977653;83,435517;113,20516;108,33652;89,545816;98,762625;79,976553;161,102764;145,636299;476,271415;96,347589;102,244665;63,025266;46,612609;116,961182;158,222994;144,875156;266,084304;149,375546;62,531356;150,907897;39,828079;221,45266;120,423403;68,956787;27,050409;82,28055;55,620159;12,607811;37,024629;81,261479;151,008661;514,988542;255,008514;55,392485;195,411718;282,265026;69,257456;44,445496;85,56388;53,451871;81,111589;44,751592;93,019373;111,957407;77,736129;69,286021;79,389568;116,78869;64,312562;64,312568;73,765414;73,765447;88,118431;119,862912;134,378299;68,631861;101,450356
1990-10-31;467,048308;3145,813629;285,28681;106,102165;96,506338;115,338636;106,724077;86,871215;76,284845;71,134324;85,539706;58,962783;99,763213;41,798188;482,889561;84,376084;77,969931;92,206403;36,14314;92,832691;109,196749;110,820448;341,511962;80,536112;93,256042;84,844669;44,187521;92,410767;100,511116;98,007137;79,402655;73,999052;103,822553;97,924109;81,337446;818,991356;903,855953;279,409807;642,500582;622,760525;221,083484;139,501801;112,647997;125,843842;672,232794;1671,846127;4879,654605;11582,142334;6914,057788;607,823986;912,199264;560,005336;219,249821;2505,174549;97,556444;247,657719;102,342912;72,732701;138,869177;141,632042;115,774257;93,976633;604,747497;231,856552;119,76929;155,411753;97,163182;219,143928;70,947186;346,419644;124,57348;81,989845;295,698339;67,032214;103,89197;71,064176;101,855008;91,888616;39,00659;69,228599;69,083298;76,480929;49,650323;217,071661;45,761492;28,972002;306,651289;108,511632;87,664351;65,540275;60,965353;61,509201;63,893643;75,341773;119,089066;42,211816;267,010004;168,540402;579,253841;104,813391;477,457738;448,098796;149,975959;142,272104;69,168031;94,370582;145,793795;159,485286;124,366156;394,0899;211,200526;442,750623;166,717664;162,533797;103,1528;177,670379;494,882027;93,349215;169,227619;295,378166;200,466382;258,967875;147,094607;224,150508;136,974131;138,142564;213,214588;140,022044;93,655698;99,847451;114,586457;144,434503;289,749092;245,104337;160,501755;82,975804;177,242197;110,51873;120,66623;28,591135;20,924214;137,026637;398,19181;72,72057;89,834674;2821,011569;44,608431;28,680236;129,52742;144,842242;135,837731;17,609945;110,983232;149,194054;228,256435;83,435517;107,431807;121,890889;88,995232;108,134761;104,536218;160,477716;146,075012;449,078252;96,94342;86,175879;61,197411;47,462129;133,232055;173,535834;322,286443;277,711192;151,143996;61,395131;127,333437;40,086496;207,551838;129,950798;79,312363;27,598303;82,501781;56,316815;16,893475;34,739508;86,42813;148,043019;613,180053;263,260098;55,392485;232,318333;295,145692;69,257456;45,872581;90,008073;63,949571;81,742229;46,043965;91,262913;110,823569;79,110903;70,373192;78,317463;118,147502;62,114486;62,114483;57,77596;57,775959;88,863827;129,820779;138,207176;68,631861;107,320798
