;Europe * Francé;Europe * Spain;Europe * Greecà;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroùn;Africa * Guinée equatoriale;Africa * Namibie;Africa * Éthiopie;North America * USA;North America * Canadà;North America * ¡¢£¤¥¦§¨©ª«¬­®¯°±²³´µ¶·¸¹º»¼½¾¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖ×ØÙÚÛÜÝÞßàáâãäåæçèéêëìíîïðñòóôõö÷øùúûüýþÿ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????;""North America *  !\"#$%&'()*+,-./0123456789:<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\]^_`abcdefghijklmnopqrstuvwxyz{|}~""
1990-01-31;391,299557;2801,195097;226,704307;83,355406;183,233165;72,04666;28,639821;67,3941;98,282874;16,079283;29,049485;71,36042;116,656283;71,36042;71,36042
1990-02-28;379,244602;2833,693801;228,304485;78,303733;187,810009;71,272841;28,609538;67,290358;98,282874;16,219561;35,063531;73,332989;115,713302;73,332989;73,332989
1990-03-31;386,952328;2824,707484;238,994672;82,594005;188,886562;73,441194;28,610672;66,240979;98,282874;16,303931;40,906796;73,78108;115,0394;73,78108;73,78108
1990-04-30;367,988865;2851,962849;220,101329;79,034543;187,072905;69,425826;28,576397;65,159239;98,282874;19,572525;32,11228;81,508646;114,268936;81,508646;81,508646
1990-05-31;359,467339;2776,779119;230,564929;89,109939;185,623307;72,186493;28,613531;65,000664;98,282874;19,586724;40,976292;100,134926;113,456291;100,134926;100,134926
1990-06-30;356,802518;2547,126249;237,449365;83,118167;197,550698;68,613272;28,638845;64,728063;98,282874;19,591272;34,456679;80,721237;112,549875;80,721237;80,721237
1990-07-31;303,425509;337,491473;236,469538;85,37002;183,348603;75,96975;27,282953;61,250837;98,282874;14,821535;30,289532;84,479616;116,825789;84,479616;84,479616
1990-08-31;359,923641;1875,005323;279,84764;82,302344;179,313243;69,974671;27,300467;62,314321;98,282874;14,779015;43,759981;84,050707;119,332008;84,050707;84,050707
1990-09-30;361,41043;3452,229408;226,630449;83,434152;153,376817;68,061083;27,288755;60,867088;98,282874;14,666836;44,595627;80,017954;116,830534;80,017954;80,017954
1990-10-31;361,758689;3271,57711;265,195872;88,749707;174,718469;75,568694;27,841479;60,765191;98,282874;19,688123;41,798069;78,506997;115,647335;78,506997;78,506997
