;Europe * Francé;Europe * Spain;Europe * Greecà;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroùn;Africa * Guinée equatoriale;Africa * Namibie;Africa * Éthiopie;North America * USA;North America * Canadà;North America * ¡¢£¤¥¦§¨©ª«¬­®¯°±²³´µ¶·¸¹º»¼½¾¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖ×ØÙÚÛÜÝÞßàáâãäåæçèéêëìíîïðñòóôõö÷øùúûüýþÿ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????;""North America *  !\"#$%&'()*+,-./0123456789:<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\]^_`abcdefghijklmnopqrstuvwxyz{|}~""
1990-01-31;384,742863;2829,432638;223,369667;80,900203;187,249991;71,554101;28,738804;67,499022;98,282874;16,168505;33,812079;75,838701;114,99005;75,838701;75,838701
1990-02-28;379,43319;2803,836955;226,402062;81,343271;186,573587;71,37392;28,720027;66,939491;98,282874;16,424682;34,661096;76,753969;114,799281;76,753969;76,753969
1990-03-31;373,695784;2796,1051;229,354859;81,833198;185,889005;71,377029;28,659904;66,286625;98,282874;16,705797;35,51499;78,085192;114,814949;78,085192;78,085192
1990-04-30;367,988201;2793,969316;232,442848;82,346813;185,146026;71,2997;28,548404;65,511315;98,282874;16,981157;36,202164;79,26942;114,893206;79,26942;79,26942
1990-05-31;363,097276;2816,836229;235,692659;82,881592;184,322967;71,259693;28,350752;64,619562;98,282874;17,197645;36,97493;80,463837;115,016832;80,463837;80,463837
1990-06-30;359,955409;2888,825315;239,335689;83,445274;183,46415;71,254545;28,081555;63,649809;98,282874;17,356964;37,695827;81,4498;115,175359;81,4498;81,4498
1990-07-31;358,970518;3001,161507;243,103136;83,980268;182,646686;71,288716;27,83448;62,726017;98,282874;17,506408;38,26001;82,344947;115,378638;82,344947;82,344947
1990-08-31;359,522397;3116,03882;246,820398;84,474118;181,878395;71,312142;27,672503;61,941693;98,282874;17,725706;38,660626;83,042883;115,658735;83,042883;83,042883
1990-09-30;360,116438;3191,351664;250,070557;84,850837;181,23703;71,289842;27,591504;61,287574;98,282874;18,086809;38,82099;83,775032;116,073107;83,775032;83,775032
1990-10-31;359,762837;3201,405587;252,610439;85,032566;180,870398;71,24575;27,511058;60,713724;98,282874;18,634648;38,817966;84,547701;116,656703;84,547701;84,547701
