;France;Spain;Greece
1990-01-31;;0,975851;0,941737
1990-02-28;;0,982858;-2,16001
1990-03-31;;0,98988;7,235713
1990-04-30;;1,004506;-7,091135
1990-05-31;;1,002573;-3,912724
1990-06-30;;0,85611;-0,416885
1990-07-31;;0,126793;-5,125247
1990-08-31;;0,736062;19,13166
1990-09-30;;1,220712;-19,456054
1990-10-31;;1,065843;8,357137
1990-11-30;;1,028745;6,315718
1990-12-31;;0,97329;-6,933021
1991-01-31;;1,008033;7,505855
1991-02-28;;0,984956;1,670482
1991-03-31;;1,008537;-9,515422
1991-04-30;;1,006074;3,62448
1991-05-31;;1,053965;3,587641
1991-06-30;;1,395853;-4,071411
1991-07-31;;1,111516;6,189986
1991-08-31;;1,048238;-12,252676
1991-09-30;;0,775657;5,25619
1991-10-31;;0,887367;9,945108
1991-11-30;;0,972644;-8,573053
1991-12-31;;1,017244;-11,30167
1992-01-31;;1,022524;13,217411
1992-02-29;;1,01874;-1,303349
1992-03-31;;0,991288;-1,563284
1992-04-30;;0,985805;10,364062
1992-05-31;;1,012502;-6,680098
1992-06-30;;0,907352;1,723828
1992-07-31;;0,949879;3,82516
1992-08-31;;0,913693;-7,453718
1992-09-30;;1,021757;1,287694
1992-10-31;;1,042839;-7,412431
1992-11-30;;0,949805;6,366794
1992-12-31;;0,982398;4,199227
1993-01-31;;1,064143;-17,853962
1993-02-28;;1,006802;11,822855
1993-03-31;;1,036813;3,111516
1993-04-30;;1,022011;5,567223
1993-05-31;;1,017174;-12,688786
1993-06-30;;0,967582;0,915585
1993-07-31;;1,090052;5,710112
1993-08-31;;1,128974;-4,682148
1993-09-30;;0,73677;13,037038
1993-10-31;;0,9302;-10,5864
1993-11-30;;1,073938;-5,343787
1993-12-31;;1,058214;7,420034
1994-01-31;;0,842868;4,33622
1994-02-28;;1,018824;-16,538809
1994-03-31;;1,014817;16,569599
1994-04-30;;1,03904;-17,206937
1994-05-31;;0,976438;13,90498
1994-06-30;;1,138284;6,27467
1994-07-31;;1,17111;-11,302673
1994-08-31;;1,18423;4,440309
1994-09-30;;0,890476;-3,348998
1994-10-31;;0,99572;0,677106
1994-11-30;;1,034772;0,230533
1994-12-31;;1,022759;-3,231032
1995-01-31;;1,100295;4,803024
1995-02-28;;1,037542;-2,449994
1995-03-31;;1,023697;-0,496899
1995-04-30;;1,031208;-3,386201
