;France;Spain;Greece
1990-01-31;;1,087561;11,16845
1990-02-28;;1,01349;-0,53756
1990-03-31;;1,115005;23,764782
1990-04-30;;1,058353;0,251803
1990-05-31;;1,046807;-8,153008
1990-06-30;;0,769626;9,283657
1990-07-31;;0,929523;9,768669
1990-08-31;;0,948707;-45,180089
1990-09-30;;0,897992;24,109212
1990-10-31;;1,018816;20,460989
1990-11-30;;1,052998;-2,13002
1990-12-31;;1,091664;-43,565939
1991-01-31;;1,087058;10,98085
1991-02-28;;1,012892;-0,197326
1991-03-31;;1,113509;23,637625
1991-04-30;;1,055592;1,376695
1991-05-31;;1,045369;-7,442674
1991-06-30;;0,773172;9,715788
1991-07-31;;0,94018;10,280988
1991-08-31;;0,962414;-46,804473
1991-09-30;;0,888614;25,202775
1991-10-31;;1,012549;19,067644
1991-11-30;;1,050168;-3,090048
1991-12-31;;1,091783;-43,335522
1992-01-31;;1,086615;9,70596
1992-02-29;;1,013135;-0,329257
1992-03-31;;1,112078;24,022752
1992-04-30;;1,053856;2,279191
1992-05-31;;1,039463;-6,44881
1992-06-30;;0,76585;10,822122
1992-07-31;;0,944401;10,58738
1992-08-31;;0,979173;-47,315328
1992-09-30;;0,888779;26,637829
1992-10-31;;1,014288;17,133349
1992-11-30;;1,048542;-3,493676
1992-12-31;;1,091235;-42,477545
1993-01-31;;1,083359;7,293355
1993-02-28;;1,012022;-0,922357
1993-03-31;;1,109857;23,98674
1993-04-30;;1,051403;1,768593
1993-05-31;;1,032668;-5,086762
1993-06-30;;0,759812;11,827552
1993-07-31;;0,951386;10,694888
1993-08-31;;0,997427;-46,818558
1993-09-30;;0,891419;28,082645
1993-10-31;;1,013167;16,396694
1993-11-30;;1,049429;-3,681543
1993-12-31;;1,090174;-41,516696
1994-01-31;;1,078066;5,90955
1994-02-28;;1,008905;-2,351343
1994-03-31;;1,105742;23,322443
1994-04-30;;1,046735;0,581502
1994-05-31;;1,025143;-3,443937
1994-06-30;;0,754619;12,306188
1994-07-31;;0,952754;10,363578
1994-08-31;;1,010208;-45,730587
1994-09-30;;0,908213;28,766889
1994-10-31;;1,016873;16,560033
1994-11-30;;1,045924;-3,265513
1994-12-31;;1,087497;-40,943664
1995-01-31;;1,080596;4,70426
1995-02-28;;1,006937;-2,725613
1995-03-31;;1,100122;21,155215
1995-04-30;;1,042275;0,37229
1995-05-31;;1,0175;-2,918666
1995-06-30;;0,747965;12,117821
1995-07-31;;0,947035;10,870778
1995-08-31;;1,014743;-45,0244
1995-09-30;;0,932567;29,617221
1995-10-31;;1,022538;17,170516
1995-11-30;;1,041071;-2,647838
1995-12-31;;1,083269;-39,830622
1996-01-31;;1,079938;3,059153
1996-02-29;;1,002474;-2,696063
1996-03-31;;1,09416;19,038944
1996-04-30;;1,035224;0,44729
1996-05-31;;1,006753;-3,613685
1996-06-30;;0,757495;11,321961
1996-07-31;;0,956976;12,010802
1996-08-31;;1,017175;-44,601816
1996-09-30;;0,949164;30,258366
1996-10-31;;1,023303;17,900259
1996-11-30;;1,03224;-2,790652
1996-12-31;;1,076302;-37,753646
1997-01-31;;1,074054;0,959577
1997-02-28;;0,994537;-3,050082
1997-03-31;;1,084254;18,741778
1997-04-30;;1,025998;0,367632
1997-05-31;;0,992182;-4,836314
1997-06-30;;0,774807;11,514915
1997-07-31;;0,975295;12,530775
1997-08-31;;1,025421;-43,703649
1997-09-30;;0,961461;31,30059
1997-10-31;;1,023537;16,885007
1997-11-30;;1,023898;-2,80302
1997-12-31;;1,070314;-36,309436
1998-01-31;;1,069418;-0,872329
1998-02-28;;0,98841;-3,676153
1998-03-31;;1,07588;19,251283
1998-04-30;;1,014649;0,43874
1998-05-31;;0,977667;-5,438278
1998-06-30;;0,790277;12,155453
1998-07-31;;0,987534;12,796685
1998-08-31;;1,032378;-41,929583
1998-09-30;;0,971338;31,969597
1998-10-31;;1,023779;14,971307
1998-11-30;;1,015588;-3,081326
1998-12-31;;1,064114;-36,301173
1999-01-31;;1,065546;-2,19084
1999-02-28;;0,985171;-3,965719
1999-03-31;;1,073191;19,178279
1999-04-30;;1,004324;0,152298
1999-05-31;;0,971417;-4,697465
1999-06-30;;0,809852;12,42321
1999-07-31;;0,994159;12,955715
1999-08-31;;1,036158;-39,164641
1999-09-30;;0,977953;30,987624
1999-10-31;;1,019007;14,618049
1999-11-30;;1,002395;-3,458716
1999-12-31;;1,057175;-37,127605
2000-01-31;;1,066381;-2,358135
2000-02-29;;0,984053;-3,594855
2000-03-31;;1,070769;18,951813
2000-04-30;;0,998897;-0,300376
2000-05-31;;0,973414;-3,514907
2000-06-30;;0,83241;12,036318
2000-07-31;;0,995364;12,801168
2000-08-31;;1,036396;-36,73217
2000-09-30;;0,980685;28,123538
2000-10-31;;1,008372;14,645931
2000-11-30;;0,985175;-3,389058
2000-12-31;;1,050005;-38,467027
2001-01-31;;1,067537;-1,804205
2001-02-28;;0,981453;-2,487285
2001-03-31;;1,067538;18,729147
2001-04-30;;0,998696;1,081196
2001-05-31;;0,98689;-2,685427
2001-06-30;;0,860806;11,809323
2001-07-31;;0,997746;12,901619
2001-08-31;;1,033805;-35,96933
2001-09-30;;0,981515;25,086663
2001-10-31;;0,993611;13,862378
2001-11-30;;0,965397;-3,814415
2001-12-31;;1,041805;-39,019264
2002-01-31;;1,067811;-1,692157
2002-02-28;;0,979393;-1,22051
2002-03-31;;1,063455;18,170629
2002-04-30;;0,998467;4,089052
2002-05-31;;0,999433;-2,045402
2002-06-30;;0,883283;11,461717
2002-07-31;;0,998955;12,899468
2002-08-31;;1,029736;-35,366374
2002-09-30;;0,980802;22,098528
2002-10-31;;0,978404;13,057565
2002-11-30;;0,959023;-4,044424
2002-12-31;;1,047047;-38,756931
2003-01-31;;1,068104;-1,716701
2003-02-28;;0,976211;-0,869827
2003-03-31;;1,059647;17,967006
2003-04-30;;1,000122;6,71654
