;France;Spain;Greece
1990-01-31;;2774,586775;236,965374
1990-02-28;;2790,921011;233,154313
1990-03-31;;2807,731229;240,981688
1990-04-30;;2846,338767;224,923602
1990-05-31;;2837,355553;228,777306
1990-06-30;;2420,523239;236,400818
1990-07-31;;358,681079;237,589074
1990-08-31;;2090,054697;266,68122
1990-09-30;;3488,210493;231,19806
1990-10-31;;3061,086754;262,290712
1990-11-30;;2964,831762;262,767373
1990-12-31;;2814,493085;249,91934
1991-01-31;;2924,832579;263,011061
1991-02-28;;2867,60901;254,358559
1991-03-31;;2946,259086;240,569585
1991-04-30;;2948,573469;252,696041
1991-05-31;;3098,915257;251,903863
1991-06-30;;4111,5683;242,526874
1991-07-31;;3268,90126;250,818175
1991-08-31;;3071,015914;231,622053
1991-09-30;;2264,036562;249,657711
1991-10-31;;2586,588892;253,698507
1991-11-30;;2836,534761;233,358198
1991-12-31;;2968,574919;231,203657
1992-01-31;;2985,311349;258,909633
1992-02-29;;2974,384644;246,551359
1992-03-31;;2893,495935;245,826809
1992-04-30;;2876,879471;254,753728
1992-05-31;;2954,011291;232,576942
1992-06-30;;2646,747283;235,103427
1992-07-31;;2772,465357;231,090604
1992-08-31;;2670,883114;214,248105
1992-09-30;;2993,538047;219,700529
1992-10-31;;3061,603122;210,35345
1992-11-30;;2792,768103;224,796116
1992-12-31;;2894,269497;223,044032
1993-01-31;;3141,395982;202,556082
1993-02-28;;2976,143583;235,754123
1993-03-31;;3067,708388;228,957987
1993-04-30;;3025,473076;229,818447
1993-05-31;;3011,203545;209,255622
1993-06-30;;2863,9213;223,170838
1993-07-31;;3226,338085;229,830693
1993-08-31;;3336,783936;219,935288
1993-09-30;;2172,954349;235,682226
1993-10-31;;2744,769078;208,949579
1993-11-30;;3174,909942;212,924987
1993-12-31;;3130,44949;226,234152
1994-01-31;;2494,36299;223,065202
1994-02-28;;3020,007928;202,146372
1994-03-31;;3013,811616;236,930599
1994-04-30;;3089,509832;205,873519
1994-05-31;;2906,204395;239,140217
1994-06-30;;3390,147884;230,551765
1994-07-31;;3485,363633;209,647825
1994-08-31;;3512,929911;222,942157
1994-09-30;;2628,654288;214,256367
1994-10-31;;2926,75668;218,439223
1994-11-30;;3029,337722;218,675269
1994-12-31;;2980,476465;216,335062
1995-01-31;;3189,823834;225,576372
1995-02-28;;2989,073073;219,210149
1995-03-31;;2928,320459;222,455723
1995-04-30;;2928,354221;221,433069
1995-05-31;;3127,71425;234,70043
1995-06-30;;1864,629961;227,090207
1995-07-31;;2113,291796;208,885802
1995-08-31;;2902,164998;219,80291
1995-09-30;;3335,363914;221,284994
1995-10-31;;3019,228902;208,847169
1995-11-30;;2987,950106;220,913462
1995-12-31;;2887,298984;194,629461
1996-01-31;;2977,315958;214,360258
1996-02-29;;2884,034675;208,859251
1996-03-31;;2881,469988;179,840882
1996-04-30;;2724,020574;200,802234
1996-05-31;;2800,981192;204,142224
1996-06-30;;2209,346225;185,903949
1996-07-31;;1490,277525;208,641561
1996-08-31;;2224,556472;194,706641
1996-09-30;;2707,265675;190,72828
1996-10-31;;2450,802934;218,856476
1996-11-30;;2418,780628;193,569588
1996-12-31;;2364,51574;208,55199
1997-01-31;;2343,003065;196,038466
1997-02-28;;2289,918877;204,774415
1997-03-31;;2328,221511;190,453363
1997-04-30;;2430,017597;247,961649
1997-05-31;;2334,063144;199,9851
1997-06-30;;2492,843789;202,300511
1997-07-31;;2554,554202;203,675398
1997-08-31;;2322,721067;191,65007
1997-09-30;;2284,943831;208,994354
1997-10-31;;2177,906103;223,150169
1997-11-30;;2120,696925;213,193248
1997-12-31;;2138,213492;220,247668
1998-01-31;;2052,303206;195,580374
1998-02-28;;2000,64574;199,129198
1998-03-31;;1781,974305;211,756195
