;France;Spain;Greece
1990-01-31;;2843,247993;236,023638
1990-02-28;;2839,597684;235,314323
1990-03-31;;2836,435576;233,745975
1990-04-30;;2833,570019;232,014737
1990-05-31;;2830,072904;232,69003
1990-06-30;;2827,350551;236,817704
1990-07-31;;2828,872918;242,714321
1990-08-31;;2839,509175;247,549559
1990-09-30;;2857,522255;250,654114
1990-10-31;;2871,986627;253,933575
1990-11-30;;2881,989816;256,451655
1990-12-31;;2891,731872;256,852361
1991-01-31;;2901,525511;255,505206
1991-02-28;;2911,406971;252,688077
1991-03-31;;2921,321069;250,085007
1991-04-30;;2930,772898;249,071561
1991-05-31;;2940,245886;248,316222
1991-06-30;;2945,558909;246,598285
1991-07-31;;2940,938824;244,628189
1991-08-31;;2929,693176;243,874729
1991-09-30;;2918,861951;244,401521
1991-10-31;;2914,903434;243,753399
1991-11-30;;2916,312854;241,93125
1991-12-31;;2918,253791;242,505326
1992-01-31;;2919,5504;245,692222
1992-02-29;;2919,671264;247,854707
1992-03-31;;2918,926708;247,390093
1992-04-30;;2918,304593;244,389666
1992-05-31;;2917,535931;239,257039
1992-06-30;;2917,0003;233,379599
1992-07-31;;2918,755517;227,265444
1992-08-31;;2923,174764;221,701822
1992-09-30;;2929,79424;218,412835
1992-10-31;;2935,83594;217,765881
1992-11-30;;2940,360786;218,429321
1992-12-31;;2946,12671;218,844805
1993-01-31;;2952,043884;220,410044
1993-02-28;;2956,036436;223,931268
1993-03-31;;2958,785306;225,846471
1993-04-30;;2960,314898;224,251224
1993-05-31;;2960,362801;221,944408
1993-06-30;;2959,875126;222,255253
1993-07-31;;2959,800843;224,12058
1993-08-31;;2955,588651;224,617436
1993-09-30;;2949,297683;222,645188
1993-10-31;;2950,731431;219,535979
1993-11-30;;2956,325409;218,268774
1993-12-31;;2958,239033;218,814118
1994-01-31;;2959,376187;218,728983
1994-02-28;;2964,208522;218,685181
1994-03-31;;2969,807456;220,361
1994-04-30;;2973,427974;223,080456
1994-05-31;;2976,331684;225,235236
1994-06-30;;2978,29716;224,277095
1994-07-31;;2976,119495;220,950498
1994-08-31;;2966,425911;218,501848
1994-09-30;;2951,966405;217,605364
1994-10-31;;2939,336479;217,762117
1994-11-30;;2927,541512;218,444736
1994-12-31;;2914,152672;219,566094
1995-01-31;;2899,063444;220,773348
1995-02-28;;2880,917386;221,660143
1995-03-31;;2860,53525;222,952622
1995-04-30;;2839,732693;224,81927
1995-05-31;;2816,069845;225,452227
1995-06-30;;2791,844343;223,12789
1995-07-31;;2778,838817;219,595999
1995-08-31;;2775,886761;217,624196
1995-09-30;;2771,094804;216,383278
1995-10-31;;2760,264844;214,231492
1995-11-30;;2745,193377;211,235428
1995-12-31;;2727,35914;208,218763
1996-01-31;;2706,782532;205,414751
1996-02-29;;2683,232887;201,454506
1996-03-31;;2656,609403;197,597041
1996-04-30;;2627,815165;196,598219
1996-05-31;;2596,843959;197,174147
1996-06-30;;2565,033854;197,617275
1996-07-31;;2536,707234;198,100736
1996-08-31;;2513,573942;198,699479
1996-09-30;;2492,947885;200,406751
1996-10-31;;2471,159794;202,49997
1996-11-30;;2448,717231;202,976939
1996-12-31;;2427,0129;202,126765
1997-01-31;;2405,889965;200,694853
1997-02-28;;2385,685412;199,183109
1997-03-31;;2366,610802;198,30422
1997-04-30;;2347,797691;198,827234
1997-05-31;;2328,309047;200,101001
1997-06-30;;2308,255675;200,811378
1997-07-31;;2286,009038;201,169048
1997-08-31;;2260,911811;203,213128
1997-09-30;;2234,720796;208,228711
1997-10-31;;2208,253627;213,141658
1997-11-30;;2182,252968;214,071093
1997-12-31;;2157,044088;210,711867
1998-01-31;;2132,521626;206,057306
1998-02-28;;2108,786798;203,157686
1998-03-31;;2087,408958;200,579573
1998-04-30;;2068,990343;195,619185
1998-05-31;;2052,521697;190,572814
1998-06-30;;2040,224982;189,10175
1998-07-31;;2031,01634;189,533338
1998-08-31;;2021,123636;188,618728
1998-09-30;;2010,602679;185,554667
1998-10-31;;1999,761377;182,331798
1998-11-30;;1987,709469;181,881427
1998-12-31;;1974,431978;182,153003
1999-01-31;;1961,558665;181,1949
1999-02-28;;1951,044686;181,756533
1999-03-31;;1941,932359;185,446097
1999-04-30;;1933,165355;190,19722
1999-05-31;;1926,646961;193,658669
1999-06-30;;1923,125178;195,783859
1999-07-31;;1920,407241;197,505804
1999-08-31;;1915,983513;199,385012
1999-09-30;;1910,097113;199,862724
1999-10-31;;1902,803206;197,633481
1999-11-30;;1893,437627;195,134875
1999-12-31;;1882,821178;193,889873
2000-01-31;;1872,319919;192,557182
2000-02-29;;1861,925009;190,888993
2000-03-31;;1850,980164;189,59664
2000-04-30;;1840,027405;189,814737
2000-05-31;;1831,332842;192,422396
2000-06-30;;1826,968945;196,528947
2000-07-31;;1825,559638;201,723747
2000-08-31;;1824,568851;206,541016
2000-09-30;;1822,589911;208,290889
2000-10-31;;1819,402519;206,626597
2000-11-30;;1814,536812;202,473638
2000-12-31;;1807,602931;198,510246
2001-01-31;;1799,187511;196,537122
2001-02-28;;1790,125123;194,495068
2001-03-31;;1780,823248;190,605253
2001-04-30;;1770,813504;187,132887
2001-05-31;;1760,340459;187,403484
2001-06-30;;1748,455179;189,6233
2001-07-31;;1734,056694;189,856725
2001-08-31;;1718,713961;187,438696
2001-09-30;;1703,377524;184,209242
2001-10-31;;1687,498645;181,75842
2001-11-30;;1672,283392;180,633216
2001-12-31;;1662,081676;181,082069
2002-01-31;;1656,958942;182,590697
2002-02-28;;1652,449539;183,764132
2002-03-31;;1647,405461;184,557232
2002-04-30;;1642,742988;185,782596
2002-05-31;;1638,613749;185,74843
2002-06-30;;1633,160287;183,412673
2002-07-31;;1624,925913;180,615102
2002-08-31;;1615,077279;178,578633
2002-09-30;;1604,218409;177,396043
2002-10-31;;1591,880786;176,796302
2002-11-30;;1579,517197;176,856211
2002-12-31;;1568,012659;178,796223
2003-01-31;;1555,729629;182,937991
2003-02-28;;1542,646818;187,667892
2003-03-31;;1529,525602;190,927516
2003-04-30;;1516,147133;191,115959
2003-05-31;;1502,544547;188,368688
2003-06-30;;1488,935533;185,51539
2003-07-31;;1475,602856;184,709472
2003-08-31;;1462,811521;185,581641
2003-09-30;;1449,534496;187,327932
2003-10-31;;1436,42841;188,46303
2003-11-30;;1426,052352;189,045159
2003-12-31;;1417,104705;191,214606
2004-01-31;;1407,900278;195,402432
2004-02-29;;1398,808263;199,491043
2004-03-31;;1389,704359;201,245029
2004-04-30;;1380,482426;200,480305
2004-05-31;;1370,714153;198,062246
2004-06-30;;1360,452793;194,836135
2004-07-31;;1350,223697;191,105195
2004-08-31;;1340,012408;187,565787
2004-09-30;;1330,062047;185,054707
2004-10-31;;1319,698607;184,400752
2004-11-30;;1308,810325;185,343793
2004-12-31;;1299,103843;184,63287
2005-01-31;;1290,473786;180,509822
2005-02-28;;1282,422234;175,972565
2005-03-31;;1275,310941;174,808931
2005-04-30;;1268,533153;176,788375
2005-05-31;;1261,459697;179,784937
2005-06-30;;1253,41462;182,131553
2005-07-31;;1244,222095;182,479602
2005-08-31;;1235,964935;181,611036
2005-09-30;;1229,646697;181,442069
2005-10-31;;1224,698477;183,398898
2005-11-30;;1221,923411;186,483649
2005-12-31;;1219,909045;187,717283
2006-01-31;;1215,957332;186,155325
2006-02-28;;1209,83839;183,382566
2006-03-31;;1202,492927;181,173849
2006-04-30;;1194,335386;180,313367
2006-05-31;;1185,145119;180,205548
2006-06-30;;1175,329744;178,919642
2006-07-31;;1166,15012;176,738043
2006-08-31;;1158,317764;175,323011
2006-09-30;;1151,015569;175,633092
2006-10-31;;1143,377853;179,099065
2006-11-30;;1135,081177;184,355357
2006-12-31;;1126,61487;187,768501
2007-01-31;;1118,851031;188,32644
2007-02-28;;1111,94969;188,396186
2007-03-31;;1105,577859;189,06346
2007-04-30;;1099,261218;188,389459
2007-05-31;;1093,4355;185,915656
2007-06-30;;1088,123265;184,098009
2007-07-31;;1082,180327;184,948813
2007-08-31;;1075,522619;187,527331
2007-09-30;;1068,566205;190,04453
2007-10-31;;1060,444237;191,535128
2007-11-30;;1051,118593;191,972999
2007-12-31;;1042,366792;192,982651
2008-01-31;;1034,407753;194,740905
2008-02-29;;1026,581001;194,32979
2008-03-31;;1018,87107;191,526818
2008-04-30;;1010,700297;188,767347
2008-05-31;;1001,914687;186,856513
2008-06-30;;992,740611;186,067256
2008-07-31;;983,108054;185,544714
2008-08-31;;972,960913;183,699248
2008-09-30;;963,191451;180,34521
2008-10-31;;956,8156;174,758355
2008-11-30;;953,9903;166,000937
2008-12-31;;950,940292;157,15705
2009-01-31;;946,672754;153,100477
2009-02-28;;942,051704;153,869652
2009-03-31;;936,926057;155,406951
2009-04-30;;931,006177;155,892422
2009-05-31;;924,310842;156,23675
2009-06-30;;917,207558;156,924865
2009-07-31;;909,6818;157,131483
2009-08-31;;901,800636;156,272723
2009-09-30;;893,812151;154,716847
2009-10-31;;885,012743;152,010304
2009-11-30;;875,155415;148,247358
2009-12-31;;865,595213;145,098072
2010-01-31;;856,933648;145,444605
2010-02-28;;848,840027;150,239936
2010-03-31;;840,681642;155,803328
2010-04-30;;832,201717;159,388295
2010-05-31;;824,061776;162,078345
2010-06-30;;816,533786;164,875391
2010-07-31;;809,477657;166,72828
2010-08-31;;802,199212;166,437115
2010-09-30;;794,144592;163,731773
2010-10-31;;785,729751;160,352838
2010-11-30;;776,519013;159,050548
2010-12-31;;765,520433;160,83463
2011-01-31;;753,630518;164,836582
2011-02-28;;741,418367;168,73053
2011-03-31;;729,580373;169,546179
2011-04-30;;720,235364;166,504125
2011-05-31;;713,485499;162,109867
2011-06-30;;707,565305;159,289173
2011-07-31;;701,529682;159,249094
2011-08-31;;695,560969;159,84326
2011-09-30;;689,863578;158,624852
2011-10-31;;683,921506;156,258595
2011-11-30;;677,509192;153,301839
2011-12-31;;671,185543;148,963423
2012-01-31;97,882777;665,085119;141,721313
2012-02-29;97,61016;659,183455;132,452055
2012-03-31;98,332259;653,663482;126,018152
2012-04-30;98,813865;648,422108;124,044663
2012-05-31;98,051109;643,398075;123,660551
2012-06-30;96,578086;638,535134;121,64128
2012-07-31;95,061505;633,484249;117,626446
2012-08-31;94,531658;628,396535;115,059669
2012-09-30;94,861161;623,194323;116,030054
2012-10-31;95,271911;617,264533;118,322693
2012-11-30;95,364935;610,786444;118,847621
2012-12-31;94,44225;604,267914;116,870435
2013-01-31;93,916518;597,862922;113,046661
2013-02-28;94,641619;591,533475;108,549005
2013-03-31;94,155422;585,196503;105,21075
2013-04-30;92,880503;578,741405;103,673197
2013-05-31;93,141194;572,051456;102,258436
2013-06-30;94,787956;565,109226;100,327133
2013-07-31;97,037691;557,900328;98,864617
2013-08-31;98,142305;550,506539;98,404621
2013-09-30;96,539958;543,281838;99,237944
2013-10-31;94,372162;536,556419;100,936509
2013-11-30;93,737288;43,580369;103,094799
2013-12-31;94,012238;43,011558;105,312253
2014-01-31;93,639206;42,432747;106,388274
2014-02-28;92,354759;41,888918;105,997985
2014-03-31;91,587343;41,402444;104,913095
2014-04-30;91,662036;40,919326;103,706127
2014-05-31;91,625432;40,40781;102,18708
2014-06-30;91,479862;22,076752;100,088659
2014-07-31;91,591084;21,77484;97,359576
2014-08-31;91,963942;21,519798;94,744943
2014-09-30;92,909978;21,280872;93,359086
2014-10-31;93,364347;21,009483;92,982507
2014-11-30;92,975741;20,721181;93,567898
2014-12-31;93,444377;20,438118;95,341958
2015-01-31;95,081093;108,639845;97,371328
2015-02-28;96,844772;106,970868;98,994142
2015-03-31;98,042932;105,376331;100,473905
2015-04-30;99,511096;104,018986;101,722177
2015-05-31;101,525871;102,553388;102,329289
2015-06-30;102,317366;100,979385;102,103324
2015-07-31;101,230582;99,4375;100,765744
2015-08-31;99,442561;97,861333;98,90771
2015-09-30;98,722187;96,30326;97,741284
2015-10-31;99,897105;94,773492;97,628872
2015-11-30;101,356507;93,266436;98,584771
2015-12-31;101,606045;91,846074;99,700854
2016-01-31;101,408371;143,869639;99,238665
2016-02-29;101,05457;141,96411;96,624569
2016-03-31;100,394307;139,897045;93,862402
2016-04-30;99,495968;137,719581;93,227591
2016-05-31;98,321149;135,631347;93,41379
2016-06-30;97,741065;133,559379;92,356934
2016-07-31;97,740172;131,425045;91,608995
2016-08-31;93,448108;129,136024;93,41638
2016-09-30;93,484055;126,641194;95,708152
2016-10-31;93,212158;124,106796;96,214119
2016-11-30;92,616578;121,670738;96,312419
2016-12-31;92,284765;119,290887;97,071512
2017-01-31;91,276911;117,08012;98,190874
2017-02-28;89,953225;115,207304;99,705706
2017-03-31;90,21459;113,476949;101,639223
2017-04-30;91,31769;111,705139;103,545145
2017-05-31;91,43516;109,922089;104,542061
2017-06-30;90,74604;108,275037;103,187089
2017-07-31;89,999421;106,846623;100,089085
2017-08-31;89,840643;105,502995;98,039645
2017-09-30;90,133368;104,107554;98,582057
2017-10-31;90,395452;102,603599;100,64937
2017-11-30;90,901517;100,934838;101,369035
2017-12-31;90,966182;99,200032;99,114849
2018-01-31;90,682886;97,514415;95,341229
2018-02-28;91,471629;95,902687;92,718824
2018-03-31;92,872596;94,438297;92,343359
2018-04-30;93,442739;141,856584;93,57617
2018-05-31;94,177399;139,966899;95,886513
2018-06-30;95,045414;137,96739;99,106477
2018-07-31;94,012215;135,80181;102,146316
2018-08-31;92,34982;133,576576;102,394511
2018-09-30;91,656498;131,388856;99,574925
2018-10-31;91,22808;129,294688;96,784225
2018-11-30;90,81411;127,237909;95,598404
2018-12-31;90,855806;125,239603;95,40828
2019-01-31;91,247441;123,227115;94,800133
2019-02-28;90,87799;121,062783;93,310401
2019-03-31;88,954324;118,752564;92,126951
2019-04-30;86,293557;116,421406;92,324658
2019-05-31;83,357715;114,100982;93,604669
2019-06-30;81,862367;111,726973;95,564192
2019-07-31;83,944185;109,318869;98,393381
2019-08-31;87,07678;107,096748;100,404816
2019-09-30;88,445357;105,234841;100,218735
2019-10-31;88,690224;103,603685;98,707344
2019-11-30;88,019677;102,186925;97,430212
2019-12-31;86,738706;100,901453;97,767842
2020-01-31;85,974811;99,492194;99,038076
2020-02-29;85,591943;98,03142;98,774872
2020-03-31;85,082739;96,563269;96,323418
2020-04-30;84,903968;95,000585;93,546512
2020-05-31;85,176192;93,450907;92,774418
2020-06-30;85,435957;91,978274;95,131189
2020-07-31;85,229069;90,537717;98,212088
2020-08-31;84,562242;89,017664;99,297671
2020-09-30;83,583127;87,486854;98,967468
2020-10-31;82,259129;126,144268;99,391461
2020-11-30;81,203304;124,433983;101,168235
2020-12-31;81,034678;122,674312;102,425285
2021-01-31;81,072913;120,900151;103,829234
2021-02-28;80,649721;119,13632;107,525476
2021-03-31;80,385874;117,316978;111,046687
2021-04-30;80,692571;115,452037;110,876373
2021-05-31;81,283475;113,659852;108,177296
2021-06-30;81,182344;112,015677;105,870743
2021-07-31;80,08061;110,47565;104,822548
2021-08-31;79,089987;108,974248;104,353804
2021-09-30;78,911576;107,429798;103,755625
