;France;Spain;Greece
1990-01-31;;3017,533674;248,133824
1990-02-28;;2828,569346;232,616753
1990-03-31;;3130,635347;264,746469
1990-04-30;;3012,432439;225,175406
1990-05-31;;2970,165061;220,624298
1990-06-30;;1862,89823;245,684475
1990-07-31;;333,402159;247,357743
1990-08-31;;1982,850133;221,50113
1990-09-30;;3132,384342;255,307272
1990-10-31;;3118,683881;282,751701
1990-11-30;;3121,963247;260,637354
1990-12-31;;3072,481265;206,353402
1991-01-31;;3179,461455;273,991911
1991-02-28;;2904,577751;254,161234
1991-03-31;;3280,684537;264,20721
1991-04-30;;3112,489524;254,072735
1991-05-31;;3239,510281;244,461189
1991-06-30;;3178,951332;252,242662
1991-07-31;;3073,355763;261,099163
1991-08-31;;2955,590104;184,81758
1991-09-30;;2011,854299;274,860485
1991-10-31;;2619,047041;272,766151
1991-11-30;;2978,837161;230,26815
1991-12-31;;3241,040652;187,868134
1992-01-31;;3243,882769;268,615593
1992-02-29;;3013,452686;246,222102
1992-03-31;;3217,793594;269,849561
1992-04-30;;3031,817133;257,032919
1992-05-31;;3070,586521;226,128131
1992-06-30;;2027,012255;245,925548
1992-07-31;;2618,318293;241,677984
1992-08-31;;2615,257552;166,932777
1992-09-30;;2660,592958;246,338358
1992-10-31;;3105,347795;227,486799
1992-11-30;;2928,334933;221,30244
1992-12-31;;3158,327767;180,566487
1993-01-31;;3403,259932;209,849437
1993-02-28;;3011,922315;234,831767
1993-03-31;;3404,717428;252,944727
1993-04-30;;3180,991826;231,587041
1993-05-31;;3109,574533;204,16886
1993-06-30;;2176,041199;234,99839
1993-07-31;;3069,493399;240,525581
1993-08-31;;3328,1989;173,11673
1993-09-30;;1937,011891;263,764871
1993-10-31;;2780,909234;225,346273
1993-11-30;;3331,842639;209,243444
1993-12-31;;3412,733655;184,717456
1994-01-31;;2689,087;228,974752
1994-02-28;;3046,902214;199,795029
1994-03-31;;3332,498512;260,253041
1994-04-30;;3233,898923;206,45502
1994-05-31;;2979,27441;235,69628
1994-06-30;;2558,269467;242,857952
1994-07-31;;3320,692796;220,011403
1994-08-31;;3548,790886;177,21157
1994-09-30;;2387,378087;243,023255
1994-10-31;;2976,140794;234,999257
1994-11-30;;3168,457362;215,409756
1994-12-31;;3241,259276;175,391398
1995-01-31;;3446,911931;230,280633
1995-02-28;;3009,808947;216,484536
1995-03-31;;3221,510209;243,610938
1995-04-30;;3052,149199;221,805359
1995-05-31;;3182,449322;231,781764
1995-06-30;;1394,677711;239,208028
1995-07-31;;2001,360329;219,75658
1995-08-31;;2944,950384;174,778509
1995-09-30;;3110,44903;250,902215
1995-10-31;;3087,274847;226,017685
1995-11-30;;3110,667655;218,265624
1995-12-31;;3127,720355;154,798839
1996-01-31;;3215,315851;217,419412
1996-02-29;;2891,16879;206,163188
1996-03-31;;3152,789283;198,879827
1996-04-30;;2819,970121;201,249525
1996-05-31;;2819,897247;200,528539
1996-06-30;;1673,569529;197,22591
1996-07-31;;1426,15962;220,652363
1996-08-31;;2262,762197;150,104824
1996-09-30;;2569,637934;220,986647
1996-10-31;;2507,912988;236,756735
1996-11-30;;2496,763145;190,778935
1996-12-31;;2544,93338;170,798344
1997-01-31;;2516,512213;196,998042
1997-02-28;;2277,41003;201,724333
1997-03-31;;2524,38269;209,19514
1997-04-30;;2493,19228;248,329281
1997-05-31;;2315,815044;195,148787
1997-06-30;;1931,473407;213,815427
