;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada
1990-01-31;1,015159;0,975851;0,009903;1,010895;-4,676229;-0,024727;0,996556;-0,104922;1;0,994482;-4,762594;0,94095;1,01449
1990-02-28;0,977306;0,982858;-2,919877;0,980685;0,542023;-1,191533;0,996153;0,350867;1;0,987511;0,402435;0,955429;1,007962
1990-03-31;1,022241;0,98988;7,028381;1,004603;3,984377;2,355026;0,998282;-0,045646;1;0,975944;5,391806;0,944879;1,001955
1990-04-30;0,998023;1,004506;-7,477495;0,963316;-2,651049;-2,245942;1,000981;-0,352076;1;1,152603;-4,089885;1,028248;0,994567
1990-05-31;0,99289;1,002573;-4,385383;1,021499;-1,962682;2,181924;1,009269;0,381102;1;1,138919;4,001362;1,244471;0,986432
1990-06-30;0,991414;0,85611;-0,625171;1,000459;6,511294;-3,35385;1,019845;1,078254;1;1,128727;-3,239149;0,991055;0,977204
1990-07-31;0,844275;0,126793;-5,183464;1,017632;0,54438;4,516825;0,980185;-1,47518;1;0,846635;-7,970478;1,025923;1,012543
1990-08-31;0,995394;0,736062;19,28326;0,984783;0,379276;-2,465531;0,986556;0,372628;1;0,833762;5,099355;1,012136;1,03176
1990-09-30;1,001599;1,220712;-19,759087;1,001926;-10,713596;-3,130858;0,989027;-0,420485;1;0,810913;5,774637;0,955153;1,006525
1990-10-31;1,007877;1,065843;9,127173;1,020659;-0,737406;3,649123;1,01201;0,051467;1;1,056533;2,980102;0,928553;0,991348
1990-11-30;1,001136;1,028745;6,60776;1,018826;5,296126;2,214588;1,016576;0,80698;1;1,007174;2,814964;1,109422;0,990925
1990-12-31;0,99898;0,97329;-7,337884;0,966742;0,78816;-3,526767;1,023445;2,18103;1;0,979002;-5,481803;0,843073;0,976956
1991-01-31;1,006818;1,008033;8,657656;0,992172;-0,538988;3,161989;0,978749;-0,499316;1;1,017144;-2,017965;1,038145;1,008894
1991-02-28;0,981458;0,984956;2,005309;1,001197;0,568929;-0,857899;0,982851;-0,865963;1;1,011339;-5,899127;0,993778;0,999061
1991-03-31;0,998346;1,008537;-9,170178;0,97648;-7,581847;-4,424133;0,981414;-2,930136;1;1,016385;2,933299;1,141283;1,001195
1991-04-30;1,003579;1,006074;3,842523;1,029715;13,420409;1,350577;1,019443;0,681119;1;0,978767;-0,379463;0,959549;1,012478
1991-05-31;1,004987;1,053965;3,551276;0,983801;-3,967413;1,218231;1,006116;-0,133236;1;1,00022;32,224659;0,978052;1,005882
1991-06-30;1,005866;1,395853;-3,970307;0,988486;-0,364134;0,459507;0,992748;-1,648557;1;1,025631;-1,046243;1,100429;1,005448
1991-07-31;0,990263;1,111516;6,445167;0,992368;4,233968;2,207254;1,008086;0,780285;1;0,975419;4,523166;0,925056;0,994029
1991-08-31;0,997905;1,048238;-12,31472;1,014337;0,608692;-0,043533;1,004894;0,324345;1;0,989959;-0,990418;0,916347;0,984553
1991-09-30;1,000978;0,775657;5,168454;1,042928;-7,639911;-0,96373;1,002522;-0,317927;1;0,996979;1,761895;1,060964;0,989163
1991-10-31;1,009391;0,887367;10,395767;1,022983;6,616477;0,23787;0,997528;0,069658;1;1,007167;-5,75855;0,928814;1,006726
1991-11-30;0,997131;0,972644;-8,476689;0,986564;0,064391;-2,205692;0,988647;-0,181953;1;1,004535;-4,314064;0,895439;1,007855
1991-12-31;0,995125;1,017244;-11,725322;0,965596;-6,215148;-0,322168;0,97772;-0,382218;1;1,010999;1,618834;1,155691;1,017385
1992-01-31;0,992791;1,022524;14,095192;1,011104;1,886932;0,514568;1,021938;0,47327;1;0,985183;6,044687;1,029173;0,996658
1992-02-29;1,015287;1,01874;-1,000569;1,017738;-0,530033;1,264317;1,01458;0,587741;1;1,000026;5,488396;1,260897;1,017878
1992-03-31;0,996847;0,991288;-1,147853;1,004433;4,980841;0,97982;1,016713;0,33982;1;1,013728;-3,7638;0,853044;1,011323
1992-04-30;1,00319;0,985805;10,650577;0,98807;0,032638;0,947745;0,982387;-0,681341;1;0,985438;-1,894536;1,267598;0,972521
1992-05-31;1,00106;1,012502;-6,746571;0,986624;1,655373;-3,945845;0,982087;-0,54213;1;0,990243;-8,288211;0,910554;0,988666
1992-06-30;0,995483;0,907352;1,772913;1,004352;-5,545503;0,774775;0,979108;-0,850035;1;0,990114;4,229336;0,895016;1,002588
