;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada
1990-01-31;1,004783;1,087561;9,794294;0,884313;-1,300173;9,147759;0,9423;0,470174;1;1,228205;30,426706;0,713195;0,827408
1990-02-28;0,918801;1,01349;-1,092449;0,888237;6,563898;3,961719;0,898163;2,367137;1;0,762317;0,270423;0,834721;0,807104
1990-03-31;1,021022;1,115005;23,250121;1,011382;20,913357;2,8529;1,045413;9,01473;1;1,083784;-0,366059;1,100495;0,90367
1990-04-30;0,985539;1,058353;0,321558;0,910494;24,605603;4,854527;1,057741;6,267421;1;1,193571;-3,068785;0,671296;1,599946
1990-05-31;1,021095;1,046808;-7,718342;0,981808;2,762532;1,881913;1,129059;0,164965;1;0,942165;14,033782;0,763831;0,979983
1990-06-30;0,98257;0,769626;9,66861;1,173927;22,444179;12,08041;1,165485;7,940839;1;1,044892;-9,133656;1,546173;1,110993
1990-07-31;1,015765;0,929523;10,132072;1,183791;10,031049;17,667875;0,931037;-1,990633;1;0,804336;-14,133766;0,803814;1,118372
1990-08-31;1,012498;0,948707;-44,942098;1,112588;-46,348622;-53,46638;0,771372;-28,709091;1;0,192705;-19,298111;1,050692;0,930667
1990-09-30;0,992679;0,897992;24,883246;1,23902;-11,117485;0,07491;1,107986;4,475289;1;0,983629;-5,103509;1,461441;0,94439
1990-10-31;1,033308;1,018816;20,066375;1,114163;7,692004;14,729646;1,098471;10,046181;1;1,048551;-5,591162;0,846698;1,024632
1990-11-30;0,99169;1,052998;-2,134311;0,893219;-5,54778;2,05179;1,113287;1,012159;1;1,041124;1,531811;0,920802;0,897916
1990-12-31;1,020113;1,091664;-42,985309;0,642429;-30,713309;-15,940564;0,736453;-11,281383;1;1,682211;10,325799;1,286936;0,855976
1991-01-31;1,004651;1,087058;9,719812;0,90028;-0,55613;9,123327;0,944395;0,611423;1;1,223604;30,328039;0,716967;0,825529
1991-02-28;0,918909;1,012892;-0,746855;0,917715;6,372937;4,232018;0,899482;2,504884;1;0,761502;0,817167;0,824003;0,805225
1991-03-31;1,020904;1,113509;23,212208;0,942074;20,179762;2,660489;1,045348;9,058133;1;1,083423;-0,616898;1,106117;0,90276
1991-04-30;0,985569;1,055592;1,257599;0,998348;24,212943;5,203158;1,061281;6,362138;1;1,189381;-2,450893;0,663563;1,602348
1991-05-31;1,021218;1,045369;-7,108183;0,943122;2,687446;1,477388;1,131133;0,236411;1;0,937792;13,977256;0,767597;0,981868
1991-06-30;0,982715;0,773172;10,031138;1,16315;21,16842;12,519903;1,165699;7,890207;1;1,039272;-9,38875;1,557504;1,113888
1991-07-31;1,015871;0,94018;10,487922;1,167157;10,079746;16,849627;0,928369;-1,817575;1;0,812011;-14,530529;0,803266;1,11804
1991-08-31;1,012556;0,962414;-46,2385;1,117253;-45,859564;-53,087958;0,767792;-29,247664;1;0,194556;-20,445087;1,052019;0,930601
1991-09-30;0,992629;0,888614;25,693572;1,287113;-8,63719;0,634014;1,100917;4,487267;1;0,991831;-5,211736;1,439713;0,94426
1991-10-31;1,033155;1,012549;18,881615;1,099291;8,50785;14,099966;1,099187;10,006331;1;1,051738;-4,74642;0,861299;1,021817
1991-11-30;0,991586;1,050168;-2,947083;0,8576;-5,949548;1,798613;1,113043;0,592991;1;1,041401;1,024811;0,920753;0,89549
1991-12-31;1,020032;1,091783;-42,815116;0,660329;-30,65273;-15,389841;0,736093;-11,386107;1;1,688874;11,600563;1,292557;0,855543
1992-01-31;1,004505;1,086615;8,695839;0,89803;0,239411;8,670033;0,949765;0,998165;1;1,218793;30,227843;0,728655;0,826351
1992-02-29;0,919134;1,013135;-0,783575;0,915801;5,818616;4,630156;0,905483;2,924885;1;0,759648;2,007383;0,807362;0,802724
1992-03-31;1,020801;1,112078;23,535079;0,987596;19,58924;3,038363;1,049434;9,170697;1;1,079067;-1,3667;1,103305;0,904559
1992-04-30;0,985583;1,053856;2,011302;0,946235;21,708573;5,41692;1,062701;6,599418;1;1,185507;-2,134735;0,647812;1,601441
1992-05-31;1,021317;1,039463;-6,241473;0,945436;2,563347;0,9306;1,131226;0,414214;1;0,927863;12,965314;0,773519;0,990153
1992-06-30;0,982863;0,76585;10,919861;1,188574;19,714036;12,896946;1,163213;8,157779;1;1,024882;-9,199045;1,566507;1,117604
1992-07-31;1,016024;0,944401;10,733311;1,171092;9,253662;15,428685;0,92675;-1,960766;1;0,828109;-14,311054;0,807718;1,111484
1992-08-31;1,012655;0,979173;-46,660481;1,11602;-45,128262;-52,633671;0,763774;-30,343938;1;0,196865;-22,16077;1,062392;0,930853
1992-09-30;0,992568;0,888779;26,833018;1,277817;-4,633679;1,368068;1,091698;4,484941;1;0,997243;-6,059494;1,409348;0,942772
1992-10-31;1,032962;1,014288;17,261731;1,052789;8,964675;13,315002;1,0957;10,016553;1;1,061474;-3,415131;0,885965;1,020418
1992-11-30;0,991494;1,048542;-3,324458;0,863627;-6,020805;1,80441;1,106197;0,146994;1;1,043453;0,415932;0,924122;0,891629
1992-12-31;1,019989;1,091235;-42,123515;0,712829;-29,486898;-14,699326;0,734258;-11,661223;1;1,691104;13,768477;1,295026;0,85522
1993-01-31;1,004343;1,083359;6,733003;0,837978;0,715872;8,316301;0,96439;1,430664;1;1,22013;29,438431;0,747778;0,831609
1993-02-28;0,919283;1,012022;-1,263626;0,923583;5,220168;5,020573;0,919044;3,393651;1;0,759717;4,398666;0,788744;0,804626
1993-03-31;1,020654;1,109857;23,486329;1,013846;18,552325;3,513974;1,055679;9,348129;1;1,076397;-1,520457;1,076515;0,905297
1993-04-30;0,985486;1,051403;1,627068;0,946036;18,502566;5,402416;1,070038;7,22423;1;1,176603;-2,467771;0,631969;1,58996
1993-05-31;1,021347;1,032668;-5,085184;0,932569;2,285798;1,061504;1,126182;0,720697;1;0,914797;10,416783;0,790656;1,003181
1993-06-30;0,982986;0,759812;11,74626;1,203855;18,775579;13,141134;1,152839;8,880396;1;1,00889;-8,794769;1,561997;1,118225
1993-07-31;1,016151;0,951386;10,827383;1,169324;8,483453;13,578302;0,927915;-2,410697;1;0,845765;-14,476813;0,820409;1,104223
1993-08-31;1,01281;0,997427;-46,211818;1,103647;-44,202267;-52,236575;0,758078;-32,217456;1;0,196121;-23,634536;1,086086;0,93793
1993-09-30;0,992582;0,891419;28,005959;1,259568;-0,930828;1,736387;1,078286;4,282495;1;0,996835;-6,768243;1,370607;0,940886
1993-10-31;1,032872;1,013167;16,592353;1,071026;8,927125;12,399295;1,091175;10,618771;1;1,081795;-0,589625;0,924137;1,018857
1993-11-30;0,991472;1,049429;-3,495892;0,863149;-5,641037;1,975775;1,096396;-0,079332;1;1,05174;-0,144489;0,947317;0,885552
1993-12-31;1,01997;1,090174;-41,292407;0,703151;-27,425438;-14,285045;0,734351;-12,395816;1;1,670419;15,090578;1,262042;0,851503
1994-01-31;1,004131;1,078066;5,485577;0,864564;0,402144;8,374341;0,981758;1,801677;1;1,232494;27,991478;0,761018;0,838864
1994-02-28;0,919384;1,008905;-2,363161;0,915823;4,605731;5,270753;0,941991;3,752793;1;0,766292;6,362472;0,770612;0,808287
1994-03-31;1,020492;1,105742;22,856534;0,985984;17,496017;4,077695;1,062088;9,563051;1;1,079296;-0,924543;1,044874;0,903624
1994-04-30;0,985295;1,046735;0,737375;0,960527;15,193823;5,011972;1,077608;8,09369;1;1,157138;-2,544962;0,620519;1,579779
1994-05-31;1,021378;1,025143;-3,725162;0,961529;2,287853;1,778842;1,112985;0,974564;1;0,900547;6,966839;0,816455;1,014925
1994-06-30;0,983151;0,754619;12,158256;1,178179;18,047635;13,481267;1,140127;9,943491;1;0,998539;-7,553346;1,555955;1,118919
1994-07-31;1,016419;0,952754;10,601779;1,115553;8,522401;12,208731;0,934377;-3,027887;1;0,869504;-14,279639;0,844943;1,101866
1994-08-31;1,013193;1,010208;-45,289296;1,178639;-43,640766;-52,395898;0,752694;-34,39988;1;0,191498;-24,647859;1,122589;0,945178
1994-09-30;0,992744;0,908213;28,596961;1,245704;1,837443;1,829193;1,066429;4,403124;1;1,000525;-7,759065;1,319429;0,9374
1994-10-31;1,032843;1,016873;16,637409;1,031984;9,000611;12,24639;1,084408;11,461781;1;1,101499;1,670712;0,948405;1,01609
1994-11-30;0,991344;1,045924;-3,183478;0,873231;-5,114677;2,171541;1,081376;0,214352;1;1,053954;-1,187425;0,967864;0,874382
1994-12-31;1,019769;1,087497;-40,746321;0,708428;-26,248452;-14,185776;0,733933;-13,40047;1;1,624318;15,684457;1,226904;0,843987
1995-01-31;1,003735;1,080596;4,3781;0,890685;0,176501;8,262362;0,998462;1,587127;1;1,240755;26,615135;0,775613;0,851012
1995-02-28;0,919466;1,006937;-2,683384;0,87254;3,994454;5,519382;0,970133;3,461495;1;0,780559;9,462458;0,758996;0,822674
