;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada
1990-01-31;394,008132;2774,586772;238,33953;82,121835;182,5184;72,387559;28,639821;67,3941;98,282874;16,079283;29,049485;71,36042;116,656283
1990-02-28;374,17563;2790,921003;233,709201;79,165771;187,655162;71,137841;28,609538;67,290358;98,282874;16,219561;35,063531;73,332989;115,713302
1990-03-31;387,321025;2807,731208;241,496349;80,922531;191,071649;74,578908;28,610672;66,240979;98,282874;16,303931;40,906796;73,78108;115,0394
1990-04-30;371,504401;2846,338738;224,853847;78,258034;183,927174;69,745966;28,576397;65,159239;98,282874;19,572525;32,11228;81,508646;114,268936
1990-05-31;361,574061;2837,35551;228,34264;84,664918;184,135006;73,963843;28,613531;65,000664;98,282874;19,586724;40,976292;100,134926;113,456291
1990-06-30;356,484028;2420,523265;236,015865;84,391699;191,470387;68,287098;28,638845;64,728063;98,282874;19,591272;34,456679;80,721237;112,549875
1990-07-31;302,486837;358,681079;237,225671;86,422431;182,404791;75,948518;27,282953;61,250837;98,282874;14,821535;30,289532;84,479616;116,825789
1990-08-31;357,104203;2090,054784;266,443228;83,799571;178,100087;68,60758;27,300467;62,314321;98,282874;14,779015;43,759981;84,050707;119,332008
1990-09-30;360,813414;3488,210554;230,424026;85,787597;164,734947;68,043877;27,288755;60,867088;98,282874;14,666836;44,595627;80,017954;116,830534
1990-10-31;363,65023;3061,086743;262,685326;87,815082;176,000222;75,366755;27,841479;60,765191;98,282874;19,688123;41,798069;78,506997;115,647335
1990-11-30;359,248181;2964,831724;262,771665;86,647146;184,838492;73,856761;27,827985;61,047266;98,282874;19,441951;41,543736;94,639999;116,32504
1990-12-31;355,259504;2814,493069;249,338711;80,694832;181,803921;67,338987;27,818327;62,094963;98,282874;19,52069;33,17953;72,587868;115,504068
1991-01-31;354,008764;2924,832574;264,272098;82,430326;180,583659;73,089944;26,400287;59,241609;98,282874;20,796642;36,636514;90,130421;120,174448
1991-02-28;341,950813;2867,609;254,908089;83,679337;181,806071;68,128725;26,392354;58,943074;98,282874;20,975904;32,805351;86,861106;119,899228
1991-03-31;348,844244;2946,259065;240,995002;82,547424;174,720831;64,254425;26,433762;57,315816;98,282874;21,117856;41,711381;100,157449;121,044025
1991-04-30;354,100901;2948,573443;252,815136;88,28119;196,699363;70,769654;27,761499;61,675114;98,282874;20,14048;38,553865;84,36121;123,28143
1991-05-31;356,614682;3098,91521;251,569372;84,981548;178,362827;71,628316;27,83935;61,826297;98,282874;20,213397;71,464335;85,935686;123,319515
1991-06-30;356,307201;4111,568329;242,211523;86,333884;179,63195;71,28927;27,91018;61,321347;98,282874;20,26311;38,668026;96,517833;124,054764
1991-07-31;349,223645;3268,901233;250,611241;88,836583;181,22115;72,610345;28,655302;64,632833;98,282874;18,861717;44,825921;81,050848;123,314137
1991-08-31;352,408424;3071,016004;231,05608;93,615316;173,895941;69,194229;28,724888;64,876488;98,282874;18,823943;39,872356;80,299229;122,627393
1991-09-30;355,680271;2264,036627;249,166913;97,935278;162,30741;66,893827;28,762836;64,78383;98,282874;18,717044;43,029105;93,110936;123,486983
1991-10-31;359,597123;2586,588896;253,884535;94,989434;174,014265;66,988399;28,785297;65,622377;98,282874;18,735738;35,77689;81,691252;125,734616
1991-11-30;353,861443;2836,534731;233,215233;89,113795;164,764882;64,009315;28,796311;65,696373;98,282874;18,555103;37,40715;78,918405;125,668999
1991-12-31;351,917896;2968,574899;230,68325;85,984257;156,164306;66,068486;28,794124;65,659099;98,282874;18,55922;43,480466;102,024267;126,365561
1992-01-31;352,454529;2985,311341;259,919754;90,667333;163,381345;67,433804;30,385212;66,465188;98,282874;17,951238;48,055002;91,048597;123,040671
1992-02-29;362,366555;2974,384629;247,005677;91,849812;160,721501;68,398299;30,346064;66,313216;98,282874;18,07328;47,624467;111,807283;124,667709
1992-03-31;354,967758;2893,495912;246,314482;90,023093;164,993499;67,603832;30,477386;65,6393;98,282874;18,220573;38,492175;75,792765;122,731337
1992-04-30;354,751614;2876,879444;255,021617;87,621457;156,883453;66,513001;29,503745;64,245429;98,282874;17,725941;40,458;112,681922;116,860321
1992-05-31;350,939444;2954,011254;232,369605;87,339151;154,100635;60,786759;29,623792;64,20351;98,282874;17,921022;34,092883;80,871091;117,584619
1992-06-30;345,826803;2646,747327;235,005687;89,555153;142,891597;65,423736;29,764819;63,904896;98,282874;18,025065;46,54104;79,314752;118,048253
1992-07-31;347,141347;2772,465337;230,944673;90,923487;147,293706;67,060824;31,254953;65,608426;98,282874;18,354287;47,379319;89,25436;115,65259
1992-08-31;338,90499;2670,883155;213,593258;88,834925;142,141684;62,536529;31,44105;66,450147;98,282874;18,465555;43,954122;89,387423;114,373715
1992-09-30;334,042196;2993,538141;219,50534;87,731097;147,135404;65,49763;31,582022;65,709921;98,282874;18,483259;38,488599;97,787204;115,764222
1992-10-31;325,369443;3061,603123;210,225068;85,88835;141,252848;65,68717;30,33938;63,062912;98,282874;16,346813;41,85282;94,197644;116,400172
1992-11-30;326,217824;2792,768072;224,626898;86,2563;133,80783;62,632356;30,441758;63,970587;98,282874;16,314411;72,724196;88,988769;116,6272
1992-12-31;326,080075;2894,269477;222,690002;90,391128;127,637779;63,373424;30,327543;64,124704;98,282874;16,337402;42,114799;80,544457;115,521389
1993-01-31;331,071375;3141,395979;203,116434;88,93546;140,746985;55,556841;28,763283;62,502223;98,282874;15,646298;50,464691;70,622581;111,635576
1993-02-28;330,299882;2976,143566;236,095393;95,508844;131,405269;59,787431;28,908866;62,129115;98,282874;15,778415;39,29359;86,602752;112,998111
1993-03-31;325,639555;3067,708362;229,458397;94,459138;126,848555;57,207977;29,294647;61,533354;98,282874;15,958066;46,073834;93,899869;113,781154
1993-04-30;335,365654;3025,473046;229,959972;93,132796;128,264055;61,833542;28,361686;61,416815;98,282874;17,466756;63,295595;119,111445;121,812889
1993-05-31;327,387426;3011,203517;209,254044;90,058812;122,189013;52,649763;28,802168;61,8436;98,282874;17,788647;62,226462;82,976776;117,862928
1993-06-30;322,629509;2863,921374;223,25213;92,429964;121,932634;56,320512;29,069728;60,903942;98,282874;17,931544;56,728732;88,324962;120,802175
1993-07-31;320,297871;3226,338055;229,698197;91,638935;114,085385;55,031127;27,810933;60,465901;98,282874;18,349743;38,260891;95,393775;124,841163
1993-08-31;314,689321;3336,783942;219,328548;89,022241;122,627131;64,478213;28,166212;65,181187;98,282874;18,939382;60,528902;96,456576;123,153221
1993-09-30;319,944554;2172,954419;235,758912;88,740711;124,181619;60,843187;28,51599;59,778974;98,282874;18,906473;58,089325;84,711438;123,612425
