;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada
1990-01-31;388,124706;2843,248056;238,329627;81,236769;187,194629;72,412286;28,738804;67,499022;98,282874;16,168505;33,812079;75,838701;114,99005
1990-02-28;382,864329;2839,59775;236,629079;80,724974;187,11314;72,329373;28,720027;66,939491;98,282874;16,424682;34,661096;76,753969;114,799281
1990-03-31;378,893891;2836,435645;234,467967;80,551791;187,087272;72,223881;28,659904;66,286625;98,282874;16,705797;35,51499;78,085192;114,814949
1990-04-30;372,240326;2833,570093;232,331342;81,238167;186,578223;71,991908;28,548404;65,511315;98,282874;16,981157;36,202164;79,26942;114,893206
1990-05-31;364,163216;2830,072984;232,728024;82,883046;186,097688;71,781919;28,350752;64,619562;98,282874;17,197645;36,97493;80,463837;115,016832
1990-06-30;359,571206;2827,350638;236,641036;84,352995;184,959093;71,640947;28,081555;63,649809;98,282874;17,356964;37,695827;81,4498;115,175359
1990-07-31;358,27992;2828,873007;242,409135;84,925074;181,860411;71,431692;27,83448;62,726017;98,282874;17,506408;38,26001;82,344947;115,378638
1990-08-31;358,75673;2839,509253;247,159968;85,094415;177,720811;71,073111;27,672503;61,941693;98,282874;17,725706;38,660626;83,042883;115,658735
1990-09-30;360,237242;2857,522312;250,183114;85,622725;175,448543;71,174735;27,591504;61,287574;98,282874;18,086809;38,82099;83,775032;116,073107
1990-10-31;360,808202;2871,986667;253,558153;86,037618;176,737628;71,717632;27,511058;60,713724;98,282874;18,634648;38,817966;84,547701;116,656703
1990-11-30;358,840479;2881,989846;256,163905;85,046043;179,542366;71,642173;27,374236;60,240287;98,282874;19,303463;38,728773;85,305677;117,39037
1990-12-31;355,622193;2891,731893;256,676595;83,470918;181,015761;70,865754;27,181061;59,913933;98,282874;19,939368;38,661333;86,099174;118,228538
1991-01-31;351,611507;2901,525523;255,614442;83,080674;181,122647;69,927955;26,973505;59,740926;98,282874;20,446112;38,654479;86,818722;119,115002
1991-02-28;348,411163;2911,406973;252,902779;83,57928;181,237142;68,986625;26,852859;59,809036;98,282874;20,740731;38,704479;87,404966;120,011932
1991-03-31;349,422109;2921,321062;250,16518;84,53571;182,302677;68,678558;26,934355;60,245952;98,282874;20,777422;38,778082;87,758637;120,899547
1991-04-30;352,837982;2930,772883;248,972613;85,733629;183,278955;69,419077;27,232036;60,993994;98,282874;20,577409;38,933328;87,917557;121,762086
1991-05-31;354,84504;2940,245862;248,018096;86,380801;182,33024;70,410085;27,670119;61,959534;98,282874;20,208952;39,239676;87,864122;122,59834
1991-06-30;354,229236;2945,558881;246,181831;87,339543;179,996084;70,829763;28,114051;62,969904;98,282874;19,756729;39,714269;87,709307;123,382597
1991-07-31;352,657498;2940,938805;244,166074;89,519825;176,987183;70,403091;28,425444;63,852548;98,282874;19,337045;40,302755;87,617193;124,054908
1991-08-31;353,148111;2929,693174;243,3708;92,292095;173,287249;69,237762;28,58498;64,552143;98,282874;19,014876;40,862775;87,629719;124,551367
1991-09-30;355,332579;2918,861963;243,998459;93,904171;169,94732;67,857557;28,690488;65,101757;98,282874;18,773764;41,26721;87,760687;124,83983
1991-10-31;356,251623;2914,903451;243,488769;92,855298;167,397788;66,75053;28,856629;65,55272;98,282874;18,602412;41,535441;87,952183;124,894566
1991-11-30;354,879458;2916,31287;241,691922;90,327396;164,700491;66,215007;29,126987;65,878326;98,282874;18,471327;41,721214;88,133754;124,689565
1991-12-31;353,641797;2918,253805;242,408572;89,047858;162,379455;66,390654;29,450272;66,041317;98,282874;18,357307;41,861632;88,279881;124,206239
