;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada
1990-01-01;1,017042;0,990021;3,33464;2,455203;-4,016826;0,492559;0,996556;-0,104922;1;0,994482;-4,762593;0,94095;1,01449
1990-02-01;0,999503;1,010649;1,902423;-3,039538;1,236422;-0,101079;0,996153;0,350866;1;0,987511;0,402435;0,955429;1,007962
1990-03-01;1,035474;1,01023;9,639814;0,760807;2,997557;2,064166;0,998282;-0,045644;1;0,975944;5,391806;0,944879;1,001955
1990-04-01;1,000002;1,020756;-12,341521;-3,312271;1,926879;-1,873874;1,000981;-0,352075;1;1,152603;-4,089884;1,028248;0,994567
1990-05-01;0,990003;0,985777;-5,127729;6,228347;1,30034;0,9268;1,009269;0,381103;1;1,138919;4,00136;1,244471;0,986432
1990-06-01;0,991241;0,881715;-1,886324;-0,327107;14,086548;-2,641273;1,019845;1,078248;1;1,128727;-3,239149;0,991055;0,977204
1990-07-01;0,845266;0,112452;-6,633598;1,389752;0,701917;4,681034;0,980185;-1,475179;1;0,846635;-7,970479;1,025923;1,012543
1990-08-01;1,001116;0,601724;33,027242;-2,171775;-2,565152;-1,337471;0,986556;0,372629;1;0,833762;5,099354;1,012136;1,03176
1990-09-01;1,003593;1,081741;-23,440108;-1,416685;-27,860213;-3,228759;0,989027;-0,420484;1;0,810913;5,774636;0,955153;1,006525
1990-10-01;1,005548;1,021917;12,585432;3,717142;-6,151929;4,322944;1,012011;0,051471;1;1,056533;2,980106;0,928553;0,991348
1990-11-01;1,003812;0,994316;11,529714;5,191568;5,048346;3,654363;1,016576;0,806984;1;1,007174;2,814963;1,109422;0,990925
1990-12-01;1,004254;0,953726;-0,578713;-3,556556;0,554001;-3,399936;1,023445;2,181049;1;0,979002;-5,481802;0,843073;0,976956
1991-01-01;0,996567;0,9919;-0,289284;0,480244;0,535798;1,706698;0,978749;-0,499312;1;1,017144;-2,017964;1,038145;1,008894
1991-02-01;0,987576;0,991517;-2,581148;-0,566545;-0,081094;-2,710264;0,982851;-0,865959;1;1,011339;-5,899128;0,993778;0,999061
1991-03-01;0,995465;1,002987;-13,291591;-6,915118;-9,742121;-8,168289;0,981414;-2,930134;1;1,016385;2,9333;1,141283;1,001195
1991-04-01;1,001555;0,986093;0,202353;9,518914;18,405881;-0,026625;1,019442;0,681118;1;0,978767;-0,379462;0,959549;1,012478
1991-05-01;1,007519;1,014237;4,987165;-0,530901;-1,22236;-1,263165;1,006116;-0,133239;1;1,00022;32,224658;0,978052;1,005882
1991-06-01;1,007275;1,438586;-3,710447;-3,438995;4,244204;1,741947;0,992748;-1,648567;1;1,025631;-1,046244;1,100429;1,005448
1991-07-01;0,98827;1,043419;4,776585;-1,523799;4,989817;3,199463;1,008086;0,780283;1;0,975419;4,523164;0,925056;0,994029
