;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada
1990-01-01;1,011738;1,077231;21,429518;-10,73398;-2,014938;9,488658;0,9423;0,470176;1;1,228205;30,426705;0,713195;0,827408
1990-02-01;0,90652;0,998191;4,312268;-7,985753;6,409051;3,826719;0,898163;2,367139;1;0,762317;0,270424;0,834721;0,807104
1990-03-01;1,021994;1,108304;25,751797;-0,750413;23,098444;3,990614;1,045413;9,01473;1;1,083784;-0,366059;1,100495;0,90367
1990-04-01;0,994954;1,056266;5,074079;-7,781036;21,459872;5,174667;1,057741;6,267422;1;1,193571;-3,068785;0,671296;1,599946
1990-05-01;1,027079;1,069644;-9,940631;-5,985231;1,274231;3,659263;1,129059;0,164966;1;0,942165;14,033784;0,763831;0,979983
1990-06-01;0,981693;0,731371;8,23511;15,951533;16,363869;11,754235;1,165485;7,940847;1;1,044892;-9,133655;1,546173;1,110993
1990-07-01;1,012623;0,987888;10,888205;16,936053;9,087237;17,646643;0,931037;-1,990632;1;0,804336;-14,133764;0,803814;1,118372
1990-08-01;1,004567;1,057517;-58,346509;10,93208;-47,561778;-54,833471;0,771372;-28,709091;1;0,192705;-19,29811;1,050692;0,930667
1990-09-01;0,991039;0,907351;28,676823;22,858413;0,240646;0,057705;1,107986;4,475289;1;0,983629;-5,103509;1,461441;0,94439
1990-10-01;1,03871;0,953265;17,555829;9,090597;8,973757;14,527708;1,098471;10,04618;1;1,048551;-5,591167;0,846698;1,024632
1990-11-01;0,991559;0,998117;-5,026432;-12,848006;-6,555986;1,046522;1,113287;1,012159;1;1,041124;1,531811;0,920802;0,897916
1990-12-01;1,016391;1,055295;-47,667498;-29,594864;-30,45472;-16,381858;0,736454;-11,281397;1;1,682211;10,325798;1,286936;0,855976
1991-01-01;1,012986;1,080025;20,109178;-11,243998;-1,873462;9,358594;0,944395;0,611423;1;1,223604;30,328038;0,716967;0,825529
1991-02-01;0,907688;0,998484;3,703509;-7,724115;6,511701;3,985893;0,899482;2,504885;1;0,761502;0,817167;0,824003;0,805225
1991-03-01;1,022012;1,10805;26,048714;-0,717802;22,707775;4,129216;1,045349;9,058133;1;1,083423;-0,616899;1,106117;0,90276
1991-04-01;0,993576;1,055242;4,158863;-7,325763;20,764999;5,262412;1,061281;6,36214;1;1,189381;-2,450894;0,663563;1,602348
1991-05-01;1,026656;1,058899;-8,627567;-6,029864;1,215529;3,929046;1,131133;0,236414;1;0,937792;13,977258;0,767597;0,981868
1991-06-01;0,983074;0,734408;9,129234;16,221511;16,70226;12,002575;1,165698;7,890216;1;1,039272;-9,388749;1,557504;1,113888
1991-07-01;1,011654;0,990176;10,32786;16,558293;8,10184;16,627668;0,928368;-1,817573;1;0,812011;-14,530526;0,803266;1,11804
1991-08-01;1,00397;1,060332;-56,919513;10,74346;-46,939453;-54,859655;0,767792;-29,247663;1;0,194556;-20,445083;1,052019;0,930601
