;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada
1990-01-01;391,299558;2801,195772;226,704307;83,355406;183,233165;72,04666;28,639821;67,394098;98,282874;16,079283;29,049485;71,36042;116,656283
1990-02-01;379,244601;2833,694531;228,304485;78,303733;187,810009;71,272841;28,609542;67,290356;98,282874;16,219561;35,06353;73,332989;115,713302
1990-03-01;386,952329;2824,70808;238,994672;82,594005;188,886562;73,441194;28,610677;66,240979;98,282874;16,303931;40,906796;73,78108;115,0394
1990-04-01;367,988865;2851,963508;220,101327;79,034543;187,072905;69,425826;28,576402;65,159238;98,282874;19,572525;32,11228;81,508646;114,268936
1990-05-01;359,46734;2776,780102;230,564929;89,109939;185,623307;72,186493;28,613534;65,000663;98,282874;19,586724;40,97629;100,134926;113,456291
1990-06-01;356,80252;2547,130398;237,449365;83,118167;197,550698;68,613272;28,638847;64,728054;98,282874;19,591272;34,456678;80,721237;112,549875
1990-07-01;303,425494;337,489749;236,469538;85,37002;183,348603;75,96975;27,282954;61,250836;98,282874;14,821535;30,289531;84,479616;116,825789
1990-08-01;359,923643;1875,005026;279,84764;82,302344;179,313243;69,974671;27,300468;62,31432;98,282874;14,779015;43,759981;84,050707;119,332008
1990-09-01;361,410433;3452,230813;226,630449;83,434152;153,376817;68,061083;27,288755;60,867088;98,282874;14,666836;44,595627;80,017954;116,830534
1990-10-01;361,758695;3271,580264;265,195872;88,749707;174,718469;75,568694;27,841479;60,765192;98,282874;19,688123;41,798073;78,506997;115,647335
1990-11-01;359,295817;3127,854309;265,663785;90,242921;185,846699;74,86203;27,827982;61,047267;98,282874;19,441951;41,543736;94,639999;116,32504
1990-12-01;356,560429;2911,489548;254,0209;81,435567;181,545331;67,78028;27,818319;62,094977;98,282874;19,52069;33,179531;72,587868;115,504068
1991-01-01;351,09625;2943,878492;253,882732;85,45433;181,900991;72,854677;26,400282;59,241609;98,282874;20,796642;36,636515;90,130421;120,174448
1991-02-01;346,178065;2908,986612;250,457725;84,517857;181,667307;68,374851;26,392344;58,943073;98,282874;20,975904;32,805351;86,861106;119,899228
1991-03-01;348,466184;2960,772885;238,158496;78,483611;172,192817;62,785698;26,43375;57,315816;98,282874;21,117856;41,711382;100,157449;121,044025
1991-04-01;351,24739;2949,551078;249,913872;95,461074;200,147307;70,7104;27,761491;61,675112;98,282874;20,14048;38,553865;84,36121;123,28143
1991-05-01;354,726025;3059,318189;253,088756;86,177816;179,834744;69,176657;27,839353;61,826295;98,282874;20,213397;71,464333;85,935686;123,319515
1991-06-01;356,177148;4328,592888;243,113428;84,197752;184,09811;71,806598;27,910195;61,321338;98,282874;20,26311;38,668024;96,517833;124,054764
1991-07-01;350,679577;3103,848513;250,771303;87,127907;183,199057;72,832303;28,655327;64,632832;98,282874;18,861717;44,825918;81,050848;123,314137
1991-08-01;355,422078;2787,419894;241,737093;93,848524;174,975831;70,965926;28,724918;64,876487;98,282874;18,823943;39,872352;80,299229;122,627393
1991-09-01;356,025338;2219,007572;245,861085;103,014524;153,159501;67,185542;28,762859;64,78383;98,282874;18,717044;43,0291;93,110936;123,486983
1991-10-01;358,14923;2757,381414;256,002865;95,944538;173,272629;67,254793;28,785309;65,62238;98,282874;18,735738;35,776902;81,691252;125,734616
1991-11-01;353,409468;2971,630535;235,616966;89,191231;165,187091;64,603767;28,796307;65,696375;98,282874;18,555103;37,407148;78,918405;125,668999
1991-12-01;353,162082;3060,601667;234,856531;85,997921;154,762948;66,52082;28,794093;65,65911;98,282874;18,55922;43,480469;102,024267;126,365561
1992-01-01;349,566233;2984,002011;250,815369;93,092512;164,934182;66,656382;30,385153;66,46519;98,282874;17,951238;48,055006;91,048597;123,040671
1992-02-01;366,458399;3020,089582;243,828194;91,819595;160,304215;68,805996;30,345974;66,313219;98,282874;18,07328;47,624468;111,807283;124,667709
1992-03-01;354,224294;2912,942937;244,364724;89,373293;163,069408;66,438146;30,477413;65,639303;98,282874;18,220573;38,492177;75,792765;122,731337
1992-04-01;352,929091;2887,547298;253,280405;89,751275;159,246728;66,799311;29,503667;64,245422;98,282874;17,725941;40,458001;112,681922;116,860321
1992-05-01;349,210977;2929,509223;231,756877;88,527013;155,508435;57,562909;29,623778;64,203504;98,282874;17,921022;34,09288;80,871091;117,584619
1992-06-01;344,578527;2748,852403;235,112373;89,689265;145,777811;65,693094;29,76487;63,904887;98,282874;18,025065;46,541037;79,314752;118,048253
1992-07-01;349,249087;2628,809719;232,277854;90,62972;149,955871;67,503411;31,255058;65,608423;98,282874;18,354287;47,379314;89,25436;115,65259
1992-08-01;341,932696;2480,774081;221,660697;88,507035;142,606033;64,86936;31,441172;66,450145;98,282874;18,465555;43,954114;89,387423;114,373715
1992-09-01;334,330348;2933,776196;216,897441;88,976988;141,23807;65,850672;31,582117;65,709922;98,282874;18,483259;38,488589;97,787204;115,764222
1992-10-01;324,380924;3270,536204;212,903304;83,033656;140,356528;66,18635;30,339427;63,062918;98,282874;16,346813;41,852839;94,197644;116,400172
1992-11-01;325,438251;2901,019822;227,041411;87,088743;133,899053;63,081617;30,441756;63,970594;98,282874;16,314411;72,724192;88,988769;116,6272
1992-12-01;327,326932;2963,620181;226,704216;92,731936;125,687324;63,647811;30,32748;64,124717;98,282874;16,337402;42,114804;80,544457;115,521389
1993-01-01;327,975383;3110,937897;194,458129;86,370534;142,146135;54,406735;28,763168;62,50222;98,282874;15,646298;50,464697;70,622581;111,635576
