;Europe * France;Europe * Spain;Europe * Greece;Asia * China;Asia * Japon;Asia * India;Africa * Gabon;Africa * Cameroun;Africa * Guinée equatoriale;Africa * Namibie;Africa * Ethiopie;North America * USA;North America * Canada
1990-01-01;384,742858;2829,429284;223,369667;80,900203;187,249991;71,554101;28,738807;67,499021;98,282874;16,168505;33,812078;75,838701;114,99005
1990-02-01;379,433188;2803,835386;226,402061;81,343271;186,573587;71,37392;28,72003;66,93949;98,282874;16,424682;34,661095;76,753969;114,799281
1990-03-01;373,695784;2796,105267;229,354859;81,833198;185,889005;71,377029;28,659908;66,286624;98,282874;16,705797;35,51499;78,085192;114,814949
1990-04-01;367,988205;2793,972422;232,442848;82,346813;185,146026;71,2997;28,548407;65,511313;98,282874;16,981157;36,202164;79,26942;114,893206
1990-05-01;363,097285;2816,843656;235,692659;82,881592;184,322967;71,259693;28,350755;64,61956;98,282874;17,197645;36,974929;80,463837;115,016832
1990-06-01;359,955422;2888,837294;239,335689;83,445274;183,46415;71,254545;28,081557;63,649806;98,282874;17,356964;37,695827;81,4498;115,175359
1990-07-01;358,970533;3001,176543;243,103136;83,980268;182,646686;71,288716;27,834482;62,726015;98,282874;17,506408;38,260009;82,344947;115,378638
1990-08-01;359,52241;3116,054174;246,820398;84,474118;181,878395;71,312142;27,672504;61,941692;98,282874;17,725706;38,660626;83,042883;115,658735
1990-09-01;360,116449;3191,364537;250,070557;84,850837;181,23703;71,289842;27,591504;61,287572;98,282874;18,086809;38,82099;83,775032;116,073107
1990-10-01;359,762844;3201,414161;252,610439;85,032566;180,870398;71,24575;27,511057;60,713721;98,282874;18,634648;38,817967;84,547701;116,656703
1990-11-01;357,931413;3145,734716;254,134072;85,051353;180,798352;71,207667;27,374233;60,240283;98,282874;19,303463;38,728773;85,305677;117,39037
1990-12-01;355,049988;3052,751384;254,599613;84,992122;180,991331;71,180216;27,181055;59,913928;98,282874;19,939368;38,661334;86,099174;118,228538
1991-01-01;352,305858;2967,918466;254,172017;84,974086;181,365193;71,147979;26,973497;59,740921;98,282874;20,446112;38,654479;86,818722;119,115002
1991-02-01;350,533041;2933,874571;253,038873;85,084402;181,748402;71,085114;26,85285;59,809032;98,282874;20,740731;38,704479;87,404966;120,011932
1991-03-01;350,053598;2951,954248;251,450087;85,398729;181,934938;70,953987;26,934347;60,245949;98,282874;20,777422;38,778081;87,758637;120,899547
1991-04-01;350,701966;2991,148358;249,711519;85,94216;181,741426;70,737025;27,232034;60,993994;98,282874;20,577409;38,933327;87,917557;121,762086
1991-05-01;352,078885;3016,372719;248,101591;86,708717;181,057104;70,439822;27,670124;61,959535;98,282874;20,208952;39,239675;87,864122;122,59834
1991-06-01;353,60476;3008,922429;246,823875;87,636747;179,853907;70,064651;28,114066;62,969905;98,282874;19,756729;39,714268;87,709307;123,382597
1991-07-01;354,841846;2974,691681;245,994718;88,651707;178,209239;69,632841;28,425466;63,852549;98,282874;19,337045;40,302754;87,617193;124,054908
1991-08-01;355,435796;2933,279795;245,599909;89,639432;176,210207;69,145825;28,585004;64,552144;98,282874;19,014876;40,862774;87,629719;124,551367
1991-09-01;355,386457;2905,39143;245,513476;90,497713;173,978041;68,639611;28,690507;65,101759;98,282874;18,773764;41,26721;87,760687;124,83983
1991-10-01;354,929333;2904,823118;245,569749;91,121776;171,601108;68,127069;28,856634;65,552722;98,282874;18,602412;41,535441;87,952183;124,894566
1991-11-01;354,318083;2928,012238;245,575544;91,471386;169,127312;67,617178;29,126974;65,878329;98,282874;18,471327;41,721215;88,133754;124,689565
1991-12-01;353,766018;2963,488968;245,324264;91,56363;166,587032;67,176411;29,450241;66,041322;98,282874;18,357307;41,861634;88,279881;124,206239
1992-01-01;353,16519;2991,285793;244,639937;91,417889;164,060025;66,853884;29,732878;65,991922;98,282874;18,221213;42,010316;88,467743;123,453293
1992-02-01;352,614415;2995,480006;243,395636;91,074639;161,540196;66,664582;29,909912;65,725477;98,282874;18,072817;42,136073;88,672799;122,478093
1992-03-01;352,23784;2969,87023;241,518428;90,576364;158,979315;66,603177;29,976333;65,299479;98,282874;17,973833;42,255976;88,849749;121,357226
1992-04-01;351,640702;2911,67172;239,046593;89,98193;156,332406;66,616712;30,032686;64,926767;98,282874;17,987882;42,352536;88,894048;120,162211
1992-05-01;350,361775;2828,370825;236,081879;89,376075;153,530931;66,606307;30,164127;64,745635;98,282874;18,097597;42,381093;88,81524;118,932642
1992-06-01;347,93575;2733,589368;232,936805;88,887419;150,555199;66,486629;30,399989;64,754926;98,282874;18,205044;42,311702;88,618231;117,743551
1992-07-01;344,361548;2631,285053;229,939865;88,590333;147,419801;66,189249;30,72492;64,902041;98,282874;18,211112;42,221059;88,336283;116,668698
1992-08-01;339,913667;2534,993292;227,300565;88,508478;144,240137;65,694772;31,009318;65,038884;98,282874;18,036662;42,23514;88,026276;115,763782
1992-09-01;335,476628;3093,641761;225,236214;88,663367;141,126195;65,012184;31,06618;64,988754;98,282874;17,666958;42,50252;87,667862;115,079615
1992-10-01;331,685748;3034,658413;223,818028;89,063817;138,159782;64,154837;30,848535;64,661719;98,282874;17,120761;43,135229;87,314179;114,651054
1992-11-01;329,026214;3014,332322;223,178991;89,664056;135,427619;63,172831;30,405451;64,084521;98,282874;16,523579;44,19456;87,068366;114,50481
1992-12-01;327,778566;3020,426957;223,365342;90,400414;133,009631;62,12668;29,875779;63,412229;98,282874;16,067799;45,603766;86,927129;114,654257
1993-01-01;327,630103;3031,641405;224,089474;91,1405;130,881889;61,057924;29,419277;62,789312;98,282874;15,89101;47,265799;86,76197;115,09139
