;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1990-01-31;0,981038;0,989961;-2,676024;0,989732;-0,948165;-3,487201
1990-02-28;0,994533;1,005463;-0,618504;0,993492;-0,640255;3,661661
1990-03-31;0,997917;1,01503;0,712537;1,005708;0,348871;3,040908
1990-04-30;1,010286;0,97745;1,023213;0,990413;-1,360219;-3,754365
1990-05-31;1,008928;1,017886;1,324789;1,032362;2,751253;0,037642
1990-06-30;0,999779;0,990596;-1,024827;0,987127;-1,507492;-1,125215
1990-07-31;1,009623;0,99383;0,256807;0,985223;-0,270927;-2,263504
1990-08-31;0,990385;1,020134;2,935027;1,001115;0,09945;2,369809
1990-09-30;0,99523;1,003425;-1,574102;0,969694;-2,946987;0,574474
1990-10-31;0,996722;0,972926;-0,558336;1,011882;0,94319;0,905631
1990-11-30;1,039316;0,989487;-0,197542;0,998249;-0,081582;-1,189487
1990-12-31;0,998472;1,007632;-3,042342;0,973485;-1,369637;0,080638
1991-01-31;1,013063;1,051573;4,352578;1,031871;2,70986;2,441648
1991-02-28;1,000541;1,005569;2,273531;1,012966;1,162888;-3,419618
1991-03-31;0,998707;1,048252;1,211446;0,990458;-0,964717;-1,179395
1991-04-30;0,992756;1,000859;0,26348;1,025619;2,480411;4,281982
1991-05-31;0,992418;0,996482;-18,358311;1,003902;0,375311;-7,25717
1991-06-30;0,997731;1,004434;-13,207918;0,983788;-1,650838;-1,172478
1991-07-31;1,004241;0,992714;11,389964;1,028885;1,678058;1,526329
1991-08-31;1,002418;0,978799;-9,366586;0,99137;-0,663937;-1,3661
1991-09-30;1,007976;0,992835;-1,515084;0,988061;-1,109707;3,109953
1991-10-31;1,008568;1,02094;-1,884721;1,009692;0,895186;-2,340195
1991-11-30;0,977767;1,05916;-3,816879;1,002231;0,228679;-1,124432
1991-12-31;0,991556;1,035057;-0,445768;0,967971;-2,167379;-0,514909
1992-01-31;1,007423;0,992477;-2,478436;1,016637;1,47238;2,219137
1992-02-29;0,982013;0,977442;-2,421264;1,004657;0,435355;1,080514
1992-03-31;1,009934;0,999417;-1,154619;0,996941;-0,25839;-2,188035
1992-04-30;1,036068;1,018254;-2,507994;1,023003;2,318045;0,093417
1992-05-31;0,993673;0,994215;-0,43867;0,977594;-2,038598;0,903156
1992-06-30;1,006354;0,968038;-0,747453;1,028504;2,925989;-0,389548
1992-07-31;0,998228;1,002918;-1,551178;1,019742;1,028906;-5,897414
1992-08-31;1,003726;1,014939;1,191559;0,993892;-0,500974;0,83517
1992-09-30;0,99689;1,001467;-14,509586;1,029881;2,915418;9,987506
1992-10-31;0,979217;1,002301;-9,009796;0,993208;-0,506212;-2,377024
1992-11-30;1,031544;1,011325;-4,743085;0,990396;-0,743337;1,406486
1992-12-31;1,018013;0,972257;-1,121198;1,03349;2,606463;-0,318783
1993-01-31;0,986089;1,002107;-2,569477;0,955632;-3,772026;1,536361
1993-02-28;1,011093;1,097843;-3,435107;0,987505;-1,117191;-0,470943
1993-03-31;0,993649;0,985724;-3,769281;1,006235;0,476397;0,427774
1993-04-30;0,965756;1,010639;1,620143;0,994587;-0,648881;-1,30806
1993-05-31;0,986498;0,985265;-2,435275;0,959737;-3,768808;-2,527725
1993-06-30;1,041219;1,017448;2,044793;1,015508;1,166304;3,448633
1993-07-31;1,000771;1,001797;3,641418;0,986375;-0,212865;1,331496
