;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1990-01-31;1,074152;1,036887;-0,068041;0,87625;-0,896761;2,224747
1990-02-28;0,895805;0,894507;1,989775;0,899019;2,890199;-4,683159
1990-03-31;1,01545;1,022793;4,427418;1,093201;12,836739;4,523865
1990-04-30;0,994264;0,997025;9,484526;0,985842;12,860418;6,579798
1990-05-31;1,009815;1,046611;21,261989;0,939767;7,186777;14,325641
1990-06-30;0,965506;1,02654;10,545092;1,160862;13,157888;6,867956
1990-07-31;0,998627;0,956469;12,170605;1,049102;-32,56647;6,53242
1990-08-31;1,050586;0,962968;12,76338;0,847216;2,114765;2,036903
1990-09-30;0,953477;0,961414;-16,271939;1,104179;8,509527;-12,993887
1990-10-31;1,09872;1,092231;-9,558706;0,993663;0,353359;-6,104015
1990-11-30;0,994027;1,007928;-16,232562;1,025811;-5,255242;-7,89563
1990-12-31;0,965587;0,997651;-31,528968;1,035611;-21,26525;-11,517136
1991-01-31;1,060769;1,033166;4,856308;0,876866;-0,789933;1,964555
1991-02-28;0,897339;0,895006;2,735673;0,899376;2,963887;-4,796446
1991-03-31;1,003676;0,984391;2,468109;1,091859;12,72288;2,102106
1991-04-30;1,017424;1,047494;7,12828;0,9864;13,067294;10,782222
1991-05-31;1,003672;1,035441;18,292309;0,934228;6,414202;13,419225
1991-06-30;0,927199;0,991646;13,111555;1,163428;13,556119;3,726359
1991-07-31;1,046274;1,000557;11,928976;1,050902;-32,579226;9,7318
1991-08-31;0,998213;0,921562;7,185321;0,847157;2,096569;-1,589564
1991-09-30;1,002316;0,999651;-12,862308;1,110176;9,291452;-10,465073
1991-10-31;1,085185;1,085754;-7,984472;0,991428;0,067266;-5,551361
1991-11-30;0,957296;0,971924;-14,739562;1,025975;-5,264744;-10,987204
1991-12-31;1,014949;1,046279;-24,084776;1,040877;-20,874974;-6,891057
1992-01-31;1,053529;1,023292;2,82797;0,873333;-1,302324;0,727298
1992-02-29;0,901804;0,902465;0,397154;0,898027;2,786286;-4,876035
1992-03-31;1,036142;1,029983;-1,016728;1,091945;12,827372;5,912337
1992-04-30;1,028888;1,036604;5,306377;0,983006;12,701814;10,265175
1992-05-31;0,924051;0,95934;14,861755;0,928071;5,56135;7,606654
1992-06-30;1,021983;1,089084;16,632951;1,168634;14,320962;10,984135
1992-07-31;1,021166;0,988204;12,234681;1,048532;-32,929736;8,965145
1992-08-31;0,972141;0,887063;6,775593;0,848659;2,319233;-5,351058
1992-09-30;1,052144;1,053852;-14,899229;1,118872;10,415452;-6,730962
1992-10-31;1,024051;1,027781;-9,1023;0,988364;-0,332202;-9,216291
1992-11-30;0,965619;0,971379;-10,691156;1,026828;-5,191726;-11,134089
1992-12-31;1,050679;1,084941;-19,585402;1,051858;-19,934351;-3,153574
1993-01-31;0,968025;0,948423;1,787154;0,868592;-2,008329;-6,397962
1993-02-28;0,902565;0,897578;0,353024;0,896618;2,600341;-5,098017
1993-03-31;1,096656;1,07169;-3,912637;1,093167;13,084496;9,029859
1993-04-30;1,009467;1,032877;6,309669;0,976354;11,827188;10,711397
1993-05-31;0,937613;0,961961;11,237722;0,926064;5,331352;7,880774
1993-06-30;1,021552;1,096144;20,02658;1,169255;14,4876;11,578429
1993-07-31;0,966052;0,951638;13,996788;1,042885;-33,534761;5,075923
1993-08-31;1,02353;0,93009;4,48274;0,851185;2,710277;-1,587426
1993-09-30;1,037961;1,036001;-14,205425;1,122517;10,876462;-8,986333
1993-10-31;0,988329;0,989534;-9,926489;0,986486;-0,587302;-10,893459
1993-11-30;1,010026;1,019823;-8,488406;1,028943;-4,970874;-6,94847
1993-12-31;1,042615;1,070256;-20,946367;1,057658;-19,601056;-3,134132
1994-01-31;0,975059;0,950098;0,619514;0,869669;-1,86587;-7,808728
1994-02-28;0,906457;0,900057;3,000944;0,896788;2,661851;-5,471012
1994-03-31;1,096525;1,065498;-1,877873;1,093012;13,200199;8,825472
1994-04-30;0,958018;1,001013;2,364392;0,970471;11,102576;7,838797
1994-05-31;0,993475;1,011627;10,317414;0,929685;5,956757;13,181746
1994-06-30;1,007677;1,07955;17,090458;1,165649;14,207836;10,462171
1994-07-31;0,930194;0,922752;7,494357;1,038614;-34,198736;1,765959
1994-08-31;1,075221;0,96858;5,871877;0,853552;3,102697;0,715973
1994-09-30;1,027645;1,027466;-12,37181;1,12127;10,77977;-9,111129
1994-10-31;0,994045;0,988767;-6,743114;0,987613;-0,464593;-10,412583
1994-11-30;1,008238;1,022769;-1,083688;1,029847;-4,920055;-6,21672
1994-12-31;0,989508;1,025795;-15,96984;1,056875;-20,044237;-5,795479
1995-01-31;1,026165;0,997433;2,059224;0,873641;-1,313214;-4,069219
1995-02-28;0,908118;0,902562;1,613241;0,897612;2,838734;-6,034785
1995-03-31;1,06394;1,055934;0,773557;1,090233;13,010257;7,754813
1995-04-30;0,941757;0,96599;-0,737431;0,969713;11,19977;3,965564
1995-05-31;1,051855;1,058178;4,259478;0,932889;6,534578;17,204362
1995-06-30;0,997682;1,066599;5,49088;1,159395;13,68;11,085627
1995-07-31;0,936167;0,92606;0,557144;1,037844;-34,708691;-0,029044
1995-08-31;1,061834;0,966281;7,204329;0,85286;3,032728;0,26427
1995-09-30;0,986548;0,988761;-6,046097;1,119011;10,658548;-11,449003
1995-10-31;1,040702;1,036996;-0,152477;0,99202;0,112505;-4,780467
1995-11-30;0,994332;1,006856;0,376686;1,02843;-5,143657;-7,673558
1995-12-31;0,955591;0,990981;-8,268783;1,059013;-20,216541;-7,721016
1996-01-31;1,077703;1,03986;2,486825;0,877018;-0,829445;-1,026268
1996-02-29;0,946314;0,943493;1,183235;0,89848;3,071382;-3,9241
1996-03-31;0,993095;0,983642;-2,735525;1,08447;12,425495;0,969609
1996-04-30;1,022571;1,057153;1,450459;0,973507;12,05153;10,484471
1996-05-31;1,037283;1,043503;1,786871;0,931895;6,486303;16,627963
1996-06-30;0,921117;0,981648;-0,563297;1,151293;12,955279;4,973365
1996-07-31;1,034484;1,015062;-0,882671;1,041842;-34,823446;6,939291
1996-08-31;1,000865;0,916095;5,15632;0,850359;2,710778;-4,417582
1996-09-30;0,992463;0,985153;-3,937594;1,117024;10,648461;-10,105013
