;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1990-01-31;103,529783;79,841364;69,690498;81,201406;88,521654;35,575591
1990-02-28;105,589619;81,052034;71,806088;81,651643;88,964846;42,2208
1990-03-31;106,68587;81,851674;73,213134;82,815834;90,11403;41,183663
1990-04-30;108,729209;78,830234;73,588083;81,717681;88,582416;33,88254
1990-05-31;109,277136;82,115329;73,928786;85,326181;92,867549;37,346239
1990-06-30;108,94957;79,85895;71,601368;81,685265;88,750252;36,411032
1990-07-31;110,668739;79,987162;72,906364;81,632727;90,13566;36,169637
1990-08-31;109,152848;82,037595;75,592139;83,097389;90,679898;42,381489
1990-09-30;110,216989;80,844577;71,062301;80,674227;87,84558;42,394699
1990-10-31;110,84257;78,871304;72,060244;84,426374;92,008862;44,051588
1990-11-30;115,988799;81,125071;72,418513;83,535632;91,271385;42,740045
1990-12-31;111,785429;83,882981;69,592937;81,721164;90,277525;44,558091
1991-01-31;113,772663;88,895162;77,016659;86,919973;94,651738;47,39615
1991-02-28;112,721175;86,074156;74,918261;85,565994;93,33294;42,278079
1991-03-31;112,86929;90,275311;73,776029;83,846342;91,381009;45,53189
1991-04-30;112,531637;86,02422;72,717481;86,987634;94,978675;52,201164
1991-05-31;112,795508;85,112994;53,971418;85,256793;92,969572;41,93811
1991-06-30;113,672605;85,328774;58,990799;83,637135;91,017829;49,124349
1991-07-31;114,656632;84,340899;83,455825;87,560861;94,434989;52,530944
1991-08-31;114,657455;83,798529;62,584323;84,418203;92,166439;49,906415
1991-09-30;115,472496;86,118365;70,338475;84,184121;91,801869;54,482707
1991-10-31;115,68222;89,755707;69,847516;86,097284;93,911111;49,251167
1991-11-30;112,24883;94,07948;67,772934;85,51764;93,335766;50,743018
1991-12-31;113,886126;92,489567;71,00897;82,664965;91,039253;51,623355
1992-01-31;115,704521;88,827026;68,848921;86,942051;94,809678;54,667383
1992-02-29;112,734568;87,394246;68,80186;86,028779;93,886161;53,744236
1992-03-31;115,850081;89,396076;69,999517;85,451448;93,277764;50,480685
1992-04-30;118,730704;91,509902;68,610987;87,744683;95,909459;52,661361
1992-05-31;113,73871;90,119639;70,679345;83,883182;91,576732;53,220211
1992-06-30;115,032175;88,703247;70,392077;88,27739;96,548659;51,76898
