;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1990-01-31;105,530805;80,651033;72,366521;82,043835;89,469819;39,062793
1990-02-28;106,170053;80,611633;72,424593;82,186492;89,6051;38,559139
1990-03-31;106,908513;80,639659;72,500597;82,345819;89,765159;38,142755
1990-04-30;107,622191;80,64889;72,56487;82,508667;89,942635;37,636905
1990-05-31;108,310173;80,672413;72,603997;82,65141;90,116296;37,308597
1990-06-30;108,973602;80,617093;72,626195;82,750518;90,257744;37,536248
1990-07-31;109,613971;80,483722;72,649558;82,857134;90,406587;38,433141
1990-08-31;110,212522;80,41843;72,657112;83,004814;90,580447;40,01168
1990-09-30;110,745298;80,568654;72,636403;83,195593;90,792567;41,820225
1990-10-31;111,207124;81,066122;72,618579;83,435009;91,065672;43,145956
1990-11-30;111,60111;81,98697;72,616055;83,682183;91,352967;43,929531
1990-12-31;111,956534;83,247601;72,635279;83,947026;91,647161;44,477453
1991-01-31;112,305562;84,535455;72,664081;84,235282;91,941878;44,954502
1991-02-28;112,660198;85,597502;72,64473;84,47076;92,170052;45,697696
1991-03-31;113,015387;86,119841;72,564583;84,654102;92,345726;46,711285
1991-04-30;113,352717;85,950375;72,454001;84,814803;92,498264;47,919183
1991-05-31;113,657312;85,413463;72,329729;84,925447;92,594262;49,195279
1991-06-30;113,931167;84,952124;72,198717;85,015425;92,668666;50,296827
1991-07-31;114,172385;84,959911;72,065862;85,102634;92,756932;51,004615
1991-08-31;114,380927;85,613598;71,95091;85,153087;92,830376;51,272515
1991-09-30;114,558749;86,739834;71,853559;85,201344;92,911577;51,372754
1991-10-31;114,699479;87,914799;71,732237;85,270838;93,015925;51,591362
1991-11-30;114,801242;88,824594;71,589813;85,327283;93,107087;51,867451
1991-12-31;114,856022;89,356969;71,454737;85,400222;93,206632;52,138265
1992-01-31;114,851943;89,500375;71,327356;85,519248;93,337299;52,448246
1992-02-29;114,799519;89,411224;71,223124;85,629973;93,450806;52,663722
1992-03-31;114,710579;89,44825;71,154136;85,71363;93,536154;52,66872
1992-04-30;114,597374;89,869423;71,118981;85,771693;93,591414;52,567944
1992-05-31;114,462888;90,644055;71,118015;85,80573;93,615331;52,317056
1992-06-30;114,305927;91,631952;71,139531;85,83088;93,62267;52,158528
1992-07-31;114,111715;92,562377;71,181603;85,796698;93,567511;52,117483
1992-08-31;113,865912;93,121946;71,240628;85,694939;93,454587;52,237372
1992-09-30;113,561922;93,245398;71,307329;85,551819;93,303532;52,481488
1992-10-31;113,205433;92,869983;71,390932;85,358102;93,091194;52,924179
1992-11-30;112,817701;92,091648;71,480076;85,156365;92,863992;53,561228
1992-12-31;112,416531;91,114962;71,536287;84,946323;92,629323;54,030476
1993-01-31;112,025029;90,355796;71,546129;84,724179;92,386706;54,232002
1993-02-28;111,655225;90,102111;71,542317;84,575361;92,221301;54,333208
1993-03-31;111,328587;90,365564;71,567804;84,493408;92,126977;54,477284
1993-04-30;111,052331;91,013607;71,615774;84,41696;92,044965;54,637395
1993-05-31;110,835718;91,862141;71,659879;84,388111;92,022857;54,827302
1993-06-30;110,665433;92,680807;71,697558;84,434609;92,091264;55,103
1993-07-31;110,519885;93,259804;71,696344;84,506222;92,182919;55,300604
1993-08-31;110,382828;93,586159;71,65103;84,59703;92,276215;55,298876
1993-09-30;110,228249;93,719051;71,615745;84,694767;92,370953;54,953934
1993-10-31;110,027138;93,815057;71,616844;84,780836;92,458012;54,470566
1993-11-30;109,742684;93,939166;71,672488;84,889452;92,567892;54,097374
1993-12-31;109,357944;94,119685;71,809831;84,977285;92,657771;54,003389
1994-01-31;108,880487;94,481551;72,027895;85,006966;92,692314;54,071685
1994-02-28;108,353746;95,053918;72,283094;85,046032;92,738084;54,073211
1994-03-31;107,810899;95,803865;72,534935;85,106239;92,806907;54,241352
1994-04-30;107,30405;96,674622;72,790359;85,18469;92,903105;54,705561
1994-05-31;106,880532;97,540275;73,042942;85,317738;93,069047;55,561395
1994-06-30;106,576977;98,224125;73,244096;85,468189;93,263321;56,644324
1994-07-31;106,410621;98,652463;73,3822;85,614126;93,447603;57,876029
1994-08-31;106,387971;98,903279;73,498494;85,765426;93,61636;59,074401
1994-09-30;106,50429;99,244538;73,63236;85,888426;93,749444;60,183503
1994-10-31;106,73655;100,065743;73,807241;86,007411;93,889149;61,099641
1994-11-30;107,050262;101,480579;73,999503;86,156967;94,067586;61,89708
1994-12-31;107,416639;103,264157;74,174795;86,327554;94,265135;63,002478
1995-01-31;107,810676;105,060534;74,345593;86,528627;94,485075;64,451388
1995-02-28;108,188507;106,568435;74,524101;86,750929;94,725854;65,989704
1995-03-31;108,531024;107,534808;74,693021;86,95954;94,955954;67,256967
1995-04-30;108,818663;107,878961;74,847894;87,162059;95,182571;67,86076
1995-05-31;109,037967;107,656625;75,029261;87,375468;95,427476;67,640485
1995-06-30;109,185652;107,256092;75,268035;87,54743;95,632512;66,659229
1995-07-31;109,27606;107,035449;75,567396;87,697819;95,801409;65,642973
1995-08-31;109,327511;107,119336;75,901213;87,893658;95,993409;64,985235
1995-09-30;109,34103;107,358273;76,210204;88,103896;96,194277;64,836816
1995-10-31;109,323759;107,630065;76,471599;88,309095;96,399659;65,06191
1995-11-30;109,296406;107,949976;76,696326;88,508538;96,606108;65,503728
1995-12-31;109,290516;108,282756;76,874886;88,715042;96,818398;65,934355
