;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1990-01-31;111,206712;82,786439;69,622457;71,152733;87,624893;37,800339
1990-02-28;94,587681;72,501634;73,795864;73,406339;91,855044;37,537641
1990-03-31;108,334131;83,717281;77,640551;90,534375;102,950769;45,707528
1990-04-30;108,105499;78,595727;83,07261;80,560734;101,442834;40,462338
1990-05-31;110,349641;85,942817;95,190774;80,186719;100,054326;51,67188
1990-06-30;105,19145;81,978387;82,14646;94,82529;101,908141;43,278988
1990-07-31;110,516772;76,505251;85,076969;85,641098;57,56919;42,702057
1990-08-31;114,674447;78,999544;88,355519;70,401434;92,794663;44,418392
1990-09-30;105,089345;77,725098;54,790362;89,078786;96,355107;29,400812
1990-10-31;121,784953;86,145651;62,501538;83,891323;92,362221;37,947573
1990-11-30;115,295984;81,768216;56,18595;85,691809;86,016144;34,844415
1990-12-31;107,938516;83,685915;38,06397;84,631362;69,012275;33,040955
1991-01-31;120,68655;91,843441;81,872967;76,217203;93,861805;49,360705
1991-02-28;101,149124;77,036865;77,653934;76,956008;96,296827;37,481633
1991-03-31;113,284206;88,866202;76,244138;91,548421;104,10389;47,633997
1991-04-30;114,492417;90,109889;79,84576;85,804604;108,045969;62,983387
1991-05-31;113,209681;88,129518;72,263727;79,649309;99,383775;55,357334
1991-06-30;105,397101;84,615895;72,102354;97,305814;104,573947;52,850708
1991-07-31;119,962274;84,38789;95,384802;92,017891;61,855764;62,262744
1991-08-31;114,452595;77,225563;69,769644;71,515435;94,263009;48,316851
1991-09-30;115,739968;86,088295;57,476166;93,459189;101,093321;44,017634
1991-10-31;125,536592;97,452619;61,863045;85,359255;93,978377;43,699806
1991-11-30;107,45537;91,438134;53,033373;87,738937;88,071022;39,755814
1991-12-31;115,588623;96,769876;46,924194;86,044092;70,164279;44,732298
1992-01-31;121,898097;90,895944;71,67689;75,929382;93,507354;55,394681
1992-02-29;101,664459;78,87022;69,199014;77,256177;96,672447;48,868201
1992-03-31;120,037109;92,076431;68,982789;93,308302;106,105136;56,393023
1992-04-30;122,160631;94,859561;73,917364;86,25354;108,611273;62,926536
1992-05-31;105,100331;86,455345;85,5411;77,849539;97,138082;60,826865
1992-06-30;117,560923;96,60529;87,025028;103,16393;110,86962;62,753116
1992-07-31;116,320547;91,737453;81,865106;91,736612;61,666682;55,185214
1992-08-31;111,106201;83,839134;79,20778;72,281576;95,272846;47,721484
1992-09-30;119,111844;98,410958;41,898513;98,581835;106,634402;55,738032
1992-10-31;113,518817;95,669568;53,278836;83,791912;92,25278;41,330864
1992-11-30;112,37531;90,469023;56,045835;86,601147;86,928929;43,833625
1992-12-31;120,241265;96,111874;50,829687;92,343912;75,301435;50,558119
1993-01-31;106,934447;85,876072;70,763807;70,325665;86,606351;49,370401
1993-02-28;101,894002;88,7866;68,460234;74,884296;93,704451;48,764248
1993-03-31;121,31379;95,461282;63,885886;92,941364;105,68787;63,934917
1993-04-30;108,264768;95,006079;79,545587;81,974662;103,223272;64,040731
1993-05-31;102,517849;87,065683;80,462326;75,002306;93,585401;60,180351
1993-06-30;117,710349;103,364137;93,768931;100,256634;107,745167;70,130061
1993-07-31;106,850253;88,909055;89,33455;86,929533;58,435292;61,708023
1993-08-31;113,427968;86,804713;73,690098;71,558036;94,319155;52,296996
1993-09-30;114,469921;106,324244;56,804714;96,961233;104,881423;43,988708
1993-10-31;108,616043;99,040098;59,380011;81,820489;90,082287;45,078086
1993-11-30;112,55542;95,348181;59,618759;87,584424;87,915929;48,877897
1993-12-31;111,457985;102,942744;47,040771;93,198531;75,998332;49,369746
1994-01-31;107,564096;92,767127;70,8399;72,460912;89,235921;45,000688
1994-02-28;98,007142;87,463336;77,161417;75,875594;94,944882;48,42307
1994-03-31;117,724325;101,944443;70,030102;93,986163;106,87596;65,876688
1994-04-30;102,4705;95,979936;74,592748;80,01058;100,750069;53,438801
1994-05-31;107,103433;100,550824;86,194087;79,591953;99,312204;67,096402
1994-06-30;107,028229;107,660876;94,558112;100,581428;108,094214;65,615044
1994-07-31;97,947415;91,540033;116,971497;87,326366;58,702053;70,53802
1994-08-31;113,491449;94,832378;95,906031;74,809229;98,604485;62,276187
1994-09-30;109,201733;103,464882;58,751921;96,441382;104,319111;49,376053
1994-10-31;107,341366;97,830822;65,552125;83,192224;91,592532;52,91727
1994-11-30;107,451186;102,062252;75,942108;89,746611;90,086292;53,431088
1994-12-31;107,129864;106,028224;57,00852;89,271963;72,796437;57,22958
1995-01-31;108,758239;105,742275;76,954807;75,86502;93,4281;58,445588
1995-02-28;98,858382;97,861025;75,307734;77,462382;96,930468;62,83232
1995-03-31;116,013927;118,748479;78,592908;96,671338;109,929395;72,858292
1995-04-30;102,031519;102,372739;71,455426;82,15423;103,449379;73,714575
