;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032
1990-01-31;105,6287;79,246851;69,622457;71,152733;87,624893;34,50155
1990-02-28;95,432213;73,14897;73,795864;73,406339;91,855044;38,216291
1990-03-31;111,809386;84,929269;77,640551;90,534375;102,950769;46,782907
1990-04-30;108,417148;80,142984;83,07261;80,560734;101,442834;42,246856
1990-05-31;106,190607;82,623554;95,190774;80,186719;100,054326;48,372447
1990-06-30;107,792878;83,625458;82,14646;94,82529;101,908141;44,793903
1990-07-31;110,198912;76,436386;85,076969;85,641098;57,56919;42,557813
1990-08-31;111,227736;76,831696;88,355519;70,401434;92,794663;41,991408
1990-09-30;112,078995;82,370454;54,790362;89,078786;96,355107;34,195448
1990-10-31;115,676348;82,462438;62,501538;83,891323;92,362221;34,648785
1990-11-30;113,814528;80,60306;56,18595;85,691809;86,016144;33,348567
1990-12-31;113,176452;87,820157;38,06397;84,631362;69,012275;37,3967
1991-01-31;116,137922;88,296285;81,872967;76,217203;93,861805;46,061272
1991-02-28;102,052241;77,724694;77,653934;76,956008;96,296827;38,160283
1991-03-31;118,19754;93,349216;76,244138;91,548421;104,10389;51,37232
1991-04-30;112,123435;87,427174;79,84576;85,804604;108,045969;60,615734
1991-05-31;109,806996;85,711131;72,263727;79,649309;99,383775;52,930351
1991-06-30;112,40722;89,67309;72,102354;97,305814;104,573947;57,645345
1991-07-31;113,945092;80,77983;95,384802;92,017891;61,855764;58,963956
1991-08-31;116,819032;78,34357;69,769644;71,515435;94,263009;49,39223
1991-09-30;117,370391;87,783053;57,476166;93,459189;101,093321;45,802152
1991-10-31;120,805168;93,688827;61,863045;85,359255;93,978377;40,400373
1991-11-30;110,112786;93,275266;53,033373;87,738937;88,071022;41,270728
1991-12-31;115,256177;96,68277;46,924194;86,044092;70,164279;44,588054
1992-01-31;118,234269;88,401643;71,67689;75,929382;93,507354;52,967698
1992-02-29;102,398606;79,06946;69,199014;77,256177;96,672447;49,403477
1992-03-31;121,237382;91,99355;68,982789;93,308302;106,105136;56,248779
1992-04-30;118,032231;93,075005;73,917364;86,25354;108,611273;61,555865
1992-05-31;111,089962;90,816739;85,5411;77,849539;97,138082;64,565189
1992-06-30;113,645175;93,729197;87,025028;103,16393;110,86962;60,385463
1992-07-31;112,82436;89,22006;81,865106;91,736612;61,666682;52,75823
1992-08-31;116,497855;87,980945;79,20778;72,281576;95,272846;52,077229
1992-09-30;115,077865;95,133749;41,898513;98,581835;106,634402;52,878135
1992-10-31;115,865947;97,054592;53,278836;83,791912;92,25278;42,406243
1992-11-30;113,958335;92,250021;56,045835;86,601147;86,928929;45,618143
1992-12-31;115,70942;92,399863;50,829687;92,343912;75,301435;47,258687
1993-01-31;113,028603;90,208243;70,763807;70,325665;86,606351;53,108725
1993-02-28;102,80377;89,579338;68,460234;74,884296;93,704451;49,442898
1993-03-31;115,717353;91,379773;63,885886;92,941364;105,68787;60,636129
1993-04-30;106,422459;93,65229;79,545587;81,974662;103,223272;62,544883
1993-05-31;107,492736;91,366892;80,462326;75,002306;93,585401;64,536096
1993-06-30;113,723834;99,921981;93,768931;100,256634;107,745167;67,270164
1993-07-31;109,059504;90,196206;89,33455;86,929533;58,435292;62,783402
1993-08-31;113,101735;86,726577;73,690098;71,558036;94,319155;52,152753
1993-09-30;112,029562;104,324008;56,804714;96,961233;104,881423;42,618038
1993-10-31;114,806033;104,036352;59,380011;81,820489;90,082287;48,816409
1993-11-30;108,806397;92,509514;59,618759;87,584424;87,915929;46,510244
1993-12-31;108,10795;100,117863;47,040771;93,198531;75,998332;46,942762
1994-01-31;112,783863;97,349998;70,8399;72,460912;89,235921;49,356434
1994-02-28;98,882205;88,244259;77,161417;75,875594;94,944882;49,101721
1994-03-31;112,213093;98,007168;70,030102;93,986163;106,87596;62,577256
1994-04-30;106,009877;97,90832;74,592748;80,01058;100,750069;54,953716
1994-05-31;106,795391;100,460315;86,194087;79,591953;99,312204;66,952158
1994-06-30;104,746518;105,635494;94,558112;100,581428;108,094214;64,244373
1994-07-31;103,529404;96,157933;116,971497;87,326366;58,702053;74,276344
